Bound,LQGmu1,URet,LQGsigma,IWNorm1,ReturnMin,IWLastEpisode,DenMISEMeanLog,SqrtESSClassic,target_sum_log_mean,ReturnLastEpisode,IWFirstEpisode,ReturnMax,ReturnStepMax,ReturnAbsMax,DenMISELogLast,TimeElapsed,TimestepsSoFar,ExplorationBonus,MISE,IWNorm2,IWMax,LQGmu01,IWMean,IWMin,Iteration,ReturnMean,DenMISELogFirst
10.83636,0.030303031,10.095627434202243,0.11,31.170033,,1.7989309,15.691049,4.389572,14.706714,9.184436,0.031738225,10.560387,0.64623266,10.560387,16.683563,24.762921571731567,580,0.8934878,9.942872,7.100927,1.8073225,0.0030303032,1.0748287,,29,9.390933,11.897395
10.813281,0.030303031,10.106165895898348,0.11,32.305428,,1.7591099,15.693083,4.514077,14.75829,9.196423,0.03279674,10.560387,0.64623266,10.560387,15.6892395,25.80470895767212,600,0.85424054,9.959041,7.156596,1.7599622,0.0030303032,1.0768476,,30,9.384449,11.864588
10.766561,0.030303031,10.291595334886134,0.11,33.322563,,1.6113752,15.479535,4.635738,14.588168,9.371962,0.03385296,10.560387,0.64623266,10.560387,9.007426,27.087671041488647,620,0.8182954,9.948265,7.18819,1.7178489,0.0030303032,1.0749214,,31,9.384047,11.8328905
10.743466,0.030303031,10.101962666719592,0.11,34.440117,,1.6772486,15.599132,4.7526917,14.749758,9.192828,0.034906857,10.560387,0.64623266,10.560387,19.241877,28.629637479782104,640,0.7855886,9.957878,7.246444,1.6801591,0.0030303032,1.0762537,,32,9.378072,11.802234
10.719743,0.030303031,10.100481480871126,0.11,35.547512,,1.642873,15.655864,4.8664093,14.84525,9.194597,0.0359585,10.560387,0.64623266,10.560387,17.40454,30.096379041671753,660,0.75551695,9.964226,7.3046694,1.6462294,0.0030303032,1.0771973,,33,9.372512,11.772552
10.690567,0.030303031,10.24985439777189,0.11,36.604828,,1.5703728,15.63245,4.9775677,14.856942,9.327925,0.037007816,10.560387,0.64623266,10.560387,14.79147,31.656008005142212,680,0.72770137,9.962866,7.3539586,1.615522,0.0030303032,1.0766126,,34,9.3712,11.743788
10.656412,0.030303031,10.42207690030648,0.11,37.608994,,1.4938928,15.597875,5.086173,14.854039,9.497142,0.038054865,10.560387,0.64623266,10.560387,14.35399,33.20308017730713,700,0.7019152,9.954497,7.3943596,1.5876024,0.0030303032,1.0745426,,35,9.374798,11.715888
10.6329975,0.030303031,10.040107171170677,0.11,38.704975,,1.5616122,15.594543,5.191408,14.881895,9.138557,0.039099604,10.560387,0.64623266,10.560387,15.411119,34.890408992767334,720,0.6780682,9.954929,7.455583,1.5621037,0.0030303032,1.0751382,,36,9.368237,11.688805
10.588516,0.030303031,10.406230831715849,0.11,39.660255,,1.4038455,15.493411,5.294948,14.807355,9.45625,0.04014212,10.560387,0.64623266,10.560387,11.784691,35.85772705078125,740,0.6557635,9.932753,7.4902067,1.5387276,0.0030303032,1.0718988,,37,9.370615,11.662491
10.474776,0.030303031,10.052047407926418,0.11,40.362114,,1.1277602,15.405926,5.3928566,14.73937,9.152556,0.041182373,10.560387,0.64623266,10.560387,12.103749,36.772505044937134,760,0.63532966,9.839447,7.484366,1.5172199,0.0030303032,1.0621608,,38,9.364876,11.636907
10.4538765,0.030303031,10.019055089271717,0.11,41.440094,,1.4734205,15.554829,5.4917617,14.913865,9.119883,0.042220343,10.560387,0.64623266,10.560387,21.157015,37.685081243515015,780,0.6158371,9.838039,7.545865,1.4973602,0.0030303032,1.0625665,,39,9.358595,11.612015
10.4403,0.030303031,10.066085527914558,0.11,42.537056,,1.4790406,15.637912,5.5884194,15.021335,9.163256,0.043256085,10.560387,0.64623266,10.560387,18.821299,38.58961033821106,800,0.5975728,9.842727,7.6116433,1.4790406,0.0030303032,1.0634264,,40,9.353711,11.587779
10.3389845,0.030303031,10.063525029270302,0.11,43.235832,,1.0693958,15.518476,5.6801863,14.917157,9.164717,0.044289604,10.560387,0.64623266,10.560387,10.682922,39.38412547111511,820,0.5807047,9.75828,7.611693,1.4619598,0.0030303032,1.0545325,,41,9.349102,11.564167
10.328876,0.030303031,10.02663693153452,0.11,44.336292,,1.4460938,15.612394,5.7734118,15.032994,9.131016,0.045320876,10.560387,0.64623266,10.560387,19.413414,40.3563187122345,840,0.5644853,9.76439,7.679392,1.4460938,0.0030303032,1.055626,,42,9.343909,11.541149
