target_sum_log_mean,ReturnAbsMax,URet,DenMISELogFirst,Iteration,IWFirstEpisode,ExplorationBonus,LQGmu1,ReturnMin,ReturnLastEpisode,TimeElapsed,IWNorm2,IWMean,IWMin,LQGsigma,DenMISELogLast,LQGmu01,ReturnMean,ReturnStepMax,DenMISEMeanLog,Bound,SqrtESSClassic,ReturnMax,MISE,IWMax,IWNorm1,TimestepsSoFar,IWLastEpisode
-16.925331,9.673576,10.585869964378775,12.074813,11,3.4667452e-10,19.28292,-0.030303031,,9.610273,9.367898225784302,4.7380036e-07,4.311624e-08,,0.11,17.213139,-0.0030303032,9.366161,0.6167194,16.208612,19.28292,1.0033311,9.673576,4.143509e-07,4.7369997e-07,4.753786e-07,220,4.7369997e-07
-14.043132,13.941788,15.461773524904352,11.987802,12,3.781911e-10,27.883572,-0.030303031,,13.941788,10.4031982421875,11.999971,0.9999977,,0.11,15.176143,-0.0030303032,9.747463,0.9345526,16.042812,41.825325,1.0000001,13.941788,13.941754,11.999971,11.999972,240,11.999971
-38.854828,13.941788,13.830664903910666,11.907759,13,8.01729e-22,27.683935,-0.05050505,,12.463677,11.272641658782959,6.360267,0.49277952,,0.11,13.549792,-0.005050505,9.956404,0.9345526,15.830475,34.548927,1.0072114,13.941788,6.864993,6.3601007,6.4061337,260,0.04603291
-10.040858,14.032633,15.548125192471986,11.833651,14,4.4122264e-10,16.498117,-0.030303031,,14.032633,12.208981275558472,9.679263,1.1761129,,0.11,10.957402,-0.0030303032,10.247563,0.9353522,15.442285,32.189953,1.7011192,14.032633,15.691835,6.9745274,16.46558,280,4.7906704
-8.2585945,14.032633,12.880153590825564,11.764658,15,4.7273846e-10,14.161373,-0.030303031,,11.653125,13.132048845291138,8.867508,1.1715858,,0.11,15.085384,-0.0030303032,10.341266,0.9353522,15.419967,29.265453,1.9818181,14.032633,15.104079,4.9914055,17.573788,300,4.9914055
-6.691386,14.032633,14.418904154947896,11.700119,16,5.042545e-10,12.61431,-0.030303031,,13.008769,14.036880254745483,8.281673,1.1516056,,0.11,15.43701,-0.0030303032,10.507985,0.9353522,15.42463,27.516197,2.2248752,14.032633,14.901886,3.9948382,18.42569,320,3.9738295
-31.708809,14.032633,14.42801268755362,11.639495,17,1.4770332e-19,26.68921,0.07070707,,13.008441,15.110126733779907,3.4497948e-08,2.0339186e-09,,0.11,17.362923,0.0070707067,10.65507,0.9353522,15.5425005,26.68921,1.0515585,14.032633,1.8680224e-08,3.4394947e-08,3.627661e-08,340,1.7005737e-34
-29.557669,14.032633,10.049089702978582,11.582336,18,1.5639132e-19,28.065266,0.07070707,,9.152425,15.987696170806885,17.99989,0.99999386,,0.11,4.1213446,0.0070707067,10.57159,0.9353522,14.854008,37.217636,1.0,14.032633,9.152369,17.99989,17.99989,360,17.99989
-6.4936852,14.032633,9.962716172096318,11.528269,19,1.6212661e-08,27.478388,0.05050505,,9.070878,16.909432649612427,95.8349,5.1516695,,0.11,13.330444,0.005050505,10.492606,0.9353522,14.759082,74.21758,1.0213578,14.032633,46.739197,95.81433,97.88172,380,95.81433
-5.4020715,14.032633,10.025433373579158,11.476975,20,1.7065945e-08,18.879848,0.05050505,,9.131924,17.793519496917725,25.157125,1.869828,,0.11,12.408575,0.005050505,10.424571,0.9353522,14.687956,35.90622,1.4865196,14.032633,17.02637,18.72785,37.39656,400,18.72785
-23.697886,14.032633,9.995977753835986,11.428185,21,1.8245676e-19,25.398787,0.07070707,,9.102245,18.669591426849365,8.736682,0.45970944,,0.11,14.7653,0.0070707067,10.361605,0.9353522,14.710044,29.602552,1.1049845,14.032633,4.2037663,8.68581,9.653898,420,0.006044161
-49.53417,14.032633,9.92622693433261,11.381665,22,5.6115345e-35,28.057743,0.09090909,,9.037741,19.55985426902771,2.6449847,0.12025881,,0.11,7.6513667,0.00909091,10.301429,0.9353522,14.362574,29.144615,1.0002681,14.032633,1.0868716,2.6449847,2.6456938,440,2.6449847
-46.598457,14.032633,9.902048349280244,11.3372135,23,5.8666323e-35,25.488087,0.09090909,,9.01531,20.62836456298828,23.112595,1.1065035,,0.11,14.852613,0.00909091,10.24551,0.9353522,14.3463,35.465973,1.1011131,14.032633,9.977884,22.9804,25.449581,460,22.9804
-77.734924,14.032633,9.891112658271096,11.294654,24,,26.24902,0.11111111,,9.006051,21.532631158828735,12.076634,0.5380105,,0.11,12.882829,0.011111111,10.193866,0.9353522,14.277646,31.094704,1.0691929,14.032633,4.845684,12.04549,12.912251,480,12.04549
-73.94452,14.032633,9.854096975597157,11.253832,25,,21.625536,0.11111111,,8.971898,22.432904958724976,26.368608,1.36883,,0.11,13.806415,0.011111111,10.144987,0.9353522,14.237297,33.919464,1.2977836,14.032633,12.293928,24.994972,34.22075,500,24.994972
-110.66863,14.032633,9.887946279999762,11.214611,26,,28.056128,0.13131313,,9.003041,23.36751890182495,2.652099,0.10203703,,0.11,15.748917,0.013131313,10.101066,0.9353522,14.296785,28.971594,1.0003257,14.032633,0.91546685,2.652099,2.6529627,520,0.00072824326
-105.942566,14.032633,9.83512430391868,11.176871,27,,25.48125,0.13131313,,8.954579,24.40529489517212,23.329676,0.9516853,,0.11,13.791382,0.013131313,10.058602,0.9353522,14.245323,34.0048,1.1014085,14.032633,8.523546,23.195429,25.695503,540,23.195429
-10.8465805,14.032633,9.82327771194975,11.140504,28,2.3892307e-08,15.526093,0.05050505,,8.945857,25.360531091690063,22.277239,1.4381703,,0.11,14.163603,0.005050505,10.018862,0.9353522,14.232644,28.620792,1.8076193,14.032633,13.094699,13.5266905,40.26877,560,3.3452432e-36
-100.59475,14.032633,9.999166878732836,11.1054125,29,,18.386147,0.13131313,,9.099733,26.498768091201782,19.817728,1.0431201,,0.11,4.6736097,0.013131313,9.987168,0.9353522,13.910305,27.723988,1.5264355,14.032633,9.337842,14.391674,30.250484,580,1.020624e-34
-83.05773,14.032633,9.81961791500305,11.07151,30,9.454774e-10,11.491214,-0.030303031,,8.941971,27.447972536087036,13.883803,1.1302915,,0.11,9.054266,-0.0030303032,9.952329,0.9353522,13.7444725,26.144085,2.442324,14.032633,14.652872,5.9938064,33.908745,600,
-13.069456,14.032633,15.027396780901233,11.038721,31,2.6452225e-08,13.440688,0.05050505,,13.533337,28.383503675460815,19.74475,1.329957,,0.11,-2.2332308,0.005050505,10.067845,0.9353522,13.2307205,25.548878,2.0880826,14.032633,12.10819,10.125112,41.22867,620,2.7045048e-15
-62.269405,14.032633,10.003673765031612,11.006972,32,,15.541707,0.11111111,,9.1095915,29.297082662582397,19.26431,1.0871111,,0.11,14.547828,0.011111111,10.0379,0.9353522,13.277426,25.316692,1.8058033,14.032633,9.774985,12.447961,34.787556,640,3.8808695e-24
-84.96191,14.032633,9.86714949529067,10.9762,33,1.0400251e-09,10.628225,-0.030303031,,8.984416,30.25754165649414,13.954184,1.1166033,,0.11,13.818214,-0.0030303032,10.005976,0.9353522,13.292464,25.206131,2.6406353,14.032633,14.577905,5.495266,36.847908,660,
-35.91721,14.032633,14.911014343535037,10.946347,34,8.6723714e-35,17.24313,0.09090909,,13.429883,31.38188600540161,17.300957,0.82821727,,0.11,6.5656066,0.00909091,10.106679,0.9353522,13.096104,24.709087,1.6276202,14.032633,7.4659576,15.331681,28.159388,680,
-94.64132,14.032633,9.926539896894614,10.91736,35,,15.359728,0.13131313,,9.039034,32.31460118293762,19.701546,1.0285321,,0.11,5.273626,0.013131313,10.076175,0.9353522,12.865143,24.5638,1.8271981,14.032633,9.204074,11.579517,35.998627,700,4.9797753e-15
-91.019905,14.032633,9.81935713692338,10.889189,36,1.1345728e-09,9.935906,-0.030303031,,8.939772,33.26914882659912,14.08443,1.105092,,0.11,15.411173,-0.0030303032,10.044608,0.9353522,12.933407,24.421417,2.8246307,14.032633,14.485511,5.1390657,39.783314,720,
-88.4033,14.032633,14.841971045603815,10.86179,37,1.1660888e-09,9.364143,-0.030303031,,13.381235,34.19721174240112,13.52255,1.0953628,,0.11,4.266004,-0.0030303032,10.134787,0.94170964,12.700467,23.759094,2.9970992,14.032633,14.394952,4.622013,40.528423,740,4.6130586
-54.014187,14.032633,11.920472228499346,10.835122,38,0.017645612,23.662827,-0.01010101,,10.787282,35.17194199562073,33.87654,1.0573481,,0.11,10.789607,-0.001010101,10.151958,0.94170964,12.651414,35.41632,1.1860487,14.032633,11.753492,33.766308,40.17923,760,33.766308
-52.080303,14.032633,11.399711299630578,10.80961,39,0.018101573,17.175486,-0.01010101,,10.31783,36.17026686668396,27.86829,1.1676317,,0.11,18.37233,-0.001010101,10.156211,0.94170964,12.793361,29.856339,1.6340305,14.032633,12.680853,20.80022,45.537636,780,20.80022
-50.29798,14.032633,12.162437628680797,10.784757,40,0.018557101,14.415978,-0.01010101,,10.990742,37.33861017227173,26.22928,1.27659,,0.11,16.323141,-0.001010101,10.177074,0.94170964,12.881284,28.439754,1.9468166,14.032633,14.023776,17.985235,51.0636,800,17.985235
-48.809006,14.032633,14.024148580379855,10.760528,41,0.019012215,13.576367,-0.01010101,,12.695495,38.315391063690186,19.492163,0.9827924,,0.11,11.093921,-0.001010101,10.2385,0.94170964,12.840534,24.467419,2.0672147,14.032633,10.891052,12.716933,40.294487,820,0.70899665
-16.038542,14.032633,11.085395003665806,10.736894,42,3.5772047e-08,12.028489,0.05050505,,10.080983,39.291178941726685,22.53755,1.2520322,,0.11,17.45895,0.005050505,10.234749,0.94170964,12.948087,23.428963,2.3332329,14.032633,11.400474,10.340514,52.58535,840,8.5472804e-18
-46.84901,14.032633,9.997489232555196,10.713364,43,0.019930387,11.961598,-0.01010101,,9.102031,40.223817348480225,19.204657,1.0478957,,0.11,16.571362,-0.001010101,10.208406,0.94170964,13.0355835,23.383102,2.3462806,14.032633,11.421505,10.452686,45.059513,860,2.624959e-22
-69.732666,14.032633,12.748853707293446,10.690837,44,,13.783067,0.11111111,,11.488128,41.21282362937927,22.989239,1.0638863,,0.11,15.030295,0.011111111,10.237492,0.94170964,13.080285,23.346552,2.0362134,14.032633,9.563485,14.480459,46.810997,880,
-104.22931,14.032633,9.873058470957732,10.668365,45,,13.45339,0.13131313,,8.992512,42.46364712715149,22.06214,1.0227572,,0.11,-0.1489067,0.013131313,10.2098255,0.94170964,12.7854,22.60364,2.086111,14.032633,9.1502495,11.216437,46.024075,900,0.09454659
