Iteration,TimestepsSoFar,Bound,LQGmu01,target_sum_log_mean,MISE,ReturnMax,DenMISELogLast,IWMin,TimeElapsed,ReturnAbsMax,IWLastEpisode,IWFirstEpisode,IWMax,ReturnLastEpisode,ReturnStepMax,ReturnMean,IWMean,LQGmu1,DenMISEMeanLog,LQGsigma,DenMISELogFirst,URet,ReturnMin
23,460,1.4231853e-05,0.001,-28.275375,1.4231853e-05,15.763994,-12.345834,,3.313143730163574,15.763994,5.863656e-07,5.8641816e-09,1.2884356e-05,10.3117285,0.9995132,12.491875,1.0875203e-06,0.01,-12.345833,1.0,-12.345835,11.322274335825451,
24,480,1.4267097e-05,0.001,-28.29631,1.4267097e-05,15.763994,-12.388394,,3.4630463123321533,15.763994,7.62387e-08,6.119152e-09,1.3444545e-05,11.095075,0.9995132,12.433674,1.0906971e-06,0.01,-12.388393,1.0,-12.388394,12.215480728891594,
25,500,1.45151e-05,0.001,-28.234922,1.45151e-05,15.763994,-12.429215,,3.618467092514038,15.763994,5.963759e-07,6.3741106e-09,1.4004722e-05,10.396541,0.9995132,12.352189,1.1145515e-06,0.01,-12.429215,1.0,-12.429216,11.48863160326307,
26,520,1.5199116e-05,0.001,-28.152138,1.5199116e-05,15.763994,-12.468435,,3.774106025695801,15.763994,1.2230714e-06,6.6290755e-09,1.4564898e-05,14.540933,0.9995132,12.436371,1.1615922e-06,0.01,-12.468436,1.0,-12.468437,16.035712578376604,
27,540,1.5776879e-05,0.001,-28.079752,1.5776879e-05,15.763994,-12.506176,,3.9314329624176025,15.763994,1.1319288e-06,6.8840427e-09,1.5125078e-05,13.781559,0.9995132,12.486193,1.2035151e-06,0.01,-12.506176,1.0,-12.506177,15.300674937888774,
28,560,1.5992657e-05,0.001,-28.053701,1.5992657e-05,16.297157,-12.542544,,4.09677529335022,16.297157,3.7073073e-07,7.139006e-09,1.5685262e-05,16.297157,0.9995132,12.622298,1.2167553e-06,0.01,-12.542543,1.0,-12.542545,17.974782749484014,
29,580,1.626281e-05,0.001,-28.013048,1.626281e-05,16.297157,-12.577636,,4.259768724441528,16.297157,6.177977e-07,7.3939708e-09,1.6245436e-05,12.681522,0.9995132,12.62434,1.2380583e-06,0.01,-12.577635,1.0,-12.577637,14.133659359739003,
30,600,1.6345151e-05,0.001,-28.008997,1.6345151e-05,16.297157,-12.611538,,4.426284551620483,16.297157,2.3121657e-07,7.648933e-09,1.6805618e-05,10.684184,0.9995132,12.559668,1.2457652e-06,0.01,-12.611537,1.0,-12.611538,11.727660674155402,
31,620,1.6345266e-05,0.001,-28.223576,1.6345266e-05,16.297157,-12.644327,,4.598496198654175,16.297157,2.7433997e-10,7.903893e-09,1.7365795e-05,13.3664255,0.9995132,12.585693,1.2457738e-06,0.01,-12.644326,1.0,-12.644327,14.713187623644883,
32,640,1.9491203e-05,0.001,-28.103666,1.9491203e-05,16.297157,-12.676068,,4.783181667327881,16.297157,8.208021e-06,8.158865e-09,1.7925984e-05,12.264834,0.9995132,12.575666,1.5022742e-06,0.01,-12.676075,1.0,-12.676076,13.696515553541447,
33,660,1.993102e-05,0.001,-28.04733,1.993102e-05,16.297157,-12.706846,,4.96152663230896,16.297157,1.320278e-06,8.413826e-09,1.8486146e-05,10.9933815,0.9995132,12.5277195,1.542282e-06,0.01,-12.706846,1.0,-12.706848,12.05967357747986,
34,680,1.9973682e-05,0.001,-28.072489,1.9973682e-05,16.297157,-12.736701,,5.148636817932129,16.297157,9.5321006e-08,8.668781e-09,1.904633e-05,15.218534,0.9995132,12.60686,1.5450853e-06,0.01,-12.736699,1.0,-12.736701,16.844975751384165,
35,700,2.0000853e-05,0.001,-28.110134,2.0000853e-05,16.297157,-12.765688,,5.3243348598480225,16.297157,6.026987e-08,8.923749e-09,1.9606505e-05,15.781403,0.9995132,12.697562,1.5468069e-06,0.01,-12.765687,1.0,-12.765689,17.432166191565713,
36,720,2.005787e-05,0.001,-28.115091,2.005787e-05,16.297157,-12.7938595,,5.502936363220215,16.297157,1.8650636e-07,9.178719e-09,2.0166684e-05,11.006647,0.9995132,12.650592,1.551987e-06,0.01,-12.793858,1.0,-12.7938595,12.197280797499777,
37,740,2.0059775e-05,0.001,-28.220673,2.0059775e-05,16.297157,-12.821259,,5.713379144668579,16.297157,4.5856563e-09,9.433684e-09,2.0726851e-05,15.413914,0.9995132,12.725276,1.5521106e-06,0.01,-12.821258,1.0,-12.821259,16.990658586731854,
38,760,2.0061043e-05,0.001,-28.318064,2.0061043e-05,16.297157,-12.847926,,5.898728132247925,16.297157,5.2052957e-09,9.688633e-09,2.1287024e-05,9.295015,0.9995132,12.635006,1.5522471e-06,0.01,-12.847924,1.0,-12.847926,10.21099203121593,
39,780,3.4953486e-05,0.001,-28.171469,3.4953486e-05,16.297157,-12.873842,,6.081348896026611,16.297157,5.9647722e-05,9.943623e-09,5.9647722e-05,9.737263,0.9995132,12.560705,3.0816757e-06,0.01,-12.873899,1.0,-12.873902,10.716865990241427,
40,800,3.664273e-05,0.001,-28.090504,3.664273e-05,16.297157,-12.899214,,6.267251968383789,16.297157,5.9412428e-06,1.0198572e-08,6.117705e-05,11.373197,0.9995132,12.531016,3.230204e-06,0.01,-12.899216,1.0,-12.8992195,12.60569255925827,
41,820,3.664312e-05,0.001,-28.219893,3.664312e-05,16.297157,-12.923912,,6.452777147293091,16.297157,1.286206e-09,1.0453535e-08,6.2706415e-05,13.203549,0.9995132,12.54742,3.2302328e-06,0.01,-12.923908,1.0,-12.923912,14.504650226411771,
42,840,3.9677143e-05,0.001,-28.128067,3.9677143e-05,16.297157,-12.947999,,6.661822319030762,16.297157,1.1026366e-05,1.07085185e-08,6.423571e-05,11.556868,0.9995132,12.523836,3.4927618e-06,0.01,-12.948007,1.0,-12.94801,12.76483471189879,
43,860,4.331695e-05,0.001,-28.035116,4.331695e-05,16.297157,-12.971526,,6.867019176483154,16.297157,1.4237072e-05,1.09634675e-08,6.576504e-05,10.993352,0.9995132,12.488244,3.823854e-06,0.01,-12.971537,1.0,-12.97154,12.172975689385868,
44,880,4.3618387e-05,0.001,-28.005903,4.3618387e-05,16.297157,-12.994529,,7.0693652629852295,16.297157,1.0622591e-06,1.1218429e-08,6.729438e-05,12.486958,0.9995132,12.4882145,3.847994e-06,0.01,-12.994526,1.0,-12.99453,13.82844392814032,
45,900,4.3623146e-05,0.001,-28.069248,4.3623146e-05,16.297157,-13.017003,,7.280168294906616,16.297157,1.7882229e-08,1.147341e-08,6.88237e-05,12.041399,0.9995132,12.478285,3.848388e-06,0.01,-13.016999,1.0,-13.017003,13.163332033561131,
46,920,4.3787386e-05,0.001,-28.057596,4.3787386e-05,16.297157,-13.038981,,7.509076118469238,16.297157,5.0723554e-07,1.1728346e-08,7.035301e-05,14.897333,0.9995132,12.530873,3.859412e-06,0.01,-13.038978,1.0,-13.038981,16.428015571692725,
47,940,4.5482506e-05,0.001,-27.99468,4.5482506e-05,16.297157,-13.060482,,7.712520360946655,16.297157,5.903075e-06,1.1983323e-08,7.188229e-05,13.496672,0.9995132,12.55142,3.9850065e-06,0.01,-13.060485,1.0,-13.060488,14.979007713589871,
48,960,4.7225465e-05,0.001,-27.935984,4.7225465e-05,16.297157,-13.081535,,7.9117491245269775,16.297157,5.582548e-06,1.2238286e-08,7.341155e-05,14.986776,0.9995132,12.602158,4.101306e-06,0.01,-13.081538,1.0,-13.081541,16.61774926848232,
49,980,5.1015722e-05,0.001,-27.861124,5.1015722e-05,16.297157,-13.102146,,8.133650064468384,16.297157,1.41524515e-05,1.249324e-08,7.49409e-05,13.123071,0.9995132,12.612788,4.390129e-06,0.01,-13.102156,1.0,-13.10216,14.524882189551404,
50,1000,5.1017396e-05,0.001,-27.941717,5.1017396e-05,16.297157,-13.122363,,8.342693567276001,16.297157,7.063118e-09,1.27482025e-08,7.6470154e-05,12.0502205,0.9995132,12.601538,4.3902673e-06,0.01,-13.122358,1.0,-13.122363,13.431821056038386,
51,1020,5.1018436e-05,0.001,-28.02315,5.1018436e-05,16.297157,-13.142166,,8.54833197593689,16.297157,5.8738983e-09,1.3003185e-08,7.7999444e-05,9.322998,0.9995132,12.537253,4.390379e-06,0.01,-13.142161,1.0,-13.142166,10.248430778495539,
52,1040,5.102499e-05,0.001,-28.070688,5.102499e-05,16.297157,-13.161584,,8.755739450454712,16.297157,2.9657539e-08,1.3258157e-08,7.952874e-05,11.534216,0.9995132,12.517963,4.390947e-06,0.01,-13.161579,1.0,-13.161584,12.788824496353266,
53,1060,5.105786e-05,0.001,-28.085402,5.105786e-05,16.297157,-13.180633,,8.967245101928711,16.297157,1.565721e-07,1.35131035e-08,8.1058024e-05,11.138468,0.9995132,12.491934,4.393898e-06,0.01,-13.180629,1.0,-13.180633,12.242134859979693,
54,1080,5.1080922e-05,0.001,-28.106316,5.1080922e-05,16.297157,-13.199325,,9.181795358657837,16.297157,1.1080569e-07,1.3768066e-08,8.2587256e-05,11.258611,0.9995132,12.469096,4.3959462e-06,0.01,-13.199321,1.0,-13.199325,12.463880677014966,
55,1100,5.111452e-05,0.001,-28.121485,5.111452e-05,16.297157,-13.217673,,9.396671295166016,16.297157,1.4846529e-07,1.4023024e-08,8.411653e-05,12.456576,0.9995132,12.468867,4.398643e-06,0.01,-13.2176695,1.0,-13.217673,13.816690432050914,
56,1120,5.113309e-05,0.001,-28.14413,5.113309e-05,16.297157,-13.235692,,9.632227182388306,16.297157,9.647295e-08,1.4278018e-08,8.564578e-05,10.801155,0.9995132,12.439087,4.4003623e-06,0.01,-13.235688,1.0,-13.235692,11.854846785556504,
57,1140,5.164416e-05,0.001,-28.111294,5.164416e-05,16.297157,-13.253389,,9.858145713806152,16.297157,2.2176298e-06,1.4532964e-08,8.717505e-05,13.136755,0.9997542,12.451327,4.4392655e-06,0.01,-13.2533865,1.0,-13.253391,14.649537723497208,
58,1160,5.254329e-05,0.001,-28.067987,5.254329e-05,16.297157,-13.270779,,10.09583830833435,16.297157,4.423173e-06,1.4787949e-08,8.8704306e-05,11.790558,0.9997542,12.439935,4.515524e-06,0.01,-13.27078,1.0,-13.270783,12.978609580932204,
59,1180,5.2544903e-05,0.001,-28.136044,5.2544903e-05,16.297157,-13.287878,,10.319209098815918,16.297157,6.8740054e-09,1.5042902e-08,9.023354e-05,14.13913,0.9997542,12.468735,4.515637e-06,0.01,-13.287874,1.0,-13.287878,15.59599197340914,
60,1200,5.3029613e-05,0.001,-28.108564,5.3029613e-05,16.297157,-13.304683,,10.544302940368652,16.297157,1.8829128e-06,1.5297873e-08,9.1762784e-05,15.4466305,0.9997542,12.518367,4.5470156e-06,0.01,-13.304682,1.0,-13.304685,17.112529406016034,
61,1220,5.3313604e-05,0.001,-28.087418,5.3313604e-05,16.297157,-13.321213,,10.771756649017334,16.297157,1.3745987e-06,1.5552834e-08,9.329205e-05,12.603333,0.9997542,12.519759,4.569548e-06,0.01,-13.321209,1.0,-13.321215,13.947814542280529,
62,1240,5.3384858e-05,0.001,-28.088457,5.3384858e-05,16.297157,-13.337475,,11.000178098678589,16.297157,3.683347e-07,1.5807792e-08,9.4821306e-05,11.998865,0.9997542,12.511357,4.575486e-06,0.01,-13.337469,1.0,-13.337475,13.224730748028223,
63,1260,5.345944e-05,0.001,-28.08721,5.345944e-05,16.297157,-13.353475,,11.236000061035156,16.297157,4.3133753e-07,1.6062764e-08,9.635054e-05,10.897805,0.9997542,12.485745,4.58233e-06,0.01,-13.353471,1.0,-13.353476,12.121976476194531,
64,1280,5.589207e-05,0.001,-28.03105,5.589207e-05,16.297157,-13.369208,,11.475204706192017,16.297157,1.4758005e-05,1.6317706e-08,9.787969e-05,10.549629,0.9997542,12.455494,4.812919e-06,0.01,-13.369219,1.0,-13.369224,11.565966192345778,
65,1300,5.5944598e-05,0.001,-28.033005,5.5944598e-05,16.297157,-13.3847275,,11.713738679885864,16.297157,3.8369697e-07,1.6572681e-08,9.9408935e-05,8.901925,0.9997542,12.400825,4.81882e-06,0.01,-13.384723,1.0,-13.3847275,9.771174767744437,
66,1320,5.94541e-05,0.001,-27.972742,5.94541e-05,16.297157,-13.399972,,11.951017379760742,16.297157,2.3566721e-05,1.6827661e-08,0.000100938196,9.828644,0.9997542,12.361852,5.175889e-06,0.01,-13.399989,1.0,-13.399995,10.876086045818493,
67,1340,5.94609e-05,0.001,-28.009874,5.94609e-05,16.297157,-13.415033,,12.191037654876709,16.297157,3.9555434e-08,1.708262e-08,0.00010246733,11.609231,0.9997542,12.350618,5.1764746e-06,0.01,-13.415029,1.0,-13.415033,12.802595996607716,
68,1360,5.9460872e-05,0.001,-28.171488,5.9460872e-05,16.297157,-13.429848,,12.469420909881592,16.297157,7.856475e-12,1.7337571e-08,0.00010399653,13.266552,0.9997542,12.364087,5.1764714e-06,0.01,-13.429843,1.0,-13.429848,14.783653326957833,
69,1380,5.95286e-05,0.001,-28.167883,5.95286e-05,16.297157,-13.444447,,12.738729000091553,16.297157,5.152848e-07,1.7592537e-08,0.00010552579,9.072407,0.9997542,12.316382,5.1839365e-06,0.01,-13.44444,1.0,-13.444447,9.956842143947856,
70,1400,5.9635073e-05,0.001,-28.161612,5.9635073e-05,16.297157,-13.458835,,12.988327264785767,16.297157,6.3474323e-07,1.7847507e-08,0.00010705498,11.746233,0.9997542,12.308237,5.1930015e-06,0.01,-13.458829,1.0,-13.458836,12.93688314927959,
71,1420,6.025301e-05,0.001,-28.132544,6.025301e-05,16.297157,-13.473017,,13.240818500518799,16.297157,3.2894436e-06,1.8102476e-08,0.000108584165,13.338361,0.9997542,12.322745,5.2393275e-06,0.01,-13.473016,1.0,-13.473021,14.66378312177018,
72,1440,6.0302005e-05,0.001,-28.141254,6.0302005e-05,16.297157,-13.487006,,13.506497144699097,16.297157,2.3292048e-07,1.8357412e-08,0.000110113346,15.157773,0.9997542,12.362121,5.24256e-06,0.01,-13.487001,1.0,-13.487006,16.787056003167866,
73,1460,6.0761144e-05,0.001,-28.114017,6.0761144e-05,16.297157,-13.500796,,13.776334285736084,16.297157,3.2002374e-06,1.8612388e-08,0.000111642556,10.473888,0.9997542,12.336255,5.2863957e-06,0.01,-13.500795,1.0,-13.5008,11.533787536120176,
74,1480,6.2297026e-05,0.001,-28.070642,6.2297026e-05,16.297157,-13.514394,,14.04539680480957,16.297157,1.1310262e-05,1.8867379e-08,0.00011317163,10.049147,0.9997542,12.305348,5.4392326e-06,0.01,-13.5144,1.0,-13.514405,11.074706700440418,
75,1500,6.2380546e-05,0.001,-28.070036,6.2380546e-05,16.297157,-13.527828,,14.323995590209961,16.297157,5.056788e-07,1.9122323e-08,0.00011470086,12.391506,0.9997542,12.306498,5.445972e-06,0.01,-13.527823,1.0,-13.527828,13.805532017386037,
76,1520,6.2623476e-05,0.001,-28.05213,6.2623476e-05,16.297157,-13.541072,,14.589781761169434,16.297157,1.910694e-06,1.9377312e-08,0.00011623002,9.6645975,0.9997542,12.271735,5.471109e-06,0.01,-13.541069,1.0,-13.541074,10.687165739910384,
77,1540,6.2623454e-05,0.001,-28.165306,6.2623454e-05,16.297157,-13.554146,,14.853844404220581,16.297157,8.298887e-11,1.9632257e-08,0.00011775913,11.29404,0.9997542,12.259038,5.471107e-06,0.01,-13.55414,1.0,-13.554146,12.481271133347555,
78,1560,6.2633604e-05,0.001,-28.187838,6.2633604e-05,16.297157,-13.567049,,15.13087272644043,16.297157,7.8822026e-08,1.9887217e-08,0.000119288336,10.078904,0.9997542,12.231087,5.4721145e-06,0.01,-13.567043,1.0,-13.567049,11.046891915102826,
79,1580,6.2686944e-05,0.001,-28.190151,6.2686944e-05,16.297157,-13.579788,,15.410204887390137,16.297157,3.7709538e-07,2.0142185e-08,0.00012081746,11.180347,0.9997542,12.217787,5.4768843e-06,0.01,-13.579782,1.0,-13.579788,12.346137734342804,
80,1600,6.26876e-05,0.001,-28.24823,6.26876e-05,16.297157,-13.592367,,15.677592515945435,16.297157,4.3893973e-09,2.0397152e-08,0.0001223467,12.536377,0.9997542,12.221769,5.476937e-06,0.01,-13.592361,1.0,-13.592367,13.953992038631144,
81,1620,6.9958696e-05,0.001,-28.18838,6.9958696e-05,16.297157,-13.604733,,15.950265884399414,16.297157,5.568763e-05,2.0652118e-08,0.0001238758,10.576169,0.9997542,12.201453,6.164434e-06,0.01,-13.604783,1.0,-13.60479,11.686001999994067,
82,1640,7.0129354e-05,0.001,-28.17877,7.0129354e-05,16.297157,-13.617059,,16.229668140411377,16.297157,1.0329147e-06,2.090708e-08,0.00012540488,13.551266,0.9999757,12.217915,6.177027e-06,0.01,-13.617054,1.0,-13.61706,15.072332781370438,
83,1660,7.972388e-05,0.001,-28.117846,7.972388e-05,16.297157,-13.629106,,16.502830743789673,16.297157,7.538518e-05,2.1162041e-08,0.00012693407,10.563738,0.9999757,12.197985,7.0852793e-06,0.01,-13.629174,1.0,-13.629181,11.67135895329707,
84,1680,7.987622e-05,0.001,-28.111666,7.987622e-05,16.297157,-13.641156,,16.796717166900635,16.297157,8.6756796e-07,2.1417007e-08,0.00012846316,14.753759,0.9999757,12.22841,7.0956025e-06,0.01,-13.641151,1.0,-13.641157,16.370248257260204,
85,1700,7.989242e-05,0.001,-28.13028,7.989242e-05,16.297157,-13.652991,,17.075565576553345,16.297157,1.0801285e-07,2.1671944e-08,0.00012999232,12.789573,0.9999757,12.235011,7.0968686e-06,0.01,-13.652985,1.0,-13.652991,14.102337450669797,
86,1720,7.9994934e-05,0.001,-28.126228,7.9994934e-05,16.297157,-13.664687,,17.352969884872437,16.297157,7.3948877e-07,2.1926946e-08,0.00013152149,11.925786,0.9999757,12.231416,7.1054646e-06,0.01,-13.664681,1.0,-13.664688,13.204703156366602,
87,1740,7.999532e-05,0.001,-28.184696,7.999532e-05,16.297157,-13.676249,,17.673514127731323,16.297157,3.2761018e-09,2.21819e-08,0.0001330505,12.027555,0.9999757,12.229073,7.1054956e-06,0.01,-13.676242,1.0,-13.676249,13.34492569650015,
88,1760,8.4303036e-05,0.001,-28.13781,8.4303036e-05,16.297157,-13.687646,,17.95871925354004,16.297157,3.1330896e-05,2.2436868e-08,0.0001345797,12.099337,0.9999757,12.227599,7.461525e-06,0.01,-13.687669,1.0,-13.687677,13.27322227965216,
89,1780,0.00010337172,0.001,-28.073505,0.00010337172,16.297157,-13.6988125,,18.244473457336426,16.297157,0.0001639608,2.2691824e-08,0.0001639608,10.35074,0.9999757,12.20651,9.303776e-06,0.01,-13.698966,1.0,-13.6989765,11.439061073458713,
90,1800,0.00010344754,0.001,-28.076267,0.00010344754,16.297157,-13.71015,,18.528489351272583,16.297157,4.509214e-07,2.2946788e-08,0.00016580272,15.1532345,0.9999757,12.239252,9.308777e-06,0.01,-13.71014,1.0,-13.71015,16.72505883918553,
91,1820,0.00010405085,0.001,-28.051977,0.00010405085,16.297157,-13.721194,,18.8184494972229,16.297157,5.31535e-06,2.3201782e-08,0.00016764471,10.3302,0.9999757,12.218274,9.36718e-06,0.01,-13.72119,1.0,-13.7212,11.418548873665003,
92,1840,0.000104211606,0.001,-28.042704,0.000104211606,16.297157,-13.732127,,19.11247181892395,16.297157,1.4175719e-06,2.345675e-08,0.00016948665,10.438266,0.9999757,12.198927,9.382581e-06,0.01,-13.7321205,1.0,-13.732129,11.46282703149863,
