MountainCar_std0_higher,MountainCar_mu0_higher,ActionIn1,AvgEpLen,TimeElapsed,MountainCar_mu1_higher,NumTrajectories,MountainCar_std1_higher,MinEpLen,Iteration,Regret/t,ReturnMean,ReturnLastEpisode,GridSize,Regret
0.14999999,-0.05263158,9.77572,459.34195121951217,3624.226781845093,10.0,2050,1.5,175,2050,2.784160452948324,2.215839547051677,-0.01683892441043986,400,5707.528928544065
0.14999999,-0.36842105,12.693474,459.29692832764505,3627.1211898326874,10.0,2051,1.5,175,2051,2.784240281494067,2.215759718505934,2.052111199733202,400,5710.476817344332
0.14999999,0.2631579,9.966741,459.2714424951267,3629.743748188019,10.0,2052,1.5,175,2052,2.784672975206254,2.2153270247937473,1.3278722210993208,400,5714.148945123233
0.14999999,0.05263158,10.795424,459.2406234778373,3632.8747289180756,10.0,2053,1.5,175,2053,2.7849776782127518,2.2150223217872496,1.5897717524526414,400,5717.55917337078
0.14999999,0.2631579,11.267109,459.3218111002921,3635.660150527954,10.0,2054,1.5,175,2054,2.7861101765575182,2.213889823442483,-0.11112927836239875,400,5722.670302649142
0.14999999,0.05263158,10.579456,459.2335766423358,3637.969292163849,10.0,2055,1.5,175,2055,2.784276871910302,2.2157231280896994,5.981330873471696,400,5721.68897177567
0.14999999,0.05263158,9.1549425,459.2650778210117,3641.05385017395,10.0,2056,1.5,175,2056,2.785149280434429,2.2148507195655722,0.42205120248439887,400,5726.266920573186
0.14999999,0.05263158,13.283879,459.25717063684976,3643.791117668152,10.0,2057,1.5,175,2057,2.7859912235260538,2.2140087764739476,0.4829737800941247,400,5730.783946793093
0.14999999,0.15789473,9.259326,459.29203109815353,3646.2369577884674,10.0,2058,1.5,175,2058,2.786842659208129,2.2131573407918723,0.4617541427633837,400,5735.322192650329
0.14999999,0.15789473,10.833742,459.2311801845556,3649.399767637253,10.0,2059,1.5,175,2059,2.7863832454991684,2.213616754500833,3.1590901675413336,400,5737.1631024827875
0.14999999,0.05263158,9.3096285,459.2004854368932,3652.1871247291565,10.0,2060,1.5,175,2060,2.7865874543998053,2.213412545600196,1.7929464191884934,400,5740.370156063599
