LQGmu1_actor,TimeElapsed,LQGsigma_higher,ReturnMean,Regret,ReturnLastEpisode,Regret/t,Iteration,LQGmu1_higher
-0.3977043,83.03774619102478,0.14999999,0.9516591637642974,11.91284006859761,0.9554074632547287,0.013460836235703514,885,-0.35353535
-0.6938597,83.30123805999756,0.14999999,0.9516635028813487,11.922456447125786,0.9555036214718244,0.013456497118652128,886,-0.7171717
-0.8005625,83.53727126121521,0.14999999,0.9516675954576752,11.932282829042906,0.9552936180828797,0.013452404542325712,887,-0.7171717
-0.059589863,83.74772953987122,0.14999999,0.9516674449108747,11.945868919143972,0.951533909898933,0.013452555089126095,888,-0.45454547
-0.7482615,83.98375201225281,0.14999999,0.951671556240764,11.955666501961547,0.9553224171824252,0.013448443759236836,889,-0.7777778
-1.0827997,84.22036290168762,0.14999999,0.9516748211242613,11.966209199408278,0.95457730255327,0.013445178875739637,890,-0.7979798
-0.65558934,84.52599453926086,0.14999999,0.9516790654029257,11.97587272599401,0.9554564734142675,0.013440934597075209,891,-0.7777778
-0.3792724,84.77752995491028,0.14999999,0.9516826199934647,11.986142965830329,0.9548497601636823,0.013437380006536243,892,-0.53535354
-0.36816818,85.06790018081665,0.14999999,0.951686141845417,11.99643533204343,0.9548276337868987,0.013433858154583908,893,-0.35353535
-0.40331194,85.35101985931396,0.14999999,0.951688502063273,12.007759155434686,0.9537961766087433,0.013431497936727836,894,-0.35353535
-1.1850145,85.63938212394714,0.14999999,0.9516913295023698,12.018660095379914,0.9542190600547704,0.01342867049763119,895,-0.97979796
-0.889604,85.88718032836914,0.14999999,0.9516950331776222,12.028770272851466,0.9550098225284482,0.013424966822378868,896,-0.7979798
-0.16247585,86.14288854598999,0.14999999,0.9516956484186768,12.041643368447863,0.9522469044036025,0.013424351581324262,897,-0.35353535
-0.96517915,86.38810586929321,0.14999999,0.951699720079984,12.051411368175282,0.9553520002725813,0.013420279920017018,898,-0.959596
-1.0000654,86.64990019798279,0.14999999,0.9517035270214248,12.061409207740056,0.9551221604352258,0.013416472978576257,899,-0.8181818
-1.4501247,86.95157241821289,0.14999999,0.9517054964601261,12.073053185887467,0.953476021852588,0.013414503539874964,900,-0.8989899
0.09700936,87.22414970397949,0.14999999,0.9515653778423094,12.21271456408011,0.825458621807356,0.013554622157691577,901,-0.15151516
-0.7708178,87.47600269317627,0.14999999,0.9515695794729625,12.22247931538875,0.9553552486913607,0.013550420527038524,902,-0.7979798
-0.3732602,87.73969411849976,0.14999999,0.9515738779937215,12.232148171670483,0.955451143718267,0.013546122006279604,903,-0.41414142
-0.056277096,87.97054433822632,0.14999999,0.951573017084231,12.2464725558561,0.9507956158143828,0.013546982915770021,904,-0.27272728
0.11086914,88.27956628799438,0.14999999,0.9514260797381723,12.392997836955075,0.8185947189010241,0.013693920261828812,905,-0.27272728
-0.933797,88.5222704410553,0.14999999,0.9514301975203836,12.402961046533486,0.9551567904215891,0.013689802479617534,906,-0.7979798
-0.724195,88.77327585220337,0.14999999,0.9514346497965379,12.41261263454114,0.9554684119923454,0.013685350203463221,907,-0.3939394
-0.40303192,89.06241607666016,0.14999999,0.9514385293969271,12.422775307591262,0.9549573269498778,0.013681470603074078,908,-0.45454547
-0.59607816,89.31875538825989,0.14999999,0.9514428609533914,12.432519393368166,0.9553759142230959,0.013677139046609643,909,-0.33333334
-0.66635936,89.65053749084473,0.14999999,0.9514474194423712,12.442048307443214,0.9555910859249515,0.013672580557629906,910,-0.61616164
-0.91713244,89.93785762786865,0.14999999,0.9514515573010782,12.451951298718676,0.9552170087245377,0.013668442698922806,911,-0.75757575
-0.21509132,90.19066715240479,0.14999999,0.9514553604755372,12.462151246310961,0.954920052407715,0.013664639524463774,912,-0.47474748
-0.070133924,90.49005222320557,0.14999999,0.9514565979521791,12.474686069661566,0.9525851766493951,0.013663402047822086,913,-0.2929293
-0.9126298,90.79558181762695,0.14999999,0.9514607114882401,12.484589699749577,0.9552163699119882,0.013659288511761025,914,-0.9191919
-0.67296386,91.07914662361145,0.14999999,0.9514649510375367,12.494369800654965,0.9553398990946118,0.013655048962464443,915,-0.8181818
-0.9148004,91.35510087013245,0.14999999,0.951468952872439,12.504359168846928,0.9551306318080375,0.01365104712756215,916,-0.97979796
-0.42717516,91.62904143333435,0.14999999,0.951473198018678,12.514117416873386,0.9553617519735416,0.013646801981323212,917,-0.25252524
-0.306728,91.88374495506287,0.14999999,0.951477087504142,12.524193671198761,0.955043745674626,0.013642912495859217,918,-0.25252524
-0.69549656,92.14163947105408,0.14999999,0.9514815935922267,12.533695488744748,0.9556181824540134,0.013638406407774481,919,-0.9191919
-0.21469052,92.40877842903137,0.14999999,0.9514850774566282,12.544128739903151,0.9546867488415969,0.01363492254337299,920,-0.07070707
