Regret,IWMean,ReturnMean,ReturnStepMax,DenMISEMeanLog,ReturnLastEpisode,DenMISELogFirst,DenMISELogLast,IWMin,ReturnAbsMax,TimeElapsed,Bound,IWLastEpisode,Regret/t,Iteration,TimestepsSoFar,ReturnMin,LQGmu1_higher,IWFirstEpisode,Delta,IWMax,LQGmu1_actor,LQGsigma_higher,ReturnMax
307.04785,,11.003169,19.194605,4.2681103,16.675007,-4.817431,5.014907,,17.405956,118.01388430595398,10221.604,,6.3968306,48,960,,-0.020408163,,5.277145e-07,,-0.020425847,4.539993e-05,17.405956
312.09973,,11.030617,19.194605,4.265164,12.348145,-4.8380504,5.1134777,,17.405956,120.28989291191101,10224.67,,6.369383,49,980,,-0.14285715,,5.063948e-07,,-0.1428761,4.539993e-05,17.405956
313.037,,11.13926,19.194605,4.261702,16.462751,-4.858253,5.081986,,17.405956,123.02983617782593,10238.056,,6.2607393,50,1000,,-0.06122449,,4.8634166e-07,,-0.06116554,4.539993e-05,17.405956
315.5935,,11.211891,19.194605,4.243166,14.84348,-4.878056,4.3064756,,17.405956,125.777752161026,10248.152,,6.1881084,51,1020,,-0.10204082,,4.6745637e-07,,-0.10202754,4.539993e-05,17.405956
317.62585,0.39981544,11.29181,19.194605,4.2403517,15.367675,-4.897474,5.0871506,,17.405956,128.41094279289246,7967.509,,6.1081896,52,1040,,1.0,,4.496502e-07,20.790403,1.0000052,0.00013791275,17.405956
335.02582,0.5310845,11.078757,19.194605,4.2497034,,-4.916522,5.3901825,,17.405956,130.90925550460815,7804.4204,,6.3212423,53,1060,,0.9591837,,4.3284237e-07,28.147476,0.9590768,0.00013791275,17.405956
351.69592,0.33176556,10.887112,19.194605,4.232946,0.72993505,-4.935214,3.9094913,,17.405956,133.40290665626526,7650.5454,,6.512888,54,1080,,0.9183673,,4.1695958e-07,17.91534,0.918425,0.00013791275,17.405956
367.67114,0.32927573,10.71507,19.194605,4.230138,1.424837,-4.953563,4.782857,,17.405956,136.10343289375305,7505.8916,,6.68493,55,1100,,0.877551,,4.0193527e-07,18.110165,0.8776827,0.00013791275,17.405956
382.97998,0.39234757,10.561071,19.194605,4.205524,2.091094,-4.971582,3.5581393,,17.405956,138.85100603103638,7370.0913,,6.838928,56,1120,,0.8367347,,3.8770855e-07,21.971464,0.83697957,0.00013791275,17.405956
397.6535,0.36779946,10.423622,19.194605,4.161418,2.7265267,-4.9892817,2.351672,,17.405956,141.4573676586151,7260.771,,6.9763775,57,1140,,-1.0,,3.7422413e-07,20.96457,-0.99996936,0.00013791275,17.405956
397.854,1.2083752,10.540447,19.194605,4.166457,17.19941,-5.0066733,5.1318026,,17.405956,143.82917165756226,7253.6978,,6.8595524,58,1160,,0.79591835,,3.6143112e-07,70.08576,0.7958324,0.00013791275,17.405956
411.91583,0.4448276,10.418375,19.194605,4.163267,3.3382282,-5.0237675,4.1774554,,17.405956,146.21835923194885,7149.6367,,6.9816246,59,1180,,-0.9591837,,3.4928303e-07,26.244827,-0.9591815,0.00013791275,17.405956
