DenMISELogFirst,Regret/t,MountainCar_std0_higher,Delta,ReturnStepMax,ReturnMean,BoundBonus,IWLastEpisode,ReturnMin,NumTrainableParams,IWMax,MountainCar_mu1_higher,ReturnMax,MinEpLen,Iteration,AvgEpLen,TimeElapsed,BoundMISE,IWMean,ActionIn1,NumTrajectories,Regret,IWMin,DenMISELogLast,ReturnAbsMax,Bound,MountainCar_std1_higher,ReturnLastEpisode,MountainCar_mu0_higher,DenMISEMeanLog,TimestepsSoFar,IWFirstEpisode,GridSize
-3.3627813,-41.962685,0.14999999,6.5675695e-06,121.76868,46.962685,5959.201,1.2872571e-23,-121.76868,,4.609599,,98.904526,110,33,552.939393939394,10.616906642913818,-0.11528571,0.31155267,-2.0029144,33,-1384.7686,,-3.6553016,121.76868,5959.086,1.5,-73.44058,-0.33333334,-3.6355624,18247,3.0449889,16
-3.304374,-40.57228,0.14999999,6.186923e-06,121.76868,45.57228,6155.259,1.5139482e-33,-121.76868,,117.8442,13.333333,98.904526,110,34,566.0588235294117,11.088557481765747,-181.09038,3.489399,15.571852,34,-1379.4575,,-3.5993333,121.76868,5974.1685,1.5,-0.31107187,1.0,-3.6547694,19246,3.5185732e-32,16
-3.3333614,-37.056618,0.14999999,5.8384353e-06,121.76868,42.056618,4362.9375,7.685758e-20,-121.76868,,15.14661,20.0,98.904526,110,35,578.4285714285714,11.588646650314331,74.52369,0.7939952,19.765715,35,-1296.9816,,-4.212326,121.76868,4437.4614,1.5,-77.47601,-0.33333334,-3.6554387,20245,,16
-3.3615322,-38.515762,0.14999999,5.5185833e-06,121.76868,43.515762,4373.125,3.2370947e-20,-121.76868,,11.781099,6.6666665,98.904526,110,36,567.5,11.73003101348877,33.20154,0.36620405,5.128986,36,-1386.5674,,-3.923543,121.76868,4406.3267,1.5,94.58582,-1.0,-3.6708384,20430,5.202275e-14,16
-3.3889313,-39.73179,0.14999999,5.224312e-06,121.76868,44.73179,4383.005,0.0005375406,-121.76868,,1.8956113,13.333333,98.904526,110,37,560.972972972973,11.930286169052124,10.662025,0.114327595,10.082943,37,-1470.0762,,-4.466028,121.76868,4393.667,1.5,88.50881,-1.0,-3.7102916,20756,7.3570807e-29,16
-3.4155996,-40.847076,0.14999999,4.9529667e-06,121.76868,45.847076,4392.61,3.249404e-28,-121.76868,,1.5235529,20.0,98.904526,110,38,554.6052631578947,12.135693550109863,4.4088273,0.048544418,19.293018,38,-1552.189,,-3.3454022,121.76868,4397.0186,1.5,87.11279,0.33333334,-3.7237098,21075,,16
-3.441575,-42.170662,0.14999999,4.7022245e-06,121.76868,47.170662,4087.8342,6.8176767e-35,-121.76868,,0.56566775,,98.904526,110,39,546.6923076923077,12.305760383605957,-0.37115484,0.047658253,0.32867205,39,-1644.6558,,-3.282225,121.76868,4087.4631,1.5,97.466805,0.33333334,-3.7364752,21321,0.26501217,16
-3.4601207,-40.967216,0.14999999,4.4700523e-06,121.76868,45.967216,736.37476,,-121.76868,,35.582047,20.0,98.904526,110,40,558.0,12.818349123001099,131.98712,1.5120701,20.272284,40,-1638.6887,,-3.3063004,121.76868,868.3619,1.5,-0.9669587,-0.33333334,-3.7492204,22320,,16
-3.4848132,-42.083317,0.14999999,4.2546603e-06,121.76868,47.083317,748.27405,0.00015136298,-121.76868,,32.378418,13.333333,98.904526,110,41,548.829268292683,12.96095085144043,93.29361,0.9678861,13.673335,41,-1725.416,,-3.2331398,121.76868,841.5676,1.5,91.72736,-0.33333334,-3.7313452,22502,2.4686797e-21,16
-3.508911,-43.295498,0.14999999,4.0544687e-06,121.76868,48.295498,749.73065,0.00023107958,-121.76868,,36.590965,6.6666665,98.904526,110,42,545.6428571428571,13.209586381912231,91.50053,1.0257732,8.109874,42,-1818.4109,,-4.4319773,121.76868,841.2312,1.5,97.99469,-0.33333334,-3.7535713,22917,1.8378837e-06,16
-3.5324411,-44.431465,0.14999999,3.868082e-06,121.76868,49.431465,740.6855,0.00028651694,-121.76868,,35.911533,6.6666665,98.904526,110,43,551.7209302325581,13.627318620681763,94.6188,1.119953,6.8436713,43,-1910.553,,-3.8305783,121.76868,835.30426,1.5,97.14208,-1.0,-3.7602682,23724,6.171883e-14,16
-3.5554307,-45.346645,0.14999999,3.6942577e-06,121.76868,50.346645,752.53455,9.052897e-19,-121.76868,,42.927418,13.333333,98.904526,110,44,546.7272727272727,13.844894409179688,77.191086,1.0200984,13.53583,44,-1995.2524,,-3.1000504,121.76868,829.72565,1.5,89.699615,0.33333334,-3.7480583,24056,2.1310503e-22,16
-3.5779035,-46.341362,0.14999999,3.5318933e-06,121.76868,51.341362,743.3825,0.0008187558,-121.76868,,11.245029,20.0,98.904526,110,45,543.4888888888889,14.083738803863525,28.496653,0.29550523,18.860596,45,-2085.3613,,-3.450131,121.76868,771.87915,1.5,95.10894,0.33333334,-3.7472994,24457,,16
-3.5998826,-47.266136,0.14999999,3.3800018e-06,121.76868,52.266136,744.68286,1.3161467e-14,-121.76868,,5.3494816,13.333333,98.904526,110,46,539.0869565217391,14.291016340255737,20.128138,0.22353226,12.738369,46,-2174.2422,,-3.263901,121.76868,764.811,1.5,93.88066,-1.0,-3.7524667,24798,9.08492e-29,16
-3.6213887,-48.073658,0.14999999,3.2377015e-06,121.76868,53.073658,756.4922,6.717163e-17,-121.76868,,43.923176,6.6666665,98.904526,110,47,534.4468085106383,14.490736246109009,-0.276028,0.9721022,6.669379,47,-2259.462,,-4.006888,121.76868,756.2162,1.5,90.219635,0.33333334,-3.7743511,25119,1.6543461e-07,16
-3.6424422,-46.88509,0.14999999,3.1042032e-06,121.76868,51.88509,752.12823,4.4695153e-06,-121.76868,,5.8381042,,98.904526,110,48,544.125,15.03302812576294,-0.14458762,0.39076188,1.1711417,48,-2250.4844,,-3.815549,121.76868,751.98364,1.5,-3.9775398,-0.33333334,-3.7813008,26118,4.0275497,16
-3.582489,-45.793312,0.14999999,2.9787932e-06,121.76868,50.793312,746.7495,0.010337959,-121.76868,,14.037713,,98.904526,110,49,553.4081632653061,15.543391704559326,-0.6437221,0.33116367,1.55622,49,-2243.8723,,-3.8665059,121.76868,746.1058,1.5,-1.6120342,0.33333334,-3.7956343,27117,0.30511528,16
-3.5964842,-44.542004,0.14999999,2.8608335e-06,121.76868,49.542004,754.8735,0.001249323,-121.76868,,32.618145,6.6666665,98.904526,110,50,562.32,16.0298433303833,-64.22378,0.9004357,5.510086,50,-2227.1,,-4.95666,121.76868,690.6497,1.5,-11.77214,1.0,-3.8327262,28116,3.4246455e-17,16
-3.6162868,-42.88152,0.14999999,2.7497433e-06,121.76868,47.88152,534.6035,1.0170106e-32,-121.76868,,24.009043,20.0,98.904526,110,51,570.8823529411765,16.529760599136353,126.428,1.3528056,17.893934,51,-2186.9575,,-5.514621,121.76868,661.0315,1.5,-35.14265,-0.33333334,-3.8709257,29115,,16
-3.635705,-43.816547,0.14999999,2.6450014e-06,121.76868,48.816547,757.1893,3.5093545e-15,-121.76868,,50.29901,13.333333,98.904526,110,52,564.2307692307693,16.71138834953308,-100.78317,1.7548692,14.397701,52,-2278.4604,,-3.8000834,121.76868,656.4061,1.5,96.50294,1.0,-3.866098,29340,4.9007338e-32,16
-3.6547532,-41.30286,0.14999999,2.5461316e-06,121.76868,46.30286,540.0088,6.2762716e-05,-121.76868,,25.928635,13.333333,98.904526,110,53,572.433962264151,17.210177898406982,95.88358,1.0206105,9.747031,53,-2189.0515,,-3.7643964,121.76868,635.8924,1.5,-84.4089,0.33333334,-3.8590348,30339,2.3535815e-22,16
-3.6734452,-42.26783,0.14999999,2.4527033e-06,121.76868,47.26783,540.7919,0.020912822,-121.76868,,25.14049,6.6666665,98.904526,110,54,567.7592592592592,17.432019472122192,95.72313,0.98795456,3.8088863,54,-2282.463,,-3.3332307,121.76868,636.515,1.5,98.41132,-0.33333334,-3.8521135,30659,2.1665767e-06,16
-3.6917944,-41.325733,0.14999999,2.3643252e-06,121.76868,46.325733,541.55945,6.053476e-07,-121.76868,,23.203423,13.333333,98.904526,110,55,575.6,17.926981449127197,93.304436,0.9610238,15.618099,55,-2272.9153,,-4.63529,121.76868,634.8639,1.5,-4.5475745,-0.33333334,-3.869013,31658,3.0363773e-21,16
-3.7098129,-42.192467,0.14999999,2.2806387e-06,121.76868,47.192467,538.4944,1.5903728e-11,-121.76868,,25.484612,6.6666665,98.904526,110,56,571.1785714285714,18.14161515235901,84.737755,0.9481005,6.9136963,56,-2362.778,,-4.6653404,121.76868,623.2321,1.5,94.862885,-1.0,-3.8860931,31986,7.369692e-14,16
