DenMISELogFirst,ReturnMax,IWMean,DenMISEMeanLog,AvgEpLen,Delta,ReturnLastEpisode,GridSize,MountainCar_std0_higher,IWLastEpisode,MountainCar_mu0_higher,Regret,ReturnMean,MountainCar_std1_higher,TimestepsSoFar,ReturnAbsMax,Iteration,DenMISELogLast,ActionIn1,ReturnStepMax,Bound,NumTrajectories,TimeElapsed,BoundMISE,NumTrainableParams,MinEpLen,BoundBonus,ReturnMin,IWMin,IWMax,MountainCar_mu1_higher,IWFirstEpisode,Regret/t
-3.3294594,98.57077,2.4830007e-07,-2.6162374,568.3636363636364,0.00010048381,-67.47115,9,0.14999999,7.050396e-21,,-311.28104,33.298275,1.5,6252,98.57077,11,-2.9658697,18.470299,98.57077,955245300000.0,11,3.2345566749572754,2.444198e-05,,112,955245300000.0,-72.9058,,2.6840182e-06,20.0,,-28.298275
-3.4164708,98.57077,6.0427846e-10,-2.806631,552.5833333333334,8.443432e-05,94.22086,9,0.14999999,1.4377693e-18,-1.0,-400.50192,38.37516,1.5,6631,98.57077,12,-3.943838,4.9230785,98.57077,402575430000.0,12,3.4489216804504395,2.8380635e-08,,112,402575430000.0,-72.9058,,2.8646374e-09,10.0,4.0849255e-10,-33.37516
-3.4965134,98.57077,0.0003798505,-3.1991224,540.6923076923077,7.1944036e-05,85.68775,9,0.14999999,9.727896e-15,,-481.1897,42.01459,1.5,7029,98.57077,13,-6.948504,1.9286822,98.57077,680949060.0,13,3.651445150375366,-0.0031402074,,112,680949060.0,-72.9058,,0.004937878,,0.004937878,-37.01459
-3.5702417,98.57077,1.0000027,-3.3704913,573.4285714285714,6.203337e-05,-0.7744318,9,0.14999999,3.5678953e-05,,-475.41528,38.958233,1.5,8028,98.57077,14,-4.635263,8.333863,98.57077,613.85333,14,4.1273109912872314,77.69825,,112,536.1551,-72.9058,,13.999998,10.0,2.6533931e-12,-33.958233
-3.6392345,98.57077,0.9999992,-3.428029,565.3333333333334,5.403797e-05,98.17019,9,0.14999999,2.786753e-12,,-568.58545,42.905697,1.5,8480,98.57077,15,-3.9608085,20.588255,98.57077,614.2293,15,4.376034736633301,74.26942,,112,539.9599,-72.9058,,14.999987,20.0,,-37.905697
-3.703773,98.57077,0.98216915,-3.3948133,540.8125,4.74943e-05,97.72773,9,0.14999999,4.304124e-19,-1.0,-661.3132,46.332073,1.5,8653,98.57077,16,-2.6216447,8.840395,98.57077,611.0383,16,4.4839255809783936,67.54346,,112,543.4949,-72.9058,,15.714664,10.0,5.4444976e-10,-41.332073
-3.7643976,98.57077,0.9997496,-3.3952885,536.0588235294117,4.2071075e-05,82.39271,9,0.14999999,2.2820484e-22,,-738.7059,48.453285,1.5,9113,98.57077,17,-3.117091,-1.6374485,98.57077,546.18115,17,4.722819089889526,-0.61357677,,112,546.79474,-72.9058,,16.989286,,0.0064547732,-43.453285
-3.8211765,98.57077,1.0000025,-3.4436655,561.7777777777778,3.7526363e-05,-1.1305234,9,0.14999999,6.60553e-26,1.0,-732.5753,45.698627,1.5,10112,98.57077,18,-3.9875903,10.881169,98.57077,496.70355,18,5.2540717124938965,-53.184204,,112,549.88776,-72.9058,,17.999996,10.0,9.476215e-34,-40.698627
-3.8752437,98.57077,0.9999943,-3.4320686,584.7894736842105,3.368017e-05,-49.926826,9,0.14999999,2.066996e-09,1.0,-677.6485,40.66571,1.5,11111,98.57077,19,-2.943272,1.5692832,98.57077,495.3297,19,5.729049205780029,-57.46785,,112,552.79755,-72.9058,,18.999891,,2.0039057e-24,-35.66571
-3.926537,98.57077,0.99999887,-3.431926,605.5,3.0396353e-05,-40.773144,9,0.14999999,4.055361e-15,,-631.87537,36.59377,1.5,12110,98.57077,20,-3.1477816,10.163555,98.57077,491.19916,20,6.219783782958984,98.370224,,112,392.82892,-72.9058,,9.999998,10.0,3.78912e-12,-31.59377
-3.975327,98.57077,0.9999995,-3.394473,591.6666666666666,2.7570388e-05,98.28303,9,0.14999999,2.1508613e-09,,-725.1584,39.531353,1.5,12425,98.57077,21,-2.4805472,20.784811,98.57077,490.6416,21,6.396313905715942,95.97426,,112,394.66736,-72.9058,,10.499998,20.0,,-34.531353
-4.0218472,98.57077,1.0000001,-3.3602636,572.2727272727273,2.5120953e-05,97.52789,9,0.14999999,3.4074452e-09,1.0,-817.6863,42.167557,1.5,12590,98.57077,22,-2.4758728,20.346914,98.57077,484.90247,22,6.507807493209839,88.49022,,112,396.41223,-72.9058,,11.000001,20.0,,-37.167557
-4.066299,98.57077,0.99550337,-3.336108,559.695652173913,2.2984013e-05,82.91362,9,0.14999999,,-1.0,-895.59985,43.939125,1.5,12873,98.57077,23,-2.6376736,8.200326,98.57077,481.72736,23,6.668234348297119,83.654945,,112,398.07242,-72.9058,,11.5,10.0,7.823495e-10,-38.939125
-4.1088586,98.57077,0.9999995,-3.3123872,555.7083333333334,2.110858e-05,85.32612,9,0.14999999,2.5086414e-10,,-975.926,45.663586,1.5,13337,98.57077,24,-2.595868,9.145319,98.57077,424.65848,24,6.908593416213989,98.34116,,112,326.31732,-72.9058,,8.0,10.0,4.5469444e-12,-40.663586
-4.1496806,98.57077,0.99999976,-3.315371,555.76,1.9453666e-05,97.43302,9,0.14999999,8.027724e-11,,-1068.359,47.73436,1.5,13894,98.57077,25,-3.2703025,23.960554,98.57077,424.0445,25,7.208895206451416,96.49214,,112,327.55234,-72.9058,,8.333334,20.0,,-42.73436
-4.1889014,98.57077,1.0000001,-3.4321198,540.3076923076923,1.7986009e-05,89.94963,9,0.14999999,2.2133582e-13,-1.0,-1153.3086,49.358025,1.5,14048,98.57077,26,-6.233368,19.572195,98.57077,420.27426,26,7.327061414718628,91.539764,,112,328.7345,-72.9058,,8.666668,20.0,2.2024651e-38,-44.358025
-4.2266417,98.57077,1.0000005,-3.405095,528.2592592592592,1.6678383e-05,89.40106,9,0.14999999,3.7195842e-34,1.0,-1237.7097,50.8411,1.5,14263,98.57077,27,-2.5842483,21.532887,98.57077,416.49945,27,7.478595018386841,86.631386,,112,329.86807,-72.9058,,9.0,20.0,,-45.8411
-4.263009,98.57077,0.55528814,-3.371946,518.1071428571429,9.122555e-06,78.56662,16,0.14999999,5.6298212e-36,-0.33333334,-1311.2764,51.8313,1.5,14507,98.57077,28,-2.3580413,6.0996037,98.57077,40991.277,28,7.629910230636597,53.006336,,112,40938.27,-72.9058,,12.117699,6.6666665,0.0007344625,-46.8313
-4.2980742,98.57077,0.038138036,-3.427177,514.5862068965517,8.504261e-06,95.45127,16,0.14999999,0.0012822418,-0.33333334,-1401.7275,53.335434,1.5,14923,98.57077,29,-4.467716,10.287,98.57077,41065.31,29,8.138441324234009,3.740781,,112,41061.566,-72.9058,,0.54703623,13.333333,1.7621043e-16,-48.335434
-4.331976,98.57077,0.026994742,-3.531008,514.3,7.94676e-06,94.46924,16,0.14999999,7.0710953e-06,0.33333334,-1491.1968,54.70656,1.5,15429,98.57077,30,-5.5968175,13.255254,98.57077,41183.266,30,8.411035776138306,2.6393056,,112,41180.625,-72.9058,,0.5313384,13.333333,2.10856e-24,-49.70656
-4.3647656,98.57077,0.0071646105,-3.5808823,505.258064516129,7.4423347e-06,97.17496,16,0.14999999,0.001584385,0.33333334,-1583.3718,56.07651,1.5,15663,98.57077,31,-4.1202197,6.074796,98.57077,41295.918,31,8.580320358276367,0.681087,,112,41295.24,-72.9058,,0.1929084,6.6666665,9.405714e-12,-51.07651
-4.3965144,98.57077,0.0069370763,-3.6279318,520.6875,6.984457e-06,-5.505718,16,0.14999999,0.0190215,0.33333334,-1572.8661,54.152065,1.5,16662,98.57077,32,-4.109403,-0.753718,98.57077,4957.3257,32,9.083168983459473,-0.061027873,,112,4957.3867,-72.9058,,0.102183424,,1.10582945e-07,-49.152065
-4.427286,98.57077,0.05247668,-3.64572,535.1818181818181,6.5675695e-06,-0.014680253,16,0.14999999,6.5464973e-28,1.0,-1567.8514,52.51065,1.5,17661,98.57077,33,-3.2371755,13.024129,98.57077,4967.4453,33,9.595330476760864,-2.7696838,,112,4970.215,-72.9058,,1.4088829,13.333333,,-47.51065
-4.457139,98.57077,0.2390448,-3.6986637,548.8235294117648,6.186923e-06,-47.04647,16,0.14999999,0.023820633,1.0,-1515.8049,49.582497,1.5,18660,98.57077,34,-4.512201,6.5020847,98.57077,4967.16,34,10.106613874435425,-15.477681,,112,4982.6377,-72.9058,,6.259632,6.6666665,3.1483374e-28,-44.582497
-4.4861264,98.57077,1.838363,-3.761104,561.6857142857143,5.8384353e-06,-94.09865,16,0.14999999,6.868855e-24,-0.33333334,-1416.7063,45.47732,1.5,19659,98.57077,35,-5.1215553,-0.72478485,98.57077,4978.467,35,10.605180025100708,-3.9870157,,112,4982.4536,-94.09865,,33.848614,,10.456253,-40.47732
-4.252895,98.57077,9.233292,-3.7472868,573.8333333333334,5.5185833e-06,-1.5990839,16,0.14999999,1.380985e-09,-1.0,-1410.1072,44.169643,1.5,20658,98.57077,36,-3.67845,4.0841074,98.57077,4559.1733,36,11.079253196716309,471.5231,,112,4087.6501,-94.09865,,327.82126,6.6666665,0.00016583972,-39.169643
-4.280289,98.57077,0.043101072,-3.7491443,571.2972972972973,5.224312e-06,90.79451,16,0.14999999,9.15664e-06,-1.0,-1495.9019,45.42978,1.5,21138,98.57077,37,-5.2659483,10.623298,98.57077,4100.5444,37,11.350794076919556,3.6580665,,112,4096.886,-94.09865,,1.029268,13.333333,3.9483796e-17,-40.42978
-4.3069577,98.57077,0.6209004,-3.7689795,561.0526315789474,4.9529667e-06,93.05123,16,0.14999999,2.7835885e-26,0.33333334,-1583.953,46.682972,1.5,21320,98.57077,38,-3.5588205,19.8775,98.57077,3612.706,38,11.498549222946167,56.9235,,112,3555.7825,-94.09865,,15.055026,20.0,,-41.682972
-4.332933,98.57077,0.07628814,-3.777073,550.9230769230769,4.7022245e-06,95.34719,16,0.14999999,0.0033121197,-0.33333334,-1674.3003,47.93078,1.5,21486,98.57077,39,-3.6396563,19.567013,98.57077,3570.7712,39,11.633036136627197,7.435508,,112,3563.3357,-94.09865,,2.21802,20.0,1.1151809e-37,-42.93078
-4.358251,98.57077,1.9162775,-3.7803283,541.2,4.4700523e-06,97.61682,16,0.14999999,5.8604944e-23,-1.0,-1766.9171,49.172928,1.5,21648,98.57077,40,-2.9944983,4.906909,98.57077,746.0729,40,11.772294044494629,147.8959,,112,598.17694,-94.09865,,36.041706,6.6666665,0.00018426556,-44.172928
-4.382939,98.57077,1.4576119,-3.7700455,552.3658536585366,4.2546603e-06,-16.413538,16,0.14999999,0.026821032,-0.33333334,-1745.5035,47.573257,1.5,22647,98.57077,41,-3.7691789,8.072027,98.57077,727.23956,41,12.264490842819214,121.517685,,112,605.72186,-94.09865,,39.8313,6.6666665,0.0008280461,-42.573257
-4.4070163,98.57077,1.1269693,-3.7584991,556.1904761904761,4.0544687e-06,98.496666,16,0.14999999,1.5711645e-14,0.33333334,-1839.0,48.785713,1.5,23360,98.57077,42,-3.4172711,18.84134,98.57077,704.26465,42,12.627053022384644,105.81876,,112,598.44586,-94.09865,,27.257336,20.0,,-43.785713
-4.4305468,98.57077,0.76671606,-3.7728052,550.0697674418604,3.868082e-06,95.3433,16,0.14999999,1.5725462e-07,-0.33333334,-1929.3433,49.868446,1.5,23653,98.57077,43,-4.3177967,11.479166,98.57077,680.6432,43,12.832324981689453,72.59312,,112,608.05005,-94.09865,,30.915266,13.333333,2.0117032e-16,-44.868446
-4.4535365,98.57077,0.578749,-3.7966623,545.0227272727273,3.6942577e-06,94.71532,16,0.14999999,8.548938e-06,0.33333334,-2019.0586,50.887695,1.5,23981,98.57077,44,-4.423133,14.798911,98.57077,663.2651,44,13.051217079162598,54.094448,,112,609.17065,-94.09865,,23.532286,13.333333,2.3811045e-24,-45.887695
-4.4760094,98.57077,0.31197944,-3.8068888,536.6444444444444,3.5318933e-06,96.58036,16,0.14999999,4.6204747e-17,-1.0,-2110.6392,51.90309,1.5,24149,98.57077,45,-3.740089,11.282615,98.57077,632.5685,45,13.204942464828491,28.699059,,112,603.86945,-94.09865,,12.190202,13.333333,4.8019684e-17,-46.90309
-4.497988,98.57077,0.23849468,-3.8112109,532.7173913043479,3.3800018e-06,90.60025,16,0.14999999,5.6780575e-10,-0.33333334,-2196.2395,52.744335,1.5,24505,98.57077,46,-3.297082,19.540367,98.57077,626.0865,46,13.425596237182617,23.27166,,112,602.8148,-94.09865,,7.673045,20.0,1.3153082e-37,-47.744335
-4.519494,98.57077,0.9835091,-3.80983,524.6382978723404,3.2377015e-06,95.733696,16,0.14999999,3.997481e-18,0.33333334,-2286.9731,53.659004,1.5,24658,98.57077,47,-2.9814816,7.4179955,98.57077,609.5413,47,13.565836429595947,-2.8330386,,112,612.3744,-94.09865,,45.49507,6.6666665,1.097969e-11,-48.659004
-4.540548,99.02983,0.058936287,-3.8209848,523.5,3.1042032e-06,99.02983,16,0.14999999,3.0717078e-05,0.33333334,-2381.003,54.60423,1.5,25128,99.02983,48,-4.0482326,1.4402658,99.02983,611.8846,48,13.857063293457031,-0.05871567,,112,611.9433,-94.09865,,2.591736,,1.2771476e-07,-49.60423
-4.561167,99.02983,1.736998,-3.83809,533.204081632653,2.9787932e-06,-3.2372544,16,0.14999999,0.0019862496,-0.33333334,-2372.7656,53.42379,1.5,26127,99.02983,49,-3.726942,-1.5148575,99.02983,609.16364,49,14.34959101676941,-3.752492,,112,612.91614,-94.09865,,31.387035,,11.271084,-48.42379
-4.3743377,99.02983,0.5692747,-3.8300102,542.52,2.8608335e-06,-0.95424736,16,0.14999999,1.1232524e-33,1.0,-2366.8115,52.33623,1.5,27126,99.02983,50,-3.871304,14.577026,99.02983,586.8761,50,14.91948413848877,-27.033764,,112,613.90985,-94.09865,,26.082916,13.333333,,-47.33623
-4.3941402,99.02983,1.2697116,-3.8592153,551.4705882352941,2.7497433e-06,-47.16444,16,0.14999999,0.00029130102,0.33333334,-2314.647,50.385235,1.5,28125,99.02983,51,-4.795978,20.336136,99.02983,554.56036,51,15.583162069320679,119.787636,,112,434.77274,-94.09865,,24.599072,20.0,,-45.385235
-4.413558,99.02983,0.9676343,-3.8443997,543.9230769230769,2.6450014e-06,94.029625,16,0.14999999,1.983095e-21,-0.33333334,-2403.6768,51.224552,1.5,28284,99.02983,52,-3.1875792,4.3214407,99.02983,531.19403,52,15.727444410324097,92.67533,,112,438.51868,-94.09865,,25.622757,6.6666665,0.0008537923,-46.224552
-4.43259,99.02983,1.1781212,-3.8518608,546.8490566037735,2.5461316e-06,96.5899,16,0.14999999,3.4085105e-17,1.0,-2495.2666,52.0805,1.5,28983,99.02983,53,-4.094658,8.305809,99.02983,529.7727,53,16.096068382263184,-86.933235,,112,616.70593,-94.09865,,51.53746,6.6666665,3.071994e-28,-47.0805
-4.451282,99.02983,0.928725,-3.8554857,555.2222222222222,2.4527033e-06,-45.619976,16,0.14999999,2.0027676e-16,-0.33333334,-2444.6465,50.271233,1.5,29982,99.02983,54,-3.9303334,12.594871,99.02983,527.8028,54,16.57985806465149,87.99737,,112,439.80542,-94.09865,,26.298908,13.333333,2.0538548e-16,-45.271233
-4.469631,99.02983,0.9075338,-3.8530767,551.4363636363636,2.3643252e-06,95.536575,16,0.14999999,0.026748016,0.33333334,-2535.183,51.09424,1.5,30329,99.02983,55,-3.5066032,13.246022,99.02983,523.0852,55,16.80198073387146,82.6555,,112,440.42972,-94.09865,,27.378819,13.333333,2.4197364e-24,-46.09424
-4.48765,99.02983,1.5261747,-3.852224,545.8214285714286,2.2806387e-06,97.23569,16,0.14999999,3.586452e-17,-1.0,-2627.419,51.918194,1.5,30566,99.02983,56,-3.5787096,7.806346,99.02983,522.6946,56,17.011364698410034,83.98195,,112,438.71262,-94.09865,,26.941307,6.6666665,0.00020972083,-46.918194
-4.5053453,99.02983,0.5730177,-3.8442724,546.0526315789474,2.2013185e-06,84.32203,16,0.14999999,0.24200267,-1.0,-2706.741,52.486683,1.5,31125,99.02983,57,-3.672833,13.798876,99.02983,491.4953,57,17.336148023605347,52.185364,,112,439.30994,-94.09865,,18.177856,13.333333,4.9449208e-17,-47.486683
-4.5227375,99.02983,1.2585629,-3.851519,541.5172413793103,2.1260653e-06,91.79569,16,0.14999999,2.3877685e-19,0.33333334,-2793.5366,53.164425,1.5,31408,99.02983,58,-3.783931,21.276573,99.02983,477.92877,58,17.548803567886353,118.54272,,112,359.38605,-94.09865,,18.834475,20.0,,-48.164425
-4.5398316,99.02983,0.33883014,-3.8382223,537.0169491525423,2.0546058e-06,95.3037,16,0.14999999,0.01406032,-0.33333334,-2883.8403,53.87865,1.5,31684,99.02983,59,-3.194117,20.499302,99.02983,472.51715,59,17.74069380760193,32.824463,,112,439.6927,-94.09865,,8.407813,20.0,1.3715181e-37,-48.87865
-4.5566387,99.02983,1.0606436,-3.8384845,530.6333333333333,1.98669e-06,94.23153,16,0.14999999,1.095129e-18,-0.33333334,-2973.0718,54.551197,1.5,31838,99.02983,60,-3.1828616,5.8851757,99.02983,463.84723,60,17.88527011871338,101.824425,,112,362.0228,-94.09865,,19.725597,6.6666665,0.0009851251,-49.551197
-4.5731516,99.02983,0.6042165,-3.83909,529.8524590163935,1.9220863e-06,95.82958,16,0.14999999,3.2605722e-06,0.33333334,-3063.9014,55.22789,1.5,32321,99.02983,61,-3.8339515,8.398747,99.02983,452.16025,61,18.160892486572266,8.224415,,112,443.93582,-94.09865,,29.973892,6.6666665,1.1584926e-11,-50.22789
-4.589412,99.02983,0.9398125,-3.8457553,530.5483870967741,1.8605837e-06,97.28067,16,0.14999999,7.918817e-05,-0.33333334,-3156.1821,55.906162,1.5,32894,99.02983,62,-3.7685206,11.630675,99.02983,452.23856,62,18.4804048538208,89.312744,,112,362.9258,-94.09865,,20.242636,13.333333,2.358082e-16,-50.906162
-4.6054125,99.02983,0.95145065,-3.8567996,527.3333333333334,1.8019862e-06,94.64492,16,0.14999999,1.4156494e-06,0.33333334,-3245.827,56.52106,1.5,33222,99.02983,63,-4.375344,13.026492,99.02983,450.51993,63,18.694079399108887,87.15427,,112,363.36566,-94.09865,,20.928383,13.333333,2.7716391e-24,-51.52106
-4.621161,99.02983,0.50332236,-3.8665216,523.9375,1.7461142e-06,96.333145,16,0.14999999,1.1935417e-16,0.33333334,-3337.1602,57.143127,1.5,33532,99.02983,64,-4.326601,2.5243807,99.02983,442.47665,64,18.909561157226562,-1.5102195,,112,443.98688,-94.09865,,28.711662,,1.3843648e-07,-52.143127
-4.6366653,99.02983,0.50935954,-3.9043171,531.2461538461539,1.1068314e-06,-18.116764,25,0.14999999,0.008166994,,-3314.0435,55.985283,1.5,34531,99.02983,65,-5.7550583,4.2910414,99.02983,5317.9346,65,19.400078296661377,29.763838,,112,5288.171,-94.09865,,12.833742,5.0,8.924192e-05,-50.985283
-4.6519313,99.02983,0.17891969,-3.9179146,534.8484848484849,1.073545e-06,98.68451,25,0.14999999,2.545116e-06,0.5,-3407.7278,56.63224,1.5,35300,99.02983,66,-4.2904534,12.07601,99.02983,5294.918,66,20.903059720993042,0.84633476,,112,5294.072,-94.09865,,4.1833305,10.0,3.3748016e-20,-51.63224
-4.6669693,99.02983,2.3353136,-3.93374,532.179104477612,1.0417382e-06,94.6344,25,0.14999999,1.9240778e-09,-0.5,-3497.3623,57.199436,1.5,35656,99.02983,67,-4.161272,9.946947,99.02983,5178.443,67,21.162951946258545,221.21533,,112,4957.2275,-94.09865,,103.356636,10.0,2.7538036e-08,-52.199436
-4.681784,99.02983,0.6982946,-3.927002,532.3529411764706,1.011324e-06,95.90316,25,0.14999999,0.0051419605,,-3588.2656,57.768612,1.5,36200,99.02983,68,-4.133013,16.487467,99.02983,5027.791,68,21.506553888320923,67.45313,,112,4960.338,-94.09865,,24.119371,15.0,1.0409266e-23,-52.768612
-4.696383,99.02983,0.43967456,-3.9463148,528.3913043478261,9.822227e-07,95.22655,25,0.14999999,2.265453e-17,0.5,-3678.4922,58.31148,1.5,36459,99.02983,69,-4.8979506,6.2776804,99.02983,1271.262,69,21.74256944656372,-5.827478,,112,1277.0895,-94.09865,,22.648678,5.0,4.084888e-13,-53.31148
-4.7107716,99.02983,1.2173914,-3.9492004,535.1142857142858,9.543596e-07,-4.4900384,25,0.14999999,5.4053267e-05,-0.5,-3669.002,57.414314,1.5,37458,99.02983,70,-3.5473292,4.1822567,99.02983,1219.763,70,22.27866268157959,112.59997,,112,1107.163,-94.09865,,24.88555,5.0,0.33310595,-52.414314
-4.720209,99.02983,0.38565385,-3.9511387,540.8028169014085,9.276656e-07,97.85921,25,0.14999999,1.520187e-10,-0.5,-3761.8613,57.983963,1.5,38397,99.02983,71,-4.1699257,15.149351,99.02983,1144.9158,71,22.803333044052124,36.62025,,112,1108.2955,-94.09865,,11.656439,15.0,3.7491842e-20,-52.983963
-4.734195,99.02983,0.59947497,-3.961853,536.8611111111111,9.020761e-07,94.64225,25,0.14999999,1.8386531e-08,0.5,-3851.5034,58.493103,1.5,38654,99.02983,72,-4.094732,12.652983,99.02983,1126.5309,72,23.01340389251709,17.119995,,112,1109.4109,-94.09865,,17.955168,15.0,4.72992e-32,-53.493103
-4.7479887,99.02983,0.3556749,-3.9802306,543.1917808219179,8.775309e-07,-35.92518,25,0.14999999,0.73991925,1.0,-3810.5781,57.1997,1.5,39653,99.02983,73,-4.8642707,17.684374,99.02983,831.5494,73,23.555628061294556,-15.5827875,,112,847.13214,-94.09865,,19.152105,15.0,,-52.1997
-4.7615943,99.02983,1.1267174,-3.9977746,549.3513513513514,8.539741e-07,-83.50753,25,0.14999999,,-0.5,-3722.0706,55.298252,1.5,40652,99.02983,74,-4.608955,-1.0732305,99.02983,827.849,74,24.086659908294678,-6.8941236,,112,834.7431,-94.09865,,60.6439,,60.6439,-50.298252
-4.176449,99.02983,1.7743764,-3.996529,555.3466666666667,8.3135325e-07,-4.3592,25,0.14999999,3.4273173e-10,-0.5,-3712.7114,54.50282,1.5,41651,99.02983,75,-3.8056748,8.187005,99.02983,811.12695,75,24.61713719367981,168.97073,,112,642.1562,-94.09865,,44.869118,10.0,1.686175e-08,-49.50282
-4.189694,99.02983,1.1711937,-3.9948466,554.2631578947369,8.096195e-07,94.40638,25,0.14999999,0.10981013,-1.0,-3802.1182,55.02787,1.5,42124,99.02983,76,-4.357059,0.6224816,99.02983,763.1198,76,24.931400775909424,69.42946,,112,693.69037,-94.09865,,42.239983,5.0,0.010247452,-50.02787
-4.2026315,99.02983,1.0883664,-3.9980104,560.038961038961,7.88727e-07,-13.817571,25,0.14999999,1.5096179e-32,1.0,-3783.3003,54.13377,1.5,43123,99.02983,77,-4.228026,6.786834,99.02983,759.7656,77,25.518415689468384,-90.6224,,112,850.388,-94.09865,,56.020638,5.0,1.6066722e-26,-49.13377
-4.2155347,99.02983,0.6257985,-4.004542,565.6666666666666,7.6863284e-07,-88.69728,25,0.14999999,,-1.0,-3689.603,52.302605,1.5,44122,99.02983,78,-4.3954697,13.228987,99.02983,752.3737,78,26.033602952957153,57.40035,,112,694.9734,-94.09865,,41.27818,15.0,1.1724466e-21,-47.302605
-4.228274,99.02983,1.025172,-4.00541,563.8227848101266,7.49297e-07,84.42112,25,0.14999999,1.1380331e-18,,-3769.0244,52.70917,1.5,44542,99.02983,79,-3.5985713,8.404096,99.02983,722.3063,79,26.31928515434265,77.10453,,112,645.2017,-94.09865,,28.314222,5.0,5.932074e-05,-47.70917
-4.240852,99.02983,0.73199385,-4.0035768,561.5375,7.306816e-07,98.235275,25,0.14999999,0.001725644,,-3862.2598,53.278248,1.5,44923,99.02983,80,-3.8024864,16.7236,99.02983,715.5933,80,26.58856511116028,70.48845,,112,645.10486,-94.09865,,20.888462,15.0,6.697693e-24,-48.278248
-4.2532744,99.02983,0.09859031,-4.0114803,560.2345679012345,7.1275144e-07,94.073395,25,0.14999999,0.010424225,-0.5,-3951.333,53.78189,1.5,45379,99.02983,81,-4.328776,17.96196,99.02983,706.1733,81,26.906121492385864,9.345537,,112,696.82776,-94.09865,,1.7814257,20.0,4.5344843e-37,-48.78189
