MinEpLen,Iteration,ActionIn1,GridSize,Regret,Regret/t,MountainCar_mu0_higher,ReturnMean,MountainCar_std1_higher,AvgEpLen,ReturnLastEpisode,NumTrajectories,MountainCar_mu1_higher,TimeElapsed,MountainCar_std0_higher
258,25,10.921391,400,1360.244194908059,54.409767796322356,-0.6163876,0.5902322036776487,1.5,434.32,5.233479094718588,25,8.256767,3.6893482208251953,0.14999999
258,26,8.472421,400,1414.766736169016,54.414105237269844,-0.6163876,0.5858947627301607,1.5,434.5769230769231,0.47745873904296054,26,8.256767,3.8737823963165283,0.14999999
258,27,5.4945254,400,1470.6162038209452,54.467266808183155,-0.6163876,0.5327331918168516,1.5,437.0,-0.8494676519291825,27,8.256767,4.063603401184082,0.14999999
258,28,6.690892,400,1525.3277386855946,54.475990667342664,-0.6163876,0.5240093326573466,1.5,438.60714285714283,0.2884651353507083,28,8.256767,4.265101194381714,0.14999999
258,29,6.7410564,400,1580.7486760356587,54.50857503571237,-0.6163876,0.49142496428763716,1.5,440.7241379310345,-0.42093735006422717,29,8.256767,4.460201978683472,0.14999999
258,30,7.012127,400,1635.1342021356547,54.504473404521825,-0.6163876,0.4955265954781807,1.5,441.1,0.614473900003943,30,8.256767,4.633659601211548,0.14999999
258,31,7.083981,400,1690.444032282937,54.53045265428829,-0.6163876,0.4695473457117111,1.5,443.0,-0.30983014728237657,31,8.256767,4.822815656661987,0.14999999
258,32,9.781936,400,1742.5897093568267,54.455928417400834,-0.6163876,0.5440715825991702,1.5,439.53125,2.854322926110402,32,8.256767,4.96559739112854,0.14999999
258,33,7.025252,400,1797.7512850194707,54.477311667256686,-0.6163876,0.522688332743318,1.5,441.3030303030303,-0.16157566264395173,33,8.256767,5.171431541442871,0.14999999
258,34,6.7462916,400,1853.0448626842594,54.50131949071351,-0.6163876,0.4986805092864934,1.5,443.02941176470586,-0.29357766478872166,34,8.256767,5.362840890884399,0.14999999
258,35,8.75871,400,1907.297685660547,54.49421959030134,-0.6163876,0.5057804096986663,1.5,442.9714285714286,0.7471770237125439,35,8.256767,5.533673524856567,0.14999999
258,36,8.349136,400,1962.1242828719285,54.50345230199801,-0.6163876,0.4965476980019948,1.5,443.8888888888889,0.17340278861849234,36,8.256767,5.737667798995972,0.14999999
