MountainCar_mu1_higher,ReturnMean,TimeElapsed,AvgEpLen,MountainCar_std1_higher,ActionIn1,Regret,MountainCar_std0_higher,NumTrajectories,MinEpLen,GridSize,MountainCar_mu0_higher,Iteration,Regret/t,ReturnLastEpisode
0.10526316,-10.309040474163186,2.0982418060302734,496.6923076923077,7.389056,4.547625,146.56408616412148,1.105171,13,457,400,-1.5789474,13,11.27416047416319,-5.127079849480769
1.3684211,-13.217433793904693,2.262125015258789,496.92857142857144,7.389056,5.530875,198.55575311466575,1.105171,14,457,400,2.0,14,14.182553793904697,-51.02654695054428
1.1578947,-12.853207646054123,2.4140353202819824,491.2,7.389056,5.0498857,207.2749146908119,1.105171,15,411,400,-2.0,15,13.818327646054126,-7.754041576146138
-0.94736844,-13.067641265088083,2.5677552223205566,491.75,7.389056,-8.69174,224.5241802414094,1.105171,16,411,400,-0.94736844,16,14.032761265088087,-16.284145550597486
2.0,-12.675382397213838,2.7517449855804443,492.2352941176471,7.389056,12.475572,231.88854075263532,1.105171,17,411,400,-0.31578946,17,13.640502397213842,-6.399240511225924
1.3684211,-12.41692842828618,2.9292056560516357,492.6666666666667,7.389056,1.9768584,240.87687170915132,1.105171,18,411,400,-1.3684211,18,13.382048428286184,-8.023210956515998
-0.10526316,-10.873908692345573,3.0189921855926514,475.63157894736844,7.389056,14.540387,224.94154515456594,1.105171,19,169,400,-2.0,19,11.839028692345575,16.90044655458536
0.10526316,-10.536432475278191,3.202760696411133,476.85,7.389056,-17.578886,230.03104950556389,1.105171,20,169,400,-2.0,20,11.501552475278194,-4.124384350997937
-0.94736844,-10.26733122315747,3.3789222240448,477.95238095238096,7.389056,-2.4128573,235.8814756863069,1.105171,21,169,400,-2.0,21,11.232451223157472,-4.885306180743042
-0.5263158,-9.896441206508744,3.553922653198242,478.95454545454544,7.389056,-5.049462,238.95434654319243,1.105171,22,169,400,-1.5789474,22,10.861561206508746,-2.107750856885505
-2.0,-9.677666493197346,3.726257085800171,479.8695652173913,7.389056,-9.028269,244.78408934353905,1.105171,23,169,400,-0.31578946,23,10.64278649319735,-4.8646228003466225
-0.31578946,-9.35481668450301,3.9340925216674805,480.7083333333333,7.389056,4.0701075,247.6784804280723,1.105171,24,169,400,-2.0,24,10.319936684503013,-1.9292710845332637
-1.5789474,-9.833058293385895,4.086385488510132,477.76,7.389056,11.915749,269.95445733464743,1.105171,25,169,400,-2.0,25,10.798178293385897,-21.31085690657511
1.5789474,-9.55472715443875,4.254969835281372,475.1923076923077,7.389056,3.8618667,273.5160260154076,1.105171,26,169,400,-2.0,26,10.519847154438754,-2.5964486807601332
-1.1578947,-9.37222808673395,4.45335054397583,476.1111111111111,7.389056,-13.511591,279.1083983418168,1.105171,27,169,400,-1.7894737,27,10.337348086733956,-4.627252326409187
-2.0,-9.576158982300887,4.65316915512085,476.9642857142857,7.389056,-5.9252176,295.155811504425,1.105171,28,169,400,0.31578946,28,10.541278982300893,-15.082293162608208
-0.31578946,-9.258313186599151,4.846402645111084,477.7586206896552,7.389056,-5.405938,296.47956241137547,1.105171,29,169,400,-1.1578947,29,10.223433186599154,-0.35863090695048344
-0.94736844,-9.32175536799954,5.0309178829193115,478.5,7.389056,-3.6520782,308.6062610399863,1.105171,30,169,400,-0.10526316,30,10.286875367999544,-11.1615786286108
0.31578946,-10.058920696882376,5.21324896812439,479.19354838709677,7.389056,-1.4405117,341.74526160335375,1.105171,31,169,400,0.31578946,31,11.024040696882379,-32.17388056336748
-0.10526316,-9.676760975356878,5.353925943374634,474.34375,7.389056,8.967105,340.54019121142017,1.105171,32,169,400,-1.7894737,32,10.64188097535688,2.1701903919335983
0.7368421,-9.395801174241013,5.538400650024414,475.1212121212121,7.389056,-2.9243162,341.91039874995346,1.105171,33,169,400,-0.7368421,33,10.360921174241014,-0.4050875385333182
-0.31578946,-9.97736023777731,5.72538685798645,475.8529411764706,7.389056,-3.9671738,372.04432808442857,1.105171,34,169,400,0.10526316,34,10.94248023777731,-29.1688093344751
0.5263158,-11.722769293269192,5.91379451751709,476.54285714285714,7.389056,8.083748,444.07612526442176,1.105171,35,169,400,1.5789474,35,12.687889293269194,-71.06667717999319
-1.5789474,-11.441612347396818,6.107120990753174,477.19444444444446,7.389056,2.0619836,446.64236450628545,1.105171,36,169,400,-0.10526316,36,12.406732347396819,-1.6011192418637112
-2.0,-11.132613766795687,6.310767650604248,477.81081081081084,7.389056,-4.371973,447.61614937144043,1.105171,37,169,400,-0.10526316,37,12.097733766795688,-0.008664865155009102
-2.0,-11.403105124606963,6.517199277877808,478.39473684210526,7.389056,-1.4345453,469.9925547350646,1.105171,38,169,400,1.3684211,38,12.368225124606962,-21.411285363624135
1.5789474,-11.001119455816031,6.669803142547607,473.8205128205128,7.389056,13.654812,466.6833387768252,1.105171,39,169,400,0.5263158,39,11.966239455816032,4.2743359582393605
-1.1578947,-10.81965314205308,6.882003307342529,474.475,7.389056,-2.9294405,471.39092568212317,1.105171,40,169,400,-2.0,40,11.78477314205308,-3.742466905297941
1.3684211,-10.735220547768137,7.087218523025513,475.0975609756098,7.389056,-5.811839,479.71396245849365,1.105171,41,169,400,-2.0,41,11.700340547768137,-7.357916776370496
1.7894737,-10.827862491987176,7.288833141326904,475.6904761904762,7.389056,-8.766073,495.30526466346146,1.105171,42,169,400,-2.0,42,11.792982491987178,-14.62618220496779
-1.7894737,-10.795358767679627,7.473373651504517,476.25581395348837,7.389056,2.832619,505.70058701022396,1.105171,43,169,400,-2.0,43,11.760478767679627,-9.43020234676252
-0.94736844,-10.679308147092366,7.644885301589966,474.3181818181818,7.389056,10.707918,512.3548384720641,1.105171,44,169,400,-1.3684211,44,11.644428147092366,-5.689131461840135
0.94736844,-10.572671582408425,7.837363243103027,474.8888888888889,7.389056,-12.036858,519.2006212083792,1.105171,45,169,400,-1.1578947,45,11.537791582408426,-5.880662736315067
2.0,-10.38444460848767,8.039632797241211,475.4347826086956,7.389056,-5.4263487,522.0799719904328,1.105171,46,169,400,-1.5789474,46,11.34956460848767,-1.9142307820536515
-1.3684211,-10.492969749633048,8.248217344284058,475.9574468085106,7.389056,3.9826803,538.5302182327532,1.105171,47,169,400,-0.31578946,47,11.458089749633046,-15.485126242320378
-1.1578947,-10.301101262428354,8.472191333770752,476.4583333333333,7.389056,-0.18096286,540.7786205965609,1.105171,48,169,400,1.3684211,48,11.266221262428353,-1.283282363807742
-1.5789474,-10.386008024653261,8.672642230987549,476.9387755102041,7.389056,7.8196993,556.2052732080097,1.105171,49,169,400,0.94736844,49,11.351128024653258,-14.461532611448753
-0.7368421,-11.027976995284615,8.85238003730774,477.4,7.389056,7.513235,599.6548497642306,1.105171,50,169,400,1.7894737,50,11.993096995284612,-42.48445655622093
1.1578947,-10.819276522305938,9.054006576538086,477.84313725490193,7.389056,-8.5611515,601.0042226376027,1.105171,51,169,400,1.1578947,51,11.784396522305935,-0.3842528733721131
