MountainCar_mu1_higher,MountainCar_std1_higher,Regret,MinEpLen,GridSize,AvgEpLen,ReturnLastEpisode,ActionIn1,NumTrajectories,Regret/t,MountainCar_mu0_higher,MountainCar_std0_higher,ReturnMean,Iteration,TimeElapsed
3.6842105,1.5,50.18528657797893,424,400,905.6153846153846,-1.913363584952896,3.9272954,13,3.860406659844533,-1.0,0.14999999,-3.2604066598445334,13,4.956366300582886
-1.5789474,1.5,52.41894157062085,424,400,912.2857142857143,-1.6336549926419226,-2.182747,14,3.744210112187204,-1.0,0.14999999,-3.1442101121872037,14,5.2905967235565186
-3.6842105,1.5,57.27626647219234,424,400,918.0666666666667,-4.257324901571489,-1.4684515,15,3.8184177648128226,1.0,0.14999999,-3.2184177648128225,15,5.595431566238403
-0.5263158,1.5,68.44398385411107,424,400,923.125,-10.567717381918728,-1.0805457,16,4.277748990881942,1.0,0.14999999,-3.6777489908819416,16,5.92577600479126
-2.631579,1.5,69.42512516942263,424,400,927.5882352941177,-0.3811413153115595,-0.37685382,17,4.083830892318979,0.15789473,0.14999999,-3.483830892318978,17,6.272547721862793
10.0,1.5,72.34101577301291,424,400,914.9444444444445,-2.3158906035902778,9.477391,18,4.018945320722939,-1.0,0.14999999,-3.4189453207229388,18,6.547731876373291
7.894737,1.5,73.78070933984127,424,400,919.3684210526316,-0.8396935668283598,11.266785,19,3.8831952284126983,0.15789473,0.14999999,-3.2831952284126977,19,6.820906400680542
1.5789474,1.5,76.13895888771054,424,400,923.35,-1.7582495478692808,-2.627329,20,3.806947944385527,-1.0,0.14999999,-3.206947944385527,20,7.285679340362549
-7.894737,1.5,78.56285117503255,424,400,926.952380952381,-1.8238922873220031,-8.797275,21,3.741088151192026,-1.0,0.14999999,-3.141088151192026,21,7.9201085567474365
7.894737,1.5,78.05590262182453,341,400,900.3181818181819,1.1069485532080248,6.2628756,22,3.5479955737192967,-1.0,0.14999999,-2.947995573719296,22,8.244930505752563
-5.7894735,1.5,81.21879895378234,341,400,904.6086956521739,-2.562896331957812,-8.049854,23,3.531252128425319,-1.0,0.14999999,-2.9312521284253186,23,8.72359299659729
-2.631579,1.5,88.54262272865031,341,400,908.5416666666666,-6.72382377486797,-0.4029702,24,3.6892759470270966,1.0,0.14999999,-3.0892759470270956,24,9.33434009552002
-1.5789474,1.5,89.57328339438179,341,400,912.16,-0.43066066573147904,1.5441681,25,3.5829313357752715,-0.15789473,0.14999999,-2.982931335775271,25,10.164271116256714
-2.631579,1.5,90.98186960171296,341,400,915.5,-0.8085862073311632,-2.4837484,26,3.49930267698896,-0.68421054,0.14999999,-2.899302676988959,26,11.076287508010864
4.736842,1.5,93.47529617602639,341,400,918.5925925925926,-1.893426574313427,1.5909877,27,3.462048006519496,-1.0,0.14999999,-2.862048006519495,27,11.98953366279602
-4.736842,1.5,94.43662925522773,341,400,921.4642857142857,-0.36133307920133395,-5.5284348,28,3.372736759115276,0.15789473,0.14999999,-2.7727367591152747,28,12.704476594924927
-10.0,1.5,96.12631984092721,341,400,924.1379310344828,-1.0896905856994772,-10.530902,29,3.3147006841699036,0.36842105,0.14999999,-2.714700684169902,29,13.350494384765625
7.894737,1.5,96.5653071406701,341,400,909.4666666666667,0.16101270025710857,6.5822735,30,3.21884357135567,-0.68421054,0.14999999,-2.6188435713556686,30,13.708120822906494
7.894737,1.5,107.09149658595543,341,400,912.3548387096774,-9.926189445285326,8.338338,31,3.4545644059985623,1.0,0.14999999,-2.854564405998561,31,14.31290078163147
-3.6842105,1.5,107.70755525988294,341,400,915.0625,-0.016058673927505786,-1.595286,32,3.365861101871342,-0.05263158,0.14999999,-2.7658611018713404,32,15.041420459747314
-6.8421054,1.5,108.4223465416398,341,400,917.6060606060606,-0.11479128175685827,-7.2993383,33,3.2855256527769634,0.15789473,0.14999999,-2.6855256527769624,33,16.125014781951904
-7.894737,1.5,109.5773401436813,341,400,920.0,-0.5549936020415046,-8.630931,34,3.222862945402391,0.15789473,0.14999999,-2.62286294540239,34,17.537409782409668
-6.8421054,1.5,117.1677017376253,341,400,922.2571428571429,-6.9903615939440025,-4.723775,35,3.3476486210750083,1.0,0.14999999,-2.7476486210750077,35,18.076490879058838
-6.8421054,1.5,117.83163264799968,341,400,924.3888888888889,-0.06393091037438328,-6.3965073,36,3.27310090688888,-0.2631579,0.14999999,-2.673100906888879,36,18.58807134628296
