MountainCar_mu0_higher,TimeElapsed,ReturnLastEpisode,Regret/t,MountainCar_mu1_higher,Regret,MountainCar_std1_higher,ActionIn1,Iteration,MountainCar_std0_higher,NumTrajectories,MinEpLen,AvgEpLen,ReturnMean,GridSize
-1.0,4.92496395111084,-1.913363584952896,8.260406659844532,3.6842105,107.38528657797892,1.5,3.9272954,13,0.14999999,13,424,905.6153846153846,-3.2604066598445334,400
-1.0,5.545428276062012,-1.6336549926419226,8.144210112187203,-1.5789474,114.01894157062084,1.5,-2.182747,14,0.14999999,14,424,912.2857142857143,-3.1442101121872037,400
1.0,6.004379987716675,-4.257324901571489,8.218417764812822,-3.6842105,123.27626647219233,1.5,-1.4684515,15,0.14999999,15,424,918.0666666666667,-3.2184177648128225,400
1.0,6.422444581985474,-10.567717381918728,8.677748990881941,-0.5263158,138.84398385411106,1.5,-1.0805457,16,0.14999999,16,424,923.125,-3.6777489908819416,400
0.15789473,6.830294609069824,-0.3811413153115595,8.483830892318977,-2.631579,144.22512516942263,1.5,-0.37685382,17,0.14999999,17,424,927.5882352941177,-3.483830892318978,400
-1.0,7.10266637802124,-2.3158906035902778,8.418945320722939,10.0,151.5410157730129,1.5,9.477391,18,0.14999999,18,424,914.9444444444445,-3.4189453207229388,400
0.15789473,7.513637065887451,-0.8396935668283598,8.2831952284127,7.894737,157.38070933984127,1.5,11.266785,19,0.14999999,19,424,919.3684210526316,-3.2831952284126977,400
-1.0,7.8593268394470215,-1.7582495478692808,8.206947944385528,1.5789474,164.13895888771054,1.5,-2.627329,20,0.14999999,20,424,923.35,-3.206947944385527,400
-1.0,8.213968753814697,-1.8238922873220031,8.141088151192026,-7.894737,170.96285117503254,1.5,-8.797275,21,0.14999999,21,424,926.952380952381,-3.141088151192026,400
-1.0,8.353744506835938,1.1069485532080248,7.947995573719297,7.894737,174.85590262182453,1.5,6.2628756,22,0.14999999,22,341,900.3181818181819,-2.947995573719296,400
-1.0,8.712733507156372,-2.562896331957812,7.931252128425319,-5.7894735,182.41879895378233,1.5,-8.049854,23,0.14999999,23,341,904.6086956521739,-2.9312521284253186,400
1.0,9.05323600769043,-6.72382377486797,8.089275947027096,-2.631579,194.1426227286503,1.5,-0.4029702,24,0.14999999,24,341,908.5416666666666,-3.0892759470270956,400
-0.15789473,9.376634359359741,-0.43066066573147904,7.982931335775271,-1.5789474,199.57328339438178,1.5,1.5441681,25,0.14999999,25,341,912.16,-2.982931335775271,400
-0.68421054,9.721411943435669,-0.8085862073311632,7.899302676988959,-2.631579,205.38186960171294,1.5,-2.4837484,26,0.14999999,26,341,915.5,-2.899302676988959,400
-1.0,10.134536027908325,-1.893426574313427,7.862048006519495,4.736842,212.27529617602636,1.5,1.5909877,27,0.14999999,27,341,918.5925925925926,-2.862048006519495,400
0.15789473,10.47634506225586,-0.36133307920133395,7.772736759115275,-4.736842,217.6366292552277,1.5,-5.5284348,28,0.14999999,28,341,921.4642857142857,-2.7727367591152747,400
0.36842105,10.82135534286499,-1.0896905856994772,7.714700684169903,-10.0,223.72631984092718,1.5,-10.530902,29,0.14999999,29,341,924.1379310344828,-2.714700684169902,400
-0.68421054,11.00564169883728,0.16101270025710857,7.618843571355669,7.894737,228.56530714067006,1.5,6.5822735,30,0.14999999,30,341,909.4666666666667,-2.6188435713556686,400
1.0,11.425369501113892,-9.926189445285326,7.854564405998561,7.894737,243.4914965859554,1.5,8.338338,31,0.14999999,31,341,912.3548387096774,-2.854564405998561,400
-0.05263158,11.787307262420654,-0.016058673927505786,7.765861101871341,-3.6842105,248.5075552598829,1.5,-1.595286,32,0.14999999,32,341,915.0625,-2.7658611018713404,400
0.15789473,12.204054355621338,-0.11479128175685827,7.685525652776962,-6.8421054,253.62234654163976,1.5,-7.2993383,33,0.14999999,33,341,917.6060606060606,-2.6855256527769624,400
0.15789473,12.655711650848389,-0.5549936020415046,7.62286294540239,-7.894737,259.17734014368125,1.5,-8.630931,34,0.14999999,34,341,920.0,-2.62286294540239,400
1.0,13.011940479278564,-6.9903615939440025,7.747648621075006,-6.8421054,271.16770173762524,1.5,-4.723775,35,0.14999999,35,341,922.2571428571429,-2.7476486210750077,400
-0.2631579,13.391668558120728,-0.06393091037438328,7.6731009068888785,-6.8421054,276.2316326479996,1.5,-6.3965073,36,0.14999999,36,341,924.3888888888889,-2.673100906888879,400
