ActionIn1,ReturnMean,Regret/t,AvgEpLen,MountainCar_std0_higher,NumTrajectories,MountainCar_mu0_higher,GridSize,TimeElapsed,MountainCar_std1_higher,MinEpLen,MountainCar_mu1_higher,Regret,Iteration,ReturnLastEpisode
7.77601,0.9626724522848502,54.03732754771514,420.71794871794873,0.14999999,39,-0.6163876,400,6.640503406524658,0.14999999,262,8.256767,2107.4557743608902,39,2.0565278095960773
7.7047462,0.9614420456349466,54.03855795436503,420.35,0.14999999,40,-0.6163876,400,6.824556589126587,0.14999999,262,8.256767,2161.5423181746014,40,0.9134561862887086
7.4836955,0.9927930087985004,54.00720699120148,418.2439024390244,0.14999999,41,-0.6163876,400,6.9965739250183105,0.14999999,262,8.256767,2214.2954866392606,41,2.2468315353406507
7.2588344,0.9343466360870974,54.06565336391288,420.1904761904762,0.14999999,42,-0.6163876,400,7.204523324966431,0.14999999,262,8.256767,2270.757441284341,42,-1.4619546450804237
7.7158127,0.929482152245605,54.070517847754374,419.6744186046512,0.14999999,43,-0.6163876,400,7.404747009277344,0.14999999,262,8.256767,2325.032267453438,43,0.7251738309029254
7.806125,0.955705992930999,54.04429400706898,417.72727272727275,0.14999999,44,-0.6163876,400,7.568757772445679,0.14999999,262,8.256767,2377.948936311035,44,2.083331142402943
7.2892504,0.9082786027024945,54.09172139729748,419.55555555555554,0.14999999,45,-0.6163876,400,7.784775257110596,0.14999999,262,8.256767,2434.1274628783867,45,-1.1785265673517011
7.588459,0.8746096463895334,54.12539035361045,421.30434782608694,0.14999999,46,-0.6163876,400,7.990342378616333,0.14999999,262,8.256767,2489.7679562660805,46,-0.6404933876937153
7.9767,0.8970374233701648,54.102962576629814,420.3191489361702,0.14999999,47,-0.6163876,400,8.173798084259033,0.14999999,262,8.256767,2542.839241101601,47,1.9287151644792087
7.5441246,0.85588201254836,54.144117987451615,421.9791666666667,0.14999999,48,-0.6163876,400,8.359208106994629,0.14999999,262,8.256767,2598.9176633976776,48,-1.0784222960764578
7.864749,0.8846416678510602,54.115358332148915,420.3469387755102,0.14999999,49,-0.6163876,400,8.51767110824585,0.14999999,262,8.256767,2651.652558275297,49,2.2651051223806684
