MountainCar_std0_higher,MinEpLen,AvgEpLen,GridSize,ActionIn1,ReturnMean,Iteration,TimeElapsed,Regret,MountainCar_std1_higher,MountainCar_mu0_higher,ReturnLastEpisode,NumTrajectories,Regret/t,MountainCar_mu1_higher
0.099999994,500,500.0,400,-0.24727333,-4.868422864225239,15,2.3327455520629883,87.5031429633786,2.0,-0.31578946,-0.2815486656201823,15,5.833542864225239,-1.5789474
0.099999994,500,500.0,400,-0.41215166,-4.567135856316273,16,2.5024285316467285,88.51609370106038,2.0,-0.10526316,-0.04783073768179348,16,5.532255856316274,2.0
0.099999994,500,500.0,400,4.143239,-4.2985723424246975,17,2.690006971359253,89.48276982121986,2.0,-0.10526316,-0.0015561201594829275,17,5.263692342424697,1.5789474
0.099999994,500,500.0,400,2.2125328,-4.082199995483452,18,2.864135980606079,90.85175991870214,2.0,-0.31578946,-0.4038700974822851,18,5.047319995483452,1.7894737
0.099999994,500,500.0,400,3.853148,-3.9252657718137414,19,3.0383341312408447,92.91732966446109,2.0,0.31578946,-1.1004497457589495,19,4.890385771813742,-0.5263158
0.099999994,500,500.0,400,-3.0419347,-3.7315530983485585,20,3.2156267166137695,93.93346196697118,2.0,0.10526316,-0.051012302510085844,20,4.696673098348559,1.1578947
0.099999994,500,500.0,400,0.53614724,-3.554873920239266,21,3.388549566268921,94.91987232502458,2.0,-0.10526316,-0.021290358053403922,21,4.519993920239266,0.5263158
0.099999994,500,500.0,400,-2.9937155,-3.39371002519117,22,3.5657386779785156,95.89426055420574,2.0,-0.10526316,-0.009268229181162421,22,4.35883002519117,-2.0
0.099999994,500,500.0,400,-3.8587468,-3.266477913401695,23,3.7364399433135986,97.32675200823898,2.0,-0.31578946,-0.4673714540332353,23,4.2315979134016946,-2.0
0.099999994,500,500.0,400,-0.13718086,-3.1526911402196114,24,3.904205322265625,98.82746736527068,2.0,0.31578946,-0.535595357031699,24,4.117811140219612,-2.0
0.099999994,500,500.0,400,1.1885542,-3.178384971834173,25,4.092829704284668,103.58762429585433,2.0,-1.3684211,-3.7950369305836507,25,4.143504971834173,-2.0
0.099999994,500,500.0,400,-0.4146027,-3.0588612630512255,26,4.296119689941406,104.62351283933187,2.0,0.10526316,-0.07076854347753621,26,4.023981263051225,-1.5789474
0.099999994,500,500.0,400,-4.7576065,-2.9467216244675076,27,4.504018783569336,105.61972386062271,2.0,0.10526316,-0.03109102129084052,27,3.911841624467508,-2.0
0.099999994,500,500.0,400,-2.0166576,-3.2796014971084206,28,4.69858980178833,118.85220191903579,2.0,1.3684211,-12.267358058413077,28,4.244721497108421,-2.0
0.099999994,500,500.0,400,-4.28239,-3.2125551825380647,29,4.885268688201904,121.15258029360389,2.0,-0.94736844,-1.3352583745680995,29,4.177675182538065,-2.0
0.099999994,500,500.0,400,-2.0255451,-3.291496982587369,30,5.084083557128906,127.69850947762109,2.0,0.94736844,-5.580809184017191,30,4.25661698258737,-2.0
0.099999994,500,500.0,400,-4.7139254,-3.316997584993739,31,5.269527912139893,132.74564513480593,2.0,-1.7894737,-4.082015657184838,31,4.282117584993739,-2.0
0.099999994,500,500.0,400,4.664837,-3.217893628269046,32,5.468276262283325,133.8564361046095,2.0,0.10526316,-0.14567096980356017,32,4.183013628269046,1.7894737
0.099999994,500,500.0,400,0.20356843,-3.1208471930990886,33,5.650486707687378,134.83691737226997,2.0,-0.10526316,-0.015361267660471764,33,4.08596719309909,1.1578947
0.099999994,500,500.0,400,-1.7899997,-3.0828003740018444,34,5.838478088378906,137.62929271606274,2.0,-1.1578947,-1.8272553437927748,34,4.047920374001845,0.7368421
0.099999994,500,500.0,400,-0.11077523,-2.9947617598162246,35,6.027670383453369,138.5958615935679,2.0,-0.10526316,-0.0014488775051556427,35,3.9598817598162253,-1.3684211
0.099999994,500,500.0,400,1.0859575,-2.914060326727647,36,6.233165740966797,139.65049176219532,2.0,0.10526316,-0.08951016862742164,36,3.8791803267276475,0.10526316
