Iteration,DenMISEMeanLog,IWLastEpisode,TimeElapsed,IWMin,LQGmu1_higher,ReturnMax,Regret/t,ReturnAbsMax,Regret,ReturnLastEpisode,DenMISELogFirst,IWMean,IWMax,ReturnMean,LQGmu1_actor,IWFirstEpisode,Bound,LQGsigma_higher,ReturnStepMax,Delta,DenMISELogLast,TimestepsSoFar,ReturnMin
40,-0.8724101,6.195913e-24,37.673309326171875,,-0.6969697,17.420668,5.504875,17.420668,220.195,2.009047,-0.8214448,1.2890517,4.65064,11.895124,-0.74802476,0.057521373,68.96062,0.14999999,19.20974,3.799544e-07,-1.0431527,800,
41,-0.8564433,8.212467e-12,38.46243643760681,,0.35353535,17.420668,5.3711195,17.420668,220.21588,17.37908,-0.84470046,1.1307824,7.2535505,12.02888,0.15981704,0.0025123828,68.33759,0.14999999,19.20974,3.6164613e-07,-0.46166992,820,
42,-0.8543717,3.6492112e-09,39.25865626335144,,-0.8181818,17.420668,5.4462814,17.420668,228.7438,8.872107,-0.8687367,1.2392669,4.434217,11.953718,-0.7966778,0.0036960044,66.348366,0.14999999,19.20974,3.4462983e-07,-0.84821767,840,
43,-0.83958966,0.21926689,40.10920190811157,,-0.43434343,17.420668,5.3207407,17.420668,228.79187,17.35197,-0.8921792,0.7093271,6.023739,12.079259,-0.28576645,2.7864294,65.84772,0.14999999,19.20974,3.2878697e-07,-0.42182493,860,
44,-0.8462644,4.9954734,40.90216302871704,,-0.1919192,17.420668,5.207306,17.420668,229.12146,17.07036,-0.8523811,0.81667286,6.047331,12.192694,-0.06608519,5.934182,66.43525,0.14999999,19.20974,3.140119e-07,-0.8260686,880,
45,-0.8500195,3.9300246,41.700183391571045,,0.07070707,17.420668,5.1405582,17.420668,231.32513,15.196352,-0.7483378,1.199055,6.3266096,12.259441,0.06283465,0.66446066,65.95666,0.14999999,19.20974,3.0021093e-07,-0.80628926,900,
46,-0.84489554,0.016511774,42.491188526153564,,0.57575756,17.420668,5.209923,17.420668,239.65643,9.0687065,-0.75565886,0.88422775,7.778787,12.190077,0.64305377,2.1982034e-06,64.15971,0.14999999,19.20974,2.8730017e-07,-0.76457953,920,
47,-0.8509742,3.298642e-17,43.30156421661377,,-0.6969697,17.420668,5.3556747,17.420668,251.71674,5.3397136,-0.77716506,1.2326978,4.4601574,12.044325,-0.5168138,0.055029906,63.546555,0.14999999,19.20974,2.7520463e-07,-0.97501135,940,
48,-0.84246653,3.1517235e-22,44.5810444355011,,1.0,17.420668,5.244525,17.420668,251.73718,17.379498,-0.7970483,1.2172585,14.1048565,12.155475,0.76231265,8.891474e-15,63.006195,0.14999999,19.20974,2.6385726e-07,-0.6400933,960,
49,-0.84493554,8.225748e-30,45.627277851104736,,-1.0,17.420668,5.4147635,17.420668,265.32343,3.813752,-0.81766754,0.8539005,8.667027,11.985236,-0.9411436,1.5662632e-05,62.73441,0.14999999,19.20974,2.531974e-07,-1.0681192,980,
50,-0.8438027,2.5158779e-13,46.46626353263855,,0.23232323,17.420668,5.309449,17.420668,265.47247,17.250982,-0.83786994,1.1054454,6.5027056,12.09055,0.1821028,0.043881416,62.697212,0.14999999,19.20974,2.4317083e-07,-0.6113783,1000,
51,-0.8417954,1.4438907,47.38829565048218,,-0.07070707,17.420668,5.3739157,17.420668,274.0697,8.80273,-0.8567953,1.0236834,6.10259,12.026084,-0.016316172,3.331873,62.43892,0.14999999,19.20974,2.3372819e-07,-0.8094452,1020,
52,-0.8398553,0.021978222,48.25588583946228,,-0.5151515,17.420668,5.375102,17.420668,279.5053,11.964426,-0.812928,0.87685025,5.4543266,12.024898,-0.42951143,1.1049664,62.299427,0.14999999,19.20974,2.248251e-07,-0.7338194,1040,
53,-0.8404915,4.094577,49.02664828300476,,-0.3131313,17.420668,5.275692,17.420668,279.61163,17.293646,-0.8109495,0.75516087,5.911084,12.124308,-0.22363278,5.3010864,61.838978,0.14999999,19.20974,2.1642118e-07,-0.73246706,1060,
54,-0.8433822,1.1642398e-09,49.818191051483154,,0.7777778,17.420668,5.187601,17.420668,280.13043,16.881224,-0.7343128,0.8824538,8.517822,12.212399,0.80815035,5.764911e-10,61.233826,0.14999999,19.20974,2.0847979e-07,-0.73558426,1080,
55,-0.849901,5.204357e-26,50.61670517921448,,-0.83838385,17.420668,5.3522205,17.420668,294.37213,3.1583405,-0.75266194,1.1320086,4.6669464,12.047779,-0.7959879,0.0019392965,60.810196,0.14999999,19.20974,2.0096763e-07,-1.0502151,1100,
56,-0.84145546,4.7160465e-06,52.090343713760376,,-0.01010101,17.420668,5.2577553,17.420668,294.43427,17.33784,-0.7706452,1.1668806,5.8702974,12.142244,-0.050526872,1.7890899,59.574406,0.14999999,19.20974,1.9385428e-07,-0.48212975,1120,
57,-0.83679014,0.018628133,55.02966332435608,,0.45454547,17.420668,5.227332,17.420668,297.95795,13.876331,-0.75689644,0.93871707,7.3560615,12.1726675,0.4654571,0.00012813989,59.222515,0.14999999,19.20974,1.8711206e-07,-0.70758396,1140,
58,-0.8401404,9.1115025e-11,57.279425382614136,,-0.5959596,17.420668,5.3142385,17.420668,308.22583,7.1321273,-0.774286,1.012384,4.707958,12.085761,-0.77835065,0.34138563,59.26918,0.14999999,19.20974,1.8071556e-07,-0.9386024,1160,
59,-0.8343934,4.024052,59.01705312728882,,-0.83838385,17.420668,5.224868,17.420668,308.2672,17.358599,-0.7855117,1.167673,4.5501213,12.175132,-0.73828346,0.002004059,59.20762,0.14999999,19.20974,1.7464151e-07,-0.49419644,1180,
60,-0.82551503,0.021885915,60.877079248428345,,-0.25252524,17.420668,5.138277,17.420668,308.29663,17.370594,-0.80228484,0.8165295,5.9095182,12.261723,-0.21182695,5.9095182,58.815414,0.14999999,19.20974,1.6886865e-07,-0.44348603,1200,
61,-0.8271142,0.1464364,62.70541286468506,,0.1919192,17.420668,5.0637636,17.420668,308.88965,16.806973,-0.7248758,1.1066556,6.539678,12.336236,0.33780462,0.088153794,57.83217,0.14999999,19.20974,1.6337734e-07,-0.7231201,1220,
62,-0.82717466,4.5911386e-11,64.73090863227844,,-0.7373737,17.420668,5.1326437,17.420668,318.22388,8.065703,-0.7396922,1.2122334,4.2805185,12.267356,-0.7475313,0.02247103,57.562378,0.14999999,19.20974,1.581496e-07,-0.9065909,1240,
63,-0.8178201,0.9862334,67.74361753463745,,-1.0,17.420668,5.0516586,17.420668,318.25446,17.369463,-0.7553302,0.80990833,8.952659,12.348341,-0.9763865,1.4716066e-05,57.20715,0.14999999,19.20974,1.5316883e-07,-0.42441073,1260,
