TimeElapsed,ReturnMax,Regret,DenMISEMeanLog,IWLastEpisode,Delta,ReturnStepMax,ReturnMin,ReturnAbsMax,TimestepsSoFar,DenMISELogFirst,Regret/t,ReturnMean,Bound,LQGmu1_higher,Iteration,IWMin,IWFirstEpisode,LQGmu1_actor,ReturnLastEpisode,IWMean,LQGsigma_higher,DenMISELogLast,IWMax
31.642123222351074,17.4226,170.31842,-0.8758805,0.00069164793,4.4406656e-07,19.211872,,17.4226,740,-0.76055527,4.603201,12.796799,71.50311,-1.0,37,,9.816873e-09,-1.1064967,17.256815,1.035278,0.14999999,-0.43944556,8.386583
32.62615895271301,17.4226,170.518,-0.88476473,0.041400254,4.2100217e-07,19.211872,,17.4226,760,-0.7872235,4.487315,12.912684,70.60152,-0.61616164,38,,0.0043801526,-0.70698214,17.20045,0.91664106,0.14999999,-1.1802055,5.4876723
33.56066942214966,17.4226,170.5586,-0.881797,3.8953674e-28,3.996891e-07,19.211872,,17.4226,780,-0.81308377,4.3732977,13.026702,70.4119,1.0,39,,1.5713565e-10,0.9036226,17.359386,1.1948934,0.14999999,-0.66007495,17.746323
34.031662702560425,17.4226,186.28821,-0.8831461,6.4469255e-08,3.799544e-07,19.211872,,17.4226,800,-0.83840156,4.6572046,12.742795,68.074844,-0.01010101,40,,5.9664445,0.0035315948,1.6703956,0.84560364,0.14999999,-1.0178742,6.214193
34.506338119506836,17.4226,193.81122,-0.8849186,0.24420972,3.6164613e-07,19.211872,,17.4226,820,-0.72406197,4.727103,12.672896,67.73684,-0.37373737,41,,0.51243055,-0.36937252,9.876938,1.3383374,0.14999999,-0.7750217,4.4131474
35.07644701004028,17.4226,193.98267,-0.8669903,0.00059195765,3.4462983e-07,19.211872,,17.4226,840,-0.7357387,4.618635,12.781364,67.45684,-1.0,42,,9.57625e-09,-1.0997149,17.22858,1.0624325,0.14999999,-0.42732283,7.7574368
35.60191226005554,17.4226,194.18536,-0.8724245,5.312859e-18,3.2878697e-07,19.211872,,17.4226,860,-0.7592692,4.515938,12.884062,66.25491,0.27272728,43,,0.5852322,0.26194584,17.197298,0.69876605,0.14999999,-1.1031358,7.446267
36.080172061920166,17.4226,203.10547,-0.88119435,0.5630703,3.140119e-07,19.211872,,17.4226,880,-0.7687404,4.6160336,12.783966,66.27814,0.5959596,44,,0.00058568246,0.7199942,8.479932,0.58047616,0.14999999,-0.92669445,8.670532
36.671753883361816,17.4226,216.1206,-0.8946085,6.460879e-21,3.0021093e-07,19.211872,,17.4226,900,-0.7912,4.80268,12.59732,66.27238,-0.75757575,45,,7.887516e-05,-0.7302686,4.384877,0.82470465,0.14999999,-1.04914,5.7426605
37.44455599784851,17.4226,216.14978,-0.89425313,2.66334,2.8730017e-07,19.211872,,17.4226,920,-0.8131771,4.698909,12.701091,65.04058,-0.5555556,46,,0.019186765,-0.6093574,17.370754,1.0214182,0.14999999,-0.67972493,5.0108724
38.45560169219971,17.4226,216.17664,-0.887612,0.067444354,2.7520463e-07,19.211872,,17.4226,940,-0.8342663,4.5995026,12.800497,64.39726,-0.17171717,47,,4.337885,-0.15113199,17.373175,1.0665644,0.14999999,-0.5815665,5.3628745
39.084779500961304,17.4226,217.13916,-0.8812173,5.5039004e-07,2.6385726e-07,19.211872,,17.4226,960,-0.76703835,4.523733,12.8762665,63.75299,-1.0,48,,9.880723e-09,-0.959481,16.437489,1.0596328,0.14999999,-0.6220025,7.4286394
39.545191526412964,17.4226,217.30261,-0.8766066,0.0014779287,2.531974e-07,19.211872,,17.4226,980,-0.7876576,4.4347477,12.965252,63.100105,-0.35353535,49,,0.72557324,-0.4451713,17.236563,1.2838502,0.14999999,-0.66404283,4.3621736
