Iteration,ReturnMax,ReturnStepMax,DenMISEMeanLog,Regret,LQGmu1_higher,TimeElapsed,IWMin,ReturnLastEpisode,ReturnMean,IWMean,TimestepsSoFar,Regret/t,IWMax,DenMISELogLast,ReturnMin,ReturnAbsMax,Bound,Delta,LQGsigma_higher,LQGmu1_actor,IWLastEpisode,DenMISELogFirst,IWFirstEpisode
13,17.371843,19.161173,-0.85001004,86.424835,-0.23232323,12.607054471969604,,2.0226395,10.751936,1.1523949,260,6.6480637,7.1189237,-0.75948656,,17.371843,118.435684,3.5972016e-06,0.14999999,-0.14958769,5.9132213e-12,-0.8935902,5.8200445
14,17.371843,19.161173,-0.8323836,87.52205,-0.7171717,13.351937770843506,,16.302778,11.148424,0.9950078,280,6.2515755,7.481113,-0.5969541,,17.371843,115.090515,3.1016684e-06,0.14999999,-0.7918977,0.0037582917,-0.59772503,0.0051036337
15,17.371843,19.161173,-0.82902145,87.55722,0.57575756,14.09859323501587,,17.36484,11.562852,0.56406915,300,5.8371477,4.70721,-0.6507147,,17.371843,110.54514,2.7018984e-06,0.14999999,0.52507925,4.5230223e-18,-0.6663534,2.909988e-05
16,17.371843,19.161173,-0.8518523,98.36279,-0.45454547,14.846917629241943,,6.594425,11.252325,0.39684126,320,6.1476746,2.9241009,-0.73661345,,17.371843,101.55737,2.3747152e-06,0.14999999,-0.61563295,3.0409804e-09,-0.73089,0.82273066
17,17.397226,19.18542,-0.8787571,98.36557,-0.85858583,15.599671125411987,,17.397226,11.61379,1.3275777,340,5.78621,5.5714808,-0.71602243,,17.397226,100.73023,2.103554e-06,0.14999999,-0.84121805,1.4659631,-0.74137235,0.000115183284
18,17.397226,19.18542,-0.84794086,98.43329,-0.11111111,17.091970205307007,,17.332266,11.931483,1.2265687,360,5.4685163,5.757604,-0.5352037,,17.397226,93.87693,1.8763183e-06,0.14999999,-0.19802922,3.256379e-05,-0.79852396,5.5821056
19,17.397226,19.18542,-0.8283376,98.98262,1.0,18.402411937713623,,16.850697,12.190389,1.2354176,380,5.209611,9.353603,-0.5924904,,17.397226,93.66734,1.6840087e-06,0.14999999,1.252851,6.76579e-14,-0.58247477,4.4735887e-13
20,17.397226,19.18542,-0.9180377,116.382614,-0.6363636,19.170106172561646,,,11.58087,0.92595196,400,5.81913,5.832392,-2.678397,,17.397226,89.89632,1.5198176e-06,0.14999999,-0.6222698,1.3879632e-33,-0.6337681,0.033630062
21,17.413683,19.202774,-0.9082251,116.36893,0.21212122,19.922603845596313,,17.413683,11.858623,0.7207934,420,5.541377,4.6340337,-0.5828171,,17.413683,90.04955,1.3785193e-06,0.14999999,0.13650464,9.095651e-07,-0.68087816,0.23496942
22,17.413683,19.202774,-0.91663915,124.83392,-1.0,20.691020727157593,,8.935001,11.72573,1.0991933,440,5.6742697,9.25136,-0.7843124,,17.413683,89.16133,1.2560477e-06,0.14999999,-0.9612552,1.994389e-12,-0.7162713,9.028423e-07
23,17.413683,19.202774,-0.90471953,125.00223,-0.27272728,21.441441297531128,,17.231676,11.965119,0.9492841,460,5.4348803,6.021865,-0.6406108,,17.413683,84.73508,1.1492007e-06,0.14999999,-0.17998359,0.00013420879,-0.760723,4.32995
24,17.413683,19.202774,-0.8975818,125.60208,0.6363636,22.301023721694946,,16.800152,12.166579,0.60219663,480,5.2334204,6.0748706,-0.6221093,,17.413683,83.97888,1.055429e-06,0.14999999,0.6191327,1.833827e-06,-0.6307937,3.549509e-06
25,17.413683,19.202774,-0.9140042,137.38751,-0.8181818,23.05538249015808,,5.6146092,11.904499,1.269927,500,5.4955006,5.066177,-0.8881272,,17.413683,82.82674,9.726833e-07,0.14999999,-0.8674333,7.4612363e-20,-0.67161554,0.00036201865
26,17.413683,19.202774,-0.8909221,137.4885,0.030303031,23.96502423286438,,17.29901,12.11198,1.0811967,520,5.288019,6.3180747,-0.51123315,,17.413683,82.832924,8.993004e-07,0.14999999,0.11429674,7.392945e-08,-0.71082175,2.3839598
27,17.413683,19.202774,-0.8859896,145.90277,0.3939394,24.72269368171692,,8.985712,11.996193,0.91433525,540,5.4038067,7.2461576,-0.77414507,,17.413683,80.88416,8.3391916e-07,0.14999999,0.4293967,1.0146544,-0.66083443,0.005381967
28,17.413683,19.202774,-0.8891913,155.87683,-0.4949495,25.480304479599,,7.4259233,11.83297,0.55621916,560,5.56703,4.1344566,-0.8284524,,17.413683,77.60619,7.754171e-07,0.14999999,-0.22850776,3.4566334e-08,-0.69700277,0.45341367
29,17.413683,19.202774,-0.89884037,156.26672,-0.17171717,26.248443603515625,,17.0101,12.011492,1.2752804,580,5.388508,5.433156,-0.71838325,,17.413683,78.414505,7.2286224e-07,0.14999999,-0.23986623,5.077882,-0.7160305,5.430519
30,17.413683,19.202774,-0.8820839,156.69434,-1.0,27.008203268051147,,16.972403,12.176855,1.071318,600,5.2231445,8.498768,-0.59646463,,17.413683,77.457565,6.754746e-07,0.14999999,-1.0863405,1.280813e-05,-0.5782845,7.8647486e-07
31,17.413683,19.202774,-0.8872645,156.9007,0.8181818,27.781567335128784,,17.19361,12.338686,0.85806286,620,5.0613136,8.300155,-1.0472775,,17.413683,77.04823,6.325984e-07,0.14999999,0.61014605,7.4734854e-35,-0.61107427,2.6386602e-09
32,17.413683,19.202774,-0.8957919,168.58551,-0.7373737,28.536782026290894,,5.7151895,12.131702,1.0470462,640,5.268297,5.227111,-0.9608409,,17.413683,73.49864,5.936788e-07,0.14999999,-0.9284161,2.0785078e-17,-0.642823,0.0032134661
33,17.413683,19.202774,-0.8864672,168.72308,-1.0,29.306597471237183,,17.262459,12.28718,1.1903677,660,5.1128197,7.2196064,-0.5914705,,17.413683,73.07188,5.582434e-07,0.14999999,-0.89434373,4.2878246,-0.6734942,8.6503576e-07
34,17.413683,19.202774,-0.8707864,168.82587,-0.27272728,30.071542739868164,,17.297194,12.434532,1.0570328,680,4.9654675,5.5896144,-0.4790839,,17.413683,72.55158,5.258885e-07,0.14999999,-0.548282,0.0008010726,-0.70334715,4.0885077
35,17.413683,19.202774,-0.8673377,168.83746,0.5151515,30.844168424606323,,17.388414,12.576073,1.1097184,700,4.823927,7.6009746,-0.7573634,,17.413683,72.4468,4.9626703e-07,0.14999999,0.58299327,6.9107026e-11,-0.61878264,0.00018647124
36,17.413683,19.202774,-0.8672679,180.2273,0.13131313,31.62479567527771,,6.0101533,12.393685,0.9030446,720,5.0063143,7.1985083,-0.9009724,,17.413683,72.08989,4.6907957e-07,0.14999999,-0.17171432,0.07033316,-0.64694816,0.7525071
37,17.413683,19.202774,-0.8652639,181.00232,1.0,32.38795876502991,,16.625008,12.508045,1.1488155,740,4.8919544,16.809397,-0.6507051,,17.413683,71.997826,4.4406656e-07,0.14999999,1.4026484,2.8670423e-13,-0.65365964,4.8036455e-13
38,17.413683,19.202774,-0.9773915,198.40234,-0.83838385,33.14388942718506,,,12.178886,1.2288598,760,5.221113,4.8109927,-5.140283,,17.413683,69.96317,4.2100217e-07,0.14999999,-1.0217388,,-0.6803279,0.00020074034
39,17.413683,19.202774,-0.9666612,198.59885,-0.11111111,33.908499240875244,,17.203455,12.307721,1.1882974,780,5.0922785,5.2395034,-0.7422596,,17.413683,69.768845,3.996891e-07,0.14999999,-0.16175407,5.5483717e-08,-0.70629805,5.090317
40,17.413683,19.202774,-0.95417756,199.6626,-0.5555556,34.68733358383179,,16.336262,12.408435,0.67612857,800,4.9915648,6.3026524,-0.6089398,,17.413683,69.077835,3.799544e-07,0.14999999,-0.60794073,0.1558139,-0.6089373,0.1559902
41,17.413683,19.202774,-0.9561743,199.67792,-1.0,35.469480991363525,,17.384628,12.529806,1.1836734,820,4.8701935,7.1022315,-0.69314665,,17.413683,67.69995,3.6164613e-07,0.14999999,-1.073516,0.1747393,-0.6297378,8.28001e-07
42,17.413683,19.202774,-0.9513668,199.883,0.3131313,36.267234563827515,,17.194935,12.640881,0.7843675,840,4.759119,7.0948787,-0.8860087,,17.413683,67.12413,3.4462983e-07,0.14999999,0.5955323,1.7896741e-18,-0.6538353,0.034019537
43,17.413683,19.202774,-0.95921683,211.40741,0.6969697,37.04970908164978,,5.8756084,12.483549,0.9349378,860,4.9164505,6.756548,-1.0479734,,17.413683,67.116585,3.2878697e-07,0.14999999,0.61249876,6.034532,-0.67655617,3.9890375e-07
44,17.413683,19.202774,-0.96118015,223.11841,-0.37373737,37.82377886772156,,5.6889997,12.329126,0.75290865,880,5.0708733,4.567235,-0.942669,,17.413683,67.08341,3.140119e-07,0.14999999,-0.23794365,2.7994151e-09,-0.6995457,1.9733624
45,17.413683,19.202774,-0.96030265,223.60675,-0.17171717,38.61765718460083,,16.911673,12.430961,1.250391,900,4.969039,5.228651,-0.66339713,,17.413683,66.171684,3.0021093e-07,0.14999999,-0.2535811,4.683816,-0.678146,5.228635
46,17.413683,19.202774,-0.94793636,223.99896,-0.65656567,39.39321303367615,,17.007782,12.530457,0.8755227,920,4.869543,5.5216427,-0.5932363,,17.413683,64.98651,2.8730017e-07,0.14999999,-0.40799797,0.13036788,-0.5902021,0.020836497
47,17.413683,19.202774,-0.9462357,224.06812,-1.0,40.17801809310913,,17.330877,12.632593,1.1732057,940,4.7674065,6.9310203,-0.71851635,,17.413683,64.46447,2.7520463e-07,0.14999999,-0.96165663,0.0022621367,-0.61125547,8.1283827e-07
48,17.413683,19.202774,-0.93566227,224.22925,-0.3131313,40.96795153617859,,17.238844,12.728557,1.0647631,960,4.671443,4.928683,-0.5648279,,17.413683,64.17299,2.6385726e-07,0.14999999,-0.46335214,0.00040837342,-0.63230884,3.009284
49,17.413683,19.202774,-0.9302527,224.29822,0.5151515,41.75380539894104,,17.330967,12.822485,1.1864915,980,4.5775146,7.500925,-0.706831,,17.413683,63.050846,2.531974e-07,0.14999999,0.5146107,3.0993086e-09,-0.5921215,0.00018156526
50,17.413683,19.202774,-0.92742723,235.00476,0.030303031,42.540133237838745,,6.693521,12.699904,0.83757097,1000,4.700095,6.50961,-0.9157355,,17.413683,62.99794,2.4317083e-07,0.14999999,-0.10009405,0.036210958,-0.6123205,2.1603312
51,17.413683,19.202774,-0.92532295,236.53217,1.0,43.32694959640503,,15.872573,12.762114,1.1774747,1020,4.637886,16.6053,-0.6342927,,17.413683,62.57885,2.3372819e-07,0.14999999,1.1540337,1.048561e-11,-0.58982384,4.5065863e-13
52,17.413683,19.202774,-0.94503534,253.93219,-0.47474748,44.15427041053772,,,12.516688,0.79675645,1040,4.8833113,5.703391,-2.0123167,,17.413683,62.525887,2.248251e-07,0.14999999,-0.5645913,4.9588225e-25,-0.60924196,0.555063
53,17.42112,19.209576,-0.9446292,253.91101,-0.83838385,45.078577756881714,,17.42112,12.609225,1.1047461,1060,4.7907743,4.940451,-0.7050533,,17.42112,62.309658,2.1642118e-07,0.14999999,-1.0593222,1.0175564,-0.6176724,0.00018854861
54,17.42112,19.209576,-0.94241613,254.1134,-1.0,45.87444043159485,,17.197609,12.694196,1.2011865,1080,4.705804,6.7648916,-0.9026354,,17.42112,61.754967,2.0847979e-07,0.14999999,-1.0600939,6.0654817,-0.636361,8.3350324e-07
55,17.42112,19.209576,-0.93726254,254.32227,-0.17171717,46.6705265045166,,17.191208,12.775959,1.2130113,1100,4.6240406,5.1075788,-0.81778544,,17.42112,61.439938,2.0096763e-07,0.14999999,-0.12340781,1.4564328e-07,-0.6547101,5.107522
56,17.42112,19.209576,-0.9283447,255.79047,0.7777778,47.45190501213074,,15.931792,12.832313,0.74415845,1120,4.567687,6.9160576,-0.6144233,,17.42112,60.02736,1.9385428e-07,0.14999999,0.8154494,7.140821e-08,-0.5839268,1.4391896e-08
57,17.42112,19.209576,-0.9353511,270.14,-0.61616164,48.25177574157715,,3.0504434,12.660702,0.8349687,1140,4.739298,5.5763183,-1.0543782,,17.42112,60.021034,1.8711206e-07,0.14999999,-0.7559415,1.2674476e-19,-0.6016264,0.04941663
58,17.42112,19.209576,-0.9325373,270.18823,-1.0,49.040544748306274,,17.351759,12.741581,1.2136562,1160,4.6584187,6.4546833,-0.5877427,,17.42112,59.91574,1.8071556e-07,0.14999999,-1.1693779,1.274135,-0.61815155,8.18463e-07
59,17.42112,19.209576,-0.93842316,270.3927,0.25252524,49.84386396408081,,17.195545,12.817073,0.6092818,1180,4.5829268,6.0684347,-1.4545609,,17.42112,59.766186,1.7464151e-07,0.14999999,0.45928976,3.5000423e-19,-0.635246,0.11061422
60,17.42112,19.209576,-0.9467622,280.60864,-0.17171717,50.65861177444458,,7.184053,12.723189,1.1954106,1200,4.6768103,5.0844827,-1.0372331,,17.42112,58.995827,1.6886865e-07,0.14999999,-0.27272692,0.001077832,-0.65018004,5.0844364
61,17.42112,19.209576,-0.93833417,280.94873,0.5151515,51.46419954299927,,17.059916,12.794284,1.2298073,1220,4.6057158,7.656735,-0.5946946,,17.42112,58.49664,1.6337734e-07,0.14999999,0.5388789,4.922852e-06,-0.58536845,0.00018034328
62,17.42112,19.209576,-0.9358063,291.88794,-0.3939394,52.34733486175537,,6.4607487,12.692129,0.8636087,1240,4.7078705,5.4478455,-0.9583864,,17.42112,58.501244,1.581496e-07,0.14999999,-0.26271528,2.7748039e-08,-0.601626,1.4659082
63,17.42112,19.209576,-0.9323372,292.14368,-1.0,54.30904698371887,,17.144274,12.762798,1.2226518,1260,4.6372013,6.428933,-0.5686935,,17.42112,58.35476,1.5316883e-07,0.14999999,-0.98766345,2.6645856e-05,-0.59425783,7.9913815e-07
64,17.42112,19.209576,-0.9239426,292.33337,0.01010101,56.5832200050354,,17.210333,12.832291,0.8299098,1280,4.567709,6.246659,-0.58061546,,17.42112,57.38577,1.484197e-07,0.14999999,-0.38063967,1.1724381e-09,-0.61000615,2.538004
65,17.42112,19.209576,-0.9227943,292.43658,-0.2929293,58.43377733230591,,17.296816,12.900975,1.1379106,1300,4.4990244,4.782077,-0.6630235,,17.42112,57.860073,1.4388809e-07,0.14999999,-0.0343754,4.3503094,-0.58662015,3.2635078
66,17.42112,19.209576,-0.91785455,297.1798,-0.75757575,60.06300687789917,,12.656766,12.897276,0.9243856,1320,4.5027237,5.19501,-0.71099454,,17.42112,57.26522,1.3956085e-07,0.14999999,-0.816942,4.8523416e-05,-0.5528996,0.0017360034
67,17.42112,19.209576,-0.9138367,297.24316,-1.0,61.90999937057495,,17.336573,12.963533,1.2117497,1340,4.436466,6.1790295,-0.55773807,,17.42112,56.530815,1.3542595e-07,0.14999999,-1.0021281,2.206147,-0.56791115,7.7835887e-07
68,17.42112,19.209576,-0.90624636,297.4453,1.0,64.17367482185364,,17.197847,13.025804,1.1867923,1360,4.374196,16.676613,-0.5768176,,17.42112,56.033516,1.3147212e-07,0.14999999,0.803754,,-0.58272624,4.4747067e-13
69,17.42112,19.209576,-0.9086181,311.6225,0.65656567,67.42284440994263,,3.222861,12.883732,1.1314037,1380,4.516268,7.677464,-1.1652528,,17.42112,55.77051,1.2768895e-07,0.14999999,0.48662972,5.2698565,-0.597325,1.6613161e-06
70,17.42112,19.209576,-0.90884626,322.07397,0.37373737,70.78716444969177,,6.948594,12.7989435,0.905028,1400,4.601056,7.865519,-1.0190932,,17.42112,55.619007,1.2406676e-07,0.14999999,0.31176627,5.5514517,-0.61171377,0.008363372
71,17.42112,19.209576,-0.91205037,331.25427,-0.1919192,73.5814163684845,,8.219697,12.7344475,1.1906033,1420,4.665552,4.9000845,-1.0176255,,17.42112,55.625008,1.2059652e-07,0.14999999,-0.39440864,0.026201174,-0.6257789,4.873568
72,17.42112,19.209576,-0.90654755,331.38586,-0.5151515,75.80277729034424,,17.268261,12.797418,0.808736,1440,4.602582,5.708768,-0.6797715,,17.42112,56.27325,1.1726989e-07,0.14999999,-0.6312089,3.7961168,-0.57337666,0.29441863
73,17.42112,19.209576,-0.9068563,331.38098,-0.7979798,77.9792959690094,,17.404968,12.860534,1.0172354,1460,4.539466,4.959932,-0.72474825,,17.42112,55.80516,1.1407902e-07,0.14999999,-0.76911795,2.9590657,-0.5830892,0.000591954
74,17.42112,19.209576,-0.902581,331.42444,-0.6363636,80.81236720085144,,17.356567,12.921291,0.87480205,1480,4.4787083,5.348016,-0.59174436,,17.42112,54.874405,1.1101664e-07,0.14999999,-0.9333717,3.2488067,-0.5966867,0.032405853
75,17.42112,19.209576,-0.89957446,331.56726,-1.0,83.0849609375,,17.257132,12.979103,1.2319095,1500,4.4208965,6.284075,-0.5377,,17.42112,55.44516,1.0807592e-07,0.14999999,-1.0318527,4.125675,-0.6096719,8.115517e-07
76,17.42112,19.209576,-0.8939118,331.7688,0.13131313,85.22615337371826,,17.198486,13.034621,0.6336203,1520,4.3653784,7.723491,-0.6712595,,17.42112,54.446823,1.0525054e-07,0.14999999,-0.106635004,4.560274e-13,-0.6229171,0.7346391
77,17.42112,19.209576,-0.8960274,333.31476,-0.33333334,87.3638391494751,,15.853978,13.071236,1.0139067,1540,4.328764,4.930624,-0.6785506,,17.42112,54.26529,1.02534514e-07,0.14999999,-0.49054626,1.6731106,-0.6263693,2.5878685
78,17.42112,19.209576,-0.8932663,333.30615,-1.0,89.45949673652649,,17.408592,13.126843,1.2274207,1560,4.273156,6.030183,-0.67884153,,17.42112,54.174862,9.9922275e-08,0.14999999,-0.7312578,0.016397879,-0.6062165,8.087525e-07
79,17.42112,19.209576,-0.8871594,333.31982,-0.7979798,91.60556745529175,,17.386356,13.180761,1.058449,1580,4.2192383,4.6440897,-0.61036056,,17.42112,53.94423,9.74086e-08,0.14999999,-1.0208315,4.4353766,-0.6189555,0.00061357045
80,17.42112,19.209576,-0.88309956,333.51758,-0.07070707,93.72382926940918,,17.202257,13.23103,0.99130857,1600,4.168969,5.7649374,-0.60598105,,17.42112,53.435307,9.49886e-08,0.14999999,0.06694275,9.455734e-09,-0.6315265,4.1588283
81,17.42112,19.209576,-0.8837045,341.85388,0.8181818,95.8541967868805,,9.063852,13.179582,0.79944724,1620,4.220418,9.356583,-0.9060045,,17.42112,53.27865,9.265769e-08,0.14999999,0.91316426,2.3531957e-05,-0.5932698,2.5920943e-09
82,17.42112,19.209576,-0.8908814,357.7411,-0.4949495,97.96201586723328,,1.5125655,13.037303,0.83172625,1640,4.3626966,5.4568543,-1.2489141,,17.42112,53.00165,9.041153e-08,0.14999999,-0.46156925,6.7824276e-19,-0.6055399,0.41378313
83,17.42112,19.209576,-0.8902529,357.81458,0.45454547,100.06412672996521,,17.326603,13.088981,1.1169082,1660,4.311019,8.011531,-0.6594345,,17.42112,52.640003,8.8246054e-08,0.14999999,0.41232085,4.087517e-08,-0.61262786,0.0010578424
84,17.42112,19.209576,-0.8909774,367.65784,-1.0,102.16996359825134,,7.5567846,13.023121,1.1997932,1680,4.3768787,5.990054,-1.0329114,,17.42112,52.52581,8.6157456e-08,0.14999999,-0.7877237,4.1981686e-19,-0.6245913,8.237502e-07
85,17.42112,19.209576,-0.884864,367.71484,-0.67676765,104.34665131568909,,17.342987,13.073943,0.9317993,1700,4.3260565,4.972825,-0.54619837,,17.42112,52.485626,8.4142165e-08,0.14999999,-0.5130128,3.4931242,-0.63642573,0.013868829
86,17.42112,19.209576,-0.8833184,367.7755,-0.3939394,106.51865196228027,,17.339268,13.123541,0.9581808,1720,4.2764587,5.1325502,-0.6714773,,17.42112,52.643257,8.219674e-08,0.14999999,-0.39906016,3.798406,-0.64795864,1.5354257
87,17.42112,19.209576,-0.88082606,367.86414,-0.25252524,108.69290900230408,,17.311277,13.171676,1.1047906,1740,4.228324,4.801322,-0.6124762,,17.42112,51.753166,8.031802e-08,0.14999999,-0.39273015,3.044971,-0.6418232,4.2087593
88,17.42112,19.209576,-0.876486,367.97754,-0.4949495,110.83057975769043,,17.286613,13.218436,0.9391107,1760,4.1815634,5.0028043,-0.58610845,,17.42112,51.760475,7.850298e-08,0.14999999,-0.45578498,3.7889707,-0.60600907,0.41397732
89,17.42112,19.209576,-0.8739423,368.0426,0.23232323,113.05085849761963,,17.33502,13.264689,0.65418416,1780,4.13531,7.1514573,-0.5770171,,17.42112,51.653873,7.674878e-08,0.14999999,0.2917376,0.00012756693,-0.61261535,0.1554579
90,17.42112,19.209576,-0.8799959,377.1128,-0.83838385,115.38746070861816,,8.329749,13.209858,1.0655317,1800,4.1901417,4.5083776,-1.0637678,,17.42112,51.349854,7.505273e-08,0.14999999,-0.7639786,3.6375588e-12,-0.62204343,0.00018937468
91,17.42112,19.209576,-0.8756199,377.15857,1.0,117.55307364463806,,17.354328,13.255401,1.0811445,1820,4.144599,17.856253,-0.5338004,,17.42112,51.079796,7.3412274e-08,0.14999999,1.0254436,4.2308295e-30,-0.63309115,4.7058494e-13
92,17.42112,19.209576,-0.8821089,394.55847,-0.3939394,119.70267796516418,,,13.1113205,1.0171976,1840,4.288679,4.7940044,-1.4899993,,17.42112,50.962444,7.182504e-08,0.14999999,-0.3620716,4.2518055e-19,-0.64402026,1.5293905
93,17.42112,19.209576,-0.8783881,394.6792,0.5959596,122.43571710586548,,17.279274,13.156137,1.1098741,1860,4.243862,8.387725,-0.54059404,,17.42112,50.844784,7.028872e-08,0.14999999,0.62734467,6.3341647e-09,-0.638344,1.4460322e-05
94,17.42112,19.209576,-0.87977016,406.55786,0.01010101,126.11356019973755,,5.521414,13.074916,0.8039943,1880,4.3250837,6.722901,-1.0870541,,17.42112,50.628384,6.880116e-08,0.14999999,0.12520802,0.0016595586,-0.64903915,2.6390288
95,17.42112,19.209576,-0.88331306,414.99597,-0.6363636,128.19981503486633,,8.961919,13.031621,0.9195091,1900,4.3683786,5.0133123,-1.0077537,,17.42112,50.502678,6.736033e-08,0.14999999,-0.6965708,1.8407298e-05,-0.63193333,0.033568412
96,17.42112,19.209576,-0.8810758,415.02393,-0.83838385,130.3207426071167,,17.371845,13.076833,1.0798153,1920,4.323167,4.48092,-0.57801557,,17.42112,50.439102,6.5964315e-08,0.14999999,-0.7384053,3.0321965,-0.6420514,0.00019320186
97,17.42112,19.209576,-0.87681216,415.04578,-0.3131313,132.4523184299469,,17.378271,13.121177,1.0605972,1940,4.278823,4.603945,-0.5342598,,17.42112,49.83912,6.461123e-08,0.14999999,-0.18054198,0.08154297,-0.6524121,3.0703926
98,17.42112,19.209576,-0.8736116,415.7129,0.33333334,134.6020472049713,,16.732964,13.158031,0.883028,1960,4.241968,8.093236,-0.6103561,,17.42112,49.824295,6.329935e-08,0.14999999,0.44959038,0.013847684,-0.6315057,0.02152238
99,17.42112,19.209576,-0.8767142,425.8485,-0.8181818,137.56529021263123,,7.2643156,13.098499,1.0653138,1980,4.3015003,4.4432454,-1.0462897,,17.42112,49.512337,6.2027055e-08,0.14999999,-0.8323102,2.331838e-15,-0.64143854,0.0003512572
100,17.42112,19.209576,-0.8721598,425.9198,-0.13131313,139.88256192207336,,17.32882,13.140802,1.0253576,2000,4.259197,5.424277,-0.47434494,,17.42112,49.445053,6.079271e-08,0.14999999,-0.25376567,7.733172e-05,-0.6514853,4.997745
101,17.42112,19.209576,-0.868852,426.25854,-1.0,142.1138470172882,,17.061127,13.179617,1.0957947,2020,4.2203827,6.5207644,-0.54856825,,17.42112,49.24599,5.9594853e-08,0.14999999,-0.9177766,1.9442648e-05,-0.61266696,8.1398633e-07
102,17.42112,19.209576,-0.8642407,426.39038,-0.61616164,144.3318531513214,,17.26819,13.219702,0.9283363,2040,4.180298,4.90687,-0.47537768,,17.42112,49.220787,5.8432047e-08,0.14999999,-0.7458643,0.56663966,-0.62251925,0.050459947
103,17.42112,19.209576,-0.861568,426.4309,0.7979798,146.5227828025818,,17.359495,13.259893,0.83510566,2060,4.140106,9.716467,-0.508093,,17.42112,48.931793,5.7302962e-08,0.14999999,0.4790946,4.3933112e-23,-0.63178086,6.4354473e-09
104,17.42112,19.209576,-0.86555445,436.81604,-0.8181818,148.71814227104187,,7.0148473,13.199845,1.0996928,2080,4.2001543,4.3038836,-1.0925653,,17.42112,48.92158,5.6206275e-08,0.14999999,-0.6722915,4.543727e-16,-0.6414428,0.00035125867
105,17.42112,19.209576,-0.86163276,436.82227,0.4949495,150.88481450080872,,17.393747,13.239788,1.2463008,2100,4.1602116,8.00201,-0.54139614,,17.42112,48.875275,5.5140777e-08,0.14999999,0.62045527,3.24294e-13,-0.65100884,0.00035046582
