DenMISEMeanLog,ReturnMax,Regret/t,ReturnMin,Bound,LQGmu1_actor,TimeElapsed,IWMin,TimestepsSoFar,ReturnLastEpisode,IWMax,ReturnMean,LQGsigma_higher,IWLastEpisode,LQGmu1_higher,Regret,ReturnAbsMax,ReturnStepMax,IWFirstEpisode,DenMISELogFirst,IWMean,Iteration,DenMISELogLast,Delta
-0.8551005,17.409286,4.7451944,,66.95933,0.48214483,38.23986077308655,,860,9.160149,7.577808,12.654805,0.14999999,0.73796976,0.33333334,204.0434,17.409286,19.197643,0.01294822,-0.601842,0.8997013,43,-0.79652995,3.2878697e-07
-0.86153674,17.409286,4.8739834,,66.36922,-0.94334424,39.24890971183777,,880,6.9881525,7.0596924,12.526016,0.14999999,4.5358534e-21,-1.0,214.45526,17.409286,19.197643,1.8019748e-06,-0.62453043,1.2080699,44,-0.9962883,3.140119e-07
-0.8517978,17.409286,4.769045,,65.43762,0.6331406,39.721996545791626,,900,17.248213,7.8250203,12.630955,0.14999999,3.905389e-24,0.6363636,214.60706,17.409286,19.197643,1.6784852e-06,-0.64700323,1.0162477,45,-0.57718,3.0021093e-07
-0.85490817,17.409286,4.925047,,65.270775,-0.67415273,40.27137207984924,,920,5.454898,4.505898,12.474953,0.14999999,3.279866e-20,-0.8181818,226.55212,17.409286,19.197643,0.0006650768,-0.66898215,1.0705864,46,-0.9654093,2.8730017e-07
-0.85023975,17.409286,4.8204136,,65.5737,-0.68549675,41.29434609413147,,940,17.392694,5.762354,12.579586,0.14999999,3.8368464,-0.5555556,226.55945,17.409286,19.197643,0.24316221,-0.69047385,0.8897864,47,-0.67903113,2.7520463e-07
-0.8481663,17.409286,4.7202997,,64.11682,-0.3405356,42.4398717880249,,960,17.38509,6.1911654,12.6797,0.14999999,0.00035423215,-0.030303031,226.57434,17.409286,19.197643,3.2081845,-0.70636696,0.9864916,48,-0.61579007,2.6385726e-07
-0.8462975,17.409286,4.628583,,64.78282,-0.2937839,43.66587233543396,,980,17.17386,5.4205775,12.771417,0.14999999,5.4205775,-0.33333334,226.80054,17.409286,19.197643,3.1234398,-0.6622879,1.0276917,49,-0.7131736,2.531974e-07
-0.8416527,17.409286,4.54165,,63.415825,-0.8222166,44.79756498336792,,1000,17.118006,5.0805454,12.85835,0.14999999,0.13265939,-0.6969697,227.08252,17.409286,19.197643,0.01399449,-0.6206961,1.0343213,50,-0.61426556,2.4317083e-07
-0.83559626,17.409286,4.4537964,,62.082542,-0.92459,45.79531192779541,,1020,17.338861,4.579911,12.946203,0.14999999,4.4325256,-0.85858583,227.14362,17.409286,19.197643,0.00019922377,-0.6402189,1.1538917,51,-0.540182,2.3372819e-07
-0.82710296,17.409286,4.3706713,,62.09111,-0.25034803,46.65980935096741,,1040,17.268757,5.075981,13.029328,0.14999999,0.00019554807,-0.25252524,227.2749,17.409286,19.197643,4.6214886,-0.6596331,1.1388518,52,-0.51924956,2.248251e-07
