IWMean,ReturnMean,IWFirstEpisode,Regret,TimeElapsed,IWLastEpisode,IWMin,Delta,LQGmu1_actor,TimestepsSoFar,LQGmu1_higher,DenMISEMeanLog,Iteration,Regret/t,DenMISELogLast,ReturnStepMax,LQGsigma_higher,Bound,ReturnAbsMax,ReturnLastEpisode,DenMISELogFirst,ReturnMax,ReturnMin,IWMax
1.0625552,12.402151,1.7666204,174.92471,36.84040284156799,3.0105968,,4.9626703e-07,-0.26618317,700,-0.1919192,-0.83303165,35,4.9978485,-0.6855188,19.194098,0.14999999,73.37074,17.406137,17.25124,-0.79204077,17.406137,,5.669096
0.6598938,12.533336,7.514192e-09,175.19989,38.062546491622925,1.6776581e-15,,4.6907957e-07,1.0712581,720,1.0,-0.8267599,36,4.866664,-0.62754816,19.194098,0.14999999,72.64276,17.406137,17.124779,-0.77096933,17.406137,,6.5891514
1.0380063,12.194596,0.00040652655,192.59991,38.932289123535156,3.6289728e-27,,4.4406656e-07,-0.62315756,740,-0.61616164,-0.85263246,37,5.2054033,-1.4161978,19.194098,0.14999999,71.526405,17.406137,,-0.7983683,17.406137,,5.232522
0.9587847,12.3310995,2.1534668e-10,192.61823,39.44140958786011,0.20391598,,4.2100217e-07,-0.8151979,760,-1.0,-0.84555775,38,5.0689,-0.5875546,19.194098,0.14999999,70.07951,17.406137,17.381716,-0.82502556,17.406137,,8.624425
1.07213,12.459684,0.27870762,192.6723,39.921098470687866,0.027620504,,3.996891e-07,-0.26141942,780,-0.33333334,-0.8415132,39,4.9403152,-0.59247667,19.194098,0.14999999,69.41161,17.406137,17.345907,-0.851001,17.406137,,5.2782745
1.1462463,12.575132,4.510756e-06,192.99469,40.58015418052673,0.02059372,,3.799544e-07,-0.71179503,800,-0.75757575,-0.83485013,40,4.8248672,-0.6095189,19.194098,0.14999999,68.706795,17.406137,17.077621,-0.8691979,17.406137,,4.9172344
1.0376712,12.692174,4.937681,193.02081,41.60759258270264,0.0004872307,,3.6164613e-07,0.03489892,820,-0.07070707,-0.824769,41,4.7078257,-0.5282413,19.194098,0.14999999,67.7939,17.406137,17.373795,-0.8938904,17.406137,,5.246906
0.8494061,12.606492,2.1905136,201.32733,42.479880571365356,2.0613902,,3.4462983e-07,0.1342835,840,0.25252524,-0.8240107,42,4.7935076,-0.7976707,19.194098,0.14999999,67.185196,17.406137,9.093564,-0.8042743,17.406137,,7.3488708
1.1353935,12.521236,0.0004018264,209.78687,43.66779851913452,0.005368175,,3.2878697e-07,0.7291275,860,0.6969697,-0.8284195,43,4.878763,-0.83045846,19.194098,0.14999999,66.98587,17.406137,8.940477,-0.7769643,17.406137,,8.010944
1.0249051,12.333579,0.0022008077,222.92249,44.909831285476685,8.490063e-16,,3.140119e-07,-0.44298756,880,-0.5555556,-0.83052135,44,5.0664206,-0.9951441,19.194098,0.14999999,66.50282,17.406137,4.2643743,-0.79994446,17.406137,,5.136208
1.0896748,12.444656,0.51116186,222.99048,46.16665863990784,2.9533625,,3.0021093e-07,-0.08263208,900,-0.2929293,-0.82552445,45,4.9553432,-0.6051515,19.194098,0.14999999,65.19775,17.406137,17.332012,-0.8223673,17.406137,,5.0400352
