ReturnMax,DenMISELogLast,IWMax,ReturnAbsMax,IWMean,IWLastEpisode,DenMISELogFirst,ReturnMean,Regret,LQGsigma_higher,TimestepsSoFar,Iteration,DenMISEMeanLog,Bound,LQGmu1_actor,ReturnMin,IWFirstEpisode,LQGmu1_higher,ReturnStepMax,TimeElapsed,Delta,Regret/t,ReturnLastEpisode,IWMin
17.385342,-0.9828165,5.8773656,17.385342,1.2066247,8.3485575e-05,-0.7780083,12.184178,208.63287,0.14999999,800,40,-0.86808336,68.82191,0.22133502,,5.6752186,-0.030303031,19.174316,37.289260149002075,3.799544e-07,5.2158213,4.8397236,
17.385342,-0.90253425,5.1806545,17.385342,1.0402738,0.018382655,-0.67002445,12.098188,217.37424,0.14999999,820,41,-0.8650821,67.80617,-0.34991348,,1.5624812,-0.2929293,19.174316,38.48448371887207,3.6164613e-07,5.301811,8.658624,
17.385342,-0.56897867,6.019231,17.385342,0.7340121,7.874528e-05,-0.6567209,12.220656,217.53241,0.14999999,840,42,-0.85775965,67.76925,0.0985392,,0.11394545,0.35353535,19.174316,39.64734983444214,3.4462983e-07,5.179343,17.241838,
17.385342,-0.7772272,9.835406,17.385342,0.836116,1.3051518e-11,-0.6775421,12.146135,225.9162,0.14999999,860,43,-0.8625619,67.61957,-1.0041959,,1.577794e-08,-1.0,19.174316,40.643274545669556,3.2878697e-07,5.2538643,9.016247,
17.385342,-0.864681,5.1925497,17.385342,1.0780545,2.9269056,-0.7005316,12.26105,226.11377,0.14999999,880,44,-0.8671768,66.52618,-1.0916975,,1.5367425e-05,-0.8181818,19.174316,41.37868070602417,3.140119e-07,5.1389494,17.202381,
17.385342,-1.1998063,5.0583334,17.385342,1.0647887,0.0005964263,-0.7230041,12.370764,226.31561,0.14999999,900,45,-0.87367785,64.80958,-0.3475211,,0.24491644,-0.43434343,19.174316,41.847299337387085,3.0021093e-07,5.029236,17.198189,
17.385342,-0.5688351,8.17899,17.385342,1.130491,7.6859205e-12,-0.7395552,12.477149,226.45111,0.14999999,920,46,-0.86637574,64.770805,0.8748181,,1.946505e-06,0.75757575,19.174316,42.440149545669556,2.8730017e-07,4.9228506,17.2645,
17.385342,-1.0586663,8.596835,17.385342,0.98330486,9.160448e-34,-0.7610614,12.257142,241.7143,0.14999999,940,47,-0.86899203,64.76317,-0.7053597,,1.7152292e-08,-1.0,19.174316,43.253395318984985,2.7520463e-07,5.1428576,2.1368012,
17.385342,-0.6438312,6.4511075,17.385342,1.212834,3.8483836e-06,-0.78211474,12.363423,241.75562,0.14999999,960,48,-0.86552936,64.29645,0.021922767,,3.49655,0.09090909,19.174316,44.16084575653076,2.6385726e-07,5.0365763,17.358639,
17.385342,-0.74780214,5.2313046,17.385342,0.9429332,0.00036933122,-0.73242027,12.29817,249.98962,0.14999999,980,49,-0.85975677,64.05496,-0.7376966,,0.0034748507,-0.6363636,19.174316,44.69111633300781,2.531974e-07,5.1018295,9.165975,
17.3875,-0.59015715,5.23722,17.3875,1.0572248,0.016452672,-0.75255203,12.399956,250.0022,0.14999999,1000,50,-0.8558826,63.716858,-0.25657085,,2.9259472,-0.23232323,19.177252,45.46134614944458,2.4317083e-07,5.000044,17.3875,
17.3875,-0.6094419,15.440811,17.3875,1.03744,2.8240546e-15,-0.71548396,12.489296,250.44586,0.14999999,1020,51,-0.8504133,61.973946,1.2695454,,7.660576e-11,1.0,19.177252,45.959370374679565,2.3372819e-07,4.9107037,16.956247,
17.3875,-3.1474476,4.9525003,17.3875,1.063721,,-0.734902,12.249117,267.8459,0.14999999,1040,52,-0.8952683,61.8951,-0.70297074,,3.11238e-05,-0.7979798,19.177252,46.5611789226532,2.248251e-07,5.1508827,,
17.3875,-0.5759878,4.922497,17.3875,1.1004018,0.22716166,-0.75394964,12.345991,267.86243,0.14999999,1060,53,-0.8885962,61.321068,-0.356138,,1.0792818,-0.33333334,19.177252,47.47236132621765,2.1642118e-07,5.0540085,17.383476,
17.3875,-0.5494176,7.0814404,17.3875,0.73289543,0.00021904962,-0.75248253,12.436561,268.0257,0.14999999,1080,54,-0.88097304,60.70268,0.2937857,,0.2542852,0.3131313,19.177252,48.33165907859802,2.0847979e-07,4.963439,17.236729,
17.3875,-0.93611175,4.9712644,17.3875,0.96364665,1.5530757e-07,-0.7661337,12.361692,277.10693,0.14999999,1100,55,-0.8871973,60.666145,-0.61085194,,0.00975061,-0.5959596,19.177252,50.065128564834595,2.0096763e-07,5.038307,8.3188305,
17.398935,-0.5625803,5.8690352,17.398935,1.1192248,0.0043535433,-0.78397495,12.451643,277.10797,0.14999999,1120,56,-0.88233197,60.622364,-0.22914338,,5.812418,-0.05050505,19.1871,52.13042426109314,1.9385428e-07,4.9483566,17.398935,
17.398935,-0.6118153,8.447152,17.398935,0.73691386,2.7414671e-06,-0.7029219,12.531236,277.51953,0.14999999,1140,57,-0.8760294,59.617332,0.56048894,,0.0006680709,0.57575756,19.1871,54.931185722351074,1.8711206e-07,4.868764,16.98845,
17.398935,-1.0324159,4.841071,17.398935,1.1341187,6.9848466e-07,-0.720302,12.422843,288.67505,0.14999999,1160,58,-0.8837105,59.63182,-0.021080852,,1.6430472,-0.2929293,19.1871,56.99283480644226,1.8071556e-07,4.9771566,6.244446,
17.398935,-0.7430846,9.02573,17.398935,0.8563888,3.156172e-09,-0.7094618,12.410141,294.40167,0.14999999,1180,59,-0.8794844,59.26473,-1.0009601,,1.6289688e-08,-1.0,19.1871,58.811718463897705,1.7464151e-07,4.9898586,11.673352,
17.398935,-0.8151359,4.9016094,17.398935,1.0437053,1.283212,-0.72626895,12.489859,294.60846,0.14999999,1200,60,-0.88128716,58.807526,-0.55871224,,0.00020738132,-0.7373737,19.1871,60.590977907180786,1.6886865e-07,4.910141,17.193216,
17.398935,-0.58928823,4.6951017,17.398935,1.0392133,4.380317,-0.7427948,12.570021,294.62878,0.14999999,1220,61,-0.87616056,58.701965,-0.56285787,,0.08407674,-0.4949495,19.1871,63.221508502960205,1.6337734e-07,4.829979,17.379719,
17.398935,-0.5366568,6.525052,17.398935,1.131612,0.00010170222,-0.757678,12.647879,294.63147,0.14999999,1240,62,-0.8703515,58.37055,0.2535299,,2.5078282,0.13131313,19.1871,66.18803668022156,1.581496e-07,4.752121,17.39719,
17.398935,-0.9389864,8.648365,17.398935,1.0479999,0.009371612,-0.7340261,12.582347,303.5121,0.14999999,1260,63,-0.86990553,57.3702,0.7482625,,4.2974074e-07,0.7979798,19.1871,67.95715856552124,1.5316883e-07,4.8176527,8.519429,
17.398935,-1.0642358,5.245465,17.398935,1.0537466,2.633238e-07,-0.74977446,12.448357,316.90515,0.14999999,1280,64,-0.8728944,57.23195,-0.10109411,,5.033383,-0.13131313,19.1871,69.71200227737427,1.484197e-07,4.951643,4.006987,
17.398935,-0.6611399,4.760775,17.398935,1.0250084,0.022310004,-0.6895715,12.485549,319.43933,0.14999999,1300,65,-0.8691294,57.07569,-0.3844933,,0.009031942,-0.5959596,19.1871,71.4691116809845,1.4388809e-07,4.9144506,14.865827,
17.398935,-0.5423738,5.729519,17.398935,0.69161385,3.1974216e-06,-0.70470005,12.557235,319.62256,0.14999999,1320,66,-0.86405593,56.616543,0.26993713,,0.03613261,0.41414142,19.1871,73.19789099693298,1.3956085e-07,4.842765,17.216812,
