ReturnMax,LQGmu1_higher,ReturnAbsMax,LQGmu1_actor,Iteration,ReturnStepMax,IWFirstEpisode,Regret/t,Delta,IWMax,IWLastEpisode,DenMISELogLast,Bound,ReturnMin,ReturnMean,ReturnLastEpisode,IWMin,LQGsigma_higher,DenMISEMeanLog,Regret,TimeElapsed,IWMean,TimestepsSoFar,DenMISELogFirst
17.395481,-0.7777778,17.395481,-1.0018253,36,19.184929,0.0012390671,5.431738,4.6907957e-07,5.098897,3.0634973e-21,-0.9197663,71.78582,,11.968262,4.5259094,,0.14999999,-0.9332606,195.54254,29.6157124042511,1.1479765,720,-0.77076083
17.395481,-0.33333334,17.395481,-0.44743347,37,19.184929,3.0633092,5.29031,4.4406656e-07,5.7803974,0.00025966088,-0.6963867,71.69911,,12.10969,17.201086,,0.14999999,-0.92419827,195.74146,30.59515404701233,1.0397784,740,-0.7981254
17.395481,0.13131313,17.395481,0.25373456,38,19.184929,0.8346329,5.153864,4.2100217e-07,7.2725782,0.00318748,-0.7165751,69.42558,,12.246136,17.294607,,0.14999999,-0.9189852,195.84686,31.471590757369995,0.8057317,760,-0.74525064
17.395481,-0.5151515,17.395481,-0.4797553,39,19.184929,0.34888902,5.249446,3.996891e-07,5.046743,1.2991863e-05,-0.9080955,69.11776,,12.150554,8.518484,,0.14999999,-0.92455965,204.72836,32.31308102607727,0.78109455,780,-0.74949986
17.395481,-1.0,17.395481,-0.9739191,40,19.184929,9.345616e-07,5.119114,3.799544e-07,7.6675,0.012460306,-0.6511586,68.758606,,12.280886,17.363823,,0.14999999,-0.92356443,204.76456,33.3874945640564,1.1714876,800,-0.7659115
17.395481,-0.11111111,17.395481,-0.22643577,41,19.184929,5.543114,4.998662,3.6164613e-07,6.0408854,3.1937083e-07,-0.6079653,67.61537,,12.401338,17.219387,,0.14999999,-0.913112,204.94513,34.187994956970215,0.87533367,820,-0.7906041
17.395481,0.37373737,17.395481,0.40383354,42,19.184929,0.009112913,4.890175,3.4462983e-07,7.3166738,0.0017205803,-0.6613435,66.91687,,12.509825,16.957846,,0.14999999,-0.910727,205.38733,35.107731103897095,1.0690196,840,-0.6878947
17.395481,-0.35353535,17.395481,-0.31873137,43,19.184929,2.3848777,5.003894,3.2878697e-07,5.258741,1.8656578e-05,-0.8793459,66.54359,,12.396106,7.6198525,,0.14999999,-0.9094798,215.16748,36.57922911643982,1.0701823,860,-0.7112082
17.395481,0.8181818,17.395481,1.0023743,44,19.184929,2.8779399e-09,4.8951664,3.140119e-07,8.659723,1.6046226e-12,-0.5875017,66.325455,,12.504833,17.180088,,0.14999999,-0.9014313,215.38733,37.44416308403015,0.75916076,880,-0.6802189
17.395481,-0.8181818,17.395481,-0.963489,45,19.184929,0.00036905307,5.173052,3.0021093e-07,5.0833044,1.0072237e-31,-1.3027716,65.99867,,12.226948,,,0.14999999,-0.91634786,232.78735,38.21566081047058,1.0996811,900,-0.70269173
17.395481,-1.0,17.395481,-1.1045088,46,19.184929,8.967968e-07,5.0642185,2.8730017e-07,7.325517,4.8783865,-0.6362565,65.09767,,12.335781,17.233326,,0.14999999,-0.90885496,232.95404,38.99279260635376,1.1937246,920,-0.7246625
17.395481,-0.23232323,17.395481,-0.14833033,47,19.184929,5.015896,4.960739,2.7520463e-07,5.306543,3.4223058e-07,-1.0386529,63.807835,,12.4392605,17.199272,,0.14999999,-0.9085518,233.15472,39.76462984085083,1.0542033,940,-0.7461687
17.395481,0.5555556,17.395481,0.4216269,48,19.184929,5.661661e-05,4.8730936,2.6385726e-07,7.4438033,8.6915556e-05,-0.6813665,63.399532,,12.526906,16.646315,,0.14999999,-0.9033582,233.90845,40.55286192893982,1.1677274,960,-0.6658203
17.395481,-0.5959596,17.395481,-0.80056494,49,19.184929,0.07953057,4.9759645,2.531974e-07,5.00955,6.7356876e-10,-0.9141054,63.19705,,12.424035,7.486126,,0.14999999,-0.90127486,243.82227,41.3231840133667,0.7402415,980,-0.68643844
17.395481,-1.0,17.395481,-0.9320264,50,19.184929,8.7935217e-07,4.8775654,2.4317083e-07,6.8684077,1.9510711,-0.57407135,63.08046,,12.522434,17.344007,,0.14999999,-0.90013814,243.8783,42.0990355014801,1.2297587,1000,-0.70501935
17.395481,0.23232323,17.395481,0.21242452,51,19.184929,0.17515683,4.7847147,2.3372819e-07,7.3910666,3.6676952e-13,-0.5146681,62.827473,,12.615285,17.257812,,0.14999999,-0.8889771,244.02045,42.87340950965881,0.8870572,1020,-0.724822
