Iteration,Delta,ReturnAbsMax,ReturnMin,LQGmu1_actor,ReturnMax,Bound,Regret/t,DenMISELogLast,LQGsigma_higher,ReturnMean,IWMin,Regret,IWMax,IWMean,ReturnStepMax,DenMISELogFirst,DenMISEMeanLog,ReturnLastEpisode,TimeElapsed,IWFirstEpisode,LQGmu1_higher,IWLastEpisode,TimestepsSoFar
34,5.258885e-07,17.400105,,-0.5900595,17.400105,73.19774,5.5150127,-0.59582597,0.14999999,11.884987,,187.5104,5.061489,1.0223303,19.188356,-0.7320466,-0.910641,17.361246,23.286120414733887,1.752374,-0.53535354,1.470757,680
35,4.9626703e-07,17.400105,,0.77625436,17.400105,72.425674,5.358616,-0.5638452,0.14999999,12.041384,,187.55157,15.298548,0.95692354,19.188356,-0.710778,-0.90101945,17.358873,23.741960763931274,1.6728962e-16,1.0,1.8586764e-24,700
36,4.6907957e-07,17.400105,,-1.1423366,17.400105,70.73599,5.5925856,-0.98251367,0.14999999,11.807414,,201.33307,8.345458,0.96603066,19.188356,-0.7389489,-0.9077265,3.6184547,24.254404544830322,0.00013287348,-1.0,2.5227612e-30,720
37,4.4406656e-07,17.400105,,-0.4474798,17.400105,70.279045,5.446884,-1.3915379,0.14999999,11.953115,,201.5347,5.6945972,0.9118941,19.188356,-0.7663442,-0.92339766,17.198372,24.712347745895386,5.6945972,-0.2929293,1.1642227e-06,740
38,4.2100217e-07,17.400105,,-0.41629565,17.400105,70.30017,5.3054514,-0.62817705,0.14999999,12.094548,,201.60718,4.789542,1.1705282,19.188356,-0.64985794,-0.91890836,17.327541,25.79070496559143,0.46353018,-0.6363636,2.2558665,760
39,3.996891e-07,17.400105,,0.33296895,17.400105,69.01088,5.170556,-0.6120585,0.14999999,12.229444,,201.65167,7.331009,0.89749557,19.188356,-0.66370904,-0.90776885,17.355465,26.806431770324707,0.0048025707,0.25252524,0.00023634097,780
40,3.799544e-07,17.400105,,-0.48032576,17.400105,68.50119,5.2739115,-0.90689063,0.14999999,12.126088,,210.95648,4.994381,1.086817,19.188356,-0.68890375,-0.911173,8.095236,27.851080417633057,3.7136946,-0.43434343,1.3692376e-05,800
41,3.6164613e-07,17.400105,,0.68178964,17.400105,67.93997,5.146351,-0.5195946,0.14999999,12.253649,,211.00037,7.529261,1.201312,19.188356,-0.6248144,-0.9003299,17.356104,28.383216381072998,8.9159524e-10,0.6969697,1.8791766e-13,820
42,3.4462983e-07,17.400105,,-0.21384107,17.400105,67.839874,5.322093,-0.9474882,0.14999999,12.077907,,223.52792,6.7183805,1.0599009,19.188356,-0.6489119,-0.8983551,4.8724723,28.985921144485474,0.53756857,0.01010101,0.0003034681,840
43,3.2878697e-07,17.400105,,-0.9852508,17.400105,66.61688,5.2113714,-0.72885746,0.14999999,12.188628,,224.08899,8.087618,0.9872252,19.188356,-0.65972435,-0.89424473,16.838936,29.456253051757812,0.00012275283,-1.0,5.978654e-06,860
