Iteration,DenMISEMeanLog,ActionIn1,Bound,BoundBonus,Delta,NumTrajectories,TimestepsSoFar,IWMax,ReturnMax,InvPendulum_std0_higher,Regret,AvgEpLen,DenMISELogFirst,InvPendulum_std2_higher,IWLastEpisode,GridSize,InvPendulum_mu3_higher,InvPendulum_mu1_higher,InvPendulum_mu2_higher,ReturnMin,IWMean,MinEpLen,BoundMISE,IWMin,Regret/t,NumTrainableParams,ReturnLastEpisode,IWFirstEpisode,ReturnMean,TimeElapsed,ReturnAbsMax,InvPendulum_std3_higher,InvPendulum_mu0_higher,DenMISELogLast,InvPendulum_std1_higher
32,5.4793153,-0.042969584,2611.6753,3005.0715,6.984457e-06,32,1251,32.0,-104.27958,0.03,4213.994,39.09375,2.88066,0.03,,16,0.2,-0.2,0.2,-499.0767,1.0,13,-393.3962,,131.68732,,-111.436386,,-126.68732,5.351837396621704,499.0767,0.03,-0.2,6.316448,0.03
33,5.5050855,-0.43125463,inf,inf,1.3615693e-06,33,1285,2.1868816e-11,-104.27958,0.03,4349.704,38.93939393939394,2.8498886,0.03,1.5360247e-18,81,,-0.2,,-499.0767,8.8111744e-13,13,-3.5698033e-10,,131.8092,,-130.7102,,-126.80921,5.505528926849365,499.0767,0.03,-0.2,6.6212687,0.03
34,5.5061407,-0.3893168,inf,inf,1.2826548e-06,34,1785,5.8514e-09,-104.27958,0.03,4814.4336,52.5,2.8200355,0.03,8.509691e-21,81,,-0.2,-0.2,-499.0767,1.721e-10,13,-1.865268e-08,,141.60098,,-459.7294,,-136.60098,10.062727928161621,499.0767,0.03,,6.526119,0.03
35,5.437318,-0.43804502,inf,inf,1.2104073e-06,35,1816,3.5802573e-11,-104.27958,0.03,4945.6895,51.885714285714286,2.791048,0.03,3.5802573e-11,81,-0.2,-0.2,,-499.0767,1.0294149e-12,13,-1.2992993e-10,,141.30542,,-126.25585,,-136.30542,10.5104660987854,499.0767,0.03,,4.0829115,0.03
36,5.393133,-0.0050427318,inf,inf,1.1440965e-06,36,1880,2.3100158e-06,-98.63016,0.03,5049.3193,52.22222222222222,2.762877,0.03,,81,0.2,-0.2,,-499.0767,6.416737e-08,13,-3.2024334e-05,,140.25887,,-98.63016,,-135.25887,11.02161693572998,499.0767,0.03,,4.832659,0.03
37,5.299576,-0.13096428,inf,inf,1.0830892e-06,37,1961,8.467812e-08,-98.63016,0.03,5233.074,53.0,2.7354782,0.03,8.467812e-08,81,,-0.2,0.2,-499.0767,2.2885982e-09,13,-4.0909745e-07,,141.43443,,-178.7546,,-136.43443,11.535593032836914,499.0767,0.03,,2.9178698,0.03
38,5.23901,-0.076055154,inf,inf,1.0268345e-06,38,2002,1.4721285e-11,-98.63016,0.03,5377.613,52.68421052631579,2.7088099,0.03,7.8900896e-18,81,,-0.2,,-499.0767,3.9425947e-13,13,-5.0117698e-11,,141.51613,,-139.53831,,-136.51613,11.972829818725586,499.0767,0.03,0.2,3.9847827,0.03
39,5.183489,-0.54411143,inf,inf,9.748514e-07,39,2205,1.3468779e-10,-98.63016,0.03,5663.9688,56.53846153846154,2.6828344,0.03,,81,,,-0.2,-499.0767,3.454282e-12,13,-3.8205458e-10,,145.22997,,-281.3562,,-140.22997,12.665398836135864,499.0767,0.03,-0.2,4.0607824,0.03
40,5.1012945,-0.43550247,inf,inf,9.267181e-07,40,2226,2.0899176e-09,-98.63016,0.03,5775.656,55.65,2.6575165,0.03,2.5781291e-14,81,-0.2,,,-499.0767,5.2253736e-11,13,-6.278867e-09,,144.39139,,-106.687065,,-139.39139,13.090687274932861,499.0767,0.03,-0.2,2.8831162,0.03
41,5.1016793,-0.00069341063,inf,inf,8.820637e-07,41,2437,6.258015e-06,-98.63016,0.03,5892.7827,59.4390243902439,2.632824,0.03,7.493436e-36,81,0.2,,,-499.0767,1.5263454e-07,13,-7.617633e-05,,143.72641,,-112.126854,,-138.72641,13.832878589630127,499.0767,0.03,-0.2,6.104757,0.03
42,5.103237,-0.0142816175,inf,inf,8.405606e-07,42,2557,1.3638947e-12,-98.63016,0.03,6112.451,60.88095238095238,2.6087265,0.03,1.485344e-20,81,,,0.2,-499.0767,4.102861e-14,13,-4.5816e-12,,145.53455,,-214.6687,,-140.53455,14.41561222076416,499.0767,0.03,-0.2,6.155133,0.03
43,5.082867,-0.3935639,inf,inf,8.019195e-07,43,2578,5.0964004e-11,-98.63016,0.03,6234.2812,59.95348837209303,2.5851958,0.03,,81,-0.2,,-0.2,-499.0767,1.5343942e-12,13,-1.7588353e-10,,144.98329,,-116.82991,,-139.98329,14.860033988952637,499.0767,0.03,,5.2155685,0.03
44,5.0608373,0.03633453,inf,inf,7.658827e-07,44,2594,1.4651769e-06,-98.63016,0.03,6348.8,58.95454545454545,2.5622063,0.03,,81,0.2,,-0.2,-499.0767,3.3300054e-08,13,-3.6091542e-06,,144.29091,,-109.518234,,-139.29091,15.320926666259766,499.0767,0.03,,5.102138,0.03
45,5.0482883,-0.0020340327,inf,inf,7.3222174e-07,45,2614,4.940602e-10,-98.63016,0.03,6466.8496,58.08888888888889,2.5397334,0.03,1.0740473e-15,81,,,,-499.0767,1.0979145e-11,13,-1.962571e-09,,143.70776,,-113.05013,,-138.70776,15.781253814697266,499.0767,0.03,,5.484914,0.03
46,5.0505543,0.036790177,inf,inf,7.0073213e-07,46,2646,3.4459523e-14,-98.63016,0.03,6599.7607,57.52173913043478,2.5177546,0.03,8.842487e-17,81,-0.2,,0.2,-499.0767,7.689392e-16,13,-8.966178e-14,,143.47305,,-127.9112,,-138.47305,16.21733784675598,499.0767,0.03,,6.1415906,0.03
47,5.0505896,0.49184042,inf,inf,6.7123085e-07,47,2668,4.8420673e-10,-98.63016,0.03,6709.5215,56.765957446808514,2.4962485,0.03,1.2654336e-33,81,0.2,,0.2,-499.0767,1.0556248e-11,13,-5.1869775e-09,,142.75578,,-104.760544,,-137.75578,16.648648977279663,499.0767,0.03,,6.041494,0.03
48,5.031639,-0.02984976,inf,inf,6.435543e-07,48,2695,5.1816895e-13,-98.63016,0.03,6836.112,56.145833333333336,2.475195,0.03,,81,,,-0.2,-499.0767,1.1111306e-14,13,-1.2280486e-12,,142.41899,,-121.5903,,-137.41899,17.149415969848633,499.0767,0.03,0.2,5.1304774,0.03
49,5.0057726,0.010115519,inf,inf,6.175547e-07,49,2709,3.8455983e-12,-98.63016,0.03,6950.124,55.285714285714285,2.4545758,0.03,3.2100383e-22,81,-0.2,,,-499.0767,8.3463686e-14,13,-9.634814e-12,,141.83926,,-109.012024,,-136.83926,17.668413877487183,499.0767,0.03,0.2,4.7539086,0.03
50,5.0067377,0.27227592,inf,inf,5.930996e-07,50,2731,1.4658557e-14,-98.63016,0.03,7073.115,54.62,2.434373,0.03,,81,0.2,,,-499.0767,4.3010978e-16,13,-5.6398306e-14,,141.46231,,-117.991234,,-136.46231,18.15383219718933,499.0767,0.03,0.2,6.043961,0.03
51,4.9574904,0.4700135,inf,inf,5.700688e-07,51,2765,1.5838852e-15,-98.63016,0.03,7208.5674,54.21568627450981,2.4145703,0.03,6.0130513e-18,81,,,0.2,-499.0767,8.552039e-17,13,-1.0147965e-14,,141.34445,,-130.45259,,-136.34445,18.617340564727783,499.0767,0.03,0.2,3.4852438,0.03
52,4.932529,-0.050913863,inf,inf,5.483539e-07,52,2787,2.0585906e-14,-98.63016,0.03,7329.784,53.59615384615385,2.3951523,0.03,,81,,0.2,,-499.0767,4.228994e-16,13,-4.8371937e-14,,140.95738,,-116.21697,,-135.95738,19.146231174468994,499.0767,0.03,-0.2,4.6498446,0.03
53,4.9015365,0.07572062,inf,inf,5.2785657e-07,53,2874,6.7395395e-11,-98.63016,0.03,7482.421,54.22641509433962,2.376104,0.03,1.9420405e-13,81,,0.2,-0.2,-499.0767,1.2880021e-12,13,-1.4233949e-10,,141.17775,,-147.63676,,-136.17775,19.753589391708374,499.0767,0.03,,4.2804146,0.03
54,4.867687,-0.013832152,inf,inf,5.084873e-07,54,2900,4.6521294e-11,-98.63016,0.03,7597.1025,53.7037037037037,2.3574119,0.03,1.3963931e-23,81,-0.2,0.2,,-499.0767,8.6284067e-13,13,-1.2734078e-10,,140.68709,,-109.68094,,-135.68709,20.309102773666382,499.0767,0.03,,4.0643444,0.03
55,4.8722296,0.53861594,inf,inf,4.9016495e-07,55,2920,9.792897e-13,-98.63016,0.03,7711.937,53.09090909090909,2.339063,0.03,1.0632691e-37,81,0.2,0.2,,-499.0767,3.0353422e-14,13,-3.4073222e-12,,140.21704,,-109.83463,,-135.21704,20.836530208587646,499.0767,0.03,,6.1084027,0.03
56,4.818493,0.3498924,inf,inf,4.7281532e-07,56,2957,7.084475e-13,-98.63016,0.03,7852.481,52.80357142857143,2.3210442,0.03,2.0024018e-15,81,,0.2,0.2,-499.0767,2.2146374e-14,13,-2.508866e-12,,140.22287,,-135.54396,,-135.22287,21.3854763507843,499.0767,0.03,,2.8539631,0.03
57,4.793519,0.42396572,inf,inf,4.563709e-07,57,2974,1.2336159e-11,-98.63016,0.03,7966.9165,52.175438596491226,2.3033447,0.03,1.2336159e-11,81,,0.2,,-499.0767,2.1674042e-13,13,-2.3719705e-11,,139.77046,,-109.43564,,-134.77046,21.91998839378357,499.0767,0.03,0.2,4.3861938,0.03
58,4.758468,-0.5650302,5645840400000.0,5645840400000.0,4.4076967e-07,58,2996,7.832593e-07,-98.63016,0.03,8091.1274,51.6551724137931,2.285953,0.03,,81,,-0.2,-0.2,-499.0767,2.1744794e-08,13,-2.5560269e-06,,139.5022,,-119.21102,,-134.5022,22.444868087768555,499.0767,0.03,-0.2,3.7518616,0.03
59,4.7372093,-0.6333157,5652431000000.0,5652431000000.0,4.259549e-07,59,3496,0.036637444,-98.63016,0.03,8458.204,59.25423728813559,2.2688587,0.03,3.2570815e-12,81,-0.2,-0.2,,-499.0767,0.00062097627,13,-0.07461814,,143.35939,,-362.07666,,-138.35939,23.66395902633667,499.0767,0.03,-0.2,4.4956746,0.03
60,4.6619687,-0.27263886,5658903600000.0,5658903600000.0,4.1187477e-07,60,3578,1.3081346,-88.530754,0.03,8551.734,59.63333333333333,2.2520514,0.03,,81,0.2,-0.2,,-499.0767,0.021802245,13,-10.880991,,142.5289,,-88.530754,,-137.5289,24.247615814208984,499.0767,0.03,-0.2,1.2137728,0.03
61,4.654437,-0.13247795,5665262000000.0,5665262000000.0,3.984813e-07,61,4078,0.00012304749,-88.530754,0.03,9054.498,66.85245901639344,2.235522,0.03,2.4376976e-19,81,,-0.2,0.2,-499.0767,2.6420548e-06,13,-0.00035453457,,148.43439,,-497.76352,,-143.43439,25.481640815734863,499.0767,0.03,-0.2,5.1727138,0.03
62,4.6529303,-0.5972959,5671510000000.0,5671510000000.0,3.8573074e-07,62,4114,0.00031641,-88.530754,0.03,9193.255,66.35483870967742,2.2192616,0.03,,81,-0.2,-0.2,-0.2,-499.0767,5.1254337e-06,13,-0.0006468689,,148.2783,,-133.75688,,-143.2783,26.027859210968018,499.0767,0.03,,5.5529423,0.03
63,4.6359367,-0.17868705,5677651600000.0,5677651600000.0,3.735825e-07,63,4169,6.9358497,-88.530754,0.03,9313.838,66.17460317460318,2.2032614,0.03,,81,0.2,-0.2,-0.2,-499.0767,0.11009294,13,-11.932182,,147.8387,,-115.58237,,-142.8387,26.63490891456604,499.0767,0.03,,4.5743465,0.03
64,4.6417704,-0.11529871,5683690300000.0,5683690300000.0,3.6199927e-07,64,4186,0.020157995,-88.530754,0.03,9429.977,65.40625,2.1875129,0.03,5.9286185e-18,81,,-0.2,,-499.0767,0.0003259534,13,-0.058171067,,147.34338,,-111.13833,,-142.34338,27.130746603012085,499.0767,0.03,,5.8969755,0.03
65,4.6216326,-0.1831853,5689628400000.0,5689628400000.0,3.5094652e-07,65,4459,8.808445e-07,-88.530754,0.03,9789.286,68.6,2.1720088,0.03,2.3036482e-18,81,-0.2,-0.2,0.2,-499.0767,3.52575e-08,13,-3.8680055e-06,,150.6044,,-354.30978,,-145.6044,28.01068425178528,499.0767,0.03,,4.324789,0.03
66,4.611532,0.17806624,5695469500000.0,5695469500000.0,3.4039232e-07,66,4480,0.00047941206,-88.530754,0.03,9896.361,67.87878787878788,2.1567414,0.03,,81,0.2,-0.2,0.2,-499.0767,8.806501e-06,13,-0.002028575,,149.94487,,-102.07505,,-144.94487,28.532044649124146,499.0767,0.03,,4.9473557,0.03
67,4.6153646,-0.14354461,5701217300000.0,5701217300000.0,3.3030722e-07,67,4528,0.00012949317,-88.530754,0.03,10040.918,67.58208955223881,2.1417034,0.03,,81,,-0.2,-0.2,-499.0767,1.9343022e-06,13,-0.00024421036,,149.86444,,-139.55634,,-144.86444,29.093295335769653,499.0767,0.03,0.2,5.860818,0.03
68,4.574469,-0.18591361,5706875000000.0,5706875000000.0,3.206637e-07,68,4560,3.566313e-05,-88.530754,0.03,10175.678,67.05882352941177,2.1268883,0.03,3.095878e-19,81,-0.2,-0.2,,-499.0767,5.308811e-07,13,-0.00014825272,,149.64232,,-129.76085,,-144.64232,29.65072727203369,499.0767,0.03,0.2,2.8270917,0.03
69,4.551843,0.19001377,5712444000000.0,5712444000000.0,3.1143645e-07,69,4604,0.002816021,-88.530754,0.03,10307.656,66.72463768115942,2.1122894,0.03,8.128526e-36,81,0.2,-0.2,,-499.0767,4.114399e-05,13,-0.005369786,,149.38632,,-126.97747,,-144.38632,30.20395541191101,499.0767,0.03,0.2,4.0059743,0.03
70,4.5378723,0.20906922,5717927400000.0,5717927400000.0,3.0260182e-07,70,4679,1.2309449e-05,-88.530754,0.03,10486.266,66.84285714285714,2.0979009,0.03,3.8064205e-22,81,,-0.2,0.2,-499.0767,1.7667169e-07,13,-4.958649e-05,,149.80379,,-173.6091,,-144.80379,30.772592067718506,499.0767,0.03,0.2,4.566652,0.03
71,4.5196614,-0.56674063,5723328000000.0,5723328000000.0,2.9413786e-07,71,4705,0.014962795,-88.530754,0.03,10614.171,66.26760563380282,2.0837162,0.03,,81,-0.2,,-0.2,-499.0767,0.00032753416,13,-0.035786644,,149.49536,,-122.905876,,-144.49536,31.31684684753418,499.0767,0.03,-0.2,4.2378283,0.03
72,4.488989,-0.123645395,5728648600000.0,5728648600000.0,2.8602412e-07,72,4737,9.808933e-06,-88.530754,0.03,10747.316,65.79166666666667,2.0697298,0.03,3.530139e-30,81,0.2,,-0.2,-499.0767,2.068503e-07,13,-2.586768e-05,,149.26828,,-128.1458,,-144.26828,31.86313772201538,499.0767,0.03,-0.2,3.3039753,0.03
73,4.4751844,-0.26560107,5733890400000.0,5733890400000.0,2.7824152e-07,73,4775,4.4409335e-06,-88.530754,0.03,10880.998,65.41095890410959,2.0559366,0.03,1.25114775e-20,81,,,,-499.0767,8.553359e-08,13,-1.2137064e-05,,149.05476,,-128.68234,,-144.05476,32.39984917640686,499.0767,0.03,-0.2,4.4743333,0.03
74,4.458721,-0.3617816,5739056000000.0,5739056000000.0,2.707723e-07,74,4966,1.3800774e-06,-88.530754,0.03,11131.156,67.10810810810811,2.042331,0.03,2.8629212e-21,81,-0.2,,0.2,-499.0767,3.5880372e-08,13,-4.0521195e-06,,150.42104,,-245.15715,,-145.42104,33.19116139411926,499.0767,0.03,-0.2,4.2501383,0.03
75,4.409405,0.3125236,5744148000000.0,5744148000000.0,2.6359982e-07,75,4981,0.00025693036,-88.530754,0.03,11241.068,66.41333333333333,2.028908,0.03,,81,0.2,,0.2,-499.0767,3.4625755e-06,13,-0.0017140444,,149.8809,,-104.913,,-144.8809,33.71891975402832,499.0767,0.03,-0.2,1.753335,0.03
76,4.3708773,-0.21547316,5749168000000.0,5749168000000.0,2.5670863e-07,76,5015,1.3249362e-06,-88.530754,0.03,11371.257,65.98684210526316,2.0156627,0.03,,81,,,-0.2,-499.0767,1.74783e-08,13,-1.976049e-06,,149.6218,,-125.18826,,-144.6218,34.22035765647888,499.0767,0.03,,2.4746764,0.03
77,4.3682613,-0.30722785,5754118500000.0,5754118500000.0,2.5008418e-07,77,5028,5.1585835e-06,-88.530754,0.03,11481.344,65.2987012987013,2.0025907,0.03,1.0455605e-20,81,-0.2,,,-499.0767,6.878262e-08,13,-7.532738e-06,,149.10837,,-105.08749,,-144.10837,34.70503902435303,499.0767,0.03,,5.162897,0.03
78,4.3317137,0.19640058,5759000600000.0,5759000600000.0,2.4371286e-07,78,5209,0.0002412061,-88.530754,0.03,11591.6455,66.78205128205128,1.9896872,0.03,,81,0.2,,,-499.0767,3.129159e-06,13,-0.00040989948,,148.61084,,-105.30107,,-143.61084,35.48611283302307,499.0767,0.03,,2.5111263,0.03
79,4.3080983,0.16567668,5763817000000.0,5763817000000.0,2.3758197e-07,79,5237,3.1732593e-06,-88.530754,0.03,11721.297,66.29113924050633,1.9769481,0.03,1.2284823e-16,81,,,0.2,-499.0767,6.9918e-08,13,-7.955984e-06,,148.37085,,-124.6515,,-143.37085,36.07742977142334,499.0767,0.03,,3.4597046,0.03
