ReturnMin,InvPendulum_mu0_higher,Iteration,NumTrajectories,ReturnLastEpisode,InvPendulum_mu3_higher,BoundMISE,ReturnAbsMax,ReturnMean,InvPendulum_std1_higher,DenMISELogLast,InvPendulum_mu2_higher,InvPendulum_std3_higher,TimeElapsed,DenMISEMeanLog,ActionIn1,Bound,InvPendulum_mu1_higher,IWMean,GridSize,AvgEpLen,TimestepsSoFar,BoundBonus,IWFirstEpisode,Regret/t,Regret,InvPendulum_std2_higher,IWLastEpisode,InvPendulum_std0_higher,DenMISELogFirst,NumTrainableParams,IWMax,Delta,IWMin,MinEpLen,ReturnMax
-290.9842,,34,34,-290.9842,,-8.27397e-12,290.9842,-120.68161,0.03,5.199897,-0.2,0.03,9.870736360549927,5.596139,-0.42367616,inf,-0.2,7.9515984e-14,81,43.85294117647059,1491,inf,,125.68161,4273.175,0.03,2.986482e-17,0.03,5.8601446,,2.6878421e-12,1.2826548e-06,,13,-101.11877
-290.9842,,35,35,-115.150856,-0.2,-5.629862e-10,290.9842,-120.52359,0.03,5.0698724,,0.03,10.284775733947754,5.5529437,-0.3931296,inf,-0.2,5.191482e-12,81,43.285714285714285,1515,inf,,125.52359,4393.3257,0.03,6.5070744e-16,0.03,5.831157,,1.7892854e-10,1.2104073e-06,,13,-101.11877
-290.9842,,36,36,-100.93208,0.2,-1.5567039e-11,290.9842,-119.979385,0.03,4.504841,,0.03,10.851070642471313,5.4964414,0.08016805,inf,-0.2,1.0459027e-13,81,44.361111111111114,1597,inf,,124.979385,4499.258,0.03,,0.03,5.802986,,3.6389468e-12,1.1440965e-06,,13,-100.93208
-290.9842,,37,37,-168.85725,,-1.015459e-14,290.9842,-121.300415,0.03,5.4758863,0.2,0.03,11.361507654190063,5.469228,0.010567974,inf,-0.2,8.617318e-17,81,45.054054054054056,1667,inf,,126.300415,4673.115,0.03,1.6985406e-16,0.03,5.775587,,2.2350938e-15,1.0830892e-06,,13,-100.93208
-290.9842,0.2,38,38,-128.35536,,-3.3210856e-09,290.9842,-121.48607,0.03,4.8766255,,0.03,11.790158748626709,5.427666,0.04293218,inf,-0.2,3.1381203e-11,81,44.78947368421053,1702,inf,,126.48607,4806.4707,0.03,4.382515e-23,0.03,5.748919,,1.1924857e-09,1.0268345e-06,,13,-100.93208
-290.9842,-0.2,39,39,-148.14365,,-2.4089964e-11,290.9842,-122.16959,0.03,5.8470354,-0.2,0.03,12.265950441360474,5.4131093,-0.36523047,inf,,2.0924655e-13,81,44.94871794871795,1753,inf,,127.16959,4959.6143,0.03,,0.03,5.7229433,,8.143103e-12,9.748514e-07,,13,-100.93208
-290.9842,-0.2,40,40,-110.10149,-0.2,-1.0400273e-11,290.9842,-121.8679,0.03,2.334672,,0.03,12.730815649032593,5.311464,-0.33075687,inf,,4.4323198e-14,81,44.425,1777,inf,,126.8679,5074.716,0.03,4.1580492e-13,0.03,5.6976256,,1.2235227e-12,9.267181e-07,,13,-100.93208
-290.9842,-0.2,41,41,-112.86281,0.2,-1.9554592e-11,290.9842,-121.64825,0.03,3.983346,,0.03,13.347912073135376,5.25498,0.028535515,inf,,1.3608265e-13,81,46.75609756097561,1917,inf,,126.64825,5192.578,0.03,2.4541815e-29,0.03,5.672933,,5.577433e-12,8.820637e-07,,13,-100.93208
-290.9842,-0.2,42,42,-115.65477,,-1.5375357e-10,290.9842,-121.505554,0.03,6.023845,0.2,0.03,13.839134216308594,5.2497625,-0.05829772,inf,,1.3623066e-12,81,46.214285714285715,1941,inf,,126.505554,5313.2334,0.03,8.535978e-17,0.03,5.6488357,,5.7215073e-11,8.405606e-07,,13,-100.93208
-290.9842,,43,43,-132.92316,-0.2,-2.2600982e-10,290.9842,-121.77107,0.03,3.7916663,-0.2,0.03,14.313219547271729,5.1928706,-0.47592437,inf,,2.1739665e-12,81,45.95348837209303,1976,inf,,126.77107,5451.1562,0.03,,0.03,5.625305,,9.336333e-11,8.019195e-07,,13,-100.93208
