BoundBonus,Bound,InvPendulum_mu3_higher,Regret/t,InvPendulum_std3_higher,AvgEpLen,InvPendulum_std0_higher,MinEpLen,ReturnLastEpisode,TimeElapsed,TimestepsSoFar,InvPendulum_mu1_higher,InvPendulum_std2_higher,IWMean,InvPendulum_std1_higher,DenMISEMeanLog,ReturnMean,GridSize,ReturnMax,InvPendulum_mu0_higher,Iteration,NumTrainableParams,IWFirstEpisode,InvPendulum_mu2_higher,Regret,ActionIn1,BoundMISE,DenMISELogLast,IWMin,IWMax,ReturnMin,Delta,IWLastEpisode,ReturnAbsMax,DenMISELogFirst,NumTrajectories
inf,inf,0.2,149.91003,0.01,62.45454545454545,0.01,12,-168.23944,28.117904663085938,4122,,0.01,,0.01,8.787487,-144.91003,81,-93.29875,,66,,,,9894.0625,0.26113978,,3.5242023,,,-499.03806,3.4039232e-07,,499.03806,9.951778,66
inf,inf,-0.2,150.08449,0.01,62.38805970149254,0.01,12,-156.59854,28.661471843719482,4180,,0.01,,0.01,8.699115,-145.08449,81,-93.29875,,67,,,0.2,10055.661,-0.00092212856,,3.85907,,,-499.03806,3.3030722e-07,,499.03806,9.93674,67
inf,inf,,149.52846,0.01,61.794117647058826,0.01,12,-107.27531,29.159229516983032,4202,,0.01,,0.01,8.687276,-144.52846,81,-93.29875,,68,,,0.2,10167.936,0.20626922,,8.886699,,,-499.03806,3.206637e-07,,499.03806,9.921926,68
inf,inf,0.2,149.0018,0.01,61.15942028985507,0.01,12,-108.18809,29.64959478378296,4220,,0.01,,0.01,8.688574,-144.0018,81,-93.29875,,69,,,0.2,10281.124,0.37684137,,9.769581,,,-499.03806,3.1143645e-07,,499.03806,9.907327,69
inf,inf,-0.2,148.68265,0.01,60.7,0.01,12,-121.66088,30.150639533996582,4249,,0.01,,0.01,8.670701,-143.68265,81,-93.29875,0.2,70,,,-0.2,10407.785,-0.20774531,,8.430337,,,-499.03806,3.0260182e-07,,499.03806,9.892938,70
inf,inf,,148.30254,0.01,60.183098591549296,0.01,12,-116.69478,30.641732454299927,4273,,0.01,,0.01,8.677081,-143.30254,81,-93.29875,0.2,71,,,-0.2,10529.48,-0.03338184,,10.116579,,,-499.03806,2.9413786e-07,,499.03806,9.878753,71
inf,inf,0.2,147.93425,0.01,59.80555555555556,0.01,12,-116.78524,31.145633935928345,4306,,0.01,,0.01,8.654142,-142.93425,81,-93.29875,0.2,72,,,-0.2,10651.266,0.20404246,,8.0185,,,-499.03806,2.8602412e-07,,499.03806,9.864767,72
inf,inf,-0.2,147.50603,0.01,59.205479452054796,0.01,12,-111.67373,31.62882900238037,4322,,0.01,,0.01,8.65702,-142.50603,81,-93.29875,0.2,73,,,,10767.939,-0.033988893,,9.857312,,,-499.03806,2.7824152e-07,,499.03806,9.850973,73
inf,inf,,147.30759,0.01,58.82432432432432,0.01,12,-127.82229,32.154592752456665,4353,,0.01,,0.01,8.64449,-142.30759,81,-93.29875,0.2,74,,,,10900.762,0.20768559,,8.722996,,,-499.03806,2.707723e-07,,499.03806,9.837368,74
inf,inf,0.2,146.91484,0.01,58.306666666666665,0.01,12,-112.85247,32.66680932044983,4373,,0.01,,0.01,8.622234,-141.91484,81,-93.29875,0.2,75,,,,11018.613,0.4136044,,7.968612,,,-499.03806,2.6359982e-07,,499.03806,9.823945,75
