AvgEpLen,InvPendulum_mu3_higher,TimestepsSoFar,ReturnMean,DenMISEMeanLog,GridSize,DenMISELogFirst,Bound,InvPendulum_mu2_higher,ReturnMin,InvPendulum_mu1_higher,Iteration,IWMax,IWLastEpisode,ReturnLastEpisode,InvPendulum_std2_higher,IWMean,InvPendulum_std3_higher,ActionIn1,InvPendulum_mu0_higher,Regret,Delta,NumTrainableParams,IWMin,Regret/t,NumTrajectories,TimeElapsed,InvPendulum_std1_higher,ReturnAbsMax,MinEpLen,BoundBonus,DenMISELogLast,IWFirstEpisode,BoundMISE,ReturnMax,InvPendulum_std0_higher
27.413793103448278,0.2,795,-116.17106,9.979278,16,7.3735538,757.00946,-0.2,-143.11214,-0.2,29,29.000011,,-113.261795,0.01,1.0000004,0.01,0.032114595,0.2,3513.9607,8.504261e-06,,,121.17106,29,4.614049434661865,0.01,143.11214,13,854.5406,9.21488,,-97.53112,-105.436966,0.01
27.133333333333333,-0.2,814,-116.16668,9.848643,16,7.339652,757.01245,-0.2,-143.11214,-0.2,30,30.000002,,-116.03964,0.01,1.0000001,0.01,-0.41283256,0.2,3635.0005,7.94676e-06,,,121.16668,30,4.769652843475342,0.01,143.11214,13,857.0184,6.3502545,,-100.00593,-105.436966,0.01
27.0,0.2,837,-116.25469,9.85615,16,7.3068624,758.0515,-0.2,-143.11214,-0.2,31,31.000013,,-118.89504,0.01,1.0000005,0.01,-0.41302383,-0.2,3758.8955,7.4423347e-06,,,121.25469,31,4.933058738708496,0.01,143.11214,13,859.40814,10.371896,,-101.35666,-105.436966,0.01
27.125,0.2,868,-116.63379,9.873764,16,7.2751136,748.90784,0.2,-143.11214,-0.2,32,32.0,,-128.38593,0.01,1.0,0.01,-0.014323205,-0.2,3892.2812,6.984457e-06,,,121.63379,32,5.108132362365723,0.01,143.11214,13,861.7157,10.710897,,-112.80785,-105.436966,0.01
27.575757575757574,,910,-117.28133,9.899534,81,7.244342,inf,-0.2,-143.11214,-0.2,33,,,-138.00244,0.01,,0.01,-0.6104182,-0.2,4035.2837,1.3615693e-06,,,122.28133,33,5.301175117492676,0.01,143.11214,13,inf,11.0157175,,,-105.436966,0.01
28.38235294117647,-0.2,965,-117.86153,9.90059,81,7.214489,inf,,-143.11214,-0.2,34,,,-137.0083,0.01,,0.01,-0.5964389,-0.2,4177.292,1.2826548e-06,,,122.86153,34,9.108817100524902,0.01,143.11214,13,inf,10.920569,,,-105.436966,0.01
29.4,,1029,-117.00275,9.831767,81,7.1855016,inf,,-143.11214,-0.2,35,,,-87.80425,0.01,,0.01,-0.41268167,-0.2,4270.096,1.2104073e-06,,,122.00275,35,9.662176370620728,0.01,143.11214,13,inf,8.477359,,,-87.80425,0.01
42.47222222222222,0.2,1529,-126.62847,9.787582,81,7.1573305,inf,,-463.529,-0.2,36,,,-463.529,0.01,,0.01,-0.2016809,-0.2,4738.625,1.1440965e-06,,,131.62848,36,10.828140020370483,0.01,463.529,13,inf,9.227108,,,-87.80425,0.01
54.83783783783784,,2029,-136.47534,9.694026,81,7.1299314,inf,0.2,-490.963,-0.2,37,,,-490.963,0.01,,0.01,-0.24365477,-0.2,5234.588,1.0830892e-06,,,141.47534,37,12.011868953704834,0.01,490.963,13,inf,7.312317,,,-87.80425,0.01
66.55263157894737,-0.2,2529,-146.01884,9.633459,81,7.1032634,inf,-0.2,-499.12744,-0.2,38,,,-499.12744,0.01,,0.01,-0.6253517,,5738.716,1.0268345e-06,,,151.01884,38,13.179196834564209,0.01,499.12744,13,inf,8.37923,,,-87.80425,0.01
65.35897435897436,,2549,-145.05005,9.577938,81,7.0772877,inf,-0.2,-499.12744,-0.2,39,,,-108.23669,0.01,,0.01,-0.44803715,,5851.952,9.748514e-07,,,150.05005,39,13.640208959579468,0.01,499.12744,13,inf,8.455232,,,-87.80425,0.01
64.5,0.2,2580,-144.6243,9.495745,81,7.05197,inf,-0.2,-499.12744,-0.2,40,,,-128.01941,0.01,,0.01,-0.21183419,,5984.9717,9.267181e-07,,,149.6243,40,14.11794924736023,0.01,499.12744,13,inf,7.2775655,,,-87.80425,0.01
63.75609756097561,-0.2,2614,-144.20068,9.496128,81,7.0272775,inf,,-499.12744,-0.2,41,,,-127.25637,0.01,,0.01,-0.40023115,,6117.228,8.820637e-07,,,149.20068,41,14.593566179275513,0.01,499.12744,13,inf,10.499207,,,-87.80425,0.01
63.69047619047619,,2675,-142.94974,9.497686,81,7.00318,inf,,-499.12744,-0.2,42,,,-91.66067,0.01,,0.01,-0.20476055,,6213.8887,8.405606e-07,,,147.94974,42,15.117992639541626,0.01,499.12744,13,inf,10.5495825,,,-87.80425,0.01
70.79069767441861,0.2,3044,-150.32442,9.477316,81,6.9796495,inf,,-499.12744,-0.2,43,,,-460.0613,0.01,,0.01,0.0021453798,,6678.95,8.019195e-07,,,155.32442,43,16.025794506072998,0.01,499.12744,13,inf,9.610018,,,-87.80425,0.01
80.54545454545455,-0.2,3544,-158.19487,9.455287,81,6.95666,inf,0.2,-499.12744,-0.2,44,,,-496.62427,0.01,,0.01,-0.1878885,,7180.574,7.658827e-07,,,163.19487,44,17.21767783164978,0.01,499.12744,13,inf,9.496588,,,-87.80425,0.01
79.4888888888889,,3577,-157.48387,9.442738,81,6.934187,inf,0.2,-499.12744,-0.2,45,,,-126.199554,0.01,,0.01,-0.00067801465,,7311.7744,7.3222174e-07,,,162.48387,45,17.73785901069641,0.01,499.12744,13,inf,9.879363,,,-87.80425,0.01
78.5,0.2,3611,-156.93008,9.445004,81,6.912208,inf,0.2,-499.12744,-0.2,46,,,-132.00986,0.01,,0.01,0.21226339,,7448.784,7.0073213e-07,,,161.93008,46,18.240612030029297,0.01,499.12744,13,inf,10.53604,,,-87.80425,0.01
77.93617021276596,,3663,-156.57663,9.445039,81,6.890702,inf,-0.2,-499.12744,-0.2,47,,,-140.31761,0.01,,0.01,-0.16938652,0.2,7594.1016,6.7123085e-07,,,161.57663,47,18.741790294647217,0.01,499.12744,13,inf,10.435945,,,-87.80425,0.01
76.89583333333333,-0.2,3691,-155.9069,9.426089,81,6.8696485,inf,,-499.12744,-0.2,48,,,-124.429405,0.01,,0.01,-0.20994993,0.2,7723.5312,6.435543e-07,,,160.9069,48,19.239280223846436,0.01,499.12744,13,inf,9.524927,,,-87.80425,0.01
76.38775510204081,,3743,-155.34502,9.400222,81,6.849029,inf,,-499.12744,-0.2,49,,,-128.37476,0.01,,0.01,0.0033718392,0.2,7856.906,6.175547e-07,,,160.34502,49,19.772407293319702,0.01,499.12744,13,inf,9.148359,,,-87.80425,0.01
76.02,0.2,3801,-155.3232,9.401187,81,6.8288264,inf,,-499.12744,-0.2,50,,,-154.2542,0.01,,0.01,0.15742531,0.2,8016.16,5.930996e-07,,,160.3232,50,20.259859800338745,0.01,499.12744,13,inf,10.438411,,,-87.80425,0.01
75.23529411764706,,3837,-154.86023,9.351939,81,6.809024,inf,0.2,-499.12744,-0.2,51,,,-131.7124,0.01,,0.01,0.22333783,0.2,8152.872,5.700688e-07,,,159.86023,51,20.742756843566895,0.01,499.12744,13,inf,7.879692,,,-87.80425,0.01
74.13461538461539,-0.2,3855,-154.07037,9.326979,81,6.7896056,inf,-0.2,-499.12744,,52,,,-113.7869,0.01,,0.01,-0.6169713,-0.2,8271.659,5.483539e-07,,,159.07037,52,21.213447093963623,0.01,499.12744,13,inf,9.044294,,,-87.80425,0.01
73.52830188679245,,3897,-153.28606,9.295986,81,6.7705574,inf,-0.2,-499.12744,,53,,,-112.50232,0.01,,0.01,-0.3747598,-0.2,8389.161,5.2785657e-07,,,158.28606,53,21.724069595336914,0.01,499.12744,13,inf,8.674863,,,-87.80425,0.01
