IWFirstEpisode,InvPendulum_std3_higher,ReturnLastEpisode,MinEpLen,IWMean,DenMISEMeanLog,Iteration,ReturnMean,InvPendulum_mu0_higher,InvPendulum_mu2_higher,InvPendulum_std1_higher,BoundMISE,Bound,Regret/t,DenMISELogLast,ReturnAbsMax,IWLastEpisode,TimestepsSoFar,TimeElapsed,IWMin,AvgEpLen,IWMax,Regret,NumTrainableParams,GridSize,BoundBonus,InvPendulum_std2_higher,ReturnMin,NumTrajectories,Delta,InvPendulum_mu1_higher,DenMISELogFirst,ActionIn1,InvPendulum_mu3_higher,InvPendulum_std0_higher,ReturnMax
,0.0009999999,-117.44299,12,1.0000006,19.726883,27,-118.53105,0.2,0.2,0.0009999999,-97.18739,760.54987,123.53105,18.385862,144.53487,,707,4.796080589294434,,26.185185185185187,27.000015,3335.3384,,16,857.73724,0.0009999999,-144.53487,27,9.810813e-06,-0.2,20.055918,-0.0076170415,-0.2,0.0009999999,-104.3324
,0.0009999999,-116.81888,12,1.0000004,19.469273,28,-118.4699,0.2,0.2,0.0009999999,-97.35936,763.0786,123.4699,12.802517,144.53487,,733,5.010885715484619,,26.178571428571427,28.00001,3457.1572,,16,860.438,0.0009999999,-144.53487,28,9.122555e-06,-0.2,20.01955,0.39919,0.2,0.0009999999,-104.3324
,0.0009999999,-142.37157,12,1.0000004,19.513216,29,-119.2941,-0.2,0.2,0.0009999999,-102.74001,760.2959,124.2941,21.033012,144.53487,,781,5.243640661239624,,26.93103448275862,29.000011,3604.5288,,16,863.0359,0.0009999999,-144.53487,29,8.504261e-06,-0.2,19.984459,-0.39955565,-0.2,0.0009999999,-104.3324
,0.0009999999,-99.912834,12,1.0000001,19.531063,30,-118.648056,0.2,-0.2,0.0009999999,-104.70559,760.83276,123.648056,20.338648,144.53487,,841,5.479592323303223,,28.033333333333335,30.000002,3709.4417,,16,865.5383,0.0009999999,-144.53487,30,7.94676e-06,-0.2,19.950558,0.0011565536,0.2,0.0009999999,-99.912834
,0.0009999999,-129.8568,12,0.99999946,19.559603,31,-119.00962,-0.2,-0.2,0.0009999999,-108.18119,759.7706,124.00962,20.706324,144.53487,,878,5.6726415157318115,,28.322580645161292,30.999983,3844.2983,,16,867.95184,0.0009999999,-144.53487,31,7.4423347e-06,-0.2,19.917768,-0.40117204,0.2,0.0009999999,-99.912834
,0.0009999999,-127.587875,12,1.0000005,19.552505,32,-119.277695,-0.2,-0.2,0.0009999999,-113.92932,756.353,124.277695,19.623644,144.53487,,919,5.9180827140808105,,28.71875,32.000015,3976.8862,,16,870.28235,0.0009999999,-144.53487,32,6.984457e-06,-0.2,19.886019,-0.7997776,-0.2,0.0009999999,-99.912834
,0.0009999999,-105.55993,12,,19.568096,33,-118.86201,-0.2,-0.2,0.0009999999,,inf,123.86201,20.358494,144.53487,,942,6.114069938659668,,28.545454545454547,,4087.4463,,81,inf,0.0009999999,-144.53487,33,1.3615693e-06,-0.2,19.855247,-0.6034369,,0.0009999999,-99.912834
,0.0009999999,-137.58945,12,,19.488096,34,-119.41281,-0.2,,0.0009999999,,inf,124.41281,17.833258,144.53487,,986,10.696757078170776,,29.0,,4230.0356,,81,inf,0.0009999999,-144.53487,34,1.2826548e-06,-0.2,19.825394,-0.59595513,-0.2,0.0009999999,-99.912834
,0.0009999999,-103.98731,12,,19.353485,35,-118.972084,-0.2,,0.0009999999,,inf,123.972084,15.762252,144.53487,,1050,11.346336126327515,,30.0,,4339.023,,81,inf,0.0009999999,-144.53487,35,1.2104073e-06,-0.2,19.796408,-0.39731866,,0.0009999999,-99.912834
,0.0009999999,-469.2371,12,,19.29464,36,-128.70166,-0.2,,0.0009999999,,inf,133.70166,18.221039,469.2371,,1550,12.638914823532104,,43.05555555555556,,4813.26,,81,inf,0.0009999999,-469.2371,36,1.1440965e-06,-0.2,19.768236,-0.20067862,0.2,0.0009999999,-99.912834
