TimestepsSoFar,NumTrajectories,DenMISELogLast,InvPendulum_std3_higher,DenMISEMeanLog,AvgEpLen,ReturnLastEpisode,IWMax,ReturnMin,GridSize,Regret/t,IWFirstEpisode,IWLastEpisode,InvPendulum_std2_higher,ActionIn1,InvPendulum_std0_higher,DenMISELogFirst,InvPendulum_mu2_higher,Bound,Regret,IWMin,Iteration,ReturnAbsMax,InvPendulum_mu3_higher,BoundBonus,ReturnMean,TimeElapsed,NumTrainableParams,ReturnMax,IWMean,InvPendulum_mu1_higher,InvPendulum_mu0_higher,InvPendulum_std1_higher,BoundMISE,Delta,MinEpLen
838,30,17.094357,0.0009999999,19.264038,27.933333333333334,-115.37702,30.000002,-138.61649,16,122.08957,,,0.0009999999,0.39929911,0.0009999999,19.590113,0.2,724.95264,3662.687,,30,138.61649,0.2,830.0965,-117.08957,5.507204532623291,,-100.599815,1.0000001,-0.2,0.2,0.0009999999,-105.14385,7.94676e-06,12
867,31,19.788736,0.0009999999,19.271591,27.967741935483872,-126.81181,30.999983,-138.61649,16,122.40319,,,0.0009999999,-0.0015799254,0.0009999999,19.557323,-0.2,724.50903,3794.499,,31,138.61649,0.2,832.41113,-117.40319,5.721462249755859,,-100.599815,0.99999946,-0.2,0.2,0.0009999999,-107.90209,7.4423347e-06,12
901,32,18.072464,0.0009999999,19.225023,28.15625,-131.91168,32.000015,-138.61649,16,122.85658,,,0.0009999999,-0.0014262795,0.0009999999,19.525574,0.2,725.3821,3931.4106,,32,138.61649,0.2,834.64624,-117.85658,5.893389463424683,,-100.599815,1.0000005,-0.2,-0.2,0.0009999999,-109.26417,6.984457e-06,12
940,33,20.102835,0.0009999999,19.242788,28.484848484848484,-137.0724,,-138.61649,81,123.43889,,,0.0009999999,-0.60113096,0.0009999999,19.494802,-0.2,inf,4073.4834,,33,138.61649,,inf,-118.43889,6.098286867141724,,-100.599815,,-0.2,-0.2,0.0009999999,,1.3615693e-06,12
973,34,18.804684,0.0009999999,19.200928,28.61764705882353,-119.91779,,-138.61649,81,123.48238,,,0.0009999999,-0.6007892,0.0009999999,19.464949,,inf,4198.4014,,34,138.61649,-0.2,inf,-118.48238,10.797533750534058,,-100.599815,,-0.2,-0.2,0.0009999999,,1.2826548e-06,12
1031,35,18.674656,0.0009999999,19.157732,29.457142857142856,-92.88824,,-138.61649,81,122.751114,,,0.0009999999,-0.39977098,0.0009999999,19.435963,,inf,4296.289,,35,138.61649,,inf,-117.751114,11.424164056777954,,-92.88824,,-0.2,-0.2,0.0009999999,,1.2104073e-06,12
1531,36,18.10963,0.0009999999,19.10123,42.52777777777778,-482.73294,,-482.73294,81,132.88951,,,0.0009999999,-0.19732773,0.0009999999,19.407791,,inf,4784.0225,,36,482.73294,0.2,inf,-127.88951,12.726752042770386,,-92.88824,,-0.2,-0.2,0.0009999999,,1.1440965e-06,12
2031,37,19.08068,0.0009999999,19.074017,54.891891891891895,-498.76138,,-498.76138,81,142.91306,,,0.0009999999,-0.19964775,0.0009999999,19.380392,0.2,inf,5287.783,,37,498.76138,,inf,-137.91306,14.038156747817993,,-92.88824,,-0.2,-0.2,0.0009999999,,1.0830892e-06,12
2076,38,18.48142,0.0009999999,19.032455,54.63157894736842,-141.27855,,-498.76138,81,143.00163,,,0.0009999999,-0.5985689,0.0009999999,19.353724,-0.2,inf,5434.062,,38,498.76138,-0.2,inf,-138.00163,14.71269941329956,,-92.88824,,-0.2,,0.0009999999,,1.0268345e-06,12
2119,39,19.45182,0.0009999999,19.017897,54.333333333333336,-121.478546,,-498.76138,81,142.57797,,,0.0009999999,-0.398841,0.0009999999,19.32775,-0.2,inf,5560.541,,39,498.76138,,inf,-137.57797,15.347020387649536,,-92.88824,,-0.2,,0.0009999999,,9.748514e-07,12
2148,40,15.9394455,0.0009999999,18.916254,53.7,-126.08058,,-498.76138,81,142.29053,,,0.0009999999,-0.19769192,0.0009999999,19.302431,-0.2,inf,5691.621,,40,498.76138,0.2,inf,-137.29053,15.944266080856323,,-92.88824,,-0.2,,0.0009999999,,9.267181e-07,12
2191,41,17.588118,0.0009999999,18.859768,53.4390243902439,-130.61143,,-498.76138,81,142.12762,,,0.0009999999,-0.39904884,0.0009999999,19.277739,,inf,5827.2324,,41,498.76138,-0.2,inf,-137.12762,16.56839656829834,,-92.88824,,-0.2,,0.0009999999,,8.820637e-07,12
2286,42,19.628637,0.0009999999,18.85455,54.42857142857143,-108.56205,,-498.76138,81,141.4475,,,0.0009999999,-0.20194325,0.0009999999,19.253641,,inf,5940.795,,42,498.76138,,inf,-136.4475,17.25760531425476,,-92.88824,,-0.2,,0.0009999999,,8.405606e-07,12
2786,43,17.396442,0.0009999999,18.797659,64.79069767441861,-482.05927,,-498.76138,81,149.48497,,,0.0009999999,-0.0025308281,0.0009999999,19.23011,,inf,6427.854,,43,498.76138,0.2,inf,-144.48497,18.525453805923462,,-92.88824,,-0.2,,0.0009999999,,8.019195e-07,12
3286,44,18.202875,0.0009999999,18.761675,74.68181818181819,-495.96985,,-498.76138,81,157.47328,,,0.0009999999,-0.20082739,0.0009999999,19.20712,0.2,inf,6928.824,,44,498.76138,-0.2,inf,-152.47328,19.90237069129944,,-92.88824,,-0.2,,0.0009999999,,7.658827e-07,12
3304,45,17.679346,0.0009999999,18.715649,73.42222222222222,-105.06081,,-498.76138,81,156.41966,,,0.0009999999,0.0014597066,0.0009999999,19.184649,0.2,inf,7038.885,,45,498.76138,,inf,-151.41966,20.462802171707153,,-92.88824,,-0.2,,0.0009999999,,7.3222174e-07,12
3341,46,19.278238,0.0009999999,18.706379,72.6304347826087,-126.46638,,-498.76138,81,155.8772,,,0.0009999999,0.20104428,0.0009999999,19.162668,0.2,inf,7170.351,,46,498.76138,0.2,inf,-150.8772,21.022730588912964,,-92.88824,,-0.2,,0.0009999999,,7.0073213e-07,12
3372,47,19.37526,0.0009999999,18.69956,71.74468085106383,-128.70732,,-498.76138,81,155.4055,,,0.0009999999,-0.19728395,0.0009999999,19.141163,-0.2,inf,7304.0586,,47,498.76138,,inf,-150.4055,21.56883215904236,,-92.88824,,-0.2,0.2,0.0009999999,,6.7123085e-07,12
3395,48,17.094105,0.0009999999,18.645498,70.72916666666667,-114.38105,,-498.76138,81,154.65498,,,0.0009999999,-0.19920315,0.0009999999,19.12011,,inf,7423.4395,,48,498.76138,-0.2,inf,-149.65498,22.135982751846313,,-92.88824,,-0.2,0.2,0.0009999999,,6.435543e-07,12
3431,49,18.322283,0.0009999999,18.618704,70.0204081632653,-115.94619,,-498.76138,81,153.96706,,,0.0009999999,-0.000392885,0.0009999999,19.09949,,inf,7544.3857,,49,498.76138,,inf,-148.96706,22.7109112739563,,-92.88824,,-0.2,0.2,0.0009999999,,6.175547e-07,12
3474,50,18.944407,0.0009999999,18.60542,69.48,-139.45618,,-498.76138,81,153.77684,,,0.0009999999,0.19752684,0.0009999999,19.079287,,inf,7688.842,,50,498.76138,0.2,inf,-148.77684,23.29853105545044,,-92.88824,,-0.2,0.2,0.0009999999,,5.930996e-07,12
3516,51,15.281179,0.0009999999,18.520824,68.94117647058823,-140.06955,,-498.76138,81,153.6061,,,0.0009999999,0.19782388,0.0009999999,19.059484,0.2,inf,7833.911,,51,498.76138,,inf,-148.6061,23.909515857696533,,-92.88824,,-0.2,0.2,0.0009999999,,5.700688e-07,12
3542,52,18.188179,0.0009999999,18.495382,68.11538461538461,-122.107124,,-498.76138,81,153.09651,,,0.0009999999,-0.5989649,0.0009999999,19.040066,-0.2,inf,7961.0186,,52,498.76138,-0.2,inf,-148.09651,24.470513105392456,,-92.88824,,,-0.2,0.0009999999,,5.483539e-07,12
3565,53,18.013157,0.0009999999,18.467594,67.26415094339623,-116.093185,,-498.76138,81,152.49266,,,0.0009999999,-0.39760408,0.0009999999,19.021019,-0.2,inf,8082.1113,,53,498.76138,,inf,-147.49266,25.02499556541443,,-92.88824,,,-0.2,0.0009999999,,5.2785657e-07,12
3583,54,16.777975,0.0009999999,18.41796,66.35185185185185,-113.76496,,-498.76138,81,151.86809,,,0.0009999999,-0.19911617,0.0009999999,19.002327,-0.2,inf,8200.877,,54,498.76138,0.2,inf,-146.86809,25.580252647399902,,-92.88824,,,-0.2,0.0009999999,,5.084873e-07,12
3614,55,18.643423,0.0009999999,18.404043,65.7090909090909,-121.72014,,-498.76138,81,151.41084,,,0.0009999999,-0.40207738,0.0009999999,18.983976,,inf,8327.597,,55,498.76138,-0.2,inf,-146.41084,26.184240579605103,,-92.88824,,,-0.2,0.0009999999,,4.9016495e-07,12
3822,56,18.828285,0.0009999999,18.393923,68.25,-85.94317,,-498.76138,81,150.33107,,,0.0009999999,-0.20009983,0.0009999999,18.965958,,inf,8418.54,,56,498.76138,,inf,-145.33107,27.0181143283844,,-85.94317,,,-0.2,0.0009999999,,4.7281532e-07,12
4322,57,16.522415,0.0009999999,18.3437,75.82456140350877,-449.74393,,-498.76138,81,155.67165,,,0.0009999999,-0.0016464144,0.0009999999,18.94826,,inf,8873.284,,57,498.76138,0.2,inf,-150.67165,28.317585229873657,,-85.94317,,,-0.2,0.0009999999,,4.563709e-07,12
4387,58,18.518526,0.0009999999,18.329622,75.63793103448276,-156.34142,,-498.76138,81,155.7694,,,0.0009999999,-0.19806647,0.0009999999,18.930866,0.2,inf,9034.625,,58,498.76138,-0.2,inf,-150.7694,29.00398564338684,,-85.94317,,,-0.2,0.0009999999,,4.4076967e-07,12
4404,59,18.442383,0.0009999999,18.314728,74.64406779661017,-104.353676,,-498.76138,81,154.98268,,,0.0009999999,0.000542256,0.0009999999,18.913773,0.2,inf,9143.979,,59,498.76138,,inf,-149.98268,29.609591722488403,,-85.94317,,,-0.2,0.0009999999,,4.259549e-07,12
4421,60,18.276157,0.0009999999,18.297558,73.68333333333334,-106.04148,,-498.76138,81,154.25034,,,0.0009999999,0.20024236,0.0009999999,18.896965,0.2,inf,9255.0205,,60,498.76138,0.2,inf,-149.25034,30.208827257156372,,-85.94317,,,-0.2,0.0009999999,,4.1187477e-07,12
4451,61,19.645836,0.0009999999,18.303402,72.9672131147541,-126.77978,,-498.76138,81,153.88197,,,0.0009999999,-0.3997254,0.0009999999,18.880436,-0.2,inf,9386.801,,61,498.76138,-0.2,inf,-148.88197,30.789281606674194,,-85.94317,,,,0.0009999999,,3.984813e-07,12
4462,62,18.68141,0.0009999999,18.293503,71.96774193548387,-105.47064,,-498.76138,81,153.1818,,,0.0009999999,-0.2023272,0.0009999999,18.864176,-0.2,inf,9497.271,,62,498.76138,,inf,-148.1818,31.38078546524048,,-85.94317,,,,0.0009999999,,3.8573074e-07,11
4476,63,17.035622,0.0009999999,18.25779,71.04761904761905,-105.21984,,-498.76138,81,152.49985,,,0.0009999999,-0.00087830424,0.0009999999,18.848175,-0.2,inf,9607.49,,63,498.76138,0.2,inf,-147.49985,31.982881784439087,,-85.94317,,,,0.0009999999,,3.735825e-07,11
4491,64,19.41858,0.0009999999,18.260426,70.171875,-110.45642,,-498.76138,81,151.92105,,,0.0009999999,-0.19973102,0.0009999999,18.832426,,inf,9722.947,,64,498.76138,-0.2,inf,-146.92105,32.63018298149109,,-85.94317,,,,0.0009999999,,3.6199927e-07,11
4617,65,18.684832,0.0009999999,18.25169,71.03076923076924,-96.07124,,-498.76138,81,151.13875,,,0.0009999999,-0.0007540151,0.0009999999,18.816923,,inf,9824.019,,65,498.76138,,inf,-146.13875,33.40182566642761,,-85.94317,,,,0.0009999999,,3.5094652e-07,11
4680,66,19.334719,0.0009999999,18.253061,70.9090909090909,-154.50911,,-498.76138,81,151.26556,,,0.0009999999,0.20324723,0.0009999999,18.801655,,inf,9983.527,,66,498.76138,0.2,inf,-146.26556,34.04754972457886,,-85.94317,,,,0.0009999999,,3.4039232e-07,11
4704,67,18.16159,0.0009999999,18.236883,70.2089552238806,-118.04615,,-498.76138,81,150.84439,,,0.0009999999,0.0017442405,0.0009999999,18.786617,0.2,inf,10106.574,,67,498.76138,-0.2,inf,-145.84439,34.612064361572266,,-85.94317,,,,0.0009999999,,3.3030722e-07,11
4748,68,18.277916,0.0009999999,18.222889,69.82352941176471,-105.18745,,-498.76138,81,150.24649,,,0.0009999999,0.19863255,0.0009999999,18.771803,0.2,inf,10216.762,,68,498.76138,,inf,-145.24649,35.21952247619629,,-85.94317,,,,0.0009999999,,3.206637e-07,11
4770,69,15.916807,0.0009999999,18.175081,69.1304347826087,-105.98428,,-498.76138,81,149.67746,,,0.0009999999,0.3972252,0.0009999999,18.757204,0.2,inf,10327.745,,69,498.76138,0.2,inf,-144.67746,35.85405397415161,,-85.94317,,,,0.0009999999,,3.1143645e-07,11
4797,70,17.226452,0.0009999999,18.147346,68.52857142857142,-121.009476,,-498.76138,81,149.33936,,,0.0009999999,-0.20046863,0.0009999999,18.742815,-0.2,inf,10453.755,,70,498.76138,-0.2,inf,-144.33936,36.479674339294434,,-85.94317,,,0.2,0.0009999999,,3.0260182e-07,11
4820,71,11.507928,0.0009999999,18.039846,67.88732394366197,-119.47888,,-498.76138,81,148.98921,,,0.0009999999,0.0024885724,0.0009999999,18.72863,-0.2,inf,10578.234,,71,498.76138,,inf,-143.98921,37.136096715927124,,-85.94317,,,0.2,0.0009999999,,2.9413786e-07,11
4845,72,12.98725,0.0009999999,17.95588,67.29166666666667,-107.82976,,-498.76138,81,148.487,,,0.0009999999,0.20318075,0.0009999999,18.714643,-0.2,inf,10691.063,,72,498.76138,0.2,inf,-143.487,37.734466552734375,,-85.94317,,,0.2,0.0009999999,,2.8602412e-07,11
4866,73,18.221567,0.0009999999,17.945917,66.65753424657534,-117.079124,,-498.76138,81,148.12524,,,0.0009999999,0.0035226643,0.0009999999,18.700851,,inf,10813.143,,73,498.76138,-0.2,inf,-143.12524,38.333893060684204,,-85.94317,,,0.2,0.0009999999,,2.7824152e-07,11
4884,74,15.829707,0.0009999999,17.903894,66.0,-105.69886,,-498.76138,81,147.61948,,,0.0009999999,0.2031162,0.0009999999,18.687244,,inf,10923.842,,74,498.76138,,inf,-142.61948,38.90874361991882,,-85.94317,,,0.2,0.0009999999,,2.707723e-07,11
4909,75,18.040602,0.0009999999,17.892477,65.45333333333333,-121.0177,,-498.76138,81,147.33145,,,0.0009999999,0.39919513,0.0009999999,18.673822,,inf,11049.859,,75,498.76138,0.2,inf,-142.33145,39.500959157943726,,-85.94317,,,0.2,0.0009999999,,2.6359982e-07,11
4932,76,18.727322,0.0009999999,17.890387,64.89473684210526,-118.968895,,-498.76138,81,147.02405,,,0.0009999999,0.20168845,0.0009999999,18.660576,0.2,inf,11173.828,,76,498.76138,-0.2,inf,-142.02405,40.094512939453125,,-85.94317,,,0.2,0.0009999999,,2.5670863e-07,11
4956,77,17.420742,0.0009999999,17.87139,64.36363636363636,-105.285446,,-498.76138,81,146.54692,,,0.0009999999,0.39996684,0.0009999999,18.647505,0.2,inf,11284.113,,77,498.76138,,inf,-141.54692,40.678786516189575,,-85.94317,,,0.2,0.0009999999,,2.5008418e-07,11
4977,78,16.900434,0.0009999999,17.8462,63.80769230769231,-115.72711,,-498.76138,81,146.21591,,,0.0009999999,0.60233057,0.0009999999,18.634602,0.2,inf,11404.841,,78,498.76138,0.2,inf,-141.21591,41.27000331878662,,-85.94317,,,0.2,0.0009999999,,2.4371286e-07,11
5003,79,18.67135,0.0009999999,17.844069,63.32911392405063,-122.147705,,-498.76138,81,145.97453,,,0.0009999999,-0.19928806,0.0009999999,18.621862,-0.2,inf,11531.988,,79,498.76138,,inf,-140.97453,41.892329454422,,-85.94317,,0.2,-0.2,0.0009999999,,2.3758197e-07,11
5021,80,18.922314,0.0009999999,17.845125,62.7625,-107.90116,,-498.76138,81,145.56113,,,0.0009999999,-0.20111442,0.0009999999,18.609283,,inf,11644.89,,80,498.76138,-0.2,inf,-140.56113,42.43861389160156,,-85.94317,,0.2,-0.2,0.0009999999,,2.3167952e-07,11
5039,81,18.926527,0.0009999999,17.846207,62.20987654320987,-105.383934,,-498.76138,81,145.12683,,,0.0009999999,0.0035900977,0.0009999999,18.59686,,inf,11755.273,,81,498.76138,,inf,-140.12683,43.00857496261597,,-85.94317,,0.2,-0.2,0.0009999999,,2.2599437e-07,11
5105,82,17.508532,0.0009999999,17.829967,62.25609756097561,-151.07758,,-498.76138,81,145.26038,,,0.0009999999,0.19751683,0.0009999999,18.58459,,inf,11911.351,,82,498.76138,0.2,inf,-140.26038,43.644065856933594,,-85.94317,,0.2,-0.2,0.0009999999,,2.2051593e-07,11
5134,83,17.824884,0.0009999999,17.817932,61.855421686746986,-126.09812,,-498.76138,81,145.08975,,,0.0009999999,0.20259948,0.0009999999,18.57247,0.2,inf,12042.449,,83,498.76138,,inf,-140.08975,44.18341135978699,,-85.94317,,0.2,-0.2,0.0009999999,,2.1523427e-07,11
5154,84,17.083626,0.0009999999,17.797356,61.357142857142854,-115.873245,,-498.76138,81,144.80145,,,0.0009999999,-0.20031875,0.0009999999,18.560493,-0.2,inf,12163.322,,84,498.76138,-0.2,inf,-139.80145,44.725852489471436,,-85.94317,,0.2,,0.0009999999,,2.1014014e-07,11
5171,85,19.101011,0.0009999999,17.800999,60.83529411764706,-111.02008,,-498.76138,81,144.46284,,,0.0009999999,-0.0024689105,0.0009999999,18.548658,-0.2,inf,12279.342,,85,498.76138,,inf,-139.46284,45.27092456817627,,-85.94317,,0.2,,0.0009999999,,2.052248e-07,11
5185,86,17.237288,0.0009999999,17.782883,60.2906976744186,-105.83395,,-498.76138,81,144.07181,,,0.0009999999,0.19917928,0.0009999999,18.536963,-0.2,inf,12390.176,,86,498.76138,0.2,inf,-139.07181,45.82897925376892,,-85.94317,,0.2,,0.0009999999,,2.0047987e-07,11
