Iteration,Regret,LQGmu1_actor,Regret/t,ReturnLastEpisode,TimeElapsed,ReturnMean,LQGsigma_higher,LQGmu1_higher
25,0.32423779203371017,-0.36841857,0.012969511681348406,0.9511902391665827,1.0105516910552979,0.9521504883186516,0.14999999,-0.5151515
26,0.33759683210211433,-0.37997133,0.012984493542389012,0.9517609599315958,1.0447492599487305,0.952135506457611,0.14999999,-0.4949495
27,0.35048802812061686,-0.5080163,0.012981038078541365,0.9522288039814975,1.0742368698120117,0.9521389619214587,0.14999999,-0.47474748
28,0.3629167101431007,-0.66371655,0.01296131107653931,0.9526913179775162,1.1064839363098145,0.9521586889234609,0.14999999,-0.45454547
29,0.3757205449190779,-0.49176264,0.012955880859278549,0.9523161652240227,1.1378090381622314,0.9521641191407216,0.14999999,-0.43434343
30,0.3880122195416461,-0.55145633,0.012933740651388203,0.9528283253774318,1.1626577377319336,0.9521862593486119,0.14999999,-0.41414142
31,0.4009417787790037,-0.80777913,0.012933605767064637,0.9521904407626424,1.2051537036895752,0.9521863942329355,0.14999999,-0.3939394
32,0.4137131465043655,-0.48861986,0.012928535828261423,0.9523486322746382,1.238520622253418,0.9521914641717387,0.14999999,-0.37373737
33,0.4284352748213297,-0.28012085,0.01298288711579787,0.9503978716830358,1.274888038635254,0.9521371128842023,0.14999999,-0.35353535
34,0.4421486791147212,-0.19797139,0.013004372915138859,0.9514065957066085,1.3139071464538574,0.9521156270848614,0.14999999,-0.33333334
35,0.4555480868606785,-0.26479778,0.013015659624590814,0.9517205922540427,1.348515510559082,0.9521043403754094,0.14999999,-0.3131313
36,0.4694041940756626,-0.26418433,0.013039005390990628,0.9512638927850159,1.3827617168426514,0.9520809946090095,0.14999999,-0.2929293
37,0.4827732684894487,-0.39471608,0.013047926175390506,0.9517509255862139,1.4164047241210938,0.9520720738246096,0.14999999,-0.27272728
38,0.49516470116370015,-0.35902196,0.013030650030623689,0.9527285673257485,1.4501986503601074,0.9520893499693764,0.14999999,-0.25252524
39,0.5095606876849984,-0.32314372,0.013065658658589703,0.9507240134787017,1.4846272468566895,0.9520543413414103,0.14999999,-0.23232323
40,0.5237679139865535,-0.30849862,0.013094197849663838,0.9509127736984448,1.517899513244629,0.9520258021503363,0.14999999,-0.21212122
41,0.538176170003831,-0.17828658,0.013126248048873928,0.9507117439827225,1.5506634712219238,0.9519937519511262,0.14999999,-0.1919192
42,0.556247175707084,-0.16735232,0.013243980373978191,0.9470489942967469,1.5846786499023438,0.951876019626022,0.14999999,-0.17171717
43,0.5699596690384264,-0.25123,0.013254876024149452,0.9514075066686576,1.6182446479797363,0.9518651239758508,0.14999999,-0.15151516
44,0.5894323288689671,-0.14209455,0.013396189292476525,0.9456473401694593,1.651411533355713,0.9517238107075237,0.14999999,-0.13131313
45,0.6547404489908071,0.012923494,0.01454978775535127,0.89981187987816,1.6908512115478516,0.9505702122446489,0.14999999,-0.11111111
46,0.6761334017072973,-0.06360197,0.014698552211028202,0.9437270472835098,1.741940975189209,0.9504214477889719,0.14999999,-0.09090909
47,0.696338474826694,-0.12450889,0.014815712230355191,0.9449149268806033,1.7965185642242432,0.950304287769645,0.14999999,-0.07070707
