IWMin,Iteration,MountainCar_std0_higher,GridSize,DenMISELogFirst,DenMISELogLast,IWMean,ActionIn1,Bound,NumTrainableParams,AvgEpLen,ReturnAbsMax,MountainCar_std1_higher,MountainCar_mu0_higher,IWMax,ReturnMax,MinEpLen,IWLastEpisode,ReturnStepMax,ReturnMin,DenMISEMeanLog,IWFirstEpisode,NumTrajectories,ReturnLastEpisode,Regret,TimestepsSoFar,TimeElapsed,ReturnMean,Regret/t,MountainCar_mu1_higher,Delta
,45,0.14999999,400,-2.333341,-1.8640448,0.00025891003,1.3018728,14255251.0,,930.1333333333333,12.822414,0.14999999,-1.0,0.011650942,12.822414,185,,103.47918,-10.282942,-2.6307678,,45,-1.9852604,295.7141,41856,66.61757946014404,-1.5714245,6.5714245,2.631579,1.5010545e-06
,46,0.14999999,400,-2.3553197,-3.1437948,8.3802755e-05,3.9264023,14278597.0,,929.5869565217391,12.822414,0.14999999,-1.0,0.0037658978,12.822414,185,,103.47918,-10.282942,-2.663416,,46,-2.7340078,303.44812,42761,67.9984130859375,-1.596698,6.596698,4.736842,1.4365008e-06
,47,0.14999999,400,-2.3768258,-2.514763,0.0001237589,5.6961527,14301404.0,,927.4893617021277,12.822414,0.14999999,-1.0,0.005816037,12.822414,185,,103.47918,-10.282942,-2.6813002,,47,-1.4100319,309.85815,43592,69.48778700828552,-1.5927265,6.5927267,6.8421054,1.3760232e-06
,48,0.14999999,400,-2.3978794,-2.2738318,4.473391e-05,8.170055,14323696.0,,915.0416666666666,12.822414,0.14999999,-1.0,0.0021472238,12.822414,185,,103.47918,-10.282942,-2.6934233,,48,0.8400284,314.01813,43922,70.65215945243835,-1.542044,6.542044,8.947369,1.3192863e-06
,49,0.14999999,400,-2.4184985,-2.529295,0.0009385646,-9.928744,10143807.0,,908.4897959183673,12.822414,0.14999999,-0.2631579,0.045668047,12.822414,185,,103.47918,-10.282942,-2.7102714,,49,-1.4186572,320.43677,44516,71.99433779716492,-1.5395259,6.539526,-10.0,1.2659872e-06
,50,0.14999999,400,-2.4387014,-3.3938434,0.00032575437,-8.579999,10158886.0,,910.3,12.822414,0.14999999,-0.2631579,0.01626256,12.822414,185,8.520239e-38,103.47918,-10.282942,-2.7437224,,50,-0.0025150385,325.43927,45515,73.48391842842102,-1.5087857,6.5087857,-7.894737,1.2158541e-06
,51,0.14999999,400,-2.458504,-3.9596102,0.00024993627,-6.1050396,10173646.0,,912.0392156862745,12.822414,0.14999999,-0.2631579,0.012713894,12.822414,185,,103.47918,-10.282942,-2.7869718,,51,-0.5755345,331.01483,46514,74.91832900047302,-1.4904867,6.4904866,-5.7894735,1.168641e-06
,52,0.14999999,400,-2.477922,-3.2340245,0.0062196064,-3.850079,10188099.0,,913.7115384615385,12.822414,0.14999999,-0.2631579,0.2970183,12.822414,185,,103.47918,-10.282942,-2.8146086,,52,-0.04536874,336.06018,47513,76.44561457633972,-1.462696,6.462696,-3.6842105,1.1241256e-06
,53,0.14999999,400,-2.4969702,-2.2405214,0.00459395,-2.4101562,10202255.0,,915.3207547169811,12.822414,0.14999999,-0.2631579,0.24343595,12.822414,185,,103.47918,-10.282942,-2.8223486,2.2908275e-18,53,-0.066395365,341.1266,48512,77.91978359222412,-1.4363507,6.436351,-1.5789474,1.082106e-06
,54,0.14999999,400,-2.5156624,-5.960847,0.0003845617,1.0081946,10216128.0,,916.8703703703703,12.822414,0.14999999,-0.2631579,0.020758554,12.822414,185,,103.47918,-10.282942,-2.8987296,8.270183e-28,54,-0.48560876,346.61218,49511,79.42944693565369,-1.4187444,6.4187446,1.5789474,1.0423989e-06
,55,0.14999999,400,-2.5340116,-3.4826372,1.7123357e-05,3.6881273,10229729.0,,918.3636363636364,12.822414,0.14999999,-0.2631579,0.00088641816,12.822414,185,,103.47918,-10.282942,-2.927355,,55,-0.25340194,351.8656,50510,81.0228943824768,-1.3975564,6.3975563,3.6842105,1.0048382e-06
,56,0.14999999,400,-2.55203,-3.5861444,3.6659876e-06,5.6178956,10243067.0,,919.8035714285714,12.822414,0.14999999,-0.2631579,0.00018772972,12.822414,185,3.8796272e-31,103.47918,-10.282942,-2.9568155,,56,-0.16602106,357.03162,51509,82.52890515327454,-1.3755646,6.3755646,5.7894735,9.692714e-07
,57,0.14999999,400,-2.5697296,-2.4830384,7.893991e-06,7.659425,10256152.0,,912.9824561403509,12.822414,0.14999999,-0.2631579,0.00043044484,12.822414,185,1.5788434e-36,103.47918,-10.282942,-2.9658926,,57,0.24025926,361.79135,52040,83.80531620979309,-1.3472168,6.3472166,7.894737,9.355603e-07
,58,0.14999999,400,-2.5871212,-2.4259486,2.7168792e-07,9.778009,10268993.0,,907.8620689655172,12.822414,0.14999999,-0.2631579,1.26613495e-05,12.822414,185,9.258162e-38,103.47918,-10.282942,-2.973675,,58,-0.078153566,366.8695,52656,85.19968461990356,-1.3253363,6.3253365,10.0,9.035778e-07
,59,0.14999999,400,-2.6042159,-2.4028816,5.52924e-06,0.53564626,7999165.0,,899.1355932203389,12.822414,0.14999999,0.2631579,0.00031391653,12.822414,185,,103.47918,-10.282942,-2.9808052,1.22475285e-05,59,1.7271024,370.1424,53049,86.4124505519867,-1.2736002,6.2736,0.5263158,8.7320757e-07
,60,0.14999999,400,-2.6210227,-2.9338393,0.00043392743,-8.482359,419191.34,,900.8,12.822414,0.14999999,0.36842105,0.023782402,12.822414,185,,103.47918,-10.282942,-2.9965494,,60,-0.024817342,375.16724,54048,88.01365518569946,-1.2527871,6.252787,-8.947369,8.443433e-07
,61,0.14999999,400,-2.637552,-2.3195863,0.06350273,-6.68128,419686.5,,902.4098360655738,12.822414,0.14999999,0.36842105,3.8736346,12.822414,185,,103.47918,-10.282942,-3.001703,,61,-0.6864741,380.8537,55047,89.4248616695404,-1.2435032,6.243503,-6.8421054,8.168867e-07
,62,0.14999999,400,-2.6538124,-2.756344,0.0005466048,-1.9622784,420173.03,,903.9677419354839,12.822414,0.14999999,0.36842105,0.030023232,12.822414,185,,103.47918,-10.282942,-3.0127506,,62,-0.2974648,386.15118,56046,91.00091552734375,-1.2282447,6.228245,-2.631579,7.90748e-07
,63,0.14999999,400,-2.669813,-3.5759194,0.0010080475,2.959463,420651.28,,905.4761904761905,12.822414,0.14999999,0.36842105,0.061089303,12.822414,185,,103.47918,-10.282942,-3.0374277,,63,-0.59081006,391.74197,57045,92.4518895149231,-1.2181265,6.2181263,2.631579,7.658441e-07
,64,0.14999999,400,-2.6855612,-2.5926974,3.0433326e-05,7.2494407,421121.44,,906.9375,12.822414,0.14999999,0.36842105,0.0012955476,12.822414,185,,103.47918,-10.282942,-3.0459652,,64,-0.66036355,397.40234,58044,93.91481685638428,-1.2094116,6.2094116,6.8421054,7.4209845e-07
,65,0.14999999,400,-2.7010653,-3.4393349,2.463194e-05,8.927044,421583.78,,908.3538461538461,12.822414,0.14999999,0.36842105,0.0015845242,12.822414,185,,103.47918,-10.282942,-3.0672824,,65,-1.239011,403.64136,59043,95.47648549079895,-1.2098669,6.209867,8.947369,7.194404e-07
,66,0.14999999,400,-2.716333,-3.9016063,0.011355941,5.143111,422038.56,,902.2575757575758,12.822414,0.14999999,0.36842105,0.7257375,12.822414,185,,103.47918,-10.282942,-3.0949593,,66,0.57252395,408.06882,59549,96.75429701805115,-1.182861,6.182861,4.736842,6.978043e-07
,67,0.14999999,400,-2.7313707,-2.3444479,0.025665063,-4.1169167,422486.0,,903.7014925373135,12.822414,0.14999999,0.36842105,1.1918814,12.822414,185,,103.47918,-10.282942,-3.0984023,,67,-0.37551343,413.44434,60548,98.27807140350342,-1.1708109,6.1708107,-4.736842,6.771298e-07
,68,0.14999999,400,-2.7461858,-3.0803149,0.016580941,0.32372135,417270.53,,905.1029411764706,12.822414,0.14999999,-0.36842105,1.1247448,12.822414,185,,103.47918,-10.282942,-3.112359,0.0024804017,68,-1.0342879,419.47864,61547,99.90637063980103,-1.1688032,6.168803,0.5263158,6.5736054e-07
,69,0.14999999,400,-2.7607481,-3.337634,0.009068245,0.08545229,89021.91,,906.463768115942,12.822414,0.14999999,0.2631579,0.605468,12.822414,185,2.424382e-18,103.47918,-10.282942,-3.1297727,0.020240834,69,-0.4054304,424.88406,62546,101.39755725860596,-1.15774,6.15774,-0.5263158,6.3844476e-07
,70,0.14999999,400,-2.7748435,-4.467605,0.0019313721,-9.206227,39936.03,,907.7857142857143,12.822414,0.14999999,1.0,0.13519603,12.822414,185,,103.47918,-10.282942,-3.1629388,,70,-0.20047115,430.08453,63545,102.83416366577148,-1.1440647,6.144065,-10.0,6.2033376e-07
,71,0.14999999,400,-2.7890282,-2.7648432,0.00011883949,-7.051808,39975.65,,909.0704225352113,12.822414,0.14999999,1.0,0.008437596,12.822414,185,,103.47918,-10.282942,-3.1712897,,71,-2.9798126,438.06433,64544,104.36101341247559,-1.1699202,6.16992,-7.894737,6.029826e-07
,72,0.14999999,400,-2.8030145,-2.583567,0.00014371469,-5.0471306,40014.668,,910.3194444444445,12.822414,0.14999999,1.0,0.010347448,12.822414,185,,103.47918,-10.282942,-3.176917,,72,-3.4935756,446.55792,65543,105.85574674606323,-1.2021933,6.2021933,-5.7894735,5.863494e-07
,73,0.14999999,400,-2.8168077,-3.0407944,1.5263553e-05,-2.7990026,40053.113,,911.5342465753424,12.822414,0.14999999,1.0,0.0011142382,12.822414,185,,103.47918,-10.282942,-3.188655,,73,-2.6841085,454.24203,66542,107.21550178527832,-1.2224935,6.2224936,-3.6842105,5.703951e-07
,74,0.14999999,400,-2.8304133,-2.5145867,1.7862572e-05,-0.8364114,40091.0,,912.7162162162163,12.822414,0.14999999,1.0,0.0013212694,12.822414,185,,103.47918,-10.282942,-3.1929672,5.6143667e-33,74,-3.6310003,462.87305,67541,108.80687379837036,-1.255041,6.255041,-1.5789474,5.550832e-07
,75,0.14999999,400,-2.8438365,-3.0864205,0.000105459985,2.5275798,40128.344,,913.8666666666667,12.822414,0.14999999,1.0,0.00790927,12.822414,185,,103.47918,-10.282942,-3.2047904,,75,-2.6962903,470.56934,68540,110.33308362960815,-1.2742577,6.2742577,1.5789474,5.4037963e-07
,76,0.14999999,400,-2.8570817,-2.5508285,0.0010170713,4.576908,40165.156,,914.9868421052631,12.822414,0.14999999,1.0,0.0772699,12.822414,185,,103.47918,-10.282942,-3.2092552,,76,-3.6516745,479.221,69539,111.88521003723145,-1.3055394,6.305539,3.6842105,5.262527e-07
,77,0.14999999,400,-2.8701537,-5.830394,0.015953038,9.014735,40201.43,,916.077922077922,12.822414,0.14999999,1.0,1.2283728,12.822414,185,,103.47918,-10.282942,-3.256185,,77,-10.107373,494.32837,70538,113.38489937782288,-1.4198488,6.419849,7.894737,5.126726e-07
,78,0.14999999,400,-2.883057,-2.9034584,0.16230474,7.053743,40236.895,,917.1410256410256,12.822414,0.14999999,1.0,12.65977,12.822414,185,,103.47918,-10.282942,-3.2641978,,78,-5.0995684,504.42792,71537,115.04565238952637,-1.4670248,6.467025,5.7894735,4.9961136e-07
,79,0.14999999,400,-2.8957963,-3.2382417,10.740753,10.998536,40238.312,,918.1772151898734,12.822414,0.14999999,1.0,848.51953,12.822414,185,,103.47918,-10.282942,-3.274543,,79,-7.797969,517.2259,72536,116.74839353561401,-1.5471631,6.547163,10.0,4.8704305e-07
,80,0.14999999,400,-2.908375,-3.9390602,0.025698666,-1.302299,37765.516,,919.1875,12.822414,0.14999999,-0.47368422,1.7407687,12.822414,185,,103.47918,-10.282942,-3.264483,1.7407687,80,-8.2344885,530.4604,73535,118.30820822715759,-1.6307548,6.630755,-0.5263158,4.7494302e-07
,81,0.14999999,400,-2.8992712,-3.362909,0.42843327,9.777352,773.36957,,920.1728395061729,12.822414,0.14999999,0.05263158,34.70295,12.822414,185,,103.47918,-10.282942,-3.277653,,81,-0.8918295,536.35223,74534,119.85885429382324,-1.6216323,6.6216326,10.0,4.6328847e-07
,82,0.14999999,400,-2.9115412,-2.6005619,0.4078787,6.040361,773.7472,,915.0,12.822414,0.14999999,-0.57894737,33.293503,12.822414,185,,103.47918,-10.282942,-3.2771678,,82,0.6038093,540.7484,75030,121.16321611404419,-1.5944928,6.594493,6.8421054,4.5205766e-07
,83,0.14999999,400,-2.9236627,-2.7653801,0.19463688,7.128971,774.1229,,915.843373493976,12.822414,0.14999999,-0.68421054,10.166798,12.822414,185,3.838428e-10,103.47918,-10.282942,-3.2788491,,83,-1.2049811,546.95337,76015,122.75375890731812,-1.5898,6.5898,7.894737,4.4123027e-07
,84,0.14999999,400,-2.935639,-2.420367,0.017410778,9.2715025,774.7456,,908.0238095238095,12.822414,0.14999999,-0.68421054,1.2318872,12.822414,185,,103.47918,-10.282942,-3.2782578,,84,5.7708945,546.1825,76274,123.95670080184937,-1.5021727,6.5021725,10.0,4.307873e-07
,85,0.14999999,400,-2.9474733,-2.3420436,0.18636432,5.0585766,775.21466,,901.2,12.822414,0.14999999,-0.57894737,15.5350275,12.822414,185,,103.47918,-10.282942,-3.278735,,85,2.3248246,548.85767,76602,125.24137735366821,-1.4571491,6.457149,5.7894735,4.2071085e-07
,86,0.14999999,400,-2.9591694,-3.7043881,0.056951534,5.5580025,775.8076,,896.6046511627907,12.822414,0.14999999,0.05263158,4.729745,12.822414,185,0.12324357,103.47918,-10.282942,-3.2932513,,86,-0.02901291,553.88666,77108,126.55176377296448,-1.4405428,6.4405427,5.7894735,4.1098372e-07
