TimeElapsed,ActionIn1,MountainCar_std0_higher,ReturnMean,ReturnStepMax,IWFirstEpisode,AvgEpLen,Iteration,IWMax,Regret,DenMISELogFirst,DenMISEMeanLog,Bound,IWMean,ReturnLastEpisode,Delta,TimestepsSoFar,Regret/t,MountainCar_std1_higher,IWLastEpisode,ReturnAbsMax,ReturnMax,MountainCar_mu0_higher,IWMin,NumTrainableParams,MinEpLen,GridSize,DenMISELogLast,NumTrajectories,MountainCar_mu1_higher,ReturnMin
60.633601903915405,-7.8776307,0.14999999,-1.7640814,96.97537,,936.3333333333334,42,0.004774117,284.09143,-2.5132854,-2.6819396,8109120.0,0.0001136697,-1.1049325,1.7231492e-06,39326,6.7640815,0.14999999,6.7292804e-36,7.33187,0.17582022,-1.0,,,484,400,-3.779759,42,-6.8421054,-7.33187
62.186524868011475,-6.0366244,0.14999999,-1.7580311,96.97537,,937.7906976744187,43,0.00013891119,290.59534,-2.5368161,-2.706293,8123485.0,3.2304963e-06,-1.5039216,1.6439349e-06,40325,6.758031,0.14999999,,7.33187,0.17582022,-1.0,,,484,400,-2.7409613,43,-4.736842,-7.33187
63.6365110874176,-3.4998693,0.14999999,-1.7735176,96.97537,,939.1818181818181,44,3.9007438e-07,298.0348,-2.5598056,-2.7316933,8137496.0,9.077727e-09,-2.4394317,1.5700596e-06,41324,6.7735176,0.14999999,,7.33187,0.17582022,-1.0,,,484,400,-2.8353624,44,-2.631579,-7.33187
65.16015911102295,1.489077,0.14999999,-1.7748884,96.97537,,940.5111111111111,45,6.4937603e-06,304.87,-2.5822785,-2.7403913,8151168.0,1.443058e-07,-1.8352125,1.5010545e-06,42323,6.7748885,0.14999999,,7.33187,0.17582022,-1.0,,,484,400,-2.1343045,45,2.631579,-7.33187
66.49057984352112,3.8954475,0.14999999,-1.7803272,96.97537,,941.7826086956521,46,0.11228632,311.89505,-2.6042573,-2.7487757,8164517.0,0.002441385,-2.025061,1.4365008e-06,43322,6.7803273,0.14999999,,7.33187,0.17582022,-1.0,,,484,400,-2.1370122,46,4.736842,-7.33187
67.89800834655762,5.615305,0.14999999,-1.7704092,96.97537,,940.3191489361702,47,0.0011494817,318.20923,-2.6257634,-2.7691085,8177558.0,2.4473487e-05,-1.3141907,1.3760232e-06,44195,6.770409,0.14999999,,7.33187,0.17582022,-1.0,,,484,400,-2.7175655,47,6.8421054,-7.33187
69.19606566429138,8.040928,0.14999999,-1.7864014,96.97537,,931.7083333333334,48,0.28710005,325.74725,-2.646817,-2.8155372,8190305.0,0.005981251,-2.5380275,1.3192863e-06,44722,6.7864013,0.14999999,,7.33187,0.17582022,-1.0,,,484,400,-4.008212,48,8.947369,-7.33187
70.48280954360962,-10.255759,0.14999999,-1.7811507,96.97537,,923.469387755102,49,0.000113325856,332.27637,-2.6674361,-2.8235674,5800239.5,2.952465e-06,-1.5291165,1.2659872e-06,45250,6.781151,0.14999999,,7.33187,0.17582022,-0.2631579,,,484,400,-2.2252467,49,-10.0,-7.33187
71.981693983078,-8.347453,0.14999999,-1.7464105,96.97537,,924.98,50,0.0037334515,337.32053,-2.687639,-2.8424017,5808862.0,9.1303904e-05,-0.04414768,1.2158541e-06,46249,6.7464104,0.14999999,,7.33187,0.17582022,-0.2631579,,,484,400,-2.7753675,50,-7.894737,-7.33187
73.52833390235901,-6.011865,0.14999999,-1.7230219,96.97537,,926.4313725490196,51,0.29126275,342.8741,-2.7074416,-2.8701751,5817302.0,0.0057134563,-0.5535877,1.168641e-06,47248,6.723022,0.14999999,,7.33187,0.17582022,-0.2631579,,,484,400,-3.2687852,51,-5.7894735,-7.33187
75.08639240264893,-4.167835,0.14999999,-1.6923021,96.97537,,927.8269230769231,52,3.6828133e-05,347.9997,-2.7268596,-2.8731496,5825565.5,8.2782117e-07,-0.12558891,1.1241256e-06,48247,6.692302,0.14999999,,7.33187,0.17582022,-0.2631579,,,484,400,-2.0402188,52,-3.6842105,-7.33187
76.63627314567566,-1.8980205,0.14999999,-1.6643573,96.97537,1.0580634e-19,929.1698113207547,53,0.047411878,353.21094,-2.7459078,-2.8924308,5833660.5,0.00090616953,-0.21122909,1.082106e-06,49246,6.664357,0.14999999,,7.33187,0.17582022,-0.2631579,,,484,400,-2.9045506,53,-1.5789474,-7.33187
78.08029747009277,1.3803157,0.14999999,-1.6403716,96.97537,2.1275996e-28,930.4629629629629,54,0.09145505,358.58008,-2.7646,-2.904579,5841593.5,0.0024280776,-0.3691238,1.0423989e-06,50245,6.6403713,0.14999999,,7.33187,0.17582022,-0.2631579,,,484,400,-2.558649,54,1.5789474,-7.33187
79.64341735839844,3.2599797,0.14999999,-1.6115851,96.97537,,931.709090909091,55,0.5253918,363.63718,-2.782949,-2.913629,5849370.5,0.009552598,-0.05712095,1.0048382e-06,51244,6.611585,0.14999999,,7.33187,0.17582022,-0.2631579,,,484,400,-2.4139166,55,3.6842105,-7.33187
81.14614200592041,5.6075835,0.14999999,-1.5893383,96.97537,,932.9107142857143,56,0.080263354,369.00293,-2.8009677,-2.923334,5856997.0,0.0014339112,-0.36575812,9.692714e-07,52243,6.5893383,0.14999999,,7.33187,0.17582022,-0.2631579,,,484,400,-2.4755962,56,5.7894735,-7.33187
82.4957447052002,7.7655783,0.14999999,-1.5598568,96.97537,,925.7719298245614,57,0.019500434,373.91183,-2.8186672,-2.9548762,5864479.0,0.00034211896,0.09110707,9.355603e-07,52769,6.559857,0.14999999,1.8836152e-32,7.33187,0.17582022,-0.2631579,,,484,400,-3.7315083,57,7.894737,-7.33187
83.664311170578,9.731409,0.14999999,-1.4993125,97.64809,,916.3448275862069,58,1.6517119e-05,376.96014,-2.8360589,-2.9657545,5871821.0,3.6012193e-07,1.9516984,9.035778e-07,53148,6.4993124,0.14999999,1.00229275e-35,7.33187,1.9516984,-0.2631579,,,379,400,-2.594817,58,10.0,-7.33187
84.85850286483765,1.0367048,0.14999999,-1.4234384,97.64809,0.0026977747,906.4745762711865,59,0.19269034,378.98285,-2.8531532,-2.9770527,4573931.5,0.004986967,2.9772706,8.7320757e-07,53482,6.4234385,0.14999999,,7.33187,2.9772706,0.2631579,,,334,400,-2.6408794,59,0.5263158,-7.33187
86.40392565727234,-6.6846986,0.14999999,-1.411368,97.64809,,908.0166666666667,60,0.10096972,384.68207,-2.8699148,-2.993335,239694.05,0.0016937886,-0.6992198,8.443433e-07,54481,6.411368,0.14999999,,7.33187,2.9772706,0.36842105,,,334,400,-2.9673522,60,-6.8421054,-7.33187
88.0624463558197,-4.3252945,0.14999999,-1.3898655,97.64809,,909.5081967213115,61,0.014146455,389.7818,-2.886444,-3.0080822,239977.19,0.0002329157,-0.099719696,8.168867e-07,55480,6.3898654,0.14999999,,7.33187,2.9772706,0.36842105,,,334,400,-2.9028502,61,-4.736842,-7.33187
89.58459997177124,-2.591885,0.14999999,-1.3707209,97.64809,,910.9516129032259,62,2.2540088,394.98468,-2.9027045,-3.022799,240255.4,0.03635559,-0.20289221,7.90748e-07,56479,6.370721,0.14999999,1.3721789e-35,7.33187,2.9772706,0.36842105,,,334,400,-2.9288492,62,-2.631579,-7.33187
91.18253087997437,2.616068,0.14999999,-1.3500658,97.64809,,912.3492063492064,63,0.20979273,400.05414,-2.918705,-3.0445776,240528.86,0.0033448078,-0.06944837,7.658441e-07,57478,6.3500657,0.14999999,,7.33187,2.9772706,0.36842105,,,334,400,-3.4385538,63,2.631579,-7.33187
92.70566964149475,5.5680285,0.14999999,-1.3290132,97.64809,,913.703125,64,0.25894058,405.05685,-2.9344532,-3.0691876,240797.67,0.004046736,-0.002698966,7.4209845e-07,58477,6.3290133,0.14999999,,7.33187,2.9772706,0.36842105,,,334,400,-3.6308243,64,4.736842,-7.33187
