IWMax,GridSize,MountainCar_std1_higher,Regret,DenMISEMeanLog,MountainCar_mu1_higher,IWLastEpisode,ReturnStepMax,NumTrajectories,DenMISELogFirst,Regret/t,ActionIn1,TimeElapsed,Iteration,MountainCar_std0_higher,IWMin,DenMISELogLast,ReturnMin,IWFirstEpisode,AvgEpLen,MinEpLen,MountainCar_mu0_higher,NumTrainableParams,Bound,ReturnLastEpisode,ReturnAbsMax,ReturnMax,TimestepsSoFar,Delta,IWMean,ReturnMean
6.6044406e-09,400,0.14999999,254.88658,-2.625962,4.736842,,104.930954,37,-2.2149088,6.8888264,5.535019,52.27348208427429,37,0.14999999,,-1.896623,-9.574608,,896.2432432432432,254,1.0,,993836840000000.0,-3.3400722,9.574608,5.47179,33161,2.2203328e-06,1.784984e-10,-1.8888265
4.5794177e-08,400,0.14999999,262.38028,-2.6551743,-0.5263158,,104.930954,38,-2.241577,6.904744,0.3827712,53.76930356025696,38,0.14999999,,-2.7493074,-9.574608,4.5794177e-08,898.9473684210526,254,0.8947368,,3645235500000.0,-2.4936972,9.574608,5.47179,34160,2.1050107e-06,1.2051423e-09,-1.9047441
8.831661e-07,400,0.14999999,271.54443,-2.6635356,0.5263158,,104.930954,39,-2.2675524,6.962678,-0.2867393,55.449442625045776,39,0.14999999,,-1.9941932,-9.574608,1.237879e-12,901.5128205128206,254,-1.0,,2971097400000.0,-4.16416,9.574608,5.47179,35159,1.9984454e-06,2.2645317e-08,-1.962678
9.723014e-12,400,0.14999999,278.5266,-2.6831555,-0.5263158,1.705679e-13,104.930954,40,-2.2928703,6.9631653,-1.5845042,57.121161699295044,40,0.14999999,,-2.460945,-9.574608,9.723014e-12,903.95,254,-1.0,,225044510000.0,-1.9821793,9.574608,5.47179,36158,1.8997721e-06,2.6148091e-13,-1.9631655
1.7046118e-06,400,0.14999999,285.521,-2.6856456,-8.947369,,104.930954,41,-2.3175628,6.9639263,-10.234048,58.60261130332947,41,0.14999999,,-1.7975403,-9.574608,,906.2682926829268,254,-1.0,,10570365.0,-1.9943581,9.574608,5.47179,37157,1.8082306e-06,4.6297725e-08,-1.9639263
0.00047787468,400,0.14999999,293.50305,-2.7452755,-6.8421054,,104.930954,42,-2.3416605,6.988168,-7.781915,60.03272461891174,42,0.14999999,,-4.2021093,-9.574608,,908.4761904761905,254,-1.0,,10589610.0,-2.9820678,9.574608,5.47179,38156,1.7231492e-06,1.1553165e-05,-1.9881678
2.3619923e-06,400,0.14999999,300.39758,-2.7483897,-4.736842,,104.930954,43,-2.365191,6.9859905,-5.9505415,61.545557498931885,43,0.14999999,,-1.8909136,-9.574608,,910.5813953488372,254,-1.0,,10608369.0,-1.8945483,9.574608,5.47179,39155,1.6439349e-06,5.493009e-08,-1.9859906
0.00024375907,400,0.14999999,307.6274,-2.761661,-2.631579,,104.930954,44,-2.3881805,6.991532,-3.6974704,63.10305047035217,44,0.14999999,,-2.3437715,-9.574608,,912.5909090909091,254,-1.0,,10626665.0,-2.2298076,9.574608,5.47179,40154,1.5700596e-06,5.580478e-06,-1.9915318
0.00023979669,400,0.14999999,314.95346,-2.774338,2.631579,,104.930954,45,-2.4106534,6.9989657,1.4945403,64.64463305473328,45,0.14999999,,-2.3433201,-9.574608,,914.5111111111111,254,-1.0,,10644520.0,-2.3260496,9.574608,5.47179,41153,1.5010545e-06,5.3288154e-06,-1.9989656
0.004653883,400,0.14999999,321.7531,-2.7907522,4.736842,,104.930954,46,-2.4326322,6.994633,3.8667908,66.12077045440674,46,0.14999999,,-2.5403736,-9.574608,,916.3478260869565,254,-1.0,,10661953.0,-1.7996695,9.574608,5.47179,42152,1.4365008e-06,0.00017463327,-1.9946331
2.9720071e-05,400,0.14999999,328.18472,-2.8134263,6.8421054,8.7383605e-34,104.930954,47,-2.4541385,6.9826536,6.249284,67.2903184890747,47,0.14999999,,-2.8672915,-9.574608,,906.8297872340426,254,-1.0,,10678983.0,-1.431604,9.574608,5.47179,42621,1.3760232e-06,6.323423e-07,-1.9826537
0.006665935,400,0.14999999,334.57202,-2.8548343,8.947369,4.1739806e-32,104.930954,48,-2.4751918,6.9702506,7.81456,68.75776028633118,48,0.14999999,,-3.8115003,-9.574608,,906.6041666666666,254,-1.0,,10695628.0,-1.387304,9.574608,5.47179,43517,1.3192863e-06,0.00013914167,-1.9702506
0.00020130647,400,0.14999999,334.42438,-2.8608818,-10.0,,104.930954,49,-2.4958112,6.8249874,-10.109698,69.90058851242065,49,0.14999999,,-2.1615949,-9.574608,,893.3061224489796,254,-0.2631579,,7574468.5,5.147662,9.574608,5.47179,43772,1.2659872e-06,4.2729644e-06,-1.8249872
6.4070377,400,0.14999999,339.45856,-2.872241,-7.894737,,104.930954,50,-2.5160139,6.7891707,-7.4485474,71.34594488143921,50,0.14999999,,-2.4389055,-9.574608,,895.42,254,-0.2631579,,7585728.5,-0.03417232,9.574608,5.47179,44771,1.2158541e-06,0.12814096,-1.7891709
0.002114886,400,0.14999999,344.65344,-2.909154,-5.7894735,4.978355e-36,104.930954,51,-2.5358164,6.7579107,-5.792064,72.9056510925293,51,0.14999999,,-3.8852482,-9.574608,,897.4509803921569,254,-0.2631579,,7596750.0,-0.1948923,9.574608,5.47179,45770,1.168641e-06,6.0017366e-05,-1.7579105
0.00018355751,400,0.14999999,349.684,-2.9256346,-3.6842105,1.6749281e-37,104.930954,52,-2.5552344,6.724692,-3.9652662,74.43570184707642,52,0.14999999,,-2.775874,-9.574608,,899.4038461538462,254,-0.2631579,,7607542.0,-0.030547362,9.574608,5.47179,46769,1.1241256e-06,3.635397e-06,-1.724692
0.00027027717,400,0.14999999,354.93552,-2.929535,-1.5789474,,104.930954,53,-2.5742826,6.6968966,-1.8732878,75.92255640029907,53,0.14999999,,-2.1418486,-9.574608,1.8969288e-22,901.2830188679245,254,-0.2631579,,7618113.0,-0.25154525,9.574608,5.47179,47768,1.082106e-06,5.142522e-06,-1.6968967
0.00085846166,400,0.14999999,360.21826,-2.9346883,1.5789474,,104.930954,54,-2.592975,6.6707087,1.1578344,77.41981363296509,54,0.14999999,,-2.2171571,-9.574608,4.303175e-25,903.0925925925926,254,-0.2631579,,7628472.0,-0.2827539,9.574608,5.47179,48767,1.0423989e-06,1.589791e-05,-1.6707088
0.0017360846,400,0.14999999,365.2628,-2.9781458,3.6842105,,104.930954,55,-2.611324,6.641142,3.2457635,78.8357424736023,55,0.14999999,,-4.3340044,-9.574608,,904.8363636363637,254,-0.2631579,,7638627.5,-0.044512983,9.574608,5.47179,49766,1.0048382e-06,3.1613195e-05,-1.6411418
2.2469242,400,0.14999999,370.9532,-3.0195224,5.7894735,9.427848e-37,104.930954,56,-2.6293426,6.6241636,5.5678506,80.425448179245,56,0.14999999,,-4.3042493,-9.574608,,904.625,254,-0.2631579,,7648587.5,-0.69037324,9.574608,5.47179,50659,9.692714e-07,0.040123966,-1.6241637
0.00017194319,400,0.14999999,376.05505,-3.0203633,7.894737,,104.930954,57,-2.647042,6.597457,7.573478,81.78019070625305,57,0.14999999,,-2.1156187,-9.574608,,901.2631578947369,254,-0.2631579,,7658357.5,-0.10189145,9.574608,5.47179,51372,9.355603e-07,4.0418327e-06,-1.597457
0.00031096817,400,0.14999999,379.11606,-3.0248885,10.0,,104.930954,58,-2.6644337,6.536484,9.74404,83.15483498573303,58,0.14999999,,-2.2914858,-9.574608,,892.3103448275862,254,-0.2631579,,7667946.0,1.93899,9.574608,5.47179,51754,9.035778e-07,1.0643025e-05,-1.5364839
0.027251685,400,0.14999999,381.97684,-3.1342225,0.5263158,,104.930954,59,-2.6815283,6.474184,1.0420871,84.23688292503357,59,0.14999999,,-8.484123,-9.574608,0.027251685,882.8305084745763,254,0.2631579,,5973046.0,2.13922,9.574608,5.47179,52087,8.7320757e-07,0.0004627071,-1.4741838
0.5805465,400,0.14999999,387.34268,-3.1482441,-8.947369,,104.930954,60,-2.6978736,6.4557114,-8.790882,85.85083031654358,60,0.14999999,,-2.984372,-9.574608,,884.7666666666667,254,0.36842105,,313013.8,-0.36583394,9.574608,5.47179,53086,8.443433e-07,0.009686456,-1.4557114
0.17220217,400,0.14999999,392.74536,-3.1639671,-6.8421054,,104.930954,61,-2.714403,6.4384484,-6.649626,87.40999341011047,61,0.14999999,,-3.125235,-9.574608,,886.639344262295,254,0.36842105,,313383.53,-0.4026681,9.574608,5.47179,54085,8.168867e-07,0.0028295105,-1.4384483
0.4724863,400,0.14999999,398.04752,-3.1702886,-4.736842,,104.930954,62,-2.7306633,6.420121,-4.775263,88.92152333259583,62,0.14999999,,-2.5668252,-9.574608,,888.4516129032259,254,0.36842105,,313746.88,-0.30216703,9.574608,5.47179,55084,7.90748e-07,0.01033858,-1.4201212
0.009201982,400,0.14999999,403.07574,-3.1987078,-2.631579,,104.930954,63,-2.7466638,6.3980274,-2.2264686,90.40697526931763,63,0.14999999,,-3.9789968,-9.574608,,890.2063492063492,254,0.36842105,,314103.97,-0.02822339,9.574608,5.47179,56083,7.658441e-07,0.00014835176,-1.3980277
0.009664673,400,0.14999999,408.53796,-3.1989121,2.631579,,104.930954,64,-2.762412,6.3834057,2.5942504,92.02157592773438,64,0.14999999,,-2.2197907,-9.574608,,891.90625,254,0.36842105,,314455.03,-0.4622443,9.574608,5.47179,57082,7.4209845e-07,0.00015109271,-1.3834059
0.061004523,400,0.14999999,413.85864,-3.2435746,6.8421054,,104.930954,65,-2.7779162,6.3670564,7.5615277,93.51678919792175,65,0.14999999,,-5.10985,-9.574608,,893.5538461538462,254,0.36842105,,314800.28,-0.32067853,9.574608,5.47179,58081,7.194404e-07,0.00095197564,-1.3670563
0.25592658,400,0.14999999,419.8712,-3.2675836,8.947369,1.3908903e-31,104.930954,66,-2.7931838,6.361685,9.539582,95.04399490356445,66,0.14999999,,-3.8367388,-9.574608,,895.1515151515151,254,0.36842105,,315139.84,-1.012518,9.574608,5.47179,59080,6.978043e-07,0.005841204,-1.3616846
