ReturnAbsMax,AvgEpLen,MinEpLen,TimeElapsed,IWMean,NumTrajectories,ReturnMin,ReturnLastEpisode,IWFirstEpisode,ReturnStepMax,MountainCar_std0_higher,Bound,DenMISEMeanLog,DenMISELogFirst,NumTrainableParams,GridSize,Regret,IWMin,IWLastEpisode,TimestepsSoFar,Delta,IWMax,ReturnMax,MountainCar_mu1_higher,Regret/t,ActionIn1,ReturnMean,DenMISELogLast,Iteration,MountainCar_mu0_higher,MountainCar_std1_higher
3.1779168,875.5,334,27.679524421691895,2.4482995e-20,20,-2.0399625,-1.6592735,,98.23413,0.14999999,inf,-1.8503282,-1.1041398,,400,119.43329,,4.896599e-19,17510,7.5990883e-06,4.896599e-19,3.1779168,10.0,5.9716644,10.961286,-0.97166455,-2.8254974,20,0.47368422,0.14999999
3.1779168,881.3809523809524,334,29.13065767288208,2.3710917e-15,21,-2.1106856,-2.1106856,,98.23413,0.14999999,8.213601e+16,-2.001742,-1.1529299,,400,126.543976,,,18509,6.892597e-06,4.792917e-14,3.1779168,-8.947369,6.0259037,-9.026878,-1.0259036,-4.0542135,21,-0.2631579,0.14999999
3.1779168,886.7272727272727,334,30.56186318397522,1.2623084e-07,22,-2.1106856,-0.17543225,,98.23413,0.14999999,8.245688e+16,-2.0446289,-1.1994499,,400,131.7194,,2.682061e-34,19508,6.2802383e-06,2.777078e-06,3.1779168,-6.8421054,5.9872456,-7.2421827,-0.9872458,-1.9683312,22,-0.2631579,0.14999999
3.1779168,891.6086956521739,334,32.005603075027466,3.644675e-15,23,-2.1106856,-0.2561255,,98.23413,0.14999999,8.276232e+16,-2.0590012,-1.2439017,,400,136.97552,,,20507,5.7460034e-06,7.65884e-14,3.1779168,6.8421054,5.9554577,6.7331467,-0.9554579,-1.397255,23,-0.2631579,0.14999999
3.1779168,877.5833333333334,334,33.329625844955444,5.3962185e-10,24,-2.1106856,0.22235927,,98.23413,0.14999999,8.30537e+16,-2.0785944,-1.2864614,,400,141.75317,,1.9346818e-37,21062,5.277145e-06,6.640503e-09,3.1779168,8.947369,5.906382,8.679715,-0.90638226,-1.5503708,24,-0.2631579,0.14999999
3.1779168,856.04,334,34.508556604385376,2.2492446e-12,25,-2.1106856,2.954452,,98.23413,0.14999999,8.333176e+16,-2.0863764,-1.3272833,,400,143.79872,,,21401,4.8634165e-06,5.121258e-11,3.1779168,-2.631579,5.751949,-2.9721265,-0.75194883,-1.2934105,25,-0.2631579,0.14999999
3.1779168,861.5384615384615,334,36.10563111305237,2.2731935e-15,26,-2.1106856,-0.34051874,,98.23413,0.14999999,8.359849e+16,-2.1065574,-1.3665041,,400,149.13924,,,22400,4.4965022e-06,4.10752e-14,3.1779168,2.631579,5.7361245,2.5646327,-0.73612463,-1.6305677,26,-0.2631579,0.14999999
3.1779168,866.6296296296297,334,37.5718309879303,1.4044918e-16,27,-2.1106856,-0.000731768,,98.23413,0.14999999,8.385427e+16,-2.1714954,-1.4042443,,400,154.13997,,,23399,4.1695957e-06,2.481566e-15,3.1779168,-4.736842,5.708888,-4.9245677,-0.7088879,-2.8786395,27,-0.2631579,0.14999999
3.1779168,871.3571428571429,334,39.12659192085266,2.6388462e-12,28,-2.1106856,-0.20541205,,98.23413,0.14999999,8.410009e+16,-2.1859767,-1.440612,,400,159.34538,,,24398,3.8770854e-06,7.387803e-11,3.1779168,4.736842,5.6909065,4.661599,-0.6909066,-1.5950494,28,-0.2631579,0.14999999
3.1779168,865.1379310344828,334,40.572368144989014,2.7222805e-08,29,-2.1106856,0.047710694,1.7781645e-13,99.07691,0.14999999,457683830000000.0,-2.2091954,-1.4757034,,400,164.29767,,,25089,3.6143113e-06,7.894612e-07,3.1779168,0.5263158,5.665437,1.4648973,-0.66543704,-1.8767563,29,1.0,0.14999999
6.6262302,869.6,334,42.03730082511902,2.0915275e-13,30,-6.6262302,-6.6262302,,99.07691,0.14999999,676630000000000.0,-2.248968,-1.5096048,,400,175.9239,,,26088,3.377373e-06,6.1765766e-12,3.1779168,-8.947369,5.86413,-7.723842,-0.86413014,-2.4192235,30,1.0,0.14999999
6.6262302,873.7741935483871,334,43.623905658721924,1.4976589e-12,31,-6.6262302,-4.926979,,99.07691,0.14999999,678388800000000.0,-2.2797933,-1.5423946,,400,185.85089,,7.978094e-35,27087,3.162992e-06,4.4913167e-11,3.1779168,-6.8421054,5.9951897,-5.969867,-0.9951898,-2.2208576,31,1.0,0.14999999
6.6262302,877.6875,334,45.13721323013306,1.7744087e-12,32,-6.6262302,-5.684926,,99.07691,0.14999999,680087400000000.0,-2.3297384,-1.5741434,,400,196.53581,,,28086,2.9683938e-06,5.6666942e-11,3.1779168,6.8421054,6.141744,8.279086,-1.1417441,-2.893827,32,1.0,0.14999999
8.064769,881.3636363636364,334,46.609697580337524,1.9730184e-13,33,-8.064769,-8.064769,,99.07691,0.14999999,829731650000000.0,-2.401299,-1.604915,,400,209.60059,,8.1553776e-32,29085,2.7912172e-06,6.5082917e-12,3.1779168,8.947369,6.351533,9.906868,-1.3515327,-3.7065482,33,1.0,0.14999999
8.064769,884.8235294117648,334,48.230584144592285,1.12162965e-07,34,-8.064769,-5.963672,,99.07691,0.14999999,831663040000000.0,-2.4099371,-1.634768,,400,220.56425,,,30084,2.6294422e-06,3.8102505e-06,3.1779168,-2.631579,6.4871836,-1.5300603,-1.4871838,-1.7098513,34,1.0,0.14999999
8.064769,888.0857142857143,334,49.68857145309448,7.0582623e-10,35,-8.064769,-4.2251487,,99.07691,0.14999999,833537260000000.0,-2.4251673,-1.6637555,,400,229.7894,,,31083,2.481335e-06,2.4703917e-08,3.1779168,2.631579,6.5654116,3.8386374,-1.5654113,-1.9574212,35,1.0,0.14999999
8.064769,891.1666666666666,334,51.18244743347168,3.5138541e-15,36,-8.064769,-6.932618,,99.07691,0.14999999,835352950000000.0,-2.444617,-1.6919264,,400,241.72202,,,32082,2.3453977e-06,1.2102552e-13,3.1779168,-4.736842,6.7145004,-3.719608,-1.7145004,-2.139372,36,1.0,0.14999999
8.064769,894.081081081081,334,52.67861366271973,7.514025e-10,37,-8.064769,-4.7950897,,99.07691,0.14999999,837116700000000.0,-2.4505107,-1.7193254,,400,251.5171,,,33081,2.2203328e-06,2.777356e-08,3.1779168,4.736842,6.7977595,5.6321306,-1.7977597,-1.6763134,37,1.0,0.14999999
8.064769,896.8421052631579,334,54.15861749649048,3.42777e-08,38,-8.064769,-4.3794456,1.610122e-09,99.07691,0.14999999,3070411000000.0,-2.4602501,-1.7459936,,400,260.89655,,,34080,2.1050107e-06,1.3009425e-06,3.1779168,-0.5263158,6.865699,0.1572696,-1.8656986,-1.8338852,38,0.8947368,0.14999999
8.064769,899.4615384615385,334,55.72698712348938,2.0060579e-12,39,-8.064769,-3.0249393,1.5647908e-11,99.07691,0.14999999,2502579200000.0,-2.4819272,-1.7719691,,400,268.9215,,,35079,1.9984454e-06,6.258835e-11,3.1779168,0.5263158,6.895423,-0.5510084,-1.8954229,-2.3185894,39,-1.0,0.14999999
8.064769,901.95,334,57.338035345077515,1.05965806e-10,40,-8.064769,-2.1414444,1.0581092e-09,99.07691,0.14999999,189556800000.0,-2.4908118,-1.797287,,400,276.06293,,1.0137263e-09,36078,1.8997721e-06,2.1667965e-09,3.1779168,-0.5263158,6.901573,-1.7746216,-1.9015734,-1.8499188,40,-1.0,0.14999999
8.064769,904.3170731707318,334,58.7934935092926,7.931915e-06,41,-8.064769,-1.5905708,,99.07691,0.14999999,8903503.0,-2.5767453,-1.8219795,,400,282.6535,,,37077,1.8082306e-06,0.00032520728,3.1779168,-8.947369,6.8939877,-9.793689,-1.8939879,-5.0263696,41,-1.0,0.14999999
8.064769,906.5714285714286,334,60.27084946632385,4.88561e-05,42,-8.064769,-1.796889,,99.07691,0.14999999,8919713.0,-2.5905864,-1.8460771,,400,289.45038,,1.3741949e-36,38076,1.7231492e-06,0.0013982763,3.1779168,-6.8421054,6.891676,-7.9923444,-1.8916761,-2.170083,42,-1.0,0.14999999
8.064769,908.7209302325581,334,61.940836668014526,1.16488745e-05,43,-8.064769,-2.2349184,,99.07691,0.14999999,8935515.0,-2.6021912,-1.8696076,,400,296.6853,,,39075,1.6439349e-06,0.0005009001,3.1779168,-4.736842,6.899658,-5.4719486,-1.8996583,-2.1013718,43,-1.0,0.14999999
8.064769,910.7727272727273,334,63.489739179611206,0.0002529607,44,-8.064769,-1.3461316,,99.07691,0.14999999,8950925.0,-2.6272533,-1.8925971,,400,303.03143,,1.6511567e-38,40074,1.5700596e-06,0.01113027,3.1779168,-2.631579,6.8870783,-4.0657454,-1.8870784,-2.716379,44,-1.0,0.14999999
8.064769,912.7333333333333,334,65.02494812011719,1.6099676e-09,45,-8.064769,-1.6477754,,99.07691,0.14999999,8965964.0,-2.755818,-1.9150699,,400,309.6792,,,41073,1.5010545e-06,5.874383e-08,3.1779168,2.631579,6.8817606,1.5644901,-1.8817604,-7.424116,45,-1.0,0.14999999
8.064769,909.7391304347826,334,66.321706533432,7.010253e-08,46,-8.064769,-2.2124963,,99.07691,0.14999999,8980648.0,-2.7593324,-1.9370489,,400,316.89172,,,41848,1.4365008e-06,3.2234768e-06,3.1779168,4.736842,6.8889503,4.123316,-1.8889502,-1.9284288,46,-1.0,0.14999999
8.064769,900.8936170212766,334,67.50493216514587,1.6045035e-06,47,-8.064769,-1.0463327,,99.07691,0.14999999,8994993.0,-2.8009467,-1.9585551,,400,322.93805,,1.9269539e-31,42342,1.3760232e-06,7.541063e-05,3.1779168,6.8421054,6.871022,5.7928967,-1.8710223,-3.725919,47,-1.0,0.14999999
8.064769,890.3125,334,68.70911073684692,2.4326988e-05,48,-8.064769,-0.5458331,,99.07691,0.14999999,9009013.0,-2.8091953,-1.9796085,,400,328.4839,,,42735,1.3192863e-06,0.0007030234,3.1779168,8.947369,6.8434143,7.9386616,-1.8434142,-2.2073746,48,-1.0,0.14999999
8.064769,878.8571428571429,329,69.9102144241333,8.262874e-05,49,-8.064769,1.257525,,99.07691,0.14999999,6380035.5,-2.8119128,-2.0002277,,400,332.22635,,,43064,1.2659872e-06,0.0036410878,3.1779168,-10.0,6.7801294,-10.413441,-1.7801296,-1.9526346,49,-0.2631579,0.14999999
8.064769,881.26,329,71.40423965454102,0.008112524,50,-8.064769,-0.5908182,,99.07691,0.14999999,6389520.0,-2.8462634,-2.0204306,,400,337.81717,,8.973045e-38,44063,1.2158541e-06,0.40552968,3.1779168,-7.894737,6.7563434,-8.002846,-1.7563434,-3.5396059,50,-0.2631579,0.14999999
8.064769,883.5686274509804,329,72.98574781417847,8.344648e-05,51,-8.064769,-0.014002504,,99.07691,0.14999999,6398803.5,-2.8645666,-2.0402331,,400,342.83118,,,45062,1.168641e-06,0.004106987,3.1779168,-5.7894735,6.72218,-5.6599407,-1.7221799,-2.797665,51,-0.2631579,0.14999999
8.064769,885.7884615384615,329,74.55686831474304,3.4938115e-05,52,-8.064769,-0.005786913,,99.07691,0.14999999,6407893.0,-2.9020808,-2.0596511,,400,347.83698,,4.3615217e-36,46061,1.1241256e-06,0.0015432413,3.1779168,-3.6842105,6.6891723,-4.1155357,-1.6891723,-3.8250782,52,-0.2631579,0.14999999
8.064769,887.9245283018868,329,76.03032755851746,3.9036086e-06,53,-8.064769,-0.5060162,2.7227395e-26,99.07691,0.14999999,6416797.5,-2.921878,-2.0786994,,400,353.34296,,,47060,1.082106e-06,0.0001438479,3.1779168,1.5789474,6.6668487,1.6151333,-1.6668485,-2.9608588,53,-0.2631579,0.14999999
8.064769,889.9814814814815,329,77.53913283348083,3.888286e-05,54,-8.064769,-0.18842411,,99.07691,0.14999999,6425523.0,-2.9643726,-2.0973916,,400,358.5314,,5.13705e-29,48059,1.0423989e-06,0.0017381934,3.1779168,3.6842105,6.6394706,3.2285104,-1.6394705,-4.225909,54,-0.2631579,0.14999999
8.064769,891.9636363636364,329,79.09069442749023,8.609986e-06,55,-8.064769,-0.14046723,,99.07691,0.14999999,6434077.0,-2.986847,-2.1157408,,400,363.67188,,,49058,1.0048382e-06,0.00025561036,3.1779168,5.7894735,6.612216,5.058263,-1.6122158,-3.2096539,55,-0.2631579,0.14999999
8.064769,884.8928571428571,329,80.39000391960144,0.012388125,56,-8.064769,0.21236968,,99.07691,0.14999999,6442466.5,-3.0381775,-2.1337593,,400,368.4595,,,49554,9.692714e-07,0.6937345,3.1779168,7.894737,6.5796337,7.684572,-1.579634,-4.8703423,56,-0.2631579,0.14999999
8.064769,880.3859649122807,329,81.74738621711731,2.7215525e-05,57,-8.064769,-0.09609006,,99.07691,0.14999999,6450696.0,-3.045622,-2.1514587,,400,373.5556,,5.5544525e-37,50182,9.355603e-07,0.001549447,3.1779168,10.0,6.553607,9.67609,-1.5536067,-2.483642,57,-0.2631579,0.14999999
8.064769,871.1896551724138,329,82.992436170578,0.27066267,58,-8.064769,2.5190196,8.538761e-21,99.07691,0.14999999,6458772.0,-3.05003,-2.1688504,,400,376.03656,,,50529,9.035778e-07,15.698423,3.1779168,-1.5789474,6.483389,-1.6047645,-1.4833891,-2.309978,58,-0.2631579,0.14999999
8.064769,873.3559322033898,329,84.46275520324707,2.861865e-05,59,-8.064769,-0.08429786,0.0016219964,99.07691,0.14999999,5031144.5,-3.0586548,-2.185945,,400,381.12085,,2.954317e-37,51528,8.7320757e-07,0.0016219964,3.1779168,0.5263158,6.459676,0.95005107,-1.4596757,-2.806976,59,0.2631579,0.14999999
8.064769,875.45,329,86.06031346321106,0.00014547724,60,-8.064769,-0.48964155,,99.07691,0.14999999,263654.03,-3.0656564,-2.2027245,,400,386.6105,,,52527,8.443433e-07,0.0064430144,3.1779168,-8.947369,6.443508,-8.77141,-1.4435084,-2.4871526,60,0.36842105,0.14999999
8.064769,877.4754098360655,329,87.67530059814453,3.9784034e-05,61,-8.064769,-0.6188411,,99.07691,0.14999999,263965.47,-3.095003,-2.2192538,,400,392.22934,,,53526,8.168867e-07,0.001915517,3.1779168,-6.8421054,6.4299893,-6.4720545,-1.4299893,-3.8641882,61,0.36842105,0.14999999
8.064769,879.4354838709677,329,89.2078902721405,0.00013988242,62,-8.064769,-0.39837846,,99.07691,0.14999999,264271.5,-3.0961416,-2.2355144,,400,397.62775,,,54525,7.90748e-07,0.0047892313,3.1779168,-4.736842,6.4133506,-4.844404,-1.4133505,-2.1737316,62,0.36842105,0.14999999
8.064769,881.3333333333334,329,90.7030017375946,0.00027818393,63,-8.064769,-0.2746067,,99.07691,0.14999999,264572.28,-3.1583269,-2.2515147,,400,402.90234,,,55524,7.658441e-07,0.01713848,3.1779168,-2.631579,6.395275,-2.3330927,-1.395275,-6.0219383,63,0.36842105,0.14999999
8.064769,883.171875,329,92.27641773223877,0.18797065,64,-8.064769,-0.07447915,,99.07691,0.14999999,264868.0,-3.1796298,-2.2672632,,400,407.9768,,,56523,7.4209845e-07,12.029023,3.1779168,2.631579,6.3746376,2.7790895,-1.3746377,-3.5298371,64,0.36842105,0.14999999
8.064769,884.9538461538461,329,93.74760866165161,0.0064788726,65,-8.064769,-0.16491894,,99.07691,0.14999999,265158.78,-3.186228,-2.2827673,,400,413.14172,,,57522,7.194404e-07,0.40203553,3.1779168,4.736842,6.3560266,4.9944816,-1.3560268,-2.788518,65,0.36842105,0.14999999
8.064769,886.6818181818181,329,95.23992776870728,0.00042325474,66,-8.064769,-0.48983097,,99.07691,0.14999999,265444.84,-3.1921396,-2.2980347,,400,418.63156,,,58521,6.978043e-07,0.027885465,3.1779168,6.8421054,6.342902,7.214009,-1.3429024,-2.5904508,66,0.36842105,0.14999999
8.064769,888.3582089552239,329,96.74591016769409,0.00012100007,67,-8.064769,-0.1900739,,99.07691,0.14999999,265726.28,-3.211747,-2.3130727,,400,423.82166,,1.033372e-34,59520,6.771298e-07,0.004253138,3.1779168,8.947369,6.325696,8.920212,-1.3256961,-3.5137513,67,0.36842105,0.14999999
8.064769,881.6176470588235,329,97.95680832862854,4.711173e-05,68,-8.064769,1.2472599,0.0015976959,99.07691,0.14999999,262445.94,-3.2377777,-2.3278878,,400,427.57437,,,59950,6.5736054e-07,0.0015976959,3.1779168,0.5263158,6.2878585,0.19285804,-1.2878585,-3.9893556,68,-0.36842105,0.14999999
8.064769,883.3188405797101,329,99.58171343803406,0.0024648304,69,-8.064769,-0.32808697,0.12505569,99.07691,0.14999999,55991.11,-3.238666,-2.342463,,400,432.90247,,3.5391615e-14,60949,6.3844476e-07,0.12505569,3.1779168,-0.5263158,6.2739487,-0.29813653,-1.2739488,-2.3063955,69,0.2631579,0.14999999
8.064769,884.9714285714285,329,101.13541626930237,1.1177933e-05,70,-8.064769,-0.19855757,,99.07691,0.14999999,25118.113,-3.2395236,-2.355041,,400,438.101,,,61948,6.2033376e-07,0.00061054865,3.1779168,7.894737,6.258586,8.68104,-1.2585862,-2.3083377,70,1.0,0.14999999
8.064769,886.5774647887324,329,102.58100032806396,0.0016303464,71,-8.064769,-3.3300881,,99.07691,0.14999999,25143.03,-3.2476478,-2.3692255,,400,446.4311,,,62947,6.029826e-07,0.11575415,3.1779168,-10.0,6.287762,-8.602316,-1.287762,-2.823427,71,1.0,0.14999999
8.064769,888.1388888888889,329,104.18176913261414,0.0034468467,72,-8.064769,-7.5246277,,99.07691,0.14999999,25167.57,-3.273766,-2.3832119,,400,458.95575,,,63946,5.863494e-07,0.24816582,3.1779168,-5.7894735,6.3743854,-5.1130676,-1.3743852,-4.1367674,72,1.0,0.14999999
8.064769,889.6575342465753,329,105.7170639038086,0.002783019,73,-8.064769,-2.4334726,,99.07691,0.14999999,25191.752,-3.2884007,-2.397005,,400,466.38922,,,64945,5.703951e-07,0.20316039,3.1779168,-3.6842105,6.388893,-2.7923884,-1.3888932,-3.3524241,73,1.0,0.14999999
8.064769,891.1351351351351,329,107.1603376865387,0.0019044228,74,-8.064769,-3.2018833,,99.07691,0.14999999,25215.58,-3.292474,-2.410611,,400,474.5911,,,65944,5.550832e-07,0.14092651,3.1779168,3.6842105,6.413393,4.852707,-1.4133931,-2.5993967,74,1.0,0.14999999
8.064769,892.5733333333334,329,108.64409923553467,0.0024714903,75,-8.064769,-3.7685056,,99.07691,0.14999999,25239.068,-3.3142304,-2.4240339,,400,483.35962,,2.458827e-31,66943,5.4037963e-07,0.18536177,3.1779168,5.7894735,6.4447947,6.7393885,-1.4447948,-3.932789,75,1.0,0.14999999
8.064769,893.9736842105264,329,110.20443654060364,0.004952748,76,-8.064769,-4.6886415,,99.07691,0.14999999,25262.22,-3.3156557,-2.437279,,400,493.04825,,,67942,5.262527e-07,0.37633553,3.1779168,-7.894737,6.487477,-6.8337646,-1.4874768,-2.4316268,76,1.0,0.14999999
8.064769,895.3376623376623,329,111.6366662979126,0.0065433374,77,-8.064769,-3.8252566,2.9304892e-36,99.07691,0.14999999,25285.049,-3.3201494,-2.4503512,,400,501.8735,,,68941,5.126726e-07,0.503837,3.1779168,1.5789474,6.5178375,2.5325973,-1.5178376,-2.673137,77,1.0,0.14999999
8.064769,896.6666666666666,329,113.14087057113647,0.072276875,78,-8.064769,-3.9594169,8.507116e-31,99.07691,0.14999999,25307.469,-3.3216004,-2.4632545,,400,510.83292,,,69940,4.9961136e-07,5.637594,3.1779168,-1.5789474,6.54914,-0.7581465,-1.54914,-2.4463158,78,1.0,0.14999999
8.064769,897.9620253164557,329,114.72284603118896,0.08620406,79,-8.064769,-2.7364278,,99.07691,0.14999999,25329.6,-3.328619,-2.4759936,,400,518.56934,,,70939,4.8704305e-07,6.8101206,3.1779168,10.0,6.564169,11.298581,-1.5641689,-2.9522157,79,1.0,0.14999999
12.544488,899.225,329,116.4284131526947,0.033006545,80,-12.544488,-12.544488,0.021499928,126.05372,0.14999999,36946.91,-3.3608341,-2.4885724,,400,536.11383,,,71938,4.7494302e-07,2.61841,3.1779168,-0.5263158,6.7014227,-0.995788,-1.7014229,-4.9947796,80,-0.47368422,0.14999999
12.544488,900.4567901234568,329,117.91534614562988,2.8939002,81,-12.544488,-0.4555522,,126.05372,0.14999999,765.06006,-3.3617094,-2.5007262,,400,541.5694,,,72937,4.6328847e-07,233.92943,3.1779168,7.894737,6.686042,8.120562,-1.6860417,-2.4703805,81,0.15789473,0.14999999
12.544488,893.670731707317,329,119.24917221069336,0.4399454,82,-12.544488,2.7746763,,126.05372,0.14999999,757.429,-3.3443677,-2.5129962,,400,543.7947,,,73281,4.5205766e-07,32.20238,3.1779168,10.0,6.631643,9.261394,-1.6316428,-2.3096306,82,-0.57894737,0.14999999
12.544488,886.0120481927711,258,120.39362955093384,0.17536657,83,-12.544488,6.4119315,,126.05372,0.14999999,757.64215,-3.3443997,-2.5251176,,400,542.38275,,4.84528e-07,73539,4.4123027e-07,13.503532,6.4119315,8.947369,6.5347323,8.888966,-1.5347322,-2.730433,83,-0.57894737,0.14999999
12.544488,880.4880952380952,258,121.80924129486084,0.8269954,84,-12.544488,1.2466737,,126.05372,0.14999999,757.91064,-3.3495076,-2.5370939,,400,546.1361,,,73961,4.307873e-07,68.14766,6.4119315,5.7894735,6.5016203,5.2701173,-1.5016203,-2.9428098,84,-0.57894737,0.14999999
12.544488,878.7529411764706,258,123.28552484512329,0.022703316,85,-12.544488,-0.53368443,,126.05372,0.14999999,758.4294,-3.3421085,-2.5489283,,400,551.6698,,,74694,4.2071085e-07,1.8472794,6.4119315,10.0,6.4902325,9.930094,-1.4902327,-2.3360953,85,0.05263158,0.14999999
