ReturnMin,Delta,MinEpLen,MountainCar_mu1_higher,MountainCar_std1_higher,DenMISELogLast,ReturnAbsMax,DenMISEMeanLog,Regret/t,MountainCar_std0_higher,ReturnStepMax,TimestepsSoFar,DenMISELogFirst,ActionIn1,NumTrainableParams,IWMean,IWLastEpisode,Bound,TimeElapsed,IWMax,Regret,GridSize,ReturnMax,Iteration,NumTrajectories,ReturnMean,AvgEpLen,IWMin,ReturnLastEpisode,MountainCar_mu0_higher,IWFirstEpisode
-2.3977416,1.2953912e-05,999,-10.0,1.5,-58.206482,2.3977416,-28.739977,6.6259313,0.14999999,23.928894,18981,-27.826765,-14.206276,,3.072302e+23,1.8124735e+23,inf,9.178337812423706,2.6995594e+24,125.8927,25,,19,19,-1.6259314,999.0,,-0.9336836,-1.0,4.5907827e-06
-2.3977416,1.1690906e-05,999,-10.0,1.5,-58.257774,2.3977416,-30.229935,6.6334624,0.14999999,23.928894,19980,-27.878057,-10.902537,,3.698438e+23,1.2906511e+24,inf,9.617311477661133,2.8416388e+24,132.66925,25,,20,20,-1.6334625,999.0,,-1.7765529,-1.0,4.8323986e-06
-2.3977416,1.0603995e-05,999,-10.0,1.5,1.7709384,2.3977416,-28.721224,6.642486,0.14999999,23.928894,20979,-27.92685,-11.631862,,3.6808446e+23,0.11890266,inf,10.055230855941772,2.9837202e+24,139.49222,25,,21,21,-1.6424862,999.0,,-1.8229584,-1.0,5.0740273e-06
-2.3977416,9.661905e-06,999,-10.0,1.5,-9.110149,2.3977416,-27.843534,6.6427593,0.14999999,23.928894,21978,-27.973368,-12.260381,,3.6646554e+23,5162.2046,inf,10.491424798965454,3.1258028e+24,146.14072,25,,22,22,-1.6427594,999.0,,-1.6485013,-1.0,5.3156386e-06
-2.5324821,8.840006e-06,999,-10.0,1.5,-23.723743,2.5324821,-27.676914,6.681443,0.14999999,25.671572,22977,-28.01782,-9.771391,,3.6497096e+23,4311819000.0,inf,10.933145999908447,3.2678877e+24,153.67319,25,,23,23,-1.6814432,999.0,,-2.5324821,-1.0,5.5572636e-06
-2.5324821,8.118685e-06,999,-10.0,1.5,-24.997396,2.5324821,-27.576706,6.6728415,0.14999999,25.671572,23976,-28.06038,-7.7189894,,3.6358702e+23,25734881000.0,inf,11.37647294998169,3.4099732e+24,160.1482,25,,24,24,-1.6728417,999.0,,-1.4750056,-1.0,5.798889e-06
-2.8000343,7.4821796e-06,999,-10.0,1.5,-58.48092,2.8000343,-28.823372,6.7179294,0.14999999,28.00704,24975,-28.101202,-10.167959,,3.7040514e+23,2.0260369e+23,inf,11.814455270767212,3.552052e+24,167.94824,25,,25,25,-1.7179294,999.0,,-2.8000343,-1.0,6.040504e-06
-2.8000343,4.861083e-06,999,-10.0,1.5,-10.929734,2.8000343,-28.1464,6.7158413,0.14999999,28.00704,25974,-28.140423,-13.145854,,3.692073e+23,30631.127,inf,12.25241231918335,3.6941274e+24,174.61188,36,,26,26,-1.7158415,999.0,,-1.663649,-1.0,6.282125e-06
-2.8000343,4.507671e-06,999,-10.0,1.5,-58.55788,2.8000343,-29.28315,6.7218537,0.14999999,28.00704,26973,-28.178164,-11.949487,,6.2166154e+23,6.84642e+24,inf,13.250429153442383,6.84642e+24,181.49005,36,,27,27,-1.7218537,999.0,,-1.8781693,-1.0,6.5237473e-06
-2.8000343,4.191444e-06,999,-10.0,1.5,-27.070908,2.8000343,-29.215124,6.707586,0.14999999,28.00704,27972,-28.21453,-11.8993225,,6.2061455e+23,149817700000.0,inf,13.725438356399536,7.099976e+24,187.81241,36,,28,28,-1.7075859,999.0,,-1.3223554,-1.0,6.7653664e-06
-2.8000343,3.9073634e-06,999,-10.0,1.5,-26.048534,2.8000343,-29.116148,6.692394,0.14999999,28.00704,28971,-28.249622,-11.628253,,6.196342e+23,44027384000.0,inf,14.182479858398438,7.353547e+24,194.07942,36,,29,29,-1.6923939,999.0,,-1.2670152,-1.0,7.0069873e-06
-2.8000343,3.6512142e-06,999,-10.0,1.5,-14.34222,2.8000343,-28.633205,6.6779222,0.14999999,28.00704,29970,-28.283524,-11.556398,,6.187129e+23,411662.62,inf,14.645142793655396,7.6071156e+24,200.33766,36,,30,30,-1.6779221,999.0,,-1.2582428,-1.0,7.248605e-06
-2.8000343,3.419451e-06,999,-10.0,1.5,-15.06248,2.8000343,-28.204342,6.658314,0.14999999,28.00704,30969,-28.316313,-8.858443,,6.178465e+23,398784.06,inf,15.118476390838623,7.860696e+24,206.40775,36,,31,31,-1.6583143,999.0,,-1.0700792,-1.0,7.4902205e-06
-2.8000343,3.2090745e-06,999,-10.0,1.5,-58.72778,2.8000343,-29.166533,6.6529264,0.14999999,28.00704,31968,-28.348063,-11.615128,,8.1669544e+23,6.389311e+24,inf,15.584260940551758,8.1142754e+24,212.89365,36,,32,32,-1.6529267,999.0,,-1.4859126,-1.0,7.731848e-06
-2.8000343,3.017532e-06,999,-10.0,1.5,-7.7512445,2.8000343,-28.52637,6.6553698,0.14999999,28.00704,32967,-28.378834,-11.894088,,8.159214e+23,1432.1486,inf,16.050707578659058,8.367827e+24,219.62721,36,,33,33,-1.65537,999.0,,-1.7335533,-1.0,7.9734655e-06
-2.8000343,2.8426405e-06,999,-10.0,1.5,-29.504734,2.8000343,-28.563404,6.640423,0.14999999,28.00704,33966,-28.408688,-9.881669,,8.151913e+23,715610600000.0,inf,16.52017641067505,8.6214046e+24,225.77438,36,,34,34,-1.6404228,999.0,,-1.1471668,-1.0,8.215093e-06
-2.8000343,2.6825242e-06,999,-10.0,1.5,-17.950752,2.8000343,-28.267965,6.630684,0.14999999,28.00704,34965,-28.437674,-10.291244,,8.144994e+23,16066134.0,inf,16.995657205581665,8.874979e+24,232.07393,36,,35,35,-1.6306838,999.0,,-1.2995558,-1.0,8.4567e-06
-2.8000343,2.5355653e-06,999,-10.0,1.5,-6.4313807,2.8000343,-27.668737,6.6284447,0.14999999,28.00704,35964,-28.465845,-11.470491,,8.1384304e+23,317.96368,inf,17.46758198738098,9.128556e+24,238.62401,36,,36,36,-1.6284447,999.0,,-1.5500778,-1.0,8.6983255e-06
-2.8000343,1.7762662e-06,999,-10.0,1.5,-3.4458354,2.8000343,-27.021004,6.634261,0.14999999,28.00704,36963,-28.493244,-11.1868925,,8.132176e+23,20.827787,inf,17.93615484237671,9.38211e+24,245.46767,49,,37,37,-1.6342613,999.0,,-1.8436577,-1.0,8.939946e-06
-2.8000343,1.6840087e-06,999,-10.0,1.5,0.6499904,2.8000343,-26.29939,6.636327,0.14999999,28.00704,37962,-28.519913,-8.597804,,8.126241e+23,0.34642032,inf,19.509136199951172,9.6356827e+24,252.18042,49,,38,38,-1.636327,999.0,,-1.7127602,-1.0,9.18157e-06
-2.8000343,1.5987564e-06,999,-10.0,1.5,-58.925606,2.8000343,-27.14219,6.652149,0.14999999,28.00704,38961,-28.545887,-10.988438,,9.4005854e+23,4.991914e+24,inf,20.028639316558838,9.889279e+24,259.43384,49,,39,39,-1.6521493,999.0,,-2.2534008,-1.0,9.423178e-06
-2.8000343,1.5198176e-06,999,-10.0,1.5,1.7449328,2.8000343,-26.426579,6.6519804,0.14999999,28.00704,39960,-28.571205,-12.021577,,9.395162e+23,0.11063297,inf,20.512145519256592,1.0142815e+25,266.07922,49,,40,40,-1.6519802,999.0,,-1.6453811,-1.0,9.664802e-06
-2.8000343,1.4465845e-06,999,-10.0,1.5,-18.672241,2.8000343,-26.243689,6.6616745,0.14999999,28.00704,40959,-28.595898,-12.6156435,,9.3900146e+23,68286770.0,inf,21.00750470161438,1.0396384e+25,273.12866,49,,41,41,-1.6616747,999.0,,-2.0494537,-1.0,9.906421e-06
-2.8000343,1.3785193e-06,999,-10.0,1.5,-41.178593,2.8000343,-26.605219,6.686653,0.14999999,28.00704,41958,-28.619995,-9.621309,,9.385095e+23,9.445706e+16,inf,21.52870202064514,1.0649954e+25,280.83942,49,,42,42,-1.6866531,999.0,,-2.7107697,-1.0,1.014804e-05
-2.8000343,1.3151479e-06,999,-10.0,1.5,-44.771652,2.8000343,-27.033356,6.696501,0.14999999,28.00704,42957,-28.643526,-8.2986555,,9.3804136e+23,1.1089258e+19,inf,22.028167009353638,1.090355e+25,287.94952,49,,43,43,-1.6965005,999.0,,-2.1100965,-1.0,1.0389665e-05
-2.8000343,1.2560477e-06,999,-10.0,1.5,-59.04623,2.8000343,-27.766325,6.7093067,0.14999999,28.00704,43956,-28.666515,-13.336052,,1.0274905e+24,3.9556682e+24,inf,22.514283418655396,1.1157097e+25,295.2095,49,,44,44,-1.7093068,999.0,,-2.259979,-1.0,1.0631282e-05
-2.8000343,1.2008437e-06,999,-10.0,1.5,-59.068707,2.8000343,-28.467602,6.723228,0.14999999,28.00704,44955,-28.688988,-12.2259655,,1.1913625e+24,7.3935167e+24,inf,23.011783599853516,1.1410706e+25,302.54526,49,,45,45,-1.7232281,999.0,,-2.335756,-1.0,1.0872897e-05
-2.8000343,1.1492007e-06,999,-10.0,1.5,-36.018314,2.8000343,-28.637655,6.720836,0.14999999,28.00704,45954,-28.710968,-9.97858,,1.1909454e+24,1855433400000000.0,inf,23.49804925918579,1.1664249e+25,309.15848,49,,46,46,-1.7208363,999.0,,-1.6132072,-1.0,1.1114533e-05
-2.8000343,1.1008185e-06,999,-10.0,1.5,-12.446486,2.8000343,-28.298819,6.7088623,0.14999999,28.00704,46953,-28.732473,-11.028003,,1.190549e+24,35136.08,inf,23.996771097183228,1.1917831e+25,315.31653,49,,47,47,-1.7088623,999.0,,-1.1580563,-1.0,1.1356144e-05
-2.8000343,1.055429e-06,999,-10.0,1.5,1.5678967,2.8000343,-27.682013,6.719739,0.14999999,28.00704,47952,-28.753527,-9.315145,,1.19016685e+24,0.115902394,inf,24.508662462234497,1.2171402e+25,322.5475,49,,48,48,-1.719739,999.0,,-2.2309365,-1.0,1.1597762e-05
-2.8000343,1.0127897e-06,999,-10.0,1.5,-56.588974,2.8000343,-28.277145,6.719051,0.14999999,28.00704,48951,-28.774147,-9.740002,,1.217619e+24,1.3632096e+24,inf,25.01601004600525,1.2424961e+25,329.2335,49,,49,49,-1.7190508,999.0,,-1.6860242,-1.0,1.1839395e-05
-2.8000343,7.48218e-07,999,-10.0,1.5,-28.00314,2.8000343,-28.27668,6.7165303,0.14999999,28.00704,49950,-28.79435,-13.102654,,1.2167405e+24,599783700000.0,inf,25.51875925064087,1.2678531e+25,335.8265,64,,50,50,-1.7165302,999.0,,-1.5930188,-1.0,1.2081015e-05
-2.8000343,7.1916367e-07,999,-10.0,1.5,-59.193867,2.8000343,-28.887716,6.7329564,0.14999999,28.00704,50949,-28.814152,-12.74122,,1.3329949e+24,5.972146e+24,inf,27.87812042236328,1.2932095e+25,343.3808,64,,51,51,-1.7329565,999.0,,-2.5542748,-1.0,1.2322627e-05
-2.8000343,6.9176957e-07,999,-10.0,1.5,-59.212864,2.8000343,-29.4759,6.7340326,0.14999999,28.00704,51948,-28.83357,-12.2610445,,1.6840722e+24,1.8298222e+25,inf,28.430411338806152,1.8298222e+25,350.16968,64,,52,52,-1.7340324,999.0,,-1.7889041,-1.0,1.25642555e-05
-2.8000343,6.6591133e-07,999,-10.0,1.5,-23.842323,2.8000343,-29.374796,6.7496624,0.14999999,28.00704,52947,-28.852617,-12.315018,,1.6832807e+24,4979779600.0,inf,28.974086046218872,1.8649942e+25,357.73212,64,,53,53,-1.7496626,999.0,,-2.562436,-1.0,1.2805858e-05
-2.8000343,6.414763e-07,999,-10.0,1.5,-26.891787,2.8000343,-29.333805,6.7632523,0.14999999,28.00704,53946,-28.87131,-12.65772,,1.6825193e+24,112144090000.0,inf,29.506820678710938,1.9001681e+25,365.21564,64,,54,54,-1.7632523,999.0,,-2.483505,-1.0,1.3047476e-05
-2.8000343,6.18362e-07,999,-10.0,1.5,-51.558468,2.8000343,-29.742699,6.771291,0.14999999,28.00704,54945,-28.88966,-12.297534,,1.6819257e+24,7.818517e+21,inf,30.030425786972046,1.9353408e+25,372.42102,64,,55,55,-1.771291,999.0,,-2.2053823,-1.0,1.3289116e-05
-2.8000343,5.964747e-07,999,-10.0,1.5,-35.98883,2.8000343,-29.858873,6.7722845,0.14999999,28.00704,55944,-28.907679,-9.228361,,1.6812148e+24,2060267000000000.0,inf,30.560671091079712,1.9705105e+25,379.24792,64,,56,56,-1.7722845,999.0,,-1.8269252,-1.0,1.3530739e-05
-2.8000343,5.757294e-07,999,-10.0,1.5,-59.287716,2.8000343,-30.379639,6.7711067,0.14999999,28.00704,56943,-28.925377,-9.014936,,2.0160605e+24,1.9125672e+25,inf,31.090468406677246,2.005684e+25,385.9531,64,,57,57,-1.771107,999.0,,-1.7051636,-1.0,1.3772342e-05
-2.8000343,5.560479e-07,999,-10.0,1.5,-59.322487,2.8000343,-30.883266,6.783412,0.14999999,28.00704,57942,-28.94277,-11.929549,,2.1381055e+24,7.123062e+24,inf,31.629628896713257,2.0408548e+25,393.43787,64,,58,58,-1.7834117,999.0,,-2.4847803,-1.0,1.4013981e-05
-2.8000343,5.373585e-07,999,-10.0,1.5,-21.148218,2.8000343,-30.72302,6.781363,0.14999999,28.00704,58941,-28.959864,-8.91159,,2.1373568e+24,729642900.0,inf,32.16469216346741,2.0760245e+25,400.1004,64,,59,59,-1.7813629,999.0,,-1.6625297,-1.0,1.425559e-05
-2.8000343,5.1959586e-07,999,-10.0,1.5,-59.232517,2.8000343,-31.20277,6.762017,0.14999999,28.00704,59940,-28.976671,-10.029143,,2.1394235e+24,1.6773066e+23,inf,32.69068169593811,2.1111962e+25,405.721,64,,60,60,-1.7620169,999.0,,-0.6206093,-1.0,1.4497216e-05
-2.8000343,5.026995e-07,999,-10.0,1.5,-14.359534,2.8000343,-30.931334,6.7582345,0.14999999,28.00704,60939,-28.9932,-11.216355,,2.1387118e+24,740841.5,inf,33.22260570526123,2.1463658e+25,412.25232,64,,61,61,-1.7582345,999.0,,-1.531295,-1.0,1.4738834e-05
-2.8000343,4.8661417e-07,999,-10.0,1.5,1.343558,2.8000343,-30.415302,6.767849,0.14999999,28.00704,61938,-29.00946,-12.739265,,2.1380121e+24,0.11209267,inf,33.79167318344116,2.1815306e+25,419.60663,64,,62,62,-1.7678488,999.0,,-2.3543155,-1.0,1.4980448e-05
-2.8000343,4.7128867e-07,999,-10.0,1.5,-57.219067,2.8000343,-30.845144,6.7748027,0.14999999,28.00704,62937,-29.025461,-11.283925,,2.1710515e+24,2.1239905e+24,inf,34.324095249176025,2.2166964e+25,426.81256,64,,63,63,-1.7748028,999.0,,-2.2059546,-1.0,1.5222075e-05
-2.8000343,4.56676e-07,999,-10.0,1.5,1.0343951,2.8000343,-30.351303,6.784283,0.14999999,28.00704,63936,-29.04121,-10.301431,,2.1699128e+24,0.14451955,inf,34.85126209259033,2.2518618e+25,434.19412,64,,64,64,-1.7842832,999.0,,-2.3815408,-1.0,1.5463704e-05
-2.8000343,3.5094652e-07,999,-10.0,1.5,-8.99673,2.8000343,-30.026913,6.7858224,0.14999999,28.00704,64935,-29.056713,-11.527456,,2.1688027e+24,5120.132,inf,35.405081272125244,2.2870356e+25,441.07843,81,,65,65,-1.7858223,999.0,,-1.8843256,-1.0,1.5705305e-05
-2.8000343,3.4039232e-07,999,-10.0,1.5,-1.587571,2.8000343,-29.600029,6.7952,0.14999999,28.00704,65934,-29.071981,-10.866137,,2.1677283e+24,1.8415254,inf,39.28311038017273,2.3222007e+25,448.4832,81,,66,66,-1.7951998,999.0,,-2.404736,-1.0,1.5946938e-05
-2.8000343,3.3030722e-07,999,-10.0,1.5,-2.7577348,2.8000343,-29.203289,6.8089137,0.14999999,28.00704,66933,-29.087019,-11.580342,,2.1666763e+24,2.6526852,inf,39.8635790348053,2.3573668e+25,456.1972,81,,67,67,-1.8089137,999.0,,-2.714033,-1.0,1.6188555e-05
-2.8000343,3.206637e-07,999,-10.0,1.5,-3.4127321,2.8000343,-28.827793,6.8143606,0.14999999,28.00704,67932,-29.101833,-11.149694,,2.1656466e+24,16.349579,inf,40.43745684623718,2.3925268e+25,463.37653,81,,68,68,-1.8143606,999.0,,-2.1793094,-1.0,1.6430162e-05
-2.8000343,3.1143645e-07,999,-10.0,1.5,1.0633479,2.8000343,-28.398254,6.8137794,0.14999999,28.00704,68931,-29.116432,-11.573277,,2.1646454e+24,0.23194537,inf,41.01323437690735,2.4276925e+25,470.15076,81,,69,69,-1.8137794,999.0,,-1.7742466,-1.0,1.6671784e-05
-2.8000343,3.0260182e-07,999,-10.0,1.5,-12.40763,2.8000343,-28.173378,6.806301,0.14999999,28.00704,69930,-29.130821,-10.547135,,2.1636698e+24,60027.883,inf,41.579023599624634,2.4628585e+25,476.4411,81,,70,70,-1.8063012,999.0,,-1.2903203,-1.0,1.6913407e-05
-2.8000343,2.9413786e-07,999,-10.0,1.5,-6.8347893,2.8000343,-27.876287,6.814456,0.14999999,28.00704,70929,-29.145006,-11.746389,,2.162718e+24,352.76474,inf,42.176467418670654,2.498019e+25,483.82635,81,,71,71,-1.8144557,999.0,,-2.3852715,-1.0,1.7155035e-05
-2.8000343,2.8602412e-07,999,-10.0,1.5,-12.574366,2.8000343,-27.667124,6.812946,0.14999999,28.00704,71928,-29.158993,-10.316855,,2.1617832e+24,163522.42,inf,42.7869234085083,2.5331793e+25,490.5321,81,,72,72,-1.8129457,999.0,,-1.7057295,-1.0,1.739666e-05
-2.8000343,2.7824152e-07,999,-10.0,1.5,-8.700728,2.8000343,-27.410578,6.8141804,0.14999999,28.00704,72927,-29.172785,-9.917733,,2.1608744e+24,3813.667,inf,43.38227891921997,2.5683443e+25,497.43518,81,,73,73,-1.8141806,999.0,,-1.9030946,-1.0,1.7638258e-05
-2.8000343,2.707723e-07,999,-10.0,1.5,-26.815119,2.8000343,-27.405706,6.817254,0.14999999,28.00704,73926,-29.186392,-12.077947,,2.159985e+24,220041220000.0,inf,44.003446102142334,2.6035008e+25,504.4768,81,,74,74,-1.8172542,999.0,,-2.041625,-1.0,1.7879902e-05
-2.8000343,2.6359982e-07,999,-10.0,1.5,-26.602402,2.8000343,-27.398087,6.815612,0.14999999,28.00704,74925,-29.199814,-12.579917,,2.15911e+24,178214520000.0,inf,44.632110357284546,2.6386656e+25,511.17087,81,,75,75,-1.8156116,999.0,,-1.6940678,-1.0,1.8121504e-05
-2.8000343,2.5670863e-07,999,-10.0,1.5,-41.00277,2.8000343,-27.58011,6.8249807,0.14999999,28.00704,75924,-29.21306,-10.424316,,2.1582623e+24,1.17250065e+17,inf,45.24318051338196,2.6738258e+25,518.69855,81,,76,76,-1.8249809,999.0,,-2.5276742,-1.0,1.836315e-05
-2.8000343,2.5008418e-07,999,-10.0,1.5,-8.427227,2.8000343,-27.3343,6.8297048,0.14999999,28.00704,76923,-29.226131,-12.678158,,2.1574267e+24,2337.7476,inf,45.865111351013184,2.7089895e+25,525.88727,81,,77,77,-1.8297048,999.0,,-2.188712,-1.0,1.860475e-05
-2.8000343,2.4371286e-07,999,-10.0,1.5,-47.006355,2.8000343,-27.589355,6.8395524,0.14999999,28.00704,77922,-29.239035,-11.310861,,2.1566132e+24,4.318252e+19,inf,46.48764204978943,2.7441446e+25,533.4851,81,,78,78,-1.8395523,999.0,,-2.5978127,-1.0,1.8846365e-05
-2.8000343,2.3758197e-07,999,-10.0,1.5,-4.9724483,2.8000343,-27.30585,6.832535,0.14999999,28.00704,78921,-29.251774,-12.04467,,2.1558089e+24,37.083286,inf,47.07708668708801,2.7792997e+25,539.77026,81,,79,79,-1.832535,999.0,,-1.2851906,-1.0,1.908799e-05
-2.8000343,2.3167952e-07,999,-10.0,1.5,-13.157594,2.8000343,-27.131708,6.8439035,0.14999999,28.00704,79920,-29.264353,-13.032524,,2.1550296e+24,68306.85,inf,47.69774675369263,2.8144543e+25,547.5123,81,,80,80,-1.8439038,999.0,,-2.7420301,-1.0,1.9329613e-05
-2.8000343,2.2599437e-07,999,-10.0,1.5,-59.65649,2.8000343,-27.535892,6.847508,0.14999999,28.00704,80919,-29.276775,-11.602841,,2.4108834e+24,2.0786474e+25,inf,48.31013059616089,2.849619e+25,554.64813,81,,81,81,-1.8475078,999.0,,-2.1358354,-1.0,1.9571235e-05
-2.8000343,1.7903274e-07,999,-10.0,1.5,-3.3891087,2.8000343,-27.244146,6.8531094,0.14999999,28.00704,81918,-29.289045,-12.215339,,2.4101364e+24,13.649309,inf,48.9120409488678,2.8847715e+25,561.95496,100,,82,82,-1.8531092,999.0,,-2.306822,-1.0,1.9812851e-05
-2.8000343,1.7474466e-07,999,-10.0,1.5,-33.551197,2.8000343,-27.322796,6.85138,0.14999999,28.00704,82917,-29.301167,-10.070796,,2.4093944e+24,175763990000000.0,inf,54.91663932800293,2.9199344e+25,568.66455,100,,83,83,-1.8513798,999.0,,-1.7095679,-1.0,2.0054467e-05
-2.8000343,1.7060884e-07,999,-10.0,1.5,-16.717098,2.8000343,-27.199137,6.8511066,0.14999999,28.00704,83916,-29.313143,-10.761873,,2.4086751e+24,10644942.0,inf,55.60092782974243,2.9550863e+25,575.493,100,,84,84,-1.8511069,999.0,,-1.8284601,-1.0,2.029609e-05
-2.8000343,1.6661815e-07,999,-10.0,1.5,-0.47470456,2.8000343,-26.887268,6.85446,0.14999999,28.00704,84915,-29.324978,-12.636628,,2.4079633e+24,0.9587595,inf,56.266204833984375,2.9902394e+25,582.629,100,,85,85,-1.8544595,999.0,,-2.1360707,-1.0,2.0537722e-05
