IWFirstEpisode,ReturnMin,DenMISELogLast,ReturnStepMax,delta,ReturnLastEpisode,DenMISELogFirst,ReturnMax,IWMin,Bound,IWMax,DenMISEMeanLog,LQGmu1_higher,TimeElapsed,LQGmu1_actor,TimestepsSoFar,ReturnAbsMax,IWLastEpisode,ReturnMean,Iteration,LQGsigma_higher,IWMean
1.0114989,,-0.7696982,19.202347,2.248251e-07,17.232311,-0.8489802,17.414082,,61.687943,6.934954,-0.85628444,0.27272728,40.08266544342041,0.22914597,1040,17.414082,9.489872e-15,12.538813,52,0.14999999,1.1685376
1.41403225e-05,,-0.8500867,19.202347,2.1642118e-07,8.626587,-0.8487633,17.414082,,61.593586,5.1332297,-0.85394657,-0.7777778,40.89242625236511,-1.018941,1060,17.414082,1.0207304e-09,12.464997,53,0.14999999,0.9247762
2.3213572e-05,,-0.89595133,19.202347,2.0847979e-07,17.203432,-0.8674551,17.414082,,61.618553,8.658423,-0.8564856,0.7373737,41.73256993293762,0.54348755,1080,17.414082,1.1068279e-29,12.552746,54,0.14999999,1.0411001
2.2170792,,-1.0172094,19.202347,2.0096763e-07,6.4153323,-0.8858039,17.414082,,61.067307,5.46354,-0.8595781,-0.23232323,42.54825282096863,-0.28568506,1100,17.414082,1.1424239e-05,12.441155,55,0.14999999,0.9996611
0.12240548,,-0.587879,19.202347,1.9385428e-07,17.07039,-0.8643031,17.414082,,60.79309,4.5274343,-0.85512656,-0.43434343,43.38083076477051,-0.42209816,1120,17.414082,2.929889,12.523821,56,0.14999999,1.2110089
2.5555218e-09,,-0.47291493,19.202347,1.8711206e-07,17.308548,-0.8798193,17.414082,,60.348236,8.921171,-0.8452072,-1.0,44.314032554626465,-0.82642394,1140,17.414082,0.0025530353,12.607763,57,0.14999999,0.92602015
6.445689,,-0.6433647,19.202347,1.8071556e-07,17.342321,-0.89721096,17.414082,,59.720604,6.445689,-0.843629,0.01010101,45.13504648208618,0.118603386,1160,17.414082,8.927239e-07,12.689394,58,0.14999999,0.8478085
0.0018468887,,-0.8769115,19.202347,1.7464151e-07,8.97658,-0.80892557,17.414082,,59.407013,4.7808495,-0.84711444,-0.61616164,45.82550001144409,-0.7546787,1180,17.414082,3.9380622e-05,12.626465,59,0.14999999,1.0504248
3.375582e-06,,-0.6131444,19.202347,1.6886865e-07,17.368639,-0.8257014,17.414082,,59.059982,5.0621533,-0.8426912,-0.8181818,46.65996837615967,-0.8160045,1200,17.414082,4.4893665,12.705501,60,0.14999999,0.9727794
0.1068556,,-0.57665104,19.202347,1.6337734e-07,17.35251,-0.8422306,17.414082,,58.65625,7.284822,-0.83911395,0.41414142,47.49859666824341,0.25396004,1220,17.414082,1.177089e-14,12.78168,61,0.14999999,1.054474
2.932098,,-0.91282624,19.202347,1.581496e-07,8.517442,-0.85674095,17.414082,,58.005833,6.586909,-0.83999133,0.17171717,48.285924434661865,0.2148535,1240,17.414082,5.7013273,12.712902,62,0.14999999,1.1371058
0.3378353,,-0.8336994,19.202347,1.5316883e-07,8.684364,-0.8265336,17.414082,,57.98638,4.6707,-0.8382496,-0.37373737,49.0191810131073,-0.34105366,1260,17.414082,0.0027759317,12.648958,63,0.14999999,1.1384577
1.6419581e-06,,-0.53118503,19.202347,1.484197e-07,17.239712,-0.8369338,17.414082,,57.131687,4.999683,-0.8316516,-0.83838385,49.83977770805359,-1.0788757,1280,17.414082,0.018554943,12.720688,64,0.14999999,0.98544276
2.4864961e-09,,-1.1340833,19.202347,1.4388809e-07,17.199701,-0.852438,17.414082,,57.09379,8.633757,-0.8368487,-1.0,50.6301543712616,-0.83373404,1300,17.414082,7.199503,12.789596,65,0.14999999,0.9532869
0.0005377888,,-0.5481549,19.202347,1.3956085e-07,17.336514,-0.86770546,17.414082,,57.10513,7.0973496,-0.8336363,0.6363636,51.471282720565796,0.3702871,1320,17.414082,6.3868497e-21,12.858489,66,0.14999999,0.8091538
3.159704,,-0.93682086,19.202347,1.3542595e-07,7.8562913,-0.8827352,17.414082,,56.877502,5.684363,-0.8383567,-0.1919192,52.265929222106934,-0.08827602,1340,17.414082,0.00604268,12.78383,67,0.14999999,0.9222436
7.740081e-10,,-0.79053336,19.202347,1.3147212e-07,15.269963,-0.8514688,17.414082,,56.716694,15.658217,-0.8390415,1.0,53.11557197570801,1.0343375,1360,17.414082,2.1779318e-11,12.82039,68,0.14999999,0.86231804
0.0019554966,,-1.4399248,19.202347,1.2768895e-07,,-0.86606765,17.414082,,56.189972,4.792257,-0.8504296,-0.61616164,53.979472637176514,-0.6073665,1380,17.414082,5.7471555e-26,12.634587,69,0.14999999,1.0116608
0.80024314,,-0.5343724,19.202347,1.2406676e-07,17.383034,-0.880428,17.414082,,55.77109,6.7793584,-0.84595984,0.2929293,54.84741282463074,0.28448892,1400,17.414082,6.8305134e-08,12.702422,70,0.14999999,1.3065859
6.390831,,-0.8693404,19.202347,1.2059652e-07,8.367778,-0.8832454,17.414082,,55.58786,6.391347,-0.84258884,-0.030303031,55.721131563186646,-0.13717076,1420,17.414082,0.7014774,12.641371,71,0.14999999,0.88202924
0.167874,,-0.73350465,19.202347,1.1726989e-07,16.300879,-0.8110432,17.414082,,55.64836,4.6143327,-0.8429582,-0.41414142,56.65297603607178,-0.27210894,1440,17.414082,1.0069827,12.692198,72,0.14999999,1.1344767
2.0810955,,-0.6016755,19.202347,1.1407902e-07,17.060097,-0.8225076,17.414082,,55.19262,5.107022,-0.83808887,-0.23232323,57.60051488876343,-0.20114698,1460,17.414082,4.6864777,12.752031,73,0.14999999,1.0335699
6.770956e-06,,-0.6186913,19.202347,1.1101664e-07,16.787031,-0.80800396,17.414082,,54.578423,4.9647436,-0.8349047,-0.7979798,58.502575159072876,-0.6316038,1480,17.414082,0.001801939,12.806559,74,0.14999999,0.9787291
1.2946329e-06,,-0.55117786,19.202347,1.0807592e-07,17.406155,-0.82142687,17.414082,,54.432423,9.153917,-0.8316309,0.8181818,59.332088232040405,0.7437209,1500,17.414082,2.3932571e-20,12.867887,75,0.14999999,0.97439677
0.0032272574,,-1.1306516,19.202347,1.0525054e-07,4.0686803,-0.83467203,17.414082,,54.2667,4.6346216,-0.8364161,-0.5959596,60.24605345726013,-0.68801934,1520,17.414082,3.9337064e-17,12.752108,76,0.14999999,1.0419787
2.474748e-09,,-0.5370984,19.202347,1.02534514e-07,17.38619,-0.8477017,17.414082,,53.78384,8.98868,-0.832176,-1.0,61.13925266265869,-1.1327685,1540,17.414082,0.5232729,12.812291,77,0.14999999,0.87910503
3.5959866,,-1.4212433,19.202347,9.9922275e-08,17.202074,-0.8606051,17.414082,,53.726658,5.4219947,-0.8415776,-0.17171717,62.10363841056824,-0.025063425,1560,17.414082,1.3434259e-08,12.868569,78,0.14999999,0.99529344
3.8300908,,-0.8152739,19.202347,9.74086e-08,12.666483,-0.82827294,17.414082,,53.918114,6.7128572,-0.8415231,0.13131313,62.928953886032104,-0.050891444,1580,17.414082,3.4904873,12.866012,79,0.14999999,1.0962251
0.011916315,,-0.7636604,19.202347,9.49886e-08,13.813832,-0.7935082,17.414082,,53.298946,8.306014,-0.83963126,0.5151515,63.73894023895264,0.64910865,1600,17.414082,0.0046158414,12.877859,80,0.14999999,0.8051404
0.00033433043,,-1.1229149,19.202347,9.265769e-08,5.26848,-0.8057817,17.414082,,52.955936,4.7406797,-0.8457214,-0.67676765,64.51439619064331,-0.6316974,1620,17.414082,8.8421836e-17,12.783917,81,0.14999999,1.0051945
5.842552,,-0.52512497,19.204353,9.041153e-08,17.41508,-0.81804764,17.41508,,52.902065,5.892848,-0.8419171,-0.05050505,65.34041976928711,0.41045967,1640,17.41508,0.0024712817,12.840395,82,0.14999999,0.9841997
0.11042961,,-1.0046339,19.204353,8.8246054e-08,7.5707273,-0.7613422,17.41508,,52.6543,4.5719404,-0.84428287,-0.43434343,66.24474287033081,-0.32736248,1660,17.41508,9.403487e-07,12.776904,83,0.14999999,1.078871
2.2942925e-09,,-0.5384352,19.204353,8.6157456e-08,17.246786,-0.77198887,17.41508,,52.613914,8.77882,-0.83988327,-1.0,67.0967652797699,-1.354248,1680,17.41508,0.00019595298,12.830117,84,0.14999999,0.9050532
0.29362854,,-3.9194179,19.204353,8.4142165e-08,17.193533,-0.7838233,17.41508,,52.08798,7.2087307,-0.87750477,0.35353535,68.0190258026123,0.3883738,1700,17.41508,9.5424136e-27,12.881451,85,0.14999999,1.2005953
1.0308489,,-0.9455423,19.204353,8.219674e-08,7.73136,-0.79207087,17.41508,,52.011562,4.772067,-0.87634254,-0.2929293,68.87460565567017,-0.40081698,1720,17.41508,0.00022684276,12.821566,86,0.14999999,1.0586424
2.3400029e-09,,-0.5030402,19.204353,8.031802e-08,17.315723,-0.79171634,17.41508,,51.797043,8.432992,-0.8715468,-1.0,69.72626757621765,-1.1305996,1740,17.41508,0.0015079444,12.873223,87,0.14999999,0.94480205
0.021938726,,-1.3512764,19.204353,7.850298e-08,17.19018,-0.80314505,17.41508,,51.46463,4.504975,-0.87789744,-0.5151515,70.54436898231506,-0.29845208,1760,17.41508,0.0022704059,12.92228,88,0.14999999,1.0691215
7.4568923e-10,,-0.54048926,19.204353,7.674878e-08,17.17544,-0.81419533,17.41508,,51.44373,16.356144,-0.8734809,1.0,71.39966750144958,1.0133759,1780,17.41508,2.4445273e-16,12.970068,89,0.14999999,0.877488
1.0657518,,-1.443974,19.204353,7.505273e-08,,-0.82536864,17.41508,,51.171406,4.6648426,-0.8816337,-0.2929293,72.11737895011902,-0.052370444,1800,17.41508,3.8296482e-16,12.825956,90,0.14999999,1.0850966
0.00028491422,,-0.7815354,19.204353,7.3412274e-08,14.1856785,-0.82464635,17.41508,,51.06042,8.984149,-0.8797578,0.65656567,72.94717502593994,0.53650224,1820,17.41508,8.198606e-05,12.8408985,91,0.14999999,0.8716358
2.444909e-09,,-1.080032,19.204353,7.182504e-08,6.4840183,-0.83557224,17.41508,,50.85095,8.129633,-0.8835627,-1.0,73.76992797851562,-1.0310029,1840,17.41508,1.2865803e-22,12.771802,92,0.14999999,0.9641276
6.1595407,,-0.8425806,19.204353,7.028872e-08,17.202305,-0.8463832,17.41508,,50.83155,6.1595407,-0.88375807,-0.030303031,74.61252570152283,0.09007456,1860,17.41508,1.3373456e-09,12.819441,93,0.14999999,0.9598332
2.3091922,,-0.8859328,19.204353,6.880116e-08,9.030784,-0.7929479,17.41508,,50.596397,6.803588,-0.88437504,0.1919192,75.49916791915894,0.058645323,1880,17.41508,5.122374,12.779136,94,0.14999999,1.1645674
9.53537e-05,,-0.827152,19.204353,6.736033e-08,9.073339,-0.77926105,17.41508,,50.28926,4.996942,-0.88229364,-0.7171717,76.3791754245758,-0.85893774,1900,17.41508,9.44479e-06,12.740128,95,0.14999999,0.9227693
2.335366e-09,,-0.61717737,19.204353,6.5964315e-08,17.31639,-0.7897314,17.41508,,50.147842,7.7930975,-0.8804531,-1.0,77.33235216140747,-0.8539065,1920,17.41508,3.1682158,12.787797,96,0.14999999,0.99253607
6.7176106e-06,,-0.59471965,19.204353,6.461123e-08,17.327734,-0.8000941,17.41508,,49.61862,4.786245,-0.8778114,-0.7979798,78.15667605400085,-0.7740749,1940,17.41508,4.4969273,12.834601,97,0.14999999,0.9366767
0.06988885,,-0.55811816,19.204353,6.329935e-08,17.34404,-0.81035054,17.41508,,49.590736,7.456036,-0.87531096,0.43434343,79.01214027404785,0.42163476,1960,17.41508,3.750669e-14,12.880615,98,0.14999999,1.0664861
3.9445484,,-0.9880261,19.204353,6.2027055e-08,7.4860654,-0.81979007,17.41508,,49.47625,5.3988876,-0.87600845,-0.15151516,79.85616660118103,-0.21042117,1980,17.41508,0.0048256405,12.826125,99,0.14999999,1.0054184
0.32596657,,-0.61140555,19.204353,6.079271e-08,16.911608,-0.7907698,17.41508,,49.418777,4.6054153,-0.8734431,-0.37373737,80.61709761619568,-0.5810862,2000,17.41508,2.7097921,12.86698,100,0.14999999,1.058155
0.00105287,,-0.56067127,19.212181,5.9594853e-08,17.42365,-0.7974658,17.42365,,49.434433,4.722901,-0.8698977,-0.6363636,81.47522211074829,-0.41207975,2020,17.42365,4.353372,12.912095,101,0.14999999,0.9904834
1.2764822e-06,,-0.50971603,19.212181,5.8432047e-08,17.286146,-0.80730766,17.42365,,49.396255,9.836382,-0.866566,0.8181818,82.35122895240784,0.83632106,2040,17.42365,1.0939413e-14,12.954979,102,0.14999999,0.9684764
0.079267286,,-1.2373692,19.212181,5.7302962e-08,2.7365592,-0.81706387,17.42365,,48.75029,4.4696803,-0.87075955,-0.45454547,83.23462748527527,-0.41797206,2060,17.42365,7.5929283e-16,12.855771,103,0.14999999,1.0520314
4.776248,,-0.48752773,19.212181,5.6206275e-08,17.315144,-0.82595646,17.42365,,48.695404,6.6147404,-0.866685,0.09090909,84.12116885185242,-0.16499248,2080,17.42365,0.013719206,12.898649,104,0.14999999,1.0130899
1.6407021,,-0.6557067,19.212181,5.5140777e-08,16.637505,-0.79062384,17.42365,,48.862804,4.7754526,-0.864693,-0.25252524,85.01350426673889,-0.14388067,2100,17.42365,4.3215833,12.934257,105,0.14999999,1.071614
2.3234055e-09,,-0.6475012,19.212181,5.4105296e-08,16.16603,-0.78459764,17.42365,,48.422363,7.9486823,-0.86208296,-1.0,85.90522527694702,-1.1627299,2120,17.42365,4.2896846e-07,12.9647455,106,0.14999999,0.95528346
