Iteration,ReturnMean,MinEpLen,VarJ,BatchSize,StepSize,MountainCar_mu0_higher,NumTrajectories,AvgRet,MountainCar_mu1_higher,ActionIn1,NatGrad2Norm,MountainCar_std0_higher,TimestepsSoFar,AvgEpLen,NatGradInftyNorm,ReturnMax,MountainCar_std1_higher,J
11,-0.6515337717573524,627,0.000485316782735839,100,1.0,-0.28777134,1100,-2.5186277299131845,0.4426483,-1.7476184,0.044133335,0.14999999,1094290,994.8090909090909,0.031670805,-0.00025241279284691863,1.5,-0.2468713992510522
12,-0.6186790764927073,627,0.0005899334925610337,100,1.0,-0.25610054,1200,1.3520548189286878,0.47338444,-0.47809803,0.057009958,0.14999999,1193898,994.915,0.04619523,-0.00025241279284691863,1.5,-0.257277428581612
13,-0.5827893804515601,498,0.0003541884116538695,100,1.0,-0.2099053,1300,0.3695293592380308,0.43997583,-1.0750415,0.02506886,0.14999999,1293124,994.7107692307692,0.024496155,0.5342079559486856,1.5,-0.15211302795779427
14,-0.550735279777517,498,0.00016020985314706138,100,1.0,-0.18540914,1400,2.608848992359802,0.43464795,-0.9658519,0.016104957,0.14999999,1392544,994.6742857142857,0.015858404,0.5342079559486856,1.5,-0.1340319710149579
15,-0.5233412784140065,498,0.00026103429124639993,100,1.0,-0.16955075,1500,-1.4323408594955938,0.4374552,-0.7627368,0.029778566,0.14999999,1492444,994.9626666666667,0.024931332,0.5342079559486856,1.5,-0.13982525932485534
16,-0.4984352086215098,498,0.00019793250549946583,100,1.0,-0.14461942,1600,3.6938079456769906,0.4211705,-1.7002168,0.029272564,0.14999999,1591388,994.6175,0.02081916,0.5342079559486856,1.5,-0.12484416173406332
17,-0.4743560321260672,498,0.00013806346153673083,100,1.0,-0.12380026,1700,0.08144990904528772,0.4005927,-1.8545258,0.027563846,0.14999999,1691278,994.8694117647059,0.025696373,0.5342079559486856,1.5,-0.08908920819898426
18,-0.4523206890559374,498,8.416386759511183e-05,100,1.0,-0.1138272,1800,-0.8019411751855927,0.42628908,-0.9758157,0.010491579,0.14999999,1791178,995.0988888888888,0.010491491,0.5342079559486856,1.5,-0.07771985686373063
19,-0.43266100884421416,498,0.00010501486964593353,100,1.0,-0.10333571,1900,3.134359745506866,0.42633185,1.6827453,0.011931982,0.14999999,1890439,994.9678947368421,0.008881262,0.5342079559486856,1.5,-0.0787867650331958
20,-0.4155227902486537,498,0.00012495221588093336,100,1.0,-0.09536731,2000,-0.91881693052617,0.41745058,-0.17544836,0.014808654,0.14999999,1990339,995.1695,0.014505553,0.5342079559486856,1.5,-0.08989663693300466
21,-0.39919922277726055,498,7.574144205912725e-05,100,1.0,-0.08086176,2100,1.23875860057799,0.41446978,0.981996,0.010899454,0.14999999,2089813,995.1490476190476,0.009446799,0.5342079559486856,1.5,-0.07272787334939926
22,-0.3846498647883791,498,0.0001319252113231004,100,1.0,-0.07542521,2200,-0.8119524722709335,0.42391658,0.16946977,0.012478357,0.14999999,2189713,995.324090909091,0.012245351,0.5342079559486856,1.5,-0.07911334702186604
23,-0.37121728809123544,498,9.592728523692928e-05,100,1.0,-0.06317986,2300,0.1834580252411115,0.42151642,3.8778028,0.008688388,0.14999999,2289430,995.4043478260869,0.008027775,0.5342079559486856,1.5,-0.07570060075407668
24,-0.35872070356868424,498,8.638616871123403e-05,100,1.0,-0.05515208,2400,-0.750006992480916,0.41819334,0.19632322,0.0074355365,0.14999999,2389330,995.5541666666667,0.0055243704,0.5342079559486856,1.5,-0.0712992595500066
25,-0.346929013397752,498,0.00010787336442464659,100,1.0,-0.050175283,2500,-0.660661953460024,0.4237177,1.8642154,0.011694979,0.14999999,2489230,995.692,0.011694886,0.5342079559486856,1.5,-0.0639284492953793
26,-0.33650972267389734,498,0.00010429515745644039,100,1.0,-0.050222076,2600,0.19502342941770492,0.4354126,-1.1751529,0.012010511,0.14999999,2588985,995.7634615384616,0.009980232,0.5342079559486856,1.5,-0.0760274545775304
