ReturnMax,TimestepsSoFar,NumTrajectories,VarJ,MountainCar_std0_higher,MountainCar_mu0_higher,BatchSize,Iteration,NatGradInftyNorm,MountainCar_std1_higher,AvgEpLen,NatGrad2Norm,StepSize,MinEpLen,J,ActionIn1,ReturnMean,MountainCar_mu1_higher,AvgRet
-0.00010294598060912095,1698234,1700,0.001146286996096486,0.14999999,-0.43496367,100,17,0.06764241,1.5,998.9611764705883,0.08969527,0.01,949,-0.5296498604083907,-2.2208328,-0.48784479948406073,-0.89302534,-5.297163665042438
-0.00010294598060912095,1798134,1800,0.0007657067560971403,0.14999999,-0.43428725,100,18,0.06692575,1.5,998.9633333333334,0.08348774,0.01,949,-0.5118531124672291,-1.3608632,-0.4891785946497923,-0.89243627,-5.1249746922869805
-0.00010294598060912095,1898034,1900,0.0008859183573658639,0.14999999,-0.43378815,100,19,0.04754454,1.5,998.9652631578947,0.06525063,0.01,949,-0.4867573386601859,-1.187681,-0.4890511601240236,-0.8931055,-4.878775031184865
-0.00010294598060912095,1997934,2000,0.0005437234892637655,0.14999999,-0.4333127,100,20,0.03596149,1.5,998.967,0.040401936,0.01,949,-0.4907235448575171,-1.856225,-0.4891347793606983,-0.8935524,-4.906692171756008
-0.00010294598060912095,2097704,2100,0.0009544149328211303,0.14999999,-0.4329531,100,21,0.08426021,1.5,998.9066666666666,0.09947536,0.01,869,-0.4964923359243815,-1.3902414,-0.48948513919706416,-0.8933683,-3.9860510588252738
-0.00010294598060912095,2197604,2200,0.0009850569850258985,0.14999999,-0.43242437,100,22,0.046094716,1.5,998.9109090909091,0.05811891,0.01,869,-0.4562925957219088,-2.1447568,-0.48797638722092074,-0.8925257,-4.559281187048052
-0.00010294598060912095,2297504,2300,0.0006926084216371715,0.14999999,-0.4319634,100,23,0.045120504,1.5,998.9147826086956,0.06357364,0.01,869,-0.5015619330157417,-1.6021533,-0.4885670631250433,-0.89287966,-5.023237437206323
-0.00010294598060912095,2397355,2400,0.0007017484369853855,0.14999999,-0.43151554,100,24,0.030276468,1.5,998.8979166666667,0.03259426,0.01,869,-0.44498321321198253,-1.2312462,-0.48675106937866586,-0.8933309,-3.47373162569423
-4.450410370895183e-05,2497255,2500,0.0009428920711911167,0.14999999,-0.43121278,100,25,0.04563125,1.5,998.902,0.04594618,0.01,869,-0.4640529602471463,-2.8786428,-0.48584314501340503,-0.8932102,-4.6407196970590086
-4.450410370895183e-05,2597155,2600,0.000823377942754286,0.14999999,-0.43075648,100,26,0.04431721,1.5,998.9057692307692,0.061887715,0.01,869,-0.47765290785918774,-0.9963836,-0.485528135892089,-0.89315647,-4.78401736825429
