Iteration,ActionIn1,TimestepsSoFar,NatGrad2Norm,MountainCar_std0_higher,MountainCar_std1_higher,StepSize,NumTrajectories,ReturnMean,VarJ,MountainCar_mu0_higher,ReturnMax,AvgEpLen,MountainCar_mu1_higher,AvgRet,J,NatGradInftyNorm,MinEpLen,BatchSize
12,0.91178656,1198800,0.3566381,0.14999999,1.5,0.01,1200,-0.6369996744746467,0.003417088653560112,0.39240533,-7.47151437307256e-06,999.0,0.91129744,-6.997433185748207,-0.6492959051016812,0.34536216,999,100
13,3.2924502,1298700,0.13000882,0.14999999,1.5,0.01,1300,-0.6319807299782533,0.002262409461725989,0.39151564,-7.47151437307256e-06,999.0,0.9078438,-6.056492431714406,-0.5717533960215324,0.11534961,999,100
14,1.761677,1398600,0.1405433,0.14999999,1.5,0.01,1400,-0.6330005888369757,0.0038098238586209733,0.3909159,-7.47151437307256e-06,999.0,0.90669036,-7.071412507208709,-0.6462587540003679,0.10330968,999,100
15,3.392273,1498500,0.12795956,0.14999999,1.5,0.01,1500,-0.6293808190859944,0.002570928770787147,0.38996303,-7.47151437307256e-06,999.0,0.9056573,-6.311681172255901,-0.578704042572255,0.11023875,999,100
16,3.1432788,1598400,0.075212695,0.14999999,1.5,0.01,1600,-0.6264069917462016,0.0018231270283615008,0.38931334,-7.47151437307256e-06,999.0,0.9045549,-6.16230159679034,-0.5817995816493106,0.05582346,999,100
17,4.0429945,1698300,0.09914242,0.14999999,1.5,0.01,1700,-0.6231780592060081,0.002131761640207294,0.3887551,-7.47151437307256e-06,999.0,0.9040508,-6.102812216135876,-0.5715151385629117,0.07944668,999,100
18,1.0918934,1798200,0.05541913,0.14999999,1.5,0.01,1800,-0.619891564127909,0.0018272973072010813,0.38816205,-7.47151437307256e-06,999.0,0.9048453,-5.960350542410846,-0.5640211478002242,0.053229418,999,100
19,1.5683515,1898100,0.09336199,0.14999999,1.5,0.01,1900,-0.61954734581977,0.0024700574862715173,0.38762975,-7.47151437307256e-06,999.0,0.90469104,-6.453255277421976,-0.6133514162732683,0.072867505,999,100
20,0.90413517,1998000,0.13900146,0.14999999,1.5,0.01,2000,-0.6210406671973882,0.002449014177903079,0.38690108,-7.47151437307256e-06,999.0,0.9041074,-6.958773606936649,-0.6494137733721332,0.11279463,999,100
21,2.6462884,2097900,0.05849338,0.14999999,1.5,0.01,2100,-0.6188118836876391,0.0016537793317961571,0.38608876,-7.47151437307256e-06,999.0,0.90297943,-6.022838007133924,-0.574236213492659,0.054130033,999,100
22,0.29217243,2197800,0.21803947,0.14999999,1.5,0.01,2200,-0.6164571475568211,0.0018125593898286217,0.38554746,-7.47151437307256e-06,999.0,0.9032011,-6.127843543423492,-0.5670076888096409,0.21196648,999,100
23,0.5051583,2297700,0.085035525,0.14999999,1.5,0.01,2300,-0.617398664771622,0.002718168849325667,0.38503644,-7.47151437307256e-06,999.0,0.90108144,-6.784890882071682,-0.6381120434972404,0.08275868,999,100
24,2.917746,2397600,0.09519998,0.14999999,1.5,0.01,2400,-0.6164666833628455,0.002113327469997055,0.38420886,-7.47151437307256e-06,999.0,0.9012769,-6.405509315974521,-0.5950311109609892,0.06938311,999,100
25,3.338809,2497500,0.06227129,0.14999999,1.5,0.01,2500,-0.6127671528414074,0.0013332286825292312,0.38355702,-7.47151437307256e-06,999.0,0.900583,-5.49736754991892,-0.5239784203268901,0.049291234,999,100
26,1.4869821,2597400,0.09521502,0.14999999,1.5,0.01,2600,-0.6117183197310854,0.002873571586727785,0.38317648,-7.47151437307256e-06,999.0,0.90107596,-6.340439563749983,-0.5854974919730369,0.074766666,999,100
27,1.0302889,2697300,0.082749255,0.14999999,1.5,0.01,2700,-0.6117661329818389,0.0021103682244121118,0.3824288,-7.47151437307256e-06,999.0,0.9004864,-6.4695154365582095,-0.6130092775014286,0.06979222,999,100
28,0.21309984,2797200,0.07938077,0.14999999,1.5,0.01,2800,-0.6116364381304737,0.0022701665851960484,0.38173088,-7.47151437307256e-06,999.0,0.900931,-6.462955546282753,-0.6081346771436178,0.068969354,999,100
29,0.4779526,2897100,0.09160376,0.14999999,1.5,0.01,2900,-0.6114547965438347,0.0027474823907817966,0.3810412,-7.47151437307256e-06,999.0,0.90053797,-6.468121628576612,-0.6063688321179397,0.0778106,999,100
30,2.4350479,2997000,0.14602916,0.14999999,1.5,0.01,3000,-0.6086424927002405,0.0017320756147606396,0.3802631,-7.47151437307256e-06,999.0,0.9000546,-5.664253417342584,-0.5270856812360101,0.13765411,999,100
31,-1.6409236,3096900,0.2394088,0.14999999,1.5,0.01,3100,-0.6094370834552884,0.0018960781333004597,0.37977567,-7.47151437307256e-06,999.0,0.898678,-6.878587911097677,-0.6332748061067215,0.22794066,999,100
32,-0.66960984,3196800,0.09286101,0.14999999,1.5,0.01,3200,-0.6098106810169842,0.0028657808483489046,0.37904358,-7.47151437307256e-06,999.0,0.8963986,-6.622226778601262,-0.621392205429561,0.08697476,999,100
33,2.184098,3296700,0.09998824,0.14999999,1.5,0.01,3300,-0.6088805884435706,0.00233753569339263,0.37817383,-7.47151437307256e-06,999.0,0.8960732,-6.07825454462496,-0.5791176260943331,0.07146945,999,100
34,0.3650894,3396600,0.072062716,0.14999999,1.5,0.01,3400,-0.606890683424177,0.0018219852636500913,0.37745914,-7.47151437307256e-06,999.0,0.8967725,-5.786171661384282,-0.5412238177841876,0.05290679,999,100
35,0.52016884,3496500,0.294591,0.14999999,1.5,0.01,3500,-0.6039853050264866,0.001738074085419026,0.37693006,-7.47151437307256e-06,999.0,0.8972618,-5.17982425878228,-0.5052024395050106,0.29092064,999,100
36,1.3166246,3596400,0.07506244,0.14999999,1.5,0.01,3600,-0.6027013772797214,0.0020666249170631186,0.37646648,-7.47151437307256e-06,999.0,0.900171,-5.869801913446793,-0.557763906142942,0.061861098,999,100
37,2.589847,3696300,0.21815138,0.14999999,1.5,0.01,3700,-0.603140299833493,0.001984342437763161,0.37584788,-7.47151437307256e-06,999.0,0.90059614,-6.737191275259326,-0.6189415117692745,0.2058885,999,100
38,2.2786334,3796200,0.13178053,0.14999999,1.5,0.01,3800,-0.6009347434823631,0.0014991211089385543,0.37512678,-7.47151437307256e-06,999.0,0.8985373,-5.605526216912621,-0.51932915849055,0.12369832,999,100
39,2.5833569,3896100,0.041976076,0.14999999,1.5,0.01,3900,-0.5982573351605786,0.0015284698366048602,0.37467238,-7.47151437307256e-06,999.0,0.8973003,-5.2719218180273835,-0.4965158189327682,0.041590706,999,100
40,1.4098376,3996000,0.0576014,0.14999999,1.5,0.01,4000,-0.5968038047307839,0.0017563275818187538,0.37425646,-7.47151437307256e-06,999.0,0.89735705,-5.76046373971862,-0.5401161179687878,0.05355136,999,100
41,1.0066998,4095900,0.05564422,0.14999999,1.5,0.01,4100,-0.5950385990161703,0.002090363804040979,0.37372094,-7.47151437307256e-06,999.0,0.89756924,-5.609944567228726,-0.524430370431634,0.055428766,999,100
42,0.3362228,4195800,0.04230811,0.14999999,1.5,0.01,4200,-0.5922596204581891,0.0016089256398434232,0.37316665,-7.47151437307256e-06,999.0,0.8975203,-5.104093780876812,-0.47832149958095654,0.038868453,999,100
43,-1.5541444,4295700,0.3606099,0.14999999,1.5,0.01,4300,-0.5921070545522601,0.00218226651902637,0.37277797,-7.47151437307256e-06,999.0,0.89735323,-6.373438254148516,-0.5856992865032421,0.35394597,999,100
44,1.1528721,4395600,0.22253084,0.14999999,1.5,0.01,4400,-0.5907598740173119,0.0024751652951384294,0.37208793,-7.47151437307256e-06,999.0,0.8938138,-5.864068870610078,-0.5328311110145411,0.21277119,999,100
45,-0.7697039,4495500,0.13195616,0.14999999,1.5,0.01,4500,-0.5908370642256114,0.002234182856182351,0.37143612,-7.47151437307256e-06,999.0,0.8916861,-6.258557179950684,-0.5942334333907906,0.10750045,999,100
46,1.5307914,4595400,0.050290246,0.14999999,1.5,0.01,4600,-0.5882271055003799,0.0014727912467446445,0.37067086,-7.47151437307256e-06,999.0,0.8927611,-5.042545216605407,-0.4707789628649626,0.036176845,999,100
47,-0.85894144,4695300,0.07029505,0.14999999,1.5,0.01,4700,-0.5881244030595023,0.0019232752190798546,0.3703215,-7.47151437307256e-06,999.0,0.8923994,-6.29367135857514,-0.5834000907791299,0.068153955,999,100
48,2.4446604,4795200,0.05992161,0.14999999,1.5,0.01,4800,-0.587803084129367,0.0016165668963839302,0.36963996,-7.47151437307256e-06,999.0,0.89257157,-6.016828684984938,-0.5727010944130094,0.059559677,999,100
49,-0.69680303,4895100,0.12385725,0.14999999,1.5,0.01,4900,-0.5860710977558771,0.002631480276198441,0.36904436,-7.47151437307256e-06,999.0,0.8925058,-5.376227271105965,-0.5029357518283579,0.10581146,999,100
50,-2.2711554,4995000,0.056687173,0.14999999,1.5,0.01,5000,-0.5836347317521969,0.0014400332904845694,0.36840057,-7.47151437307256e-06,999.0,0.8935639,-4.962910129523154,-0.46425279757187143,0.04263636,999,100
