NatGrad2Norm,TimestepsSoFar,MountainCar_mu0_higher,AvgEpLen,Iteration,MountainCar_std1_higher,NatGradInftyNorm,ReturnMean,BatchSize,MinEpLen,MountainCar_std0_higher,ReturnMax,ActionIn1,AvgRet,J,StepSize,NumTrajectories,MountainCar_mu1_higher,VarJ
0.1638805,1583732,-0.79207385,989.8325,16,1.5,0.13440925,-1.340708532147761,100,409,0.14999999,0.1551717511816042,-2.159955,-6.740848546280419,-1.3660571311008887,0.001,1600,0.60888666,0.002066360962017866
0.046965644,1682422,-0.7919801,989.66,17,1.5,0.0432493,-1.3366028174203626,100,409,0.14999999,0.1551717511816042,-2.314546,-6.853393803100374,-1.2709113817819857,0.001,1700,0.60875225,0.0019437417834475377
0.07327201,1780746,-0.7919368,989.3033333333333,18,1.5,0.05672176,-1.3364130767671196,100,409,0.14999999,0.1551717511816042,-1.4714439,-6.4467741074465925,-1.333187485661992,0.001,1800,0.60877055,0.0014226728325206462
0.25228086,1878832,-0.7918801,988.858947368421,19,1.5,0.24580206,-1.3353045308319735,100,409,0.14999999,0.1551717511816042,1.1765933,-5.238980452324005,-1.315350703999348,0.001,1900,0.6087242,0.001661909008227386
0.091152065,1977454,-0.79182327,988.727,20,1.5,0.09030226,-1.3372445388306178,100,409,0.14999999,0.1551717511816042,-0.6808765,-5.947963309478746,-1.3741046908048566,0.001,2000,0.60847837,0.0019675682530396876
0.08728201,2076576,-0.79173297,988.8457142857143,21,1.5,0.07166729,-1.3348402615245314,100,409,0.14999999,0.1551717511816042,0.46514577,-9.012043017998343,-1.286754715402804,0.001,2100,0.60849077,0.001811941647667913
0.3445511,2176476,-0.79168314,989.3072727272727,22,1.5,0.33547142,-1.3348762178770353,100,409,0.14999999,0.1551717511816042,-0.36214235,-13.438657664091119,-1.3356313012796186,0.001,2200,0.6085624,0.002070042416878585
0.15457262,2274203,-0.7916046,988.7839130434783,23,1.5,0.13706191,-1.3340402465514403,100,409,0.14999999,0.1551717511816042,3.3367593,-5.372008055321214,-1.3156488773883488,0.001,2300,0.60889786,0.0021650837705219066
0.13541757,2372576,-0.7915331,988.5733333333334,24,1.5,0.12148727,-1.332717365962352,100,409,0.14999999,0.1551717511816042,-0.34949037,-7.076562431700845,-1.3022911124133176,0.001,2400,0.6087608,0.0019821360307332616
0.38809368,2471880,-0.79147327,988.752,25,1.5,0.38381457,-1.3321057214488519,100,409,0.14999999,0.1551717511816042,1.3078389,-11.174058557485143,-1.3174262531248546,0.001,2500,0.6086393,0.0016150112668447654
0.3034915,2570603,-0.7914158,988.6934615384615,26,1.5,0.29322475,-1.3321826803293744,100,409,0.14999999,0.1551717511816042,-1.742736,-7.527445611804165,-1.3341066523424332,0.001,2600,0.6090231,0.002145626253893724
0.06990681,2669987,-0.79133755,988.8840740740741,27,1.5,0.054779794,-1.3305787692821927,100,409,0.14999999,0.1551717511816042,-0.77985346,-10.967722473982185,-1.288877082055468,0.001,2700,0.6087299,0.0019827958545610073
