ReturnMean,ReturnMax,NatGrad2Norm,Iteration,MinEpLen,MountainCar_std0_higher,AvgRet,VarJ,TimestepsSoFar,NatGradInftyNorm,J,NumTrajectories,AvgEpLen,BatchSize,MountainCar_std1_higher,MountainCar_mu0_higher,MountainCar_mu1_higher,ActionIn1,StepSize
-0.6436662318383304,-1.599959991221562e-05,0.13164243,15,999,0.14999999,-6.61244978466105,0.0027250879335910284,1498500,0.113403454,-0.6056354809867487,1500,999.0,100,1.5,0.3992086,0.91530764,3.411169,0.001
-0.6416080400291058,-1.599959991221562e-05,0.07804904,16,999,0.14999999,-6.476466680771254,0.0019438491019462898,1598400,0.057658724,-0.6107351628907367,1600,999.0,100,1.5,0.39914176,0.9151942,3.1637466,0.001
-0.6392432926592028,-1.599959991221562e-05,0.102155976,17,999,0.14999999,-6.418690530336786,0.0022716757278989225,1698300,0.0818034,-0.6014073347407541,1700,999.0,100,1.5,0.3990841,0.9151416,4.064414,0.001
-0.6368022459114779,-1.599959991221562e-05,0.05711021,18,999,0.14999999,-6.29531991172092,0.001963267626230559,1798200,0.055126537,-0.5953044512001565,1800,999.0,100,1.5,0.3990229,0.91522336,1.1131324,0.001
-0.6373839943668351,-1.599959991221562e-05,0.09761451,19,999,0.14999999,-6.8226719246998115,0.0026445031152796685,1898100,0.07554442,-0.6478554665632648,1900,999.0,100,1.5,0.39896777,0.91520846,1.5902069,0.001
-0.6398807361101276,-1.599959991221562e-05,0.14368144,20,999,0.14999999,-7.369547900463264,0.0026401870070318395,1998000,0.116097495,-0.6873188292326846,2000,999.0,100,1.5,0.39889222,0.91514665,0.92716557,0.001
-0.638523879111359,-1.599959991221562e-05,0.060961626,21,999,0.14999999,-6.418216748716065,0.0017952820107121827,2097900,0.056484412,-0.6113867391359862,2100,999.0,100,1.5,0.3988076,0.91503054,2.6710584,0.001
-0.6370448816873481,-1.599959991221562e-05,0.23132381,22,999,0.14999999,-6.554504946619314,0.001969208375214626,2197800,0.22510068,-0.6059859357831193,2200,999.0,100,1.5,0.3987511,0.9150535,0.31722847,0.001
-0.6389575033902151,-1.599959991221562e-05,0.0882758,23,999,0.14999999,-7.25028386572163,0.002949186372354368,2297700,0.0865187,-0.6810351808532897,2300,999.0,100,1.5,0.39869782,0.91482836,0.5325666,0.001
-0.6389374191259236,-1.599959991221562e-05,0.10055851,24,999,0.14999999,-6.880366176703968,0.0023122026140599077,2397600,0.07377532,-0.6384754810472185,2400,999.0,100,1.5,0.3986113,0.9148459,2.9457176,0.001
-0.6360247946076337,-1.599959991221562e-05,0.06583302,25,999,0.14999999,-5.946230257217446,0.0014672331797410505,2497500,0.052421458,-0.5661218061686776,2500,999.0,100,1.5,0.39854297,0.9147721,3.367984,0.001
-0.6358287587373981,-1.599959991221562e-05,0.100750186,26,999,0.14999999,-6.837508129942398,0.003153876973707378,2597400,0.07836466,-0.6309278619815069,2600,999.0,100,1.5,0.39850315,0.9148245,1.5160574,0.001
-0.6368053274645721,-1.599959991221562e-05,0.08711978,27,999,0.14999999,-6.994785608960744,0.0023281054168050805,2697300,0.07369262,-0.6621961143710954,2700,999.0,100,1.5,0.3984248,0.9147612,1.0605597,0.001
-0.6375994059852456,-1.599959991221562e-05,0.08463233,28,999,0.14999999,-7.022193568144146,0.002508993279474836,2797200,0.07299704,-0.6590395260434302,2800,999.0,100,1.5,0.3983511,0.9148077,0.24359673,0.001
-0.638326412113006,-1.599959991221562e-05,0.09669547,29,999,0.14999999,-7.032099051673607,0.003054999311774092,2897100,0.08235922,-0.6586825836902959,2900,999.0,100,1.5,0.39827812,0.9147648,0.50941634,0.001
-0.6362963711497762,-1.599959991221562e-05,0.15733394,30,999,0.14999999,-6.211204935345738,0.001943388692721111,2997000,0.14869525,-0.5774251832161168,3000,999.0,100,1.5,0.39819574,0.91471416,2.46764,0.001
-0.6380764695186878,-1.599959991221562e-05,0.2620572,31,999,0.14999999,-7.517851896483489,0.002123975759341839,3096900,0.2501484,-0.6914794205860314,3100,999.0,100,1.5,0.39814433,0.91456544,-1.6066675,0.001
-0.6393849935473926,-1.599959991221562e-05,0.09904941,32,999,0.14999999,-7.262501345988873,0.003211901594638873,3196800,0.092509665,-0.6799492384372434,3200,999.0,100,1.5,0.39806622,0.9143153,-0.6326705,0.001
-0.6393193009295667,-1.599959991221562e-05,0.106899455,33,999,0.14999999,-6.697176900074004,0.0026387371679746034,3296700,0.07618759,-0.6372171371591365,3300,999.0,100,1.5,0.39797372,0.9142799,2.2221045,0.001
-0.6381613857980323,-1.599959991221562e-05,0.076917216,34,999,0.14999999,-6.416053678085977,0.002075406355389377,3396600,0.05641349,-0.599950186457394,3400,999.0,100,1.5,0.39789754,0.91435486,0.40311015,0.001
-0.6359987297177438,-1.599959991221562e-05,0.31988317,35,999,0.14999999,-5.773819989746239,0.0019715885215533867,3496500,0.31608415,-0.562468422987944,3500,999.0,100,1.5,0.39784113,0.91440713,0.5582253,0.001
-0.6355550574683497,-1.599959991221562e-05,0.081080206,36,999,0.14999999,-6.5429006012760365,0.002345698861459681,3596400,0.06601424,-0.6200265287395537,3600,999.0,100,1.5,0.39779198,0.9147232,1.3525023,0.001
-0.6369692394308826,-1.599959991221562e-05,0.23969957,37,999,0.14999999,-7.498963623754637,0.0022809123388018095,3696300,0.22667979,-0.6878797900820619,3700,999.0,100,1.5,0.39772597,0.9147703,2.6258996,0.001
-0.6355365257883488,-1.599959991221562e-05,0.14593038,38,999,0.14999999,-6.299268437043214,0.0017421297870170078,3796200,0.13751528,-0.5825261210146023,3800,999.0,100,1.5,0.39764804,0.9145436,2.3171608,0.001
-0.6335664036195875,-1.599959991221562e-05,0.044687364,39,999,0.14999999,-5.941783818919564,0.0017742782958894917,3896100,0.044644054,-0.5587017612066574,3900,999.0,100,1.5,0.3975992,0.9144061,2.6233895,0.001
-0.6329114790878607,-1.599959991221562e-05,0.062774144,40,999,0.14999999,-6.485501008814538,0.0020417164931292478,3996000,0.057783283,-0.6073694223505154,4000,999.0,100,1.5,0.39755455,0.9144081,1.4501866,0.001
-0.631892198770749,-1.599959991221562e-05,0.060285684,41,999,0.14999999,-6.315224411769925,0.0024279723658722327,4095900,0.05967454,-0.5911209860862766,4100,999.0,100,1.5,0.39749676,0.91443264,1.047339,0.001
-0.6297905508094527,-1.599959991221562e-05,0.045537297,42,999,0.14999999,-5.813095185560236,0.0018762158031458234,4195800,0.041498818,-0.5436229843963125,4200,999.0,100,1.5,0.3974371,0.91442406,0.377397,0.001
-0.6305061673758043,-1.599959991221562e-05,0.40008795,43,999,0.14999999,-7.194634330147067,0.0025478702405276137,4295700,0.39298946,-0.6605620631625739,4300,999.0,100,1.5,0.3973956,0.9144053,-1.5124745,0.001
-0.6299089649610509,-1.599959991221562e-05,0.25049093,44,999,0.14999999,-6.657369743869333,0.0028796997060494345,4395600,0.24044983,-0.6042292611266439,4400,999.0,100,1.5,0.39732057,0.9140123,1.1983032,0.001
-0.63085252887772,-1.599959991221562e-05,0.14877662,45,999,0.14999999,-7.102748856358533,0.002614707848789033,4495500,0.12313776,-0.6723693412111688,4500,999.0,100,1.5,0.39725035,0.91377187,-0.7218039,0.001
-0.6289220494115946,-1.599959991221562e-05,0.052734867,46,999,0.14999999,-5.825270518604684,0.0017274830545200056,4595400,0.037450094,-0.5420504734359435,4600,999.0,100,1.5,0.39716685,0.913895,1.5784214,0.001
-0.6296809576544239,-1.599959991221562e-05,0.077754475,47,999,0.14999999,-7.177571992565866,0.0022893512287506415,4695300,0.07490026,-0.6645907368245727,4700,999.0,100,1.5,0.3971294,0.9138579,-0.8106749,0.001
-0.6302182742142722,-1.0151444249958084e-05,0.06607898,48,999,0.14999999,-6.89646292967977,0.0019293284311120143,4795200,0.0657965,-0.6554721525271497,4800,999.0,100,1.5,0.3970545,0.91387874,2.4933822,0.001
-0.629157732731642,-1.0151444249958084e-05,0.13193147,49,999,0.14999999,-6.196086690555569,0.003108023817140969,4895100,0.11199717,-0.5782517415653843,4900,999.0,100,1.5,0.3969887,0.91387266,-0.6474919,0.001
-0.6273628160577623,-1.0151444249958084e-05,0.06217409,50,999,0.14999999,-5.7768076878612025,0.0017412345840103272,4995000,0.04711277,-0.5394118990376653,5000,999.0,100,1.5,0.39691895,0.91398466,-2.2222164,0.001
