NatGradInftyNorm,ActionIn1,BatchSize,TimestepsSoFar,NumTrajectories,MountainCar_mu1_higher,ReturnMean,MountainCar_mu0_higher,AvgRet,StepSize,MinEpLen,ReturnMax,NatGrad2Norm,J,AvgEpLen,MountainCar_std1_higher,VarJ,MountainCar_std0_higher,Iteration
0.0049410695,-1.5018965,100,2197779,2200,-0.63724685,-0.16877837791470074,-0.04484285,-0.9118716922224257,1.0,983,-2.655682191500303e-06,0.005467922,-0.0902052662435485,998.9904545454546,1.5,0.000106205997966906,0.14999999,22
0.0092532495,-0.9666828,100,2297679,2300,-0.6421879,-0.16400132446495994,-0.047184646,-0.5940610866474672,1.0,983,-2.655682191500303e-06,0.0118286405,-0.05890614857066262,998.9908695652174,1.5,6.825860060282246e-05,0.14999999,23
0.018062485,-0.59765714,100,2397579,2400,-0.65144116,-0.1593429247133512,-0.039816193,-0.5300179886813347,1.0,983,-2.655682191500303e-06,0.018490357,-0.05219973042634967,998.99125,1.5,5.895046060296128e-05,0.14999999,24
0.0047536716,-2.259585,100,2497479,2500,-0.6695036,-0.15594397482547404,-0.035861462,-0.7518634085519341,1.0,983,-2.655682191500303e-06,0.005958939,-0.07436917751642222,998.9916,1.5,0.00010352425141126012,0.14999999,25
0.016270755,-0.37899613,100,2597379,2600,-0.6742573,-0.15260504847231207,-0.032268196,-0.697253914182739,1.0,983,-2.655682191500303e-06,0.016335666,-0.06913188964326354,998.9919230769231,1.5,0.00010361954068722191,0.14999999,26
0.0059610796,-1.1393307,100,2697279,2700,-0.69052804,-0.14945993372823638,-0.030813357,-0.6871890348234091,1.0,983,-2.655682191500303e-06,0.006623113,-0.06768695038226787,998.9922222222223,1.5,7.602149726937196e-05,0.14999999,27
0.02295096,-0.92486215,100,2797179,2800,-0.6934144,-0.14668394364682785,-0.024852278,-0.7200265520930889,1.0,983,-2.655682191500303e-06,0.024346286,-0.07173221144879745,998.9925,1.5,0.00012660244790126536,0.14999999,28
0.008761078,-1.1094396,100,2897079,2900,-0.67046344,-0.14368283755548067,-0.016728539,-0.5974229926767626,1.0,983,-6.147813026197912e-08,0.008947391,-0.05965186699775907,998.9927586206896,1.5,8.142811173407736e-05,0.14999999,29
0.017575936,0.3857749,100,2996979,3000,-0.6617024,-0.1411110586350792,-0.01854494,-0.6696755858817841,1.0,983,-6.147813026197912e-08,0.017587397,-0.06652946994343771,998.993,1.5,4.8775873812258424e-05,0.14999999,30
0.020440187,-0.86720425,100,3096879,3100,-0.6792783,-0.13831848607479444,-0.019179754,-0.5501758251905567,1.0,983,-6.147813026197912e-08,0.020685453,-0.05454130926625138,998.9932258064516,1.5,5.575462639074752e-05,0.14999999,31
0.014359341,-1.7180779,100,3196779,3200,-0.65883815,-0.13579387053190878,-0.016003795,-0.5773901832678286,1.0,983,-6.147813026197912e-08,0.0144345695,-0.057530788702453074,998.9934375,1.5,6.828041612550705e-05,0.14999999,32
0.009419525,-0.9598419,100,3296679,3300,-0.6731975,-0.133670819803137,-0.017475571,-0.6598435253735242,1.0,983,-6.147813026197912e-08,0.009423563,-0.06573319648243997,998.9936363636364,1.5,0.00011327984931582838,0.14999999,33
0.017329568,1.2477474,100,3396579,3400,-0.682617,-0.13157560460356763,-0.017199712,-0.6366604425055876,1.0,983,-6.147813026197912e-08,0.01736593,-0.062433503017778495,998.9938235294118,1.5,6.75886060611881e-05,0.14999999,34
0.008576634,-2.9524188,100,3496479,3500,-0.66528744,-0.1300843534209108,-0.018322937,-0.797230524609043,1.0,983,-6.147813026197912e-08,0.008577176,-0.07938181321057783,998.994,1.5,0.00011530498108995878,0.14999999,35
0.0023582117,-0.003145516,100,3596379,3600,-0.6567108,-0.12851783320837165,-0.018226534,-0.7399661992257472,1.0,983,-6.147813026197912e-08,0.0029938049,-0.07368962576950178,998.9941666666666,1.5,8.715210215550398e-05,0.14999999,36
0.005071163,-0.46368474,100,3696279,3700,-0.659069,-0.12680386801881185,-0.016382163,-0.6545582075537648,1.0,983,-6.147813026197912e-08,0.005712145,-0.06510112119465938,998.9943243243243,1.5,9.86404822111165e-05,0.14999999,37
0.027724173,-2.8225083,100,3796179,3800,-0.65399784,-0.12516074390127216,-0.019011214,-0.6492057330195073,1.0,983,-6.147813026197912e-08,0.027736861,-0.06436515155230363,998.9944736842106,1.5,0.00010086934916254248,0.14999999,38
0.007959283,-1.8867363,100,3896079,3900,-0.681722,-0.12335065657528514,-0.018172337,-0.5483779522614033,1.0,983,-6.147813026197912e-08,0.0092764525,-0.05456733818777773,998.9946153846154,1.5,8.417938313298735e-05,0.14999999,39
0.006170293,-2.157422,100,3995979,4000,-0.6769573,-0.12182217376651147,-0.010213054,-0.6239249158611164,1.0,983,-6.147813026197912e-08,0.007561971,-0.06221134422433919,998.99475,1.5,5.324721234602627e-05,0.14999999,40
0.019135034,-0.009757668,100,4095879,4100,-0.67078704,-0.12029953010893961,-0.005841453,-0.603153474374208,1.0,983,-6.147813026197912e-08,0.019346181,-0.05939378380606487,998.9948780487805,1.5,6.663851012822373e-05,0.14999999,41
0.043802593,-0.31243545,100,4195779,4200,-0.6899221,-0.11873071406551115,-0.0029909837,-0.5485281133260758,1.0,983,-6.147813026197912e-08,0.0439245,-0.054409256284943905,998.995,1.5,6.153293010157201e-05,0.14999999,42
0.021233186,-0.23964128,100,4295679,4300,-0.6461195,-0.11763934563064495,-0.0062612267,-0.7277152781273738,1.0,983,-6.147813026197912e-08,0.021593267,-0.07180187136626495,998.9951162790697,1.5,0.00010721621958294864,0.14999999,43
0.04105398,-0.10036132,100,4395579,4400,-0.6673527,-0.116805403502135,-0.010188177,-0.8075780521063203,1.0,983,-6.147813026197912e-08,0.041487735,-0.08094589197620769,998.9952272727272,1.5,0.00015579976956841835,0.14999999,44
0.005249275,-2.7223556,100,4495479,4500,-0.62629867,-0.11544949792808115,-0.0042046346,-0.5637801197746906,1.0,983,-6.147813026197912e-08,0.005398867,-0.05578965266971081,998.9953333333333,1.5,6.216376286310605e-05,0.14999999,45
0.020181237,0.6337339,100,4595379,4600,-0.6210494,-0.11446755978692043,-0.0029425402,-0.7026782727694837,1.0,983,-6.147813026197912e-08,0.020899048,-0.07028034343468886,998.9954347826086,1.5,0.00013486116113587887,0.14999999,46
0.0043758135,-3.4774308,100,4695279,4700,-0.60086817,-0.11327397018779677,-0.008372815,-0.5912692758148762,1.0,983,-6.147813026197912e-08,0.0045730835,-0.05836884862810718,998.9955319148936,1.5,6.280714024078735e-05,0.14999999,47
0.0053737382,-3.8772304,100,4795179,4800,-0.605244,-0.11205420918585861,-0.0070441514,-0.5501429075947638,1.0,983,-6.147813026197912e-08,0.005909735,-0.05472544209476606,998.995625,1.5,3.8908687064857794e-05,0.14999999,48
0.0060039526,-2.5231957,100,4895079,4900,-0.59987026,-0.1108758340563395,-0.0045849024,-0.5501675463995174,1.0,983,-6.147813026197912e-08,0.007323935,-0.05431382783942231,998.9957142857143,1.5,6.020033523310045e-05,0.14999999,49
0.0105777355,0.105673306,100,4994979,5000,-0.60587424,-0.1097507500983707,-0.008779253,-0.5504449326933392,1.0,983,-6.147813026197912e-08,0.010618804,-0.05462163615789868,998.9958,1.5,4.8856145396017025e-05,0.14999999,50
