MountainCar_std1_higher,VarJ,NatGradInftyNorm,AvgEpLen,ReturnMean,MountainCar_mu0_higher,MountainCar_std0_higher,MinEpLen,NumTrajectories,StepSize,Iteration,J,TimestepsSoFar,BatchSize,MountainCar_mu1_higher,ActionIn1,ReturnMax,NatGrad2Norm,AvgRet
1.5,0.0006349280423235385,0.041232843,998.958125,-0.4904659846499652,-0.44101414,0.14999999,948,1600,0.001,16,-0.5126273256959657,1598333,100,-0.8968108,-1.5475018,-0.00010294598060912095,0.057451554,-5.126624062583494
1.5,0.001167234498188662,0.068439946,998.9605882352942,-0.4934413332847803,-0.4409729,0.14999999,948,1700,0.001,17,-0.5410469114418243,1698233,100,-0.89677083,-2.2305875,-0.00010294598060912095,0.09124741,-5.411053344095871
1.5,0.0007834086627714791,0.06946345,998.9627777777778,-0.4951601274472902,-0.44090447,0.14999999,948,1800,0.001,18,-0.5243796282099575,1798133,100,-0.8967105,-1.3717546,-0.00010294598060912095,0.08595632,-5.250298960481019
1.5,0.000906557300008905,0.04816431,998.9647368421053,-0.4954020909230321,-0.44085383,0.14999999,948,1900,0.001,19,-0.4997574334863863,1898033,100,-0.89677995,-1.1984211,-0.00010294598060912095,0.06648773,-5.008974423228437
1.5,0.0005583522232700222,0.03656089,998.9665,-0.4958736809736933,-0.44080567,0.14999999,948,2000,0.001,20,-0.5048338919362565,1997933,100,-0.8968258,-1.8669913,-0.00010294598060912095,0.041097153,-5.048023829407625
1.5,0.0009810165208988652,0.08586812,998.9061904761904,-0.49658654661399676,-0.4407691,0.14999999,869,2100,0.001,21,-0.5108438594200664,2097703,100,-0.896807,-1.401496,-0.00010294598060912095,0.10129705,-4.130101145338458
1.5,0.001016505433094671,0.046745628,998.9104545454545,-0.49541148645162303,-0.44071537,0.14999999,869,2200,0.001,22,-0.4707352230417734,2197603,100,-0.8967211,-2.1572433,-0.00010294598060912095,0.059317145,-4.703144412920991
1.5,0.000712017417135159,0.046862315,998.914347826087,-0.4963974846737047,-0.4406686,0.14999999,869,2300,0.001,23,-0.518089445559501,2297503,100,-0.89675766,-1.6147366,-0.00010294598060912095,0.06539917,-5.188576995558196
1.5,0.000723498052931739,0.030647645,998.8983333333333,-0.49493835721464496,-0.440623,0.14999999,869,2400,0.001,24,-0.4613784256562729,2397356,100,-0.8968045,-1.2438273,-0.00010294598060912095,0.033449877,-3.638584884254947
1.5,0.0009727118806417123,0.04632523,998.9024,-0.4943736156719717,-0.44059235,0.14999999,869,2500,0.001,25,-0.48081981864780987,2497256,100,-0.8967911,-2.8916035,-0.00010294598060912095,0.046600476,-4.808601272513858
1.5,0.0008517647852646795,0.045152016,998.9061538461539,-0.494419284650278,-0.44054604,0.14999999,869,2600,0.001,26,-0.49556100910793816,2597156,100,-0.89678603,-1.0098028,-0.00010294598060912095,0.06382023,-4.963377334946294
1.5,0.000912358765994393,0.0774742,998.8025925925926,-0.4950588503055312,-0.4405009,0.14999999,710,2700,0.001,27,-0.5116875573421138,2696767,100,-0.89683115,-1.7553214,-0.00010294598060912095,0.0931265,-4.12779192955097
1.5,0.0010566243036853997,0.05848579,998.8096428571429,-0.49593105550716654,-0.4404492,0.14999999,710,2800,0.001,28,-0.51948059595132,2796667,100,-0.89675367,-1.5437984,-0.00010294598060912095,0.06071386,-5.192910771669396
1.5,0.0007187656765278239,0.03657163,998.7944827586207,-0.4954456631754456,-0.44039074,0.14999999,710,2900,0.001,29,-0.48185467788725916,2896504,100,-0.8967374,-1.7593758,-0.00010294598060912095,0.03660478,-3.8207880175068145
1.5,0.0007935720615146398,0.15707602,998.8013333333333,-0.49566218821298114,-0.44035417,0.14999999,710,3000,0.001,30,-0.5019414143015133,2996404,100,-0.89673895,-0.2710709,-0.00010294598060912095,0.16349706,-5.023458914837255
1.5,0.0007024034297331298,0.0457205,998.7867741935484,-0.4964191603213094,-0.4403088,0.14999999,710,3100,0.001,31,-0.5191283235711555,3096239,100,-0.896896,-1.5059509,-0.00010294598060912095,0.05263036,-4.21693649481925
1.5,0.0007121003131100197,0.09417585,998.7934375,-0.4956025576929774,-0.4402631,0.14999999,710,3200,0.001,32,-0.4702878762146858,3196139,100,-0.89686996,-2.380369,-0.00010294598060912095,0.09993317,-4.69909284540717
1.5,0.0008122471818977814,0.048778467,998.7996969696969,-0.49618515464224344,-0.44022965,0.14999999,710,3300,0.001,33,-0.5148282570187585,3296039,100,-0.89696413,-1.6063626,-0.00010294598060912095,0.06600444,-5.1440139771383455
1.5,0.0007863638831531326,0.089640155,998.8055882352941,-0.4949049698369468,-0.44018087,0.14999999,710,3400,0.001,34,-0.4526588712621586,3395939,100,-0.89691967,0.6104635,-0.00010294598060912095,0.09533277,-4.5443107823093785
1.5,0.0009776242263128789,0.056145348,998.8111428571428,-0.4955195777723481,-0.4401484,0.14999999,710,3500,0.001,35,-0.5164162475759917,3495839,100,-0.89683,-3.6057868,-0.00010294598060912095,0.06298234,-5.151387864824422
1.5,0.0009539228255781737,0.05262327,998.8163888888889,-0.4958089249336183,-0.44009227,0.14999999,710,3600,0.001,36,-0.5059360755780753,3595739,100,-0.8968015,-0.66510195,-0.00010294598060912095,0.057974268,-5.064310092218142
1.5,0.0008010738754078002,0.0479686,998.8213513513514,-0.49394928473189076,-0.44003963,0.14999999,710,3700,0.001,37,-0.42700223746969745,3695639,100,-0.89677715,-1.1250503,-0.00010294598060912095,0.055148933,-4.279934772176118
1.5,0.0008408817346072339,0.124429435,998.8260526315789,-0.4938380381360427,-0.44001243,0.14999999,710,3800,0.001,38,-0.48972191408966564,3795539,100,-0.89682513,-3.4863367,-0.00010294598060912095,0.13161886,-4.898700258503419
1.5,0.0008228520798109008,0.10337337,998.7987179487179,-0.49468722270111887,-0.4399695,0.14999999,710,3900,0.001,39,-0.5269562361740128,3895315,100,-0.8969496,-2.523761,-0.00010294598060912095,0.115639724,-4.278553720422686
1.5,0.0008540819569475788,0.056190196,998.80375,-0.49551195524461755,-0.43991768,0.14999999,710,4000,0.001,40,-0.5276765244410655,3995215,100,-0.89684623,-2.8070154,-0.00010294598060912095,0.07822772,-5.275223619596778
1.5,0.0008343303540445378,0.06923778,998.7724390243902,-0.49606087405752497,-0.43986326,0.14999999,710,4100,0.001,41,-0.5180176265738238,4094967,100,-0.89679,-0.66978246,-0.00010294598060912095,0.08533604,-4.183313904238366
1.5,0.0006402098230760074,0.12620516,998.7778571428571,-0.4949353432249065,-0.43981338,0.14999999,710,4200,0.001,42,-0.44878857908755243,4194867,100,-0.8968593,-0.95619506,-0.00010294598060912095,0.1289132,-4.48451440175372
1.5,0.0008756112443497681,0.057702433,998.783023255814,-0.49378819634488696,-0.4397871,0.14999999,710,4300,0.001,43,-0.44560802738406097,4294767,100,-0.8967331,-0.92378074,-3.93863451358038e-05,0.06714268,-4.467032215941103
1.5,0.001202341787122995,0.23710324,998.7879545454546,-0.4942939732287817,-0.43975276,0.14999999,710,4400,0.001,44,-0.5160423792362574,4394667,100,-0.8967908,-0.759364,-3.93863451358038e-05,0.24547054,-5.1550963649377675
1.5,0.0007791316563517416,0.05225531,998.7926666666667,-0.4939603712607746,-0.43968922,0.14999999,710,4500,0.001,45,-0.47928188466846017,4494567,100,-0.8965537,-3.4280953,-3.93863451358038e-05,0.06463835,-4.805201780803207
1.5,0.0008203975010967622,0.1575518,998.7971739130435,-0.49300711792676616,-0.43965116,0.14999999,710,4600,0.001,46,-0.45011071789638735,4594467,100,-0.8965014,-0.07842672,-3.93863451358038e-05,0.16107184,-4.495016489609149
1.5,0.0007811547659158335,0.04237484,998.8014893617021,-0.4930435531521848,-0.43961766,0.14999999,710,4700,0.001,47,-0.4947195735214443,4694367,100,-0.8963439,-4.204151,-3.93863451358038e-05,0.044188,-4.9457958650288365
1.5,0.0007420169809562379,0.13421866,998.7914583333334,-0.4933608156673095,-0.43957528,0.14999999,710,4800,0.001,48,-0.5082721538781684,4794199,100,-0.89633137,-4.600849,-3.93863451358038e-05,0.14159755,-4.093564289172173
1.5,0.0006182784077294899,0.10674031,998.7679591836735,-0.49250122666945834,-0.43953016,0.14999999,710,4900,0.001,49,-0.4512409547726041,4893963,100,-0.89619714,-3.2544677,-3.93863451358038e-05,0.10983475,-3.5227660577922
1.5,0.0007104761200105691,0.06847907,998.7726,-0.49282211020956773,-0.43950427,0.14999999,710,5000,0.001,50,-0.5085454036749265,4993863,100,-0.8963039,-0.6154814,-3.93863451358038e-05,0.08100999,-5.091092969059771
