MountainCar_std1_higher,TimestepsSoFar,AvgRet,NatGradInftyNorm,MinEpLen,StepSize,ReturnMean,ActionIn1,NatGrad2Norm,MountainCar_mu1_higher,MountainCar_mu0_higher,BatchSize,J,NumTrajectories,ReturnMax,AvgEpLen,VarJ,MountainCar_std0_higher,Iteration
1.5,2478172,-5.646119344568977,0.085395835,467,0.01,-1.374133548536453,-0.5350323,0.102223955,0.5741107,-0.80616766,100,-1.359895461902444,2500,-0.23502592011730064,991.2688,0.0016172475097551294,0.14999999,25
1.5,2575794,-3.7525644189214336,0.21373597,467,0.01,-1.3740477676031113,-2.2892838,0.22366089,0.57496464,-0.80560577,100,-1.37190324426957,2600,-0.23502592011730064,990.69,0.0017453343776121712,0.14999999,26
1.5,2675013,-10.41152561107107,0.12842903,467,0.01,-1.3760170463554524,1.6586475,0.16393362,0.5728273,-0.8049469,100,-1.427218293916317,2700,-0.23502592011730064,990.7455555555556,0.0020230783072779797,0.14999999,27
1.5,2774050,-9.945569243886549,0.07406936,467,0.01,-1.3726107999290476,-2.306353,0.077067345,0.571543,-0.8039281,100,-1.280642146416123,2800,-0.23502592011730064,990.7321428571429,0.0014951579263773212,0.14999999,28
1.5,2873398,-10.921948464923373,0.13179582,467,0.01,-1.372888685484752,0.083235025,0.1478505,0.5708023,-0.8037152,100,-1.380669481044475,2900,-0.23502592011730064,990.8268965517242,0.0015908777601528158,0.14999999,29
1.5,2973157,-12.583826792096918,0.120198905,467,0.01,-1.371717659416681,1.5400168,0.13040096,0.57212025,-0.80304515,100,-1.3377579034426188,3000,-0.23502592011730064,991.0523333333333,0.0016653098300071947,0.14999999,30
1.5,3072357,-9.208007347246841,0.062214743,467,0.01,-1.3695653074794458,-0.42800775,0.07131697,0.57332224,-0.8025395,100,-1.3049947493623915,3100,-0.23502592011730064,991.0829032258065,0.0016186716052105673,0.14999999,31
1.5,3172016,-10.40133111908203,0.20129755,467,0.01,-1.368011762019684,-0.616643,0.2057935,0.5727001,-0.8021909,100,-1.3198518527670768,3200,-0.23502592011730064,991.255,0.0016627175546267531,0.14999999,32
1.5,3271233,-9.772388290799364,0.08169589,467,0.01,-1.3679517342398644,0.8529077,0.081807554,0.57471305,-0.80176306,100,-1.3660308452856327,3300,-0.23502592011730064,991.2827272727272,0.002206271067929714,0.14999999,33
1.5,3370559,-10.658932008796363,0.28820816,467,0.01,-1.3674560654497334,-1.5714915,0.29771516,0.5747558,-0.8009461,100,-1.3510989953754082,3400,-0.23502592011730064,991.3408823529412,0.0020387734512346115,0.14999999,34
1.5,3469904,-9.08168794280609,0.038143564,467,0.01,-1.365385548473289,1.8267689,0.050125796,0.57763785,-0.80019975,100,-1.2949879712741836,3500,-0.23502592011730064,991.4011428571429,0.001735412664832955,0.14999999,35
1.5,3569478,-10.833124564422942,0.24179964,467,0.01,-1.3654777645741984,1.8322089,0.2565855,0.57731265,-0.79981834,100,-1.3687053281060153,3600,-0.23502592011730064,991.5216666666666,0.002262634423734495,0.14999999,36
1.5,3667811,-6.250557580332258,0.40107715,467,0.01,-1.3640394606217228,0.7207638,0.40366462,0.57973063,-0.7989599,100,-1.3122605183326161,3700,-0.23502592011730064,991.3002702702703,0.0017282570604496663,0.14999999,37
1.5,3767418,-11.139885799818629,0.2832811,467,0.01,-1.3624785669461497,1.3146889,0.28692156,0.57571983,-0.7985036,100,-1.3047255009499394,3800,-0.23502592011730064,991.4257894736842,0.0017606878440460968,0.14999999,38
1.5,3865995,-8.1640730794925,0.039500404,467,0.01,-1.3610213318428694,0.072351396,0.04090781,0.57855266,-0.79804796,100,-1.30564639791822,3900,-0.23502592011730064,991.2807692307692,0.001468499799664882,0.14999999,39
1.5,3965088,-9.29847469059815,0.2440681,467,0.01,-1.3598081387957188,-0.14796656,0.25082448,0.57844627,-0.79765296,100,-1.312493609956845,4000,-0.23502592011730064,991.272,0.002014056188185324,0.14999999,40
1.5,4064477,-11.001355178885236,0.08066021,467,0.01,-1.3579294173462928,-1.1819854,0.08622747,0.5760056,-0.79707474,100,-1.2827805593692465,4100,-0.23502592011730064,991.3358536585366,0.00155277496858507,0.14999999,41
1.5,4163756,-9.852336875164529,0.08451231,467,0.01,-1.3581193723371656,0.5177299,0.1160097,0.5768122,-0.7967699,100,-1.365907526962955,4200,-0.23502592011730064,991.3704761904762,0.002020109455526066,0.14999999,42
1.5,4262637,-7.883716633264332,0.29282954,467,0.01,-1.3584390271733178,-0.05513853,0.3044606,0.5759671,-0.7959752,100,-1.3718645302917065,4300,-0.23502592011730064,991.3109302325581,0.0019288201946428762,0.14999999,43
1.5,4362241,-10.721021264339297,0.027354615,467,0.01,-1.3560971141431446,2.315491,0.0345983,0.5788954,-0.7951417,100,-1.2553948538456992,4400,-0.23502592011730064,991.4184090909091,0.00170480939916921,0.14999999,44
1.5,4461157,-8.49196707907998,0.4426821,467,0.01,-1.3557124680515884,0.5242952,0.44765255,0.57868356,-0.7948682,100,-1.338788040023121,4500,-0.23502592011730064,991.3682222222222,0.0017757115997370737,0.14999999,45
1.5,4560242,-11.103217449716334,0.30521563,467,0.01,-1.3546020137486599,-0.28144962,0.30890986,0.5831104,-0.7942029,100,-1.3046315701168745,4600,-0.23502592011730064,991.3569565217391,0.0015668688856654222,0.14999999,46
1.5,4659264,-6.277963010894268,0.1737763,467,0.01,-1.3535471979098381,-2.5142543,0.18152124,0.58616257,-0.7937266,100,-1.3050256693240398,4700,-0.23502592011730064,991.3327659574468,0.0018381010130736775,0.14999999,47
1.5,4758314,-6.849975626900523,0.23128986,467,0.01,-1.3517300570647974,-0.6012682,0.23580216,0.58790034,-0.79320204,100,-1.2663244373478764,4800,-0.23502592011730064,991.3154166666667,0.002087755668724795,0.14999999,48
1.5,4857338,-9.64401908614047,0.15921304,467,0.01,-1.3516755574252102,1.0816268,0.176063,0.58558744,-0.79274297,100,-1.3490595747250305,4900,-0.23502592011730064,991.2934693877551,0.0017773924992171128,0.14999999,49
1.5,4956903,-10.920357245266993,0.07662286,467,0.01,-1.352143031109435,-1.28578,0.08763739,0.5871796,-0.79199135,100,-1.3750492416364435,5000,-0.23502592011730064,991.3806,0.001425719548456451,0.14999999,50
