MountainCar_std1_higher,Iteration,AvgRet,ReturnMean,BatchSize,NumTrajectories,ActionIn1,StepSize,MountainCar_mu0_higher,NatGradInftyNorm,TimestepsSoFar,MountainCar_std0_higher,J,VarJ,NatGrad2Norm,MountainCar_mu1_higher,AvgEpLen,ReturnMax,MinEpLen
1.5,16,-5.843656011789633,-1.3874806307474745,100,1600,-1.2537377,0.0001,-0.8205145,0.06379582,1587359,0.14999999,-1.370598451131258,0.0016834148797318482,0.07871012,0.57151574,992.099375,-0.23502592011730064,467
1.5,17,-7.8553244611830175,-1.3922082366126332,100,1700,0.51908547,0.0001,-0.8205099,0.14221215,1686018,0.14999999,-1.4678499304551706,0.002104661763840196,0.17483547,0.57150936,991.775294117647,-0.23502592011730064,467
1.5,18,-9.4505385886622,-1.3940748799873068,100,1800,0.30957335,0.0001,-0.8204997,0.1439691,1785018,0.14999999,-1.4258078173567583,0.0022300805144901854,0.16549642,0.5714951,991.6766666666666,-0.23502592011730064,467
1.5,19,-10.374591851268168,-1.3957166872895466,100,1900,-2.5834548,0.0001,-0.82049155,0.13850616,1884166,0.14999999,-1.425269218729869,0.002256385347312039,0.16215628,0.57150954,991.6663157894736,-0.23502592011730064,467
1.5,20,-11.873087733397728,-1.3948084348475955,100,2000,-0.60314125,0.0001,-0.82048315,0.26698008,1983823,0.14999999,-1.3775516384505209,0.0016503241882984269,0.27103096,0.5714957,991.9115,-0.23502592011730064,467
1.5,21,-8.993334549444702,-1.3941551503980611,100,2100,-1.3619602,0.0001,-0.8204785,0.061233606,2083058,0.14999999,-1.381089461407368,0.002222868436527497,0.07882762,0.5715224,991.932380952381,-0.23502592011730064,467
1.5,22,-9.914483436755413,-1.3933252678327845,100,2200,-1.8310614,0.0001,-0.82047236,0.26631206,2182438,0.14999999,-1.3758977339619818,0.0018498977377755454,0.27120644,0.57151747,992.0172727272727,-0.23502592011730064,467
1.5,23,-8.449686022098318,-1.3951618289843062,100,2300,-0.9377945,0.0001,-0.82046723,0.14207096,2281221,0.14999999,-1.4355661743177806,0.002553143615915227,0.17261393,0.5715441,991.8352173913044,-0.23502592011730064,467
1.5,24,-6.643848949457879,-1.3933237671656957,100,2400,1.2817974,0.0001,-0.82045746,0.033008028,2379914,0.14999999,-1.3510483453376594,0.0016276818505247862,0.035951592,0.5715299,991.6308333333334,-0.23502592011730064,467
1.5,25,-6.062596293993615,-1.393632083377632,100,2500,-0.5518981,0.0001,-0.8204542,0.08799984,2477986,0.14999999,-1.4010316724640979,0.0016548948980032964,0.104759865,0.57153136,991.1944,-0.23502592011730064,467
1.5,26,-5.189187123795859,-1.3944477121274237,100,2600,-2.307551,0.0001,-0.8204485,0.21970165,2575657,0.14999999,-1.414838430872216,0.001785779990758966,0.22962034,0.5715402,990.6373076923077,-0.23502592011730064,467
1.5,27,-10.870141834246228,-1.397331180674134,100,2700,1.6418436,0.0001,-0.82044184,0.13182713,2674870,0.14999999,-1.472301362888609,0.0020712529853507853,0.16776693,0.5715182,990.6925925925926,-0.23502592011730064,467
1.5,28,-10.405089968255725,-1.394818650599217,100,2800,-2.3228943,0.0001,-0.8204315,0.07740707,2773818,0.14999999,-1.3269803385764554,0.0015371505729737738,0.080177754,0.571505,990.6492857142857,-0.23502592011730064,467
1.5,29,-11.415859424291728,-1.3960017080869567,100,2900,0.06721586,0.0001,-0.8204294,0.1345917,2873167,0.14999999,-1.42912731774367,0.0016310013082667506,0.1508542,0.57149726,990.7472413793104,-0.23502592011730064,467
1.5,30,-13.092571854611696,-1.3957140084367359,100,3000,1.5220299,0.0001,-0.8204226,0.12567857,2972927,0.14999999,-1.3873707185803315,0.001711460855648188,0.13567574,0.57151073,990.9756666666667,-0.23502592011730064,467
1.5,31,-9.72732928577818,-1.3944260328462232,100,3100,-0.44768462,0.0001,-0.82041746,0.064667545,3072126,0.14999999,-1.3557867651308384,0.0016613828333434102,0.0734193,0.5715233,991.0083870967742,-0.23502592011730064,467
1.5,32,-10.89430540339969,-1.3937115029666052,100,3200,-0.63604933,0.0001,-0.820414,0.21062942,3171702,0.14999999,-1.3715610766984414,0.0017079959538827962,0.21497788,0.5715169,991.156875,-0.23502592011730064,467
1.5,33,-10.316121228835996,-1.3944913944956578,100,3300,0.83108604,0.0001,-0.8204097,0.08303393,3270923,0.14999999,-1.4194479234253419,0.0022720974193458894,0.08309372,0.5715379,991.1887878787879,-0.23502592011730064,467
1.5,34,-11.216035641575314,-1.3948500299981703,100,3400,-1.5941644,0.0001,-0.82040143,0.29963967,3370243,0.14999999,-1.4066850015810821,0.0021026863667989878,0.30911466,0.5715382,991.2479411764706,-0.23502592011730064,467
1.5,35,-9.66377211164911,-1.3936270923377247,100,3500,1.8005052,0.0001,-0.82039386,0.038087644,3469591,0.14999999,-1.352047211882584,0.001789084659963034,0.050910685,0.5715682,991.3117142857143,-0.23502592011730064,467
1.5,36,-11.413739738110491,-1.3945704320296595,100,3600,1.8058891,0.0001,-0.82039005,0.24986134,3569080,0.14999999,-1.427587321247377,0.0023339394585849458,0.264718,0.5715648,991.4111111111112,-0.23502592011730064,467
1.5,37,-5.859674569513869,-1.3939938120108097,100,3700,0.69120157,0.0001,-0.8203813,0.4180178,3667379,0.14999999,-1.3732354913322138,0.001786235554334736,0.42054054,0.57158977,991.1835135135135,-0.23502592011730064,467
1.5,38,-11.76581931078985,-1.3932724669263699,100,3800,1.2886441,0.0001,-0.8203767,0.2960631,3766985,0.14999999,-1.3665826988020964,0.0018238782107040824,0.2995924,0.571548,991.3118421052632,-0.23502592011730064,467
1.5,39,-8.806779418469132,-1.3926551998273902,100,3900,0.043052197,0.0001,-0.8203721,0.039843354,3865564,0.14999999,-1.3691990500661595,0.001521669737686572,0.042051017,0.5715776,991.1702564102565,-0.23502592011730064,467
1.5,40,-9.9544116759843,-1.3922614045187154,100,4000,-0.17755175,0.0001,-0.8203681,0.25745168,3964655,0.14999999,-1.3769033874804026,0.0020807397496323417,0.26398814,0.57157624,991.16375,-0.23502592011730064,467
1.5,41,-11.675710139391756,-1.3912011934371673,100,4100,-1.209728,0.0001,-0.82036227,0.08426399,4064044,0.14999999,-1.3487927501752401,0.0016144024232166237,0.08955317,0.5715505,991.230243902439,-0.23502592011730064,467
1.5,42,-10.554041508831403,-1.3922219459085354,100,4200,0.48888725,0.0001,-0.82035923,0.08790918,4163329,0.14999999,-1.4340727972346332,0.002095285873217503,0.1197264,0.5715589,991.2688095238095,-0.23502592011730064,467
1.5,43,-7.603770025885279,-1.3933854968997,100,4300,-0.08393139,0.0001,-0.8203511,0.3077685,4262189,0.14999999,-1.4422546385286088,0.002001994479803748,0.3194199,0.57155013,991.2067441860465,-0.23502592011730064,467
1.5,44,-10.37653175868453,-1.39183712765928,100,4400,2.2829757,0.0001,-0.8203426,0.026721371,4361619,0.14999999,-1.3252572503212212,0.001772349967151588,0.033843514,0.5715809,991.2770454545455,-0.23502592011730064,467
1.5,45,-9.229727492265788,-1.3922801133312974,100,4500,0.49171883,0.0001,-0.8203399,0.46444818,4460544,0.14999999,-1.411771482900063,0.0018420275240349526,0.46939787,0.5715788,991.232,-0.23502592011730064,467
1.5,46,-11.84386111886244,-1.3919887303117955,100,4600,-0.31906497,0.0001,-0.8203331,0.32158664,4559629,0.14999999,-1.378876494434213,0.001628404069279342,0.32519394,0.57162523,991.2236956521739,-0.23502592011730064,467
1.5,47,-7.033095497782585,-1.3917437724581518,100,4700,-2.5553613,0.0001,-0.8203283,0.18007262,4658562,0.14999999,-1.3804757111905375,0.0019182145583212524,0.18775688,0.5716574,991.1834042553191,-0.23502592011730064,467
1.5,48,-7.5824159628431,-1.3907101482152944,100,4800,-0.64461404,0.0001,-0.820323,0.24964778,4757519,0.14999999,-1.342129808801007,0.002175752006395564,0.25381708,0.5716754,991.1497916666667,-0.23502592011730064,467
1.5,49,-10.422834788434107,-1.3914722180388803,100,4900,1.0401144,0.0001,-0.8203184,0.1647975,4856519,0.14999999,-1.4280515695710028,0.0018540609955716584,0.18200521,0.57165045,991.1263265306122,-0.23502592011730064,467
1.5,50,-11.746149855578386,-1.3927844238354141,100,5000,-1.329612,0.0001,-0.82031065,0.0793474,4956082,0.14999999,-1.4570825078655594,0.0014873269239160936,0.09061175,0.5716669,991.2164,-0.23502592011730064,467
