ReturnMax,AvgEpLen,MinEpLen,AvgRet,MountainCar_std0_higher,StepSize,J,MountainCar_mu1_higher,MountainCar_mu0_higher,ActionIn1,NatGrad2Norm,Iteration,NatGradInftyNorm,ReturnMean,BatchSize,NumTrajectories,VarJ,TimestepsSoFar,MountainCar_std1_higher
-4.603815213735739e-06,999.0,999,-0.8409740107404686,0.14999999,0.01,-0.0833178729882494,-0.9990734,0.050849337,-0.12263511,0.019347508,11,0.014287148,-0.07777019519794129,100,1100,0.00012786542836881637,1098900,1.5
-4.603815213735739e-06,999.0,999,-0.6740121535360699,0.14999999,0.01,-0.06732215518451806,-0.99920386,0.050706465,-1.0855192,0.0062309573,12,0.0059580454,-0.07689952519682268,100,1200,0.00012137789756957137,1198800,1.5
-4.603815213735739e-06,999.0,999,-0.8143620021390835,0.14999999,0.01,-0.08073591163614897,-0.9992221,0.050646883,-2.536101,0.04166671,13,0.039555535,-0.07719463184600163,100,1300,0.00012452894909842653,1298700,1.5
-4.603815213735739e-06,998.92,887,0.278573003149877,0.14999999,0.01,-0.07087392691394845,-0.99961764,0.050515935,-2.87022,0.01877696,14,0.017972136,-0.07674315292228355,100,1400,8.605054379515538e-05,1398488,1.5
-4.603815213735739e-06,998.9253333333334,887,-0.9118760404787956,0.14999999,0.01,-0.09053560910573279,-0.99979734,0.05046155,-5.125955,0.018432815,15,0.017339993,-0.07766265000118015,100,1500,0.0001864059992065524,1498388,1.5
-4.603815213735739e-06,998.93,887,-0.6298360216463688,0.14999999,0.01,-0.06235994479101973,-0.9997348,0.05028815,-1.324449,0.029395454,16,0.02874093,-0.07670623092554513,100,1600,6.35615311454883e-05,1598288,1.5
-4.603815213735739e-06,998.9341176470588,887,-0.895687535598353,0.14999999,0.01,-0.08840524572263432,-1.0000222,0.05022646,0.7026821,0.016277295,17,0.013891159,-0.07739440826655038,100,1700,0.00014968402999313157,1698188,1.5
0.00966625961854578,998.8233333333334,793,0.26217576707269585,0.14999999,0.01,-0.07277950580714414,-0.99993736,0.05008755,-1.0360293,0.013698837,18,0.012988002,-0.07713802479658337,100,1800,9.738529855181649e-05,1797882,1.5
0.00966625961854578,998.8326315789474,793,-0.8066280398024991,0.14999999,0.01,-0.08040605268065835,-1.0000672,0.050043993,-0.44900042,0.030842198,19,0.02801055,-0.07731002626416626,100,1900,0.00017006010454218424,1897782,1.5
0.00966625961854578,998.841,793,-0.6249847861204878,0.14999999,0.01,-0.06236527505066037,-1.0003474,0.0499149,1.8751773,0.017367912,20,0.016360633,-0.07656278870349097,100,2000,6.630498599182696e-05,1997682,1.5
0.00966625961854578,998.8485714285714,793,-0.6965553831148321,0.14999999,0.01,-0.06907961571782328,-1.0001838,0.049856614,-3.9796948,0.006765632,21,0.006720578,-0.07620644713274488,100,2100,8.56336970726132e-05,2097582,1.5
0.00966625961854578,998.8554545454546,793,-0.6978438922412693,0.14999999,0.01,-0.06948022714973465,-1.000251,0.04984882,0.0020541698,0.008624905,22,0.0064235684,-0.07590070986078987,100,2200,0.00010922376282432447,2197482,1.5
0.00966625961854578,998.8617391304348,793,-0.7607662141193124,0.14999999,0.01,-0.07591926113286035,-1.0001935,0.049784586,1.8870326,0.011084906,23,0.009469659,-0.07590151643783642,100,2300,8.895427894725078e-05,2297382,1.5
0.00966625961854578,998.8675,793,-0.6957863093380781,0.14999999,0.01,-0.06931243503903314,-1.0002881,0.049726967,0.1952928,0.028672643,24,0.027683845,-0.07562697137955295,100,2400,0.00013723881470628803,2397282,1.5
0.00966625961854578,998.8728,793,-0.7879739154036622,0.14999999,0.01,-0.07794979545455379,-1.0005649,0.049652316,-1.1186383,0.025745695,25,0.02334235,-0.075719884342553,100,2500,0.0001210221646381994,2497182,1.5
0.00966625961854578,998.8776923076923,793,-0.6270964724095819,0.14999999,0.01,-0.061803978670715416,-1.0007983,0.049543697,-1.516918,0.015769668,26,0.014916749,-0.07518465720132847,100,2600,6.644017020278946e-05,2597082,1.5
0.00966625961854578,998.8822222222223,793,-0.6948483634043326,0.14999999,0.01,-0.06825295290612844,-1.0009475,0.049492538,-0.68061125,0.02204563,27,0.021358497,-0.07492792741261735,100,2700,6.418387985045658e-05,2696982,1.5
0.00966625961854578,998.8864285714286,793,-0.691386175743506,0.14999999,0.01,-0.06858108224620807,-1.0007339,0.049437925,0.672283,0.011653397,28,0.010186945,-0.07470125437095987,100,2800,7.362696589243238e-05,2796882,1.5
0.00966625961854578,998.8903448275862,793,-0.7839805526841535,0.14999999,0.01,-0.07641799965436834,-1.0006319,0.04938133,-0.9402226,0.07048931,29,0.06982195,-0.07476045248418085,100,2900,0.00012259677548199602,2896782,1.5
0.00966625961854578,998.894,793,-0.751313093801594,0.14999999,0.01,-0.07264661690794835,-1.0013301,0.049284562,-0.14548267,0.02433888,30,0.021290712,-0.07468999129830643,100,3000,0.00012127697944843223,2996682,1.5
0.00966625961854578,998.8974193548387,793,-0.6554428942462356,0.14999999,0.01,-0.06519987649539455,-1.001543,0.049166627,-2.896443,0.00890142,31,0.006601274,-0.07438385856272864,100,3100,9.869428609083649e-05,3096582,1.5
0.00966625961854578,998.900625,793,-0.8844875642826381,0.14999999,0.01,-0.08726618244579132,-1.0016028,0.049100615,-1.5917275,0.017980969,32,0.017643388,-0.07478643118407435,100,3200,0.0002033720612228028,3196482,1.5
0.00966625961854578,998.9036363636363,793,-0.7061284533906733,0.14999999,0.01,-0.07033921855763277,-1.0016375,0.04892418,1.1324853,0.006269743,33,0.004945046,-0.07465166716509128,100,3300,8.2658521369464e-05,3296382,1.5
0.00966625961854578,998.9064705882353,793,-0.7908332941760261,0.14999999,0.01,-0.07855604781335723,-1.001599,0.048874732,1.4799404,0.020533927,34,0.015007974,-0.07476650189004026,100,3400,0.00016953011515445006,3396282,1.5
0.00966625961854578,998.9091428571429,793,-0.7820413804032372,0.14999999,0.01,-0.07750797057265844,-1.0017391,0.04872465,-3.1302323,0.014211757,35,0.014211714,-0.0748448295666865,100,3500,0.00026105965137372233,3496182,1.5
0.00966625961854578,998.9116666666666,793,-0.6289727898112614,0.14999999,0.01,-0.061906193129495524,-1.0017395,0.048582535,0.32549477,0.036470477,36,0.035923388,-0.07448542299898675,100,3600,7.896855509528421e-05,3596082,1.5
0.00966625961854578,998.9140540540541,793,-0.6898388476893789,0.14999999,0.01,-0.06823623149621832,-1.0020987,0.048519604,-3.682631,0.013371535,37,0.009856545,-0.07431652593134436,100,3700,0.00010378099488157157,3695982,1.5
0.00966625961854578,998.9163157894736,793,-0.8402953428845705,0.14999999,0.01,-0.08370814104548492,-1.0021973,0.048429247,-0.22652268,0.018226696,38,0.013081022,-0.07456367369750595,100,3800,0.00030201666775642297,3795882,1.5
0.00966625961854578,998.9184615384615,793,-0.7533803284338745,0.14999999,0.01,-0.07502517132256191,-1.0023242,0.048298437,-0.90006655,0.03375014,39,0.03300788,-0.07457550696994328,100,3900,0.00011887891820950597,3895782,1.5
0.00966625961854578,998.9205,793,-0.8592004530583892,0.14999999,0.01,-0.08506638184843697,-1.0019941,0.048228044,1.4505755,0.034282878,40,0.030590149,-0.07483777884190562,100,4000,0.00019307978912266595,3995682,1.5
0.00966625961854578,998.9224390243902,793,-1.1814314227743195,0.14999999,0.01,-0.11429096078476973,-1.0016882,0.048073266,-2.258988,0.0826572,41,0.07873373,-0.07580005157221939,100,4100,0.00027802898573226197,4095582,1.5
0.00966625961854578,998.9242857142857,793,-0.7762953430734484,0.14999999,0.01,-0.07683492241498362,-1.0024756,0.04782163,-1.2213029,0.009579281,42,0.008286858,-0.07582469135418998,100,4200,0.00012137361390214675,4195482,1.5
0.00966625961854578,998.9260465116279,793,-0.7994336838931363,0.14999999,0.01,-0.07922952075615036,-1.0025237,0.04773876,-3.1652973,0.018088827,43,0.012958509,-0.07590387343330532,100,4300,0.0001589776218011385,4295382,1.5
0.00966625961854578,998.9277272727272,793,-0.8044941560682177,0.14999999,0.01,-0.07987562645233033,-1.0026499,0.047609176,1.5426515,0.012337349,44,0.011684286,-0.07599414054737408,100,4400,0.00014165571450750237,4395282,1.5
0.00966625961854578,998.9293333333334,793,-0.5913952669027712,0.14999999,0.01,-0.0589541710062567,-1.0026103,0.047492333,-1.8686886,0.024302734,45,0.023185696,-0.07561547455757146,100,4500,9.527497963592935e-05,4495182,1.5
0.00966625961854578,998.9308695652173,793,-0.7407917857780545,0.14999999,0.01,-0.07388784138217475,-1.0023785,0.0474195,-1.0291365,0.022959152,46,0.022787249,-0.07557791731462805,100,4600,0.0001493349159216283,4595082,1.5
0.00966625961854578,998.932340425532,793,-0.9676019384641923,0.14999999,0.01,-0.0967548066985366,-1.0026064,0.047391456,0.10053353,0.01300623,47,0.0121842865,-0.0760284894291793,100,4700,0.00018970968476640892,4694982,1.5
0.00966625961854578,998.8872916666667,776,0.20218630604558438,0.14999999,0.01,-0.07873026566270068,-1.0025609,0.047269613,-3.3354402,0.039230797,48,0.03754085,-0.07608477643404433,100,4800,0.00019901973782358585,4794659,1.5
0.00966625961854578,998.8895918367347,776,-0.6217051190776248,0.14999999,0.01,-0.061903876491828866,-1.0021855,0.047155708,1.0408845,0.0131284995,49,0.010747052,-0.07579537031277464,100,4900,7.354184909163373e-05,4894559,1.5
0.00966625961854578,998.8918,776,-0.8854647536051239,0.14999999,0.01,-0.08772151725889882,-1.002293,0.047080304,-0.95114815,0.0322572,50,0.03205576,-0.07603389325169711,100,5000,0.00014290530645026146,4994459,1.5
