,Iteration,LQGmu01,TimestepsSoFar,Bound,ReturnLastEpisode,TimeElapsed,DenMISELogLast,LQGsigma,IWMax,IWFirstEpisode,SqrtESSClassic,LQGmu1,ReturnMax,IWNorm2,MISE,IWMin,DenMISELogFirst,ReturnMean,IWMean,URet,ReturnMin,IWNorm1,DenMISEMeanLog,ReturnStepMax,IWLastEpisode,target_sum_log_mean,ReturnAbsMax
11,12,1.0,240,8.256675999999999,8.538658,4.615001678466797,15.882651999999998,0.11,1.090909,,3.1622777,1.0,15.807039999999999,3.449757,7.754295,,11.026595,9.142719,0.9090908000000001,9.379479220727518,,10.909089999999999,12.452988000000001,0.99233466,1.090909,-81.97691,15.807039999999999
12,13,1.0,260,8.297447,8.524119,4.8132286071777335,19.234545,0.11,1.0833335,,3.3166248999999994,1.0,15.807039999999999,3.5930092000000005,7.8184457,,10.946552,9.095135,0.91666645,9.360806005529788,,11.916664,12.967692,0.99233466,1.0833324,-74.18526,15.807039999999999
13,14,1.0,280,8.327204,8.470346000000001,4.985755920410156,16.402418,0.11,1.0769233,,3.4641016000000002,1.0,15.807039999999999,3.7305714999999995,7.8685946,,10.872444,9.050507000000001,0.92307705,9.301084130393486,,12.923079,13.207106,0.99233466,1.0769233,-67.70942,15.807039999999999
14,15,1.0,300,8.356029,8.524075999999999,5.2108681201934814,6.4731793,0.11,1.0714288,,3.6055512000000003,1.0,15.807039999999999,3.8630898,7.915412,,10.803452,9.015411,0.92857116,9.356480528754362,,13.928567999999999,12.753071,0.99233466,1.0714288,-62.759319999999995,15.807039999999999
15,16,1.0,320,8.381692,8.540718,5.370652675628662,16.510809,0.11,1.0666671,,3.7416577000000006,1.0,15.807039999999999,3.9911022000000003,7.957103,,10.738913,8.985743,0.93333364,9.37736215181045,,14.933338000000001,12.98348,0.99233466,1.0666671,-57.8009,15.807039999999999
16,17,1.0,340,8.4036455,8.538686,5.5000200271606445,15.719211999999999,0.11,1.0625004999999998,,3.8729837,1.0,15.807039999999999,4.1150459999999995,7.993453,,10.6782875,8.959446,0.93750036,9.376705631716883,,15.937505999999999,13.140497,0.99233466,1.0625004999999998,-53.472626,15.807039999999999
17,18,1.0,360,8.422924,8.542669,5.659209966659546,17.729765,0.11,1.0588245,,4.0000005,1.0,15.807039999999999,4.235294000000001,8.025757,,10.62113,8.936291,0.94117653,9.384558070745626,,16.941177,13.391994,0.99233466,1.0588226,-49.51376,15.807039999999999
18,19,1.0,380,8.439029,8.529069999999999,5.927922248840332,14.027704,0.11,1.0555558999999999,,4.123106,1.0,15.807039999999999,4.352168,8.05372,,10.567062,8.914859,0.9444448000000001,9.364743809008043,,17.94445,13.422364000000002,0.99233466,1.0555558999999999,-46.166626,15.807039999999999
19,20,1.0,400,8.453874,8.542089,6.170487403869629,16.028444,0.11,1.0526327,,4.242641000000001,1.0,15.807039999999999,4.465936699999999,8.079421,,10.515769,8.89622,0.94736826,9.381070278028718,,18.947364999999998,13.549895999999999,0.99233466,1.0526307,-43.05431,15.807039999999999
20,21,1.0,420,8.46541,8.509901,6.483211994171143,17.358027,0.11,1.0500003,,4.3588986,1.0,15.807039999999999,4.5768433,8.1009445,,10.466978999999998,8.877824,0.94999987,9.348091654525565,,19.949997,13.728735,0.99233466,1.0499998,-40.175205,15.807039999999999
21,22,1.0,440,8.476998,8.538034,6.769248008728027,15.280323000000001,0.11,1.0476192,,4.472136,1.0,15.807039999999999,4.685096,8.121761,,10.420459,8.862378999999999,0.95238113,9.375719891836804,,20.952385,13.796992999999999,0.99233466,1.0476192,-37.652386,15.807039999999999
22,23,1.0,460,8.487667,8.544834,7.025404930114746,14.359319000000001,0.11,1.0454555,,4.582575299999999,1.0,15.807039999999999,4.790875,8.140991,,10.376007000000001,8.848573,0.9545455,9.382886654201428,,21.954546,13.819376,0.99233466,1.0454545,-35.389072,15.807039999999999
23,24,1.0,480,8.495851,8.512551,7.2427008152008066,19.366575,0.11,1.0434793,,4.690416,1.0,15.807039999999999,4.894346700000001,8.1571455,,10.333447,8.834572,0.95652175,9.34760561356085,,22.956522,14.048617000000002,0.99233466,1.0434793,-33.105816,15.807039999999999
24,25,1.0,500,8.502279,8.490112,7.475858211517334,13.546857999999999,0.11,1.0416676999999999,,4.795832,1.0,15.807039999999999,4.995658000000001,8.17102,,10.292625,8.820793,0.95833343,9.320376335336157,,23.958336,14.026812,0.99233466,1.0416667,-31.238075,15.807039999999999
25,26,1.0,520,8.510032,8.539197,7.865608930587768,19.640852,0.11,1.0400001,,4.8989797,1.0,15.807039999999999,5.094939,8.185746,,10.253405,8.809963,0.9600001,9.380775458959569,,24.960003,14.241135,0.99233466,1.0400001,-29.279684000000003,15.807039999999999
26,27,1.0,540,8.516517,8.524643,8.300780057907103,16.10458,0.11,1.0384619000000002,,5.0,1.0,15.807039999999999,5.192309,8.198783,,10.215665,8.799396,0.9615386999999999,9.365661980522473,,25.961544,14.308672,0.99233466,1.0384619000000002,-27.59739,15.807039999999999
27,28,1.0,560,8.521021000000001,8.487088,8.660270929336548,15.220777499999999,0.11,1.0370378,,5.0990195,1.0,15.807039999999999,5.287871400000001,8.209457,,10.1792965,8.788241000000001,0.9629628,9.323470184373562,,26.96296,14.339875,0.99233466,1.0370368,-26.06687,15.807039999999999
28,29,1.0,580,8.524972,8.483118,8.935034990310667,9.000592999999999,0.11,1.0357144,,5.196152,1.0,15.807039999999999,5.38173,8.219233000000001,,10.144205,8.7777195,0.9642858,9.31608755556689,,27.964289,14.154487,0.99233466,1.0357144,-24.85644,15.807039999999999
29,30,1.0,600,8.530255,8.532307000000001,9.296876907348633,16.469463,0.11,1.0344834,,5.2915025,1.0,15.807039999999999,5.473967,8.230025,,10.110304,8.76954,0.96551704,9.373132889874997,,28.965511,14.230463,0.99233466,1.0344824000000001,-23.47778,15.807039999999999
30,31,1.0,620,8.533242,8.476275999999999,9.536264896392822,5.608235,0.11,1.0333347,,5.385164700000001,1.0,15.807039999999999,5.564669599999999,8.2382345,,10.077514,8.760079,0.9666665999999999,9.30904521639176,,29.966663,13.951215,0.99233466,1.0333332,-22.538462,15.807039999999999
31,32,1.0,640,8.538829,8.565071000000001,9.9212007522583,17.467922,0.11,1.0322591,,5.4772253,1.0,15.807039999999999,5.65391,8.248778999999999,,10.045766,8.753985,0.96774185,9.403708882854401,,30.967740000000003,14.060070999999999,0.99233466,1.0322591,-21.28727,15.807039999999999
32,33,1.0,660,8.541627,8.48932,10.263601541519163,9.802175,0.11,1.0312506,,5.5677642999999994,1.0,15.807039999999999,5.7417555,8.256294,,10.014994,8.745965,0.96874976,9.319472940863065,,31.968742,13.930067999999999,0.99233466,1.0312496,-20.344234,15.807039999999999
33,34,1.0,680,8.545113,8.519513,10.553658962249756,17.735428,0.11,1.030304,,5.656854599999999,1.0,15.807039999999999,5.8282742999999995,8.264274,,9.985141,8.739305,0.96969706,9.356596991702737,,32.9697,14.041070999999999,0.99233466,1.030304,-19.223368,15.807039999999999
34,35,1.0,700,8.547863000000001,8.503587,10.816871881484985,14.139793,0.11,1.0294121999999999,,5.744562999999999,1.0,15.807039999999999,5.913521299999999,8.271312,,9.956153,8.732569999999999,0.97058845,9.341300393167133,,33.970596,14.043026000000001,0.99233466,1.0294121999999999,-18.269306,15.807039999999999
35,36,1.0,720,8.551606,8.545694000000001,11.114859342575073,13.599097,0.11,1.0285720999999999,,5.830952,1.0,15.807039999999999,5.9975510000000005,8.279152,,9.927982,8.72738,0.97142863,9.386840195184648,,34.97143,14.029879000000001,0.99233466,1.0285711,-17.383291,15.807039999999999
36,37,1.0,740,8.552788,8.462833,11.650661945343018,8.049182,0.11,1.0277779,,5.9160794999999995,1.0,15.807039999999999,6.0804160000000005,8.284253999999999,,9.900583000000001,8.72023,0.9722223,9.296898599416485,,35.972225,13.867466,0.99233466,1.0277779,-16.695185000000002,15.807039999999999
37,38,1.0,760,8.556376,8.555984500000001,12.146882772445679,13.698181,0.11,1.0270274,,6.0,1.0,15.807039999999999,6.162163,8.291598,,9.873916,8.715907000000001,0.97297305,9.397553280039904,,36.972977,13.862282,0.99233466,1.0270274,-15.894657999999998,15.807039999999999
38,39,1.0,780,8.559566,8.549733,12.559250831604006,16.157989999999998,0.11,1.0263165,,6.0827622,1.0,15.807039999999999,6.2428360000000005,8.29839,,9.8479395,8.711646,0.97368425,9.389780464187712,,37.973686,13.920454000000001,0.99233466,1.0263145,-15.072129,15.807039999999999
39,40,1.0,800,8.562863,8.561886,12.966761589050293,16.405262,0.11,1.0256413,,6.164414,1.0,15.807039999999999,6.3224764,8.305147,,9.822622,8.707902,0.97435904,9.40263232620272,,38.97436,13.981914999999999,0.99233466,1.0256413,-14.284560999999998,15.807039999999999
40,41,1.0,820,8.5636425,8.469389,13.388354063034058,13.790989000000001,0.11,1.0250009,,6.244998000000001,1.0,15.807039999999999,6.4011226,8.309252,,9.797930000000001,8.702085,0.97499996,9.302032869204423,,39.975,13.976633999999999,0.99233466,1.025,-13.59919,15.807039999999999
41,42,1.0,840,8.566073,8.540152,13.807657480239868,9.357688000000001,0.11,1.024391,,6.324555999999999,1.0,15.807039999999999,6.4788120000000005,8.314883,,9.773831,8.698229,0.9756097,9.382904138090698,,40.975609999999996,13.866063,0.99233466,1.0243901,-13.052024000000001,15.807039999999999
42,43,1.0,860,8.56777,8.515492,14.372268438339233,13.965587,0.11,1.02381,,6.403124,1.0,15.807039999999999,6.555581599999999,8.319662,,9.750301,8.693978999999999,0.9761907,9.354299643133466,,41.9762,13.867811999999999,0.99233466,1.0238091,-12.423160000000001,15.807039999999999
43,44,1.0,880,8.569874,8.538002,14.72196888923645,14.493016,0.11,1.0232565,,6.4807405,1.0,15.807039999999999,6.631455,8.324738,,9.727312,8.690434,0.97674406,9.375690697683655,,42.976738,13.881479,0.99233466,1.0232556000000002,-11.810906,15.807039999999999
44,45,1.0,900,8.572148,8.550980000000001,15.019976615905762,13.898646,0.11,1.0227287,,6.5574384000000006,1.0,15.807039999999999,6.7064699999999995,8.329879,,9.704839,8.687335000000001,0.97727257,9.38984497337242,,43.977264,13.881345000000001,0.99233466,1.0227268,-11.239083,15.807039999999999
45,46,1.0,920,8.574667999999999,8.56782,15.554105043411255,20.296229999999998,0.11,1.0222235999999998,,6.633249799999999,1.0,15.807039999999999,6.780654400000001,8.335167,,9.68286,8.684737,0.9777777,9.409329969481332,,44.977776,14.020304999999999,0.99233466,1.0222216999999998,-10.553054,15.807039999999999
46,47,1.0,940,8.575830999999999,8.511736,16.15710759162903,14.267467499999999,0.11,1.0217402,,6.708203999999999,1.0,15.807039999999999,6.8540344,8.339006,,9.661354,8.681056,0.9782609,9.34769104568057,,45.97826,14.025092,0.99233466,1.0217392,-10.024500999999999,15.807039999999999
47,48,1.0,960,8.576734,8.503142,16.708439350128177,15.874376000000002,0.11,1.0212774,,6.7823305,1.0,15.807039999999999,6.926634299999999,8.342497999999999,,9.640301,8.67735,0.97872335,9.339450443722802,,46.97872,14.063165,0.99233466,1.0212765,-9.484503,15.807039999999999
48,49,1.0,980,8.578969,8.570041999999999,17.36423087120056,18.673060999999997,0.11,1.0208344,,6.8556550000000005,1.0,15.807039999999999,6.9984803,8.347239,,9.619681,8.675158999999999,0.9791667,9.41429933385783,,47.979168,14.156811,0.99233466,1.0208324,-8.909436999999999,15.807039999999999
49,50,1.0,1000,8.579985,8.515929,18.09043335914612,17.181116,0.11,1.0204091,,6.9282026,1.0,15.807039999999999,7.069594400000001,8.35068,,9.599478999999999,8.671975,0.97959167,9.356211584451136,,48.979584,14.216879999999998,0.99233466,1.020408,-8.387221,15.807039999999999
50,51,1.0,1020,8.581493,8.543688000000001,18.77394676208496,19.061922,0.11,1.0200014000000002,,6.9999994999999995,1.0,15.807039999999999,7.14,8.354541000000001,,9.579676,8.66946,0.9799999,9.385754874010336,,49.979996,14.3114805,0.99233466,1.0199995000000002,-7.848616000000001,15.807039999999999
51,52,1.0,1040,8.582374,8.515779,19.441473245620728,17.672237,0.11,1.0196085,,7.0710683,1.0,15.807039999999999,7.209715400000001,8.357702,,9.560258000000001,8.666505,0.9803921,9.353142193709877,,50.98039,14.375727,0.99233466,1.0196085,-7.357457000000001,15.807039999999999
52,53,1.0,1060,8.583986999999999,8.556675,20.16937804222107,17.676119,0.11,1.0192313,,7.141429,1.0,15.807039999999999,7.278764,8.361528999999999,,9.541209,8.664433,0.98076934,9.397103616511508,,51.980774,14.437628,0.99233466,1.0192313,-6.884765600000001,15.807039999999999
53,54,1.0,1080,8.584495,8.502367,20.73430728912353,14.681004000000001,0.11,1.0188688,,7.211103,1.0,15.807039999999999,7.347161,8.364186,,9.522517,8.661431,0.9811321,9.340043875000587,,52.98113299999999,14.441779,0.99233466,1.0188679,-6.4850535,15.807039999999999
54,55,1.0,1100,8.586432,8.5815735,21.28521013259888,17.357935,0.11,1.01852,,7.2801089999999995,1.0,15.807039999999999,7.4149265,8.368212,,9.5041685,8.659979,0.9814813,9.424049457526603,,53.981472,14.494457,0.99233466,1.0185181,-6.0512122999999995,15.807039999999999
55,56,1.0,1120,8.586387,8.47728,22.036110162734985,12.139434,0.11,1.018182,,7.3484693,1.0,15.807039999999999,7.482078,8.370196,,9.48615,8.656716000000001,0.9818181999999999,9.308995940800846,,54.98181999999999,14.452072,0.99233466,1.018182,-5.7260575,15.807039999999999
56,57,1.0,1140,8.586948,8.512217999999999,22.79132103919983,18.910719,0.11,1.0178578,,7.416197299999999,1.0,15.807039999999999,7.5486317,8.372732000000001,,9.468451,8.6541815,0.98214287,9.349899504317376,,55.98214300000001,14.529976000000001,0.99233466,1.0178578,-5.293522,15.807039999999999
57,58,1.0,1160,8.587183,8.495722,23.517929315567017,12.667529,0.11,1.0175452,,7.483314,1.0,15.807039999999999,7.6146006999999996,8.374888,,9.451058,8.651449000000001,0.982456,9.331260858837402,,56.98245,14.497557,0.99233466,1.0175433,-4.983548000000001,15.807039999999999
58,59,1.0,1180,8.5875025,8.501843,24.018218994140625,9.459738,0.11,1.0172425999999999,,7.549834,1.0,15.807039999999999,7.6800046,8.377078,,9.433964,8.648914,0.9827585999999999,9.338051412462363,,57.982758,14.411874,0.99233466,1.0172416,-4.7384577000000005,15.807039999999999
59,60,1.0,1200,8.588272,8.52993,24.79492831230164,15.837198,0.11,1.0169496999999998,,7.615773,1.0,15.807039999999999,7.7448545,8.379669999999999,,9.417157000000001,8.646931,0.98305094,9.3692431481624,,58.98305500000001,14.435342000000002,0.99233466,1.0169496999999998,-4.39525,15.807039999999999
60,61,1.0,1220,8.589707,8.572375,25.644731521606445,19.350538,0.11,1.0166684000000001,,7.681146000000001,1.0,15.807039999999999,7.809164,8.38288,,9.400627,8.645708,0.9833333000000001,9.415595207956292,,59.98333,14.51564,0.99233466,1.0166664,-4.005704,15.807039999999999
61,62,1.0,1240,8.590864,8.559016999999999,26.302692413330078,20.143555,0.11,1.0163950000000002,,7.7459674,1.0,15.807039999999999,7.872948599999999,8.385767999999999,,9.384367,8.644311,0.9836065,9.400091639252539,,60.98360400000001,14.606144,0.99233466,1.0163931000000002,-3.6159372000000003,15.807039999999999
62,63,1.0,1260,8.591474,8.528138,27.212605953216553,14.299414,0.11,1.0161295,,7.8102503,1.0,15.807039999999999,7.936222,8.388065,,9.368366,8.642466,0.9838710999999999,9.369669113815856,,61.983880000000006,14.601015,0.99233466,1.0161295,-3.3313123999999994,15.807039999999999
63,64,1.0,1280,8.591463000000001,8.491222,27.768164873123172,15.517648999999999,0.11,1.0158737,,7.8740087,1.0,15.807039999999999,7.998993400000001,8.389702,,9.352618,8.640102,0.9841271999999999,9.323512561027526,,62.984142000000006,14.615085999999998,0.99233466,1.0158737,-3.0365515,15.807039999999999
64,65,1.0,1300,8.591952000000001,8.523937,28.386101245880127,12.579066000000001,0.11,1.0156257,,7.9372544000000005,1.0,15.807039999999999,8.061274000000001,8.391799,,9.337114,8.638316,0.98437506,9.363060386034242,,63.98438,14.583518,0.99233466,1.0156246,-2.796074,15.807039999999999
65,66,1.0,1320,8.592656,8.539446,29.39353346824646,19.866754999999998,0.11,1.0153855,,8.000001,1.0,15.807039999999999,8.123078,8.394072999999999,,9.321847,8.636819000000001,0.9846156999999999,9.380978589390264,,64.984634,14.663329999999998,0.99233466,1.0153855,-2.4524665,15.807039999999999
66,67,1.0,1340,8.592972,8.516285,29.929401397705078,19.814768,0.11,1.015153,,8.062257,1.0,15.807039999999999,8.184413000000001,8.395922,,9.306808,8.635019,0.9848484000000001,9.3517682968025,,65.98484,14.739988,0.99233466,1.015153,-2.119895,15.807039999999999
67,68,1.0,1360,8.593252,8.515055,30.75093579292297,16.195467,0.11,1.0149266,,8.124039,1.0,15.807039999999999,8.245292999999998,8.3977,,9.291994,8.633255,0.98507464,9.352665973178784,,66.98508000000001,14.761169,0.99233466,1.0149266,-1.8503332,15.807039999999999
68,69,1.0,1380,8.593886,8.540445,31.60274648666382,14.001766,0.11,1.0147069,,8.185352,1.0,15.807039999999999,8.305725,8.399799,,9.277395,8.631910000000001,0.985294,9.377371991741194,,67.98528,14.749947,0.99233466,1.0147059,-1.6203803999999997,15.807039999999999
69,70,1.0,1400,8.593459,8.469144,32.62774085998535,13.503252999999999,0.11,1.0144940999999998,,8.246211,1.0,15.807039999999999,8.365722,8.4008045,,9.263005999999999,8.629584,0.9855072,9.303932781030998,,68.985504,14.731926999999999,0.99233466,1.014492,-1.404123,15.807039999999999
70,71,1.0,1420,8.593746000000001,8.5189495,33.05212378501892,15.042344,0.11,1.0142870000000002,,8.306624000000001,1.0,15.807039999999999,8.425289999999999,8.4024935,,9.248821000000001,8.628026,0.9857143,9.354424395561812,,69.98572,14.736094,0.99233466,1.0142851000000002,-1.1722821,15.807039999999999
71,72,1.0,1440,8.594238,8.534744,33.30952048301697,22.042273,0.11,1.0140858,,8.366599,1.0,15.807039999999999,8.484441,8.404356,,9.234836,8.626731,0.9859155000000001,9.374940890699936,,70.985916,14.837372,0.99233466,1.0140848,-0.8496636000000001,15.807039999999999
72,73,1.0,1460,8.594997,8.555655,33.590936422348015,14.757684,0.11,1.0138896000000002,,8.426149,1.0,15.807039999999999,8.54318,8.406457000000001,,9.221042,8.625757,0.98611116,9.39524690753667,,71.986115,14.836085999999998,0.99233466,1.0138896000000002,-0.6356753,15.807039999999999
73,74,1.0,1480,8.595493,8.53858,34.126378059387214,14.522795,0.11,1.0137,,8.485281,1.0,15.807039999999999,8.601519999999999,8.408267,,9.207436999999999,8.624578999999999,0.98630154,9.378147703587292,,72.98631,14.831665,0.99233466,1.0136981,-0.43064755,15.807039999999999
74,75,1.0,1500,8.59587,8.531283,34.833098649978645,17.114520000000002,0.11,1.0135144,,8.544004,1.0,15.807039999999999,8.659464,8.409930000000001,,9.194014,8.623335,0.9864866,9.372371388322724,,73.986496,14.861920000000001,0.99233466,1.0135144,-0.19653320000000002,15.807039999999999
75,76,1.0,1520,8.595409,8.469952000000001,35.4330816268921,15.481926000000001,0.11,1.0133345999999999,,8.602325,1.0,15.807039999999999,8.717024,8.410730000000001,,9.180767999999999,8.621317,0.98666686,9.306536139643509,,74.98668,14.869901,0.99233466,1.0133326999999999,0.009936684,15.807039999999999
76,77,1.0,1540,8.595809,8.535009,35.77170205116272,14.468194,0.11,1.0131588,,8.6602545,1.0,15.807039999999999,8.774206,8.412366,,9.167696000000001,8.620196,0.9868423000000001,9.375188170248228,,75.986855,14.864510000000001,0.99233466,1.0131578,0.19787519,15.807039999999999
77,78,1.0,1560,8.596122,8.529753,36.083192348480225,21.33195,0.11,1.0129888,,8.717798,1.0,15.807039999999999,8.831016,8.413889,,9.154793,8.619036999999999,0.9870129999999999,9.368687347550829,,76.987015,14.947257999999998,0.99233466,1.0129868,0.46899024,15.807039999999999
78,79,1.0,1580,8.596231,8.515007,36.416070461273186,12.277068,0.11,1.0128217,,8.774964,1.0,15.807039999999999,8.887464,8.415186,,9.142054,8.61772,0.98717946,9.351140130192297,,77.987175,14.913295000000002,0.99233466,1.0128196,0.6186206999999999,15.807039999999999
79,80,1.0,1600,8.596583,8.535046000000001,36.78720498085022,16.921694,0.11,1.0126594,,8.831759,1.0,15.807039999999999,8.943555,8.416702,,9.129475,8.616686,0.9873415999999999,9.376978448631638,,78.98733,14.938238,0.99233466,1.0126584,0.8225662,15.807039999999999
80,81,1.0,1620,8.596874,8.531391000000001,37.16300463676453,17.518541,0.11,1.012501,,8.888193,1.0,15.807039999999999,8.999297,8.418136,,9.117052000000001,8.615633,0.98749983,9.37264921036266,,79.98749000000001,14.969937,0.99233466,1.0125,1.0288433000000001,15.807039999999999
81,82,1.0,1640,8.597344999999999,8.546969,37.45475721359253,14.650170000000001,0.11,1.0123475,,8.94427,1.0,15.807039999999999,9.054694999999999,8.419727,,9.104782,8.614796,0.98765415,9.387188783503117,,80.98764,14.965886,0.99233466,1.0123446,1.1951071000000002,15.807039999999999
82,83,1.0,1660,8.59671,8.457825,37.748197317123406,16.028257,0.11,1.0121969000000002,,8.999999,1.0,15.807039999999999,9.109755999999999,8.420192,,9.092661,8.612905,0.98780483,9.290623985386134,,81.9878,14.978537,0.99233466,1.0121950000000002,1.3739654,15.807039999999999
83,84,1.0,1680,8.596430999999999,8.486614999999999,38.06128692626953,16.1601,0.11,1.0120492,,9.055387,1.0,15.807039999999999,9.164485,8.420992,,9.080685,8.611400999999999,0.9879518,9.320380086601348,,82.98795,14.992457,0.99233466,1.0120482,1.5501331,15.807039999999999
84,85,1.0,1700,8.597132,8.56888,38.53346943855285,18.088888,0.11,1.0119064,,9.110435,1.0,15.807039999999999,9.218892,8.422752000000001,,9.0688505,8.610902000000001,0.98809546,9.410246160349212,,83.98810999999999,15.028746,0.99233466,1.0119054,1.7448457,15.807039999999999
85,86,1.0,1720,8.596821,8.484772999999999,39.12201738357544,15.092020000000002,0.11,1.0117664000000002,,9.165152,1.0,15.807039999999999,9.272977000000001,8.423483000000001,,9.057153999999999,8.609435000000001,0.9882353000000001,9.320303244227828,,84.988235,15.029342999999999,0.99233466,1.0117645,1.9001813000000003,15.807039999999999
86,87,1.0,1740,8.596463,8.480656,39.990395784378045,14.101408,0.11,1.0116295,,9.219544,1.0,15.807039999999999,9.326749000000001,8.424147999999999,,9.045592999999998,8.607954,0.9883721,9.312114551528893,,85.98836999999999,15.01854,0.99233466,1.0116285,2.0405580000000003,15.807039999999999
87,88,1.0,1760,8.59632,8.499325,40.610388994216926,17.594172,0.11,1.0114954,,9.27362,1.0,15.807039999999999,9.380212,8.42501,,9.034164,8.60672,0.9885059000000002,9.334559286177189,,86.98852,15.047676999999998,0.99233466,1.0114925,2.2174337000000004,15.807039999999999
88,89,1.0,1780,8.59629,8.508984,41.411170244216926,17.050426,0.11,1.0113652,,9.327378,1.0,15.807039999999999,9.4333725,8.425966,,9.022865,8.605621000000001,0.9886363000000001,9.345694131190614,,87.98863,15.070051999999999,0.99233466,1.0113633,2.3842232000000005,15.807039999999999
89,90,1.0,1800,8.596333,8.5162525,42.187256574630744,18.182001,0.11,1.0112379,,9.380832,1.0,15.807039999999999,9.486235,8.42698,,9.011692,8.6046295,0.9887640999999999,9.353660763833764,,88.98877,15.104501999999998,0.99233466,1.0112339,2.5598788,15.807039999999999
90,91,1.0,1820,8.596741,8.549551,43.36029362678528,14.488581,0.11,1.0111125,,9.43398,1.0,15.807039999999999,9.538803999999999,8.428342,,9.000642,8.604024,0.98888886,9.389982877291354,,89.988884,15.0976095,0.99233466,1.0111105,2.6910849,15.807039999999999
91,92,1.0,1840,8.596847,8.523425999999999,44.48185443878174,17.279057,0.11,1.010991,,9.486834,1.0,15.807039999999999,9.591084,8.429386000000001,,8.989713,8.6031475,0.9890110000000001,9.361720717295764,,90.98901,15.1212,0.99233466,1.0109891,2.849768,15.807039999999999
92,93,1.0,1860,8.597017,8.530058,45.242066144943244,18.126175,0.11,1.0108714,,9.539392,1.0,15.807039999999999,9.643081,8.430480000000001,,8.978902,8.602362,0.9891305,9.369396168352038,,91.989136,15.153394,0.99233466,1.0108694999999999,3.0141463,15.807039999999999
