,Iteration,SqrtESSClassic,MISE,IWMin,Bound,TimestepsSoFar,IWFirstEpisode,IWNorm1,ReturnMin,DenMISELogLast,IWLastEpisode,DenMISELogFirst,target_sum_log_mean,ReturnLastEpisode,LQGsigma,ReturnStepMax,ReturnAbsMax,TimeElapsed,LQGmu1,IWMax,IWNorm2,URet,LQGmu01,DenMISEMeanLog,IWMean,ReturnMax,ReturnMean
17,18,2.0968847,6.476706500000001,,7.2390924,360,,13.587212,,16.879627,4.183142,16.778736,-121.37998999999999,8.56868,0.11,0.99716264,15.906216,55.03719234466553,0.494,4.183142,6.479712999999999,9.409508711170878,0.054,14.126395,0.7548451,15.906216,9.84402
18,19,2.448704,8.465761,,9.11861,380,,18.73811,,17.022884,3.121624,16.724669,-106.94038,8.587055,0.11,0.99716264,15.906216,57.65632939338684,0.463,3.68615,7.6522559999999995,9.43016001800423,0.05,14.264311,0.9862163,15.906216,9.777863499999999
19,20,2.6315522000000002,9.336439,,9.943927,400,,21.7197,,15.779626,1.7163112,16.673376,-85.01257,8.5742655,0.11,0.99716264,15.906216,60.26532673835754,0.399,4.900468,8.25357,9.415587522225604,0.042,14.337015,1.085985,15.906216,9.717684
20,21,2.0168824,8.564043,,9.356669,420,,20.860193,,15.383273999999998,6.258786,16.624585999999997,-71.20882399999999,8.62466,0.11,0.99716264,15.906216,63.00870609283447,0.364,7.453723399999999,10.342792,9.473034654861397,0.038,14.388448,0.9933424999999999,15.906216,9.665635
21,22,2.9378083,9.531630499999999,,10.075789,440,,24.428455,,14.393471,3.068612,16.578066,-87.06988,8.578006,0.11,0.99716264,15.906216,65.48060417175293,0.448,3.148286,8.315197,9.421679888128843,0.048,14.384823,1.1103843,15.906216,9.616197
22,23,3.2310659999999998,9.831689,,10.326459,460,,26.336893,,6.733117599999999,2.093954,16.533613,-78.19877,8.554988999999999,0.11,0.99716264,15.906216,68.94878005981445,0.426,2.8968651000000003,8.151147,9.39571024210857,0.045,14.055045999999999,1.1450824,15.906216,9.570057
23,24,1.0000001,0.0041855793,,1.6028202,480,,0.011060445,,16.726677,,16.491055,-190.26927,8.598234,0.11,0.99716264,15.906216,72.12609744071959,0.097,0.011060443,0.011060443,9.441705594820911,0.01,14.170854,0.0004608518,15.906216,9.529565
24,25,1.048641,10.240732000000001,,11.765215,500,,28.42393,,1.9996285,27.071742999999998,16.450232,-153.81355,9.003387,0.11,0.99716264,15.906216,76.88635420799254,0.111,27.071742999999998,27.105491999999998,9.89084486173506,0.011,13.644834,1.1369572000000001,15.906216,9.508517
25,26,1.4362077,13.395313,,14.508408,520,,38.68952,,13.696931,20.241352,16.41101,-152.49791000000002,8.997819999999999,0.11,0.99716264,15.906216,81.3531219959259,0.108,20.241352,26.938670000000002,9.881327646603976,0.011,13.639373999999998,1.4880586,15.906216,9.488875
26,27,1.7533580000000002,10.12763,,11.039387,540,,30.357552000000002,,17.958988,9.729233,16.37327,-135.00058,9.003413,0.11,0.99716264,15.906216,86.80828189849855,0.115,13.225359,17.31395,9.889044010381623,0.012,13.80459,1.1243538,15.906216,9.470895
27,28,1.8613161,8.230817,,9.08969,560,,25.600935,,13.780054999999999,5.212413300000001,16.336903,-151.0612,8.999717,0.11,0.99716264,15.906216,92.17205095291138,0.103,10.658737,13.754210999999998,9.884332952901492,0.01,13.802995999999998,0.9143190999999999,15.906216,9.454068
28,29,2.2251315,8.897025,,9.61547,580,,28.638668,,17.14559,2.4966395,16.301810999999997,-123.43987,9.012821,0.11,0.99716264,15.906216,96.20921635627748,0.115,8.136656,12.870550999999999,9.897997817344443,0.012,13.912420999999998,0.9875403,15.906216,9.438852
29,30,3.2198563,8.938253999999999,,9.434747,600,,31.248402000000002,,9.078828,,16.26791,-112.13793000000001,8.99826,0.11,0.99716264,15.906216,100.5877652168274,0.458,3.6358224999999997,9.704905499999999,9.88392857498642,0.049,13.748584,1.0416133,15.906216,9.424166
30,31,2.9346106,8.713422,,9.258174,620,,31.383844,,8.631555,3.665632,16.235120000000002,-88.98553000000001,8.600868,0.11,0.99716264,15.906216,104.31519627571106,0.381,5.773226,10.694381,9.444919493227747,0.04,13.583809,1.012382,15.906216,9.397609
31,32,1.4699773999999999,7.1954784,,8.283002,640,,26.278175,,13.766967999999999,7.12674e-11,16.203371,-51.537968,8.614775,0.11,0.99716264,15.906216,107.02787256240843,0.237,12.829355,17.876585000000002,9.46204669605752,0.024,13.5887165,0.8211930000000001,15.906216,9.373144
32,33,3.6549692000000005,10.080165,,10.517551,660,,38.701492,,14.091066,6.6850925e-10,16.1726,-90.52664,8.759113000000001,0.11,0.99716264,15.906216,110.91578578948976,0.409,3.6117797,10.588733,9.6212876143173,0.043,13.595219,1.1727725,15.906216,9.354538
33,34,3.3415739999999996,6.9368563,,7.415264,680,,27.488590000000002,,17.438066,1.8348805000000001,16.142748,-103.275,8.588817,0.11,0.99716264,15.906216,113.84304904937744,0.484,3.7401337999999997,8.226239999999999,9.434433542211744,0.053,13.712334,0.80848795,15.906216,9.332016000000001
34,35,3.479735,9.009256,,9.468669,700,,36.65387,,17.128391,0.30523884,16.11376,-79.32575,8.549186,0.11,0.99716264,15.906216,117.53961300849916,0.388,4.509346,10.533524,9.387619572949344,0.041,13.804082999999999,1.0472534,15.906216,9.309649
35,36,1.0371054,0.1814262,,1.7228651999999998,720,0.014916462,0.41141146,,13.181344000000001,,16.085588,-1382.9126,8.6308155,0.11,0.99716264,15.906216,121.29222893714905,-0.153,0.39641148,0.39669204,9.478981912664134,-0.015,13.787307,0.011428096,15.906216,9.290792999999999
36,37,1.533884,15.631153,,16.698042,740,15.3917465,37.208,,-12.821259,8.281573400000002e-22,16.058603,-1101.3337,16.282799,0.11,0.9999657,16.282799,125.035315990448,-0.111,18.442707000000002,24.257374,18.035189484053173,-0.011,13.041806,1.0056216999999998,16.282799,9.479766
37,38,1.1468915000000002,11.198109,,12.624994000000001,760,1.6268827,27.023134000000002,,13.520601000000001,0.3907718,16.379766,-920.4580699999999,16.18811,0.11,0.9999657,16.282799,129.44227147102356,-0.085,23.45113,23.562067000000003,17.902681542305416,-0.009,13.050531,0.7111351,16.282799,9.6563015
38,39,2.0138566000000004,14.352498,,15.16511,780,6.1016164,35.962875,,14.721681,11.282588,16.395712,-951.878,15.344565,0.11,0.9999657,16.282799,134.1597707271576,-0.095,11.282588,17.857714,17.008045897617947,-0.01,13.082761999999999,0.922125,16.282799,9.802154
39,40,1.3737861,14.588201000000002,,15.779422,800,3.1959376,36.42346,,18.097998,0.13339552,16.51575,-1098.599,15.211282999999998,0.11,0.9999657,16.282799,138.8061158657074,-0.126,25.206799,26.513195,16.87520328960355,-0.013,13.204260000000001,0.9105865,16.282799,9.937383
40,41,2.2575998,16.920745999999998,,17.645622,820,3.0286417,45.054043,,7.9792995,8.308405,16.567926,-880.1002,15.090414,0.11,0.9999657,16.282799,143.7641682624817,-0.09,11.118616000000001,19.956612,16.755116452922678,-0.009,13.071027,1.0988791,16.282799,10.0630665
41,42,2.532458,16.02303,,16.669233,840,3.4914748999999996,43.658559999999994,,11.420056,4.5296984,16.615097,-866.6257300000001,15.57056,0.11,0.9999657,16.282799,147.34358620643616,-0.092,8.481910000000001,17.2396,17.237120232692778,-0.009,13.031914,1.0394895,16.282799,10.194197
42,43,1.824475,4.1034274,,5.000388,860,0.074017294,11.377661,,15.22204,0.30291024,16.671421,-748.9534,15.506245000000002,0.11,0.9999657,16.282799,152.80220341682434,-0.073,5.346433599999999,6.2361283,17.197402278442482,-0.007,13.082284,0.26459676,16.282799,10.317734
43,44,2.7991416,15.888276000000001,,16.472914000000003,880,2.3124342,45.52382,,13.553885999999999,7.515723700000001,16.650152,-812.31323,15.029259,0.11,0.9999657,16.282799,158.17419266700745,-0.089,7.515723700000001,16.263493,16.65755711842267,-0.009,13.0763235,1.0346322000000001,16.282799,10.424813
44,45,1.3332102,7.451348299999999,,8.678823,900,0.90738106,20.891981,,15.557633,0.0013750779999999998,16.6789,-1010.9578,15.379620999999998,0.11,0.9999657,16.282799,163.5985655784607,-0.133,15.253336,15.670432,17.029946598567786,-0.013,13.131095000000002,0.46426624,16.282799,10.534921
45,46,2.870806,15.813049,,16.38498,920,1.7214208,47.386063,,14.504744,0.052450992,16.676884,-767.8787,16.336693,0.11,0.9999657,16.336693,170.62464904785156,-0.087,7.7860217,16.506187,18.077751051244622,-0.009,13.14846,1.0301318000000002,16.336693,10.661045
46,47,2.2263017000000005,13.433767000000001,,14.171268,940,3.7194285000000002,39.627884,,4.51885,1.5474683,16.692118,-920.1956,15.274785999999999,0.11,0.9999657,16.336693,175.86882162094116,-0.123,12.440235000000001,17.799871,16.9268128120886,-0.012,12.964466,0.84314644,16.336693,10.759211
47,48,3.2340812999999997,18.047642,,18.555328,960,7.841925999999999,55.969078,,13.397147,4.380285,16.747225,-818.4888,15.436924,0.11,0.9999657,16.336693,179.47738647460938,-0.105,7.841925999999999,17.30602,17.110198979492058,-0.011,12.969116,1.1660224,16.336693,10.856663000000001
48,49,2.4016917,13.836011,,14.519653,980,2.2258747000000003,42.791176,,14.599947,2.5406592,16.87793,-894.6343,15.446062,0.11,0.9999657,16.336693,183.59303545951843,-0.126,9.872141000000001,17.817099,17.097054517729045,-0.013,13.004772,0.8732893,16.336693,10.950325
49,50,2.8376741,7.616331599999999,,8.194939,1000,,44.178314,,17.234222,,16.902151,-191.99129,15.967267999999999,0.11,0.9999657,16.336693,187.71528720855716,0.362,8.774569999999999,15.568495,17.672592145354365,0.038,13.085846,0.88356626,16.336693,11.050663
50,51,3.9248178,8.989322999999999,,9.4076605,1020,,53.396983999999996,,-13.142166,6.254258999999999e-24,16.882348999999998,-226.06572000000003,8.75818,0.11,0.9999657,16.336693,192.8188009262085,0.435,3.9824337999999995,13.604959,9.610798690366847,0.047,12.568611,1.0469997,16.336693,11.0057125
51,52,3.7734869,7.891628999999999,,8.326744,1040,,47.827133,,10.811012,2.1331623,16.86293,-233.58481,8.595694,0.11,0.9999657,16.336693,197.6575396060944,0.462,4.7334447,12.67452,9.442020022979907,0.05,12.535249,0.91975254,16.336693,10.959366000000001
52,53,3.921327,8.147777,,8.566486,1060,,50.339684000000005,,12.909688000000001,4.3000913,16.843882,-228.5362,8.553419,0.11,0.9999657,16.336693,201.34448432922363,0.461,4.371621,12.83741,9.393336359959617,0.05,12.540442,0.9498054,16.336693,10.913969999999999
53,54,7.348469000000001,1.3883543999999998e-37,,0.22343422,1080,,5.4e-09,,18.97694,,16.82519,-1833.7054,8.578327999999999,0.11,0.9999657,16.336693,205.7550654411316,-0.451,4.5891256000000006e-37,7.3484696e-10,9.419698598870813,-0.049,12.65836,,16.336693,10.870719
54,55,7.4161983,1.3883537e-37,,0.22482069,1100,,5.5000000000000004e-09,,-13.217673000000001,,16.80684,-1803.1874,16.589573,0.11,0.9999657,16.589573,211.79134106636047,-0.451,4.6741075e-37,7.416199e-10,18.358125015810465,-0.049,12.16987,,16.589573,10.974697
55,56,1.0,8.568468,,10.2898,1120,,28.016195,,11.787659,28.016195,16.788822,-1705.7162,17.127029999999998,0.11,0.99996614,17.127029999999998,214.61147570610046,-0.395,28.016195,28.016195,18.905343468371186,-0.042,12.145349000000001,0.5002892,17.127029999999998,11.084559
56,57,1.3310795,12.260588,,13.553772,1140,,40.877296,,12.974452000000001,27.774189,16.771124,-1759.4114,17.081910999999998,0.11,0.99996614,17.127029999999998,218.7042224407196,-0.474,27.774189,30.709883,18.85988084936886,-0.052,12.149624000000001,0.71714556,17.127029999999998,11.189776
57,58,1.3946309,19.93055,,21.169245,1160,,67.378204,,11.78974,44.81734,16.753729999999997,-1749.5426,17.188639000000002,0.11,0.99998426,17.188639000000002,222.77702188491818,-0.503,44.81734,48.312571999999996,18.97017829597075,-0.055,12.136738000000001,1.1616932,17.188639000000002,11.293205
58,59,7.681145699999999,3.1091434e-19,,0.22490436,1180,,5.9e-09,,13.190299,,16.736636999999998,-256.74875,17.068699,0.11,0.99998426,17.188639000000002,228.7072811126709,0.041,1.4498806999999998e-18,7.6811457e-10,18.84597924939633,0.004,12.153391000000001,3.450282e-20,17.188639000000002,11.391094
59,60,7.745966,6.563035e-15,,0.2230223,1200,,6.0000380000000005e-09,,-13.304685000000001,3.806857e-14,16.719829999999998,-253.20633999999998,10.343531,0.11,0.99998426,17.188639000000002,232.55419063568115,0.041,3.806857e-14,7.746016e-10,11.30149251361685,0.004,11.7125635,6.345107e-16,17.188639000000002,11.373635
60,61,1.0,12.815843,,14.5433655,1220,,86.0417,,12.980293,86.0417,16.7033,-240.43074,9.085901,0.11,0.99998426,17.188639000000002,236.7726752758026,0.045,86.0417,86.0417,9.978528941557832,0.005,11.717087,1.4105197,17.188639000000002,11.336132000000001
61,62,1.404231,18.224049,,19.454275,1240,,124.20801999999999,,10.265253,54.685646,16.68704,-228.39244,9.110573,0.11,0.99998426,17.188639000000002,240.658762216568,0.049,69.52238,88.45270500000001,10.008257928341953,0.005,11.691863,2.0033553,17.188639000000002,11.300236
62,63,1.3964785,7.195225200000001,,8.4322815,1260,,49.83619,,17.623959,1.048031,16.671039999999998,-205.90489,9.132593,0.11,0.99998426,17.188639000000002,245.676203250885,0.059,30.809853000000004,35.687042,10.034930306934395,0.006,11.792252000000001,0.7910505999999999,17.188639000000002,11.265827999999999
63,64,1.3449048000000001,2.2333403,,3.5178351,1280,,15.748157,,12.336846000000001,11.209658000000001,16.65529,-188.78401000000002,9.068987,0.11,0.99998426,17.188639000000002,249.78230857849118,0.068,11.209658000000001,11.709496000000001,9.960633290658151,0.007,11.79566,0.24606495,17.188639000000002,11.231503
64,65,3.5950952000000003,17.71189,,18.192411,1300,7.234138499999999,74.58652,,13.464251,,16.639788,-702.81696,9.05626,0.11,0.99998426,17.188639000000002,255.42223024368286,-0.1,7.5178423,20.746744,9.945817272088606,-0.01,11.809617999999999,1.1474848999999998,17.188639000000002,11.198037
65,66,1.0876812,4.144239,,5.7325015,1320,,15.921748999999998,,-9.401717,,16.730045,-1703.023,15.212863,0.11,0.99998426,17.188639000000002,260.06309795379644,-0.651,14.601923999999999,14.638248999999998,16.890060277063437,-0.078,11.489859,0.24123862,17.188639000000002,11.258868
66,67,1.5935848,19.446852,,20.530901,1340,,76.43894,,-10.742687,37.668696999999995,16.715007999999997,-1661.0051,16.929152,0.11,0.99998426,17.188639000000002,264.1914370059967,-0.594,37.668696999999995,47.966663,18.705152696170227,-0.068,11.146496,1.1408798,17.188639000000002,11.343498
67,68,1.5871013,12.807762,,13.896239000000001,1360,,51.157036,,7.737017,8.046744,16.700191,-1648.6793,17.10942,0.11,0.9999901,17.188639000000002,271.13330745697016,-0.635,28.80022,32.232997999999995,18.885183736172774,-0.075,11.095683,0.7523093000000001,17.188639000000002,11.428291999999999
68,69,2.285675,22.813635,,23.569439000000003,1380,,92.07220500000001,,17.262895999999998,7.7484660000000005,16.685593,-1589.3911,17.085176,0.11,0.9999901,17.188639000000002,276.96775460243225,-0.537,25.515009,40.28228,18.865224371764512,-0.06,11.180261,1.3343798,17.188639000000002,11.510277
69,70,2.5289182999999995,22.722761,,23.405869,1400,,93.09857,,9.557861,18.326815,16.671206,-1575.9453,17.068417,0.11,0.99999833,17.188639000000002,282.31058740615845,-0.558,18.870576999999997,36.813595,18.84661634964767,-0.063,11.159915,1.3299795,17.188639000000002,11.589678
70,71,2.392939,18.219788,,18.941713,1420,,75.82174,,12.72523,16.801374,16.657020000000003,-1573.0770000000002,17.064579000000002,0.11,0.99999833,17.188639000000002,289.17520570755005,-0.615,17.277898999999998,31.685612,18.84212406000192,-0.072,11.185011,1.0679119,17.188639000000002,11.666789
71,72,1.9344217000000001,10.4991045,,11.394584,1440,,44.19767,,11.803861,0.13360788,16.643034,-1465.5536,17.235523,0.11,0.99999833,17.235523,296.10546875,-0.446,18.1818,22.848001,19.01773763180659,-0.048,11.193429,0.61385655,17.235523,11.744133
72,73,2.823271,17.571114,,18.18467,1460,,75.00778000000001,,14.871339,6.010429,16.62924,-1489.2042,17.143227,0.11,0.99999833,17.235523,302.23917603492737,-0.511,13.200284,26.567688,18.923104792552195,-0.056,11.238008500000001,1.0275038,17.235523,11.818093
73,74,3.0672996,18.597666,,19.162409,1480,,80.54643,,14.8299885,9.239007,16.615635,-1472.7793,16.962828,0.11,0.99999833,17.235523,306.79588651657104,-0.519,11.182654,26.259721999999996,18.73906147090486,-0.057,11.286196,1.0884653,17.235523,11.887617
74,75,2.4178127999999997,10.038909,,10.755355999999999,1500,,44.033844,,15.823770000000001,5.376842,16.602210999999997,-1409.4242,17.157593,0.11,0.99999833,17.235523,312.5864820480347,-0.45,13.308307999999998,18.212263,18.938895617720945,-0.048,11.347192999999999,0.5871179,17.235523,11.957883
75,76,3.3914976,19.222513,,19.73327,1520,,85.47519,,13.278044,5.0510325,16.588966,-1433.9287,17.042720000000003,0.11,0.99999833,17.235523,319.22538685798645,-0.52,9.677116,25.202785000000002,18.82128805746158,-0.058,11.366895,1.1246735,17.235523,12.024789
76,77,3.1773963,14.136166000000001,,14.681339999999999,1540,,63.721306000000006,,17.065170000000002,7.196389,16.575895000000003,-1386.6802,17.041689,0.11,0.99999833,17.235523,322.9558427333832,-0.47,8.401653,20.054567000000002,18.81843504637947,-0.051,11.441935,0.8275494000000001,17.235523,12.089944000000001
77,78,3.1219544,19.286351999999997,,19.841207999999998,1560,,87.9941,,14.691717,0.04497329,16.56299,-1425.6146,17.080194,0.11,0.99999833,17.235523,329.18844103813166,-0.597,13.373206,28.185581,18.85900485328139,-0.069,11.481061,1.1281295,17.235523,12.153921
78,79,2.4667727999999998,7.6854176999999995,,8.387645,1580,,67.38067,,19.256142,,16.550253,-150.76746,17.046434,0.11,0.99999833,17.235523,335.9989562034607,0.117,15.811060999999999,27.315310999999998,18.825778404155482,0.012,11.580421000000001,0.8529199000000001,17.235523,12.215850999999999
79,80,2.4947507,6.6534452,,7.3477974,1600,,59.066722999999996,,-13.592367000000001,2.6725059999999995e-23,16.537674,-149.6595,9.2395115,0.11,0.99999833,17.235523,341.91589665412897,0.117,13.195789999999999,23.676403,10.127502070829806,0.012,11.263323,0.73833406,17.235523,12.178647
80,81,2.6762805,10.778828,,11.426083,1620,,96.96195999999999,,9.74377,9.902909,16.525251,-150.17711,9.0041685,0.11,0.99999833,17.235523,348.61707401275635,0.11,14.909360000000001,36.230118,9.890407281506565,0.011,11.240911500000001,1.1970611999999998,17.235523,12.139456
81,82,1.8917277,12.256878,,13.172567,1640,,110.54314,,17.031858,8.9596e-16,16.512981,-196.04022,8.999855,0.11,0.99999833,17.235523,354.76513195037836,0.052,35.576347,58.435017,9.885554347675033,0.005,11.312914,1.3480871,17.235523,12.101168
82,83,2.1183956000000004,12.5226755,,13.340385999999999,1660,,114.45152,,11.208985,31.991197999999997,16.50086,-187.91263,9.074817,0.11,0.99999833,17.235523,360.65983629226685,0.057,31.991197999999997,54.02746,9.967560779416765,0.006,11.313496,1.378934,17.235523,12.064706
83,84,3.727847,7.114524,,7.5791984,1680,,69.7019,,8.687989,,16.488884,-321.83383,9.109753999999999,0.11,0.99999833,17.235523,366.8198914527893,0.489,8.288604,18.697627999999998,10.004674433793829,0.053,11.284751,0.8297844999999999,17.235523,12.029527999999999
84,85,1.3109520000000001,3.7538223,,5.075179,1700,0.0045167464000000004,19.634283,,1.0018368,,16.477048999999997,-777.5261,8.5767355,0.11,0.99999833,17.235523,372.8569679260254,-0.156,14.665436999999999,14.977119,9.419173790014774,-0.016,11.161564,0.23099157,17.235523,11.988908
85,86,2.3952433999999996,12.077291,,12.800488,1720,1.7663081000000003,65.204666,,-13.664688,4.9870487e-33,16.465406,-684.5773,15.768717,0.11,0.99999833,17.235523,378.47100377082825,-0.13,14.759344,27.222563,17.482321848546324,-0.013,10.86385,0.7581938,17.235523,12.032858000000001
86,87,1.0579337,14.508710999999998,,16.146088,1740,0.00028304715,82.964714,,12.852186,0.00016666562,16.474173999999998,-433.6304,15.990806,0.11,0.99999833,17.235523,385.56883454322815,-0.056,78.3676,78.42147,17.69181795393556,-0.006,10.883467,0.9536174000000001,17.235523,12.078352
87,88,3.6372644999999997,17.380816,,17.857060999999998,1760,10.654903,98.44414499999999,,14.134023000000001,0.30074134,16.46275,-590.81177,15.356897,0.11,0.99999833,17.235523,392.4087977409363,-0.107,10.654903,27.065434999999997,16.999805053969812,-0.011,10.916999,1.1186835,17.235523,12.115609
88,89,1.0434332,0.7204449,,2.3805754,1780,7.833997e-09,4.213229,,14.451331,5.4438726e-07,16.565739999999998,-365.3933,15.719161999999999,0.11,0.99999833,17.235523,397.9646065235138,-0.036,4.0346779999999995,4.0378523,17.40654156093121,-0.004,10.957607000000001,0.047339655,17.235523,12.156097
89,90,1.0067478,0.42074394,,2.1413689,1800,1.1577663e-14,2.7211676,,13.78449,2.7028675,16.554567000000002,-311.19162,13.90691,0.11,0.99999833,17.235523,403.3738880157471,-0.016,2.7028675,2.7029285,15.422475438235983,-0.002,10.978482000000001,0.030235196000000002,17.235523,12.17555
90,91,1.1158146999999998,14.949000000000002,,16.50144,1820,1.2048823000000001e-12,114.19923999999999,,-6.9368567,101.58310999999999,16.543518,-322.87228,11.662569,0.11,0.99999833,17.235523,408.3679676055908,-0.022,101.58310999999999,102.34606,12.916622348709245,-0.002,10.77101,1.2549367,17.235523,12.169914
91,92,1.5319035,16.995907,,18.12668,1840,2.5990612e-08,115.2059,,13.839868,27.986365999999997,16.532589,-358.35648,13.266679000000002,0.11,0.99999833,17.235523,416.4237864017487,-0.038,68.38606999999999,75.204414,14.68433938855517,-0.004,10.803119,1.252238,17.235523,12.181836
92,93,1.7468268,5.18805,,6.179696599999999,1860,0.048565112,29.873444,,15.986896,2.3902157999999996e-30,16.521778,-688.4018,13.136589,0.11,0.99999833,17.235523,422.9691982269287,-0.147,15.510735,17.10155,14.578020094445286,-0.015,10.859082,0.32121983,17.235523,12.1921015
93,94,2.9910722,13.754423000000001,,14.333557999999998,1880,2.1476572,81.20739,,10.931132,9.853367,16.511604000000002,-622.8486,16.156654,0.11,0.99999833,17.235523,428.3602375984192,-0.129,11.777088000000001,27.149927,17.89422892576798,-0.013,10.85252,0.8639084,17.235523,12.234277
94,95,2.8125322,11.357889,,11.973788,1900,0.65307236,67.37807,,17.804287,11.588245,16.523613,-637.9065,16.040077,0.11,0.99999833,17.235523,436.6661057472229,-0.136,12.326015,23.956371,17.760462278425823,-0.014,10.923910000000001,0.7092428000000001,17.235523,12.274339
95,96,2.504794,7.9241652,,8.615733,1920,0.07355652,47.150604,,14.086428,10.557699000000001,16.519993,-661.44794,16.246073000000003,0.11,0.99999833,17.235523,442.80782842636114,-0.146,11.224677,18.824146,17.98167939637034,-0.015,10.953567999999999,0.49115214,17.235523,12.315711
