,IWFirstEpisode,ReturnMean,DenMISEMeanLog,ReturnMin,TimeElapsed,LQGmu1,IWMin,target_sum_log_mean,LQGmu01,TimestepsSoFar,DenMISELogLast,ReturnMax,IWLastEpisode,IWNorm1,ReturnLastEpisode,DenMISELogFirst,Bound,ReturnAbsMax,SqrtESSClassic,Iteration,IWMax,IWMean,ReturnStepMax,URet,IWNorm2,LQGsigma,MISE
10,0.10171314,15.736231,17.582420000000003,,9.706743717193604,-0.134,,15.990423000000002,-0.014,220,17.040485,16.505016,0.06488481,7.488946,15.545092000000002,18.649994,30.120428000000004,16.505016,1.7245773999999998,11,3.7655230000000004,0.68081325,0.99958044,17.227496204372276,4.3424816,0.11,10.979488
11,0.0068996935,15.780818,17.499315,,10.420999765396116,-0.071,,13.130417000000001,-0.007,240,16.926884,16.505016,0.0015739148,0.6356714,16.271269,18.572187,21.761919,16.505016,1.5775927,12,0.3879028,0.052972615,0.99969804,18.011896215081165,0.40293756,0.11,0.83761495
12,0.0011505918,15.780926000000001,16.840618,,11.03192663192749,-0.065,,11.266994,-0.007,260,9.844353,16.505016,0.05123797,0.29171064,15.782226000000001,18.492720000000002,21.006119,16.505016,1.5984935,13,0.17239597,0.02243928,0.99969804,17.47775915631065,0.18249099,0.11,0.35540384
13,0.001122732,15.746673999999999,16.713354000000002,,11.619187831878662,-0.065,,11.646550999999999,-0.006,280,15.999979000000002,16.505016,4.8663774,5.1611139999999995,15.301387,18.4187,36.799583,16.505016,1.059801,14,4.8663774,0.368651,0.99969804,16.956011045667818,4.86989,0.11,5.652196400000001
14,1.8887073999999998e-06,15.664026000000002,16.67385,,12.078999280929565,-0.049,,7.4823174,-0.005,300,16.767382,16.505016,0.6645826,1.253267,14.506964000000002,18.349787,24.484922,16.505016,1.4203153,15,0.6645826,0.08355114,0.99969804,16.057248731606734,0.8823865,0.11,1.2435826
15,1.1004626e-06,15.565838000000001,16.504528,,13.062191486358644,-0.048,,7.682638000000001,-0.005,320,14.850964000000001,16.505016,11.260799,12.261396000000001,14.093019,18.285248,41.22531,16.505016,1.086735,16,11.260799,0.7663373,0.99969804,15.631966980033916,11.282784,0.11,10.849892
16,2.8805459999999995e-07,15.518264000000002,16.510172,,13.686712265014648,-0.045,,7.3694835,-0.005,340,16.97598,16.505016,2.0623074,9.409803,14.757071,18.224625,32.82548,16.505016,1.3247838,17,6.785404700000001,0.5535178000000001,0.99969804,16.365497843788127,7.1028970000000005,0.11,7.9081850000000005
17,5.87342e-06,15.450923000000001,16.492298,,14.458842515945435,-0.051,,9.796644,-0.005,360,16.676983,16.505016,4.882564,15.393536,14.306147,18.167465,29.348784999999996,16.505016,1.9394746999999999,18,4.9561625,0.8551964,0.99969804,15.871355045868723,7.936961,0.11,12.328696
18,0.0025549326,15.396095,16.523794,,15.433188676834106,-0.066,,13.454042000000001,-0.007,380,17.292328,16.505016,4.2710857,19.403757000000002,14.409187,18.113398,30.331709999999998,16.505016,2.1596292999999998,19,5.4256687,1.0212504,0.99969804,15.977377849664245,8.984763000000001,0.11,15.046666
19,0.0035478085999999997,15.408532999999998,16.460312,,16.077816247940063,-0.067,,13.735919,-0.007,400,15.303958999999999,16.505016,3.8464727,20.509947,15.644838,18.06224,29.048634000000003,16.505016,2.4011095,20,4.5429497,1.0254973,0.99969804,17.33193801424376,8.5418625,0.11,15.30081
