,IWLastEpisode,DenMISELogLast,IWMax,LQGmu1,URet,IWMean,SqrtESSClassic,IWFirstEpisode,MISE,ReturnStepMax,ReturnAbsMax,ReturnLastEpisode,Bound,TimeElapsed,IWNorm1,DenMISEMeanLog,IWMin,LQGsigma,ReturnMean,DenMISELogFirst,LQGmu01,IWNorm2,TimestepsSoFar,ReturnMin,target_sum_log_mean,ReturnMax,Iteration
40,28.307796000000003,5.9310184,28.706411,0.164,9.784771075840313,1.8238002,1.6973194999999999,,16.245886,0.99995655,16.801416,8.9070835,45.94227,140.6099202632904,74.77580999999999,12.730004,,0.11,12.367467,16.492373,0.017,44.055237,820,,-182.9812,16.801416,41
41,0.20188046,11.241904,4.92406,0.183,9.79967613268258,0.15758488,1.3125343,,1.402959,0.99995655,16.801416,8.921759,39.80519,143.4191722869873,6.618564999999999,12.704756,,0.11,12.285426,16.468275,0.019,5.042584400000001,840,,-212.61617,16.801416,42
42,1.0759929e-06,15.796643,4.936401e-06,0.227,9.779388473456834,1.4050856e-07,1.1966741,,1.2506257e-06,0.99995655,16.801416,8.903439500000001,42.12028,146.68851351737973,6.0461684e-06,12.757185,,0.11,12.206776,16.444744,0.023,5.0524773e-06,860,,-282.35364,16.801416,43
43,1.6164867999999998e-15,11.994889,1.6164867999999998e-15,0.415,9.660240973088264,3.6738337e-17,6.633249,,3.2318213999999997e-16,0.99995655,16.801416,8.7968645,7.5987277,149.6091070175171,4.4000013e-09,12.717392,,0.11,12.129278,16.421754999999997,0.044,6.6332523e-10,880,,-532.1946,16.801416,44
44,37.734768,5.331582,37.734768,0.492,9.417724991347995,0.8385504,1.0,,7.1918397,0.99995655,16.801416,8.576514,57.596092000000006,155.185133934021,37.734768,12.531291,,0.11,12.050327000000001,16.399282,0.054,37.734768,900,,-584.0228,16.801416,45
45,24.649597,14.066026,24.649597,0.413,9.424284073659411,1.0673293,1.4142016000000002,,9.156751,0.99995655,16.801416,8.581713,44.79824,160.58403515815738,49.097145000000005,12.556391,,0.11,11.974922,16.377304000000002,0.044,34.717216,920,,-506.49447999999995,16.801416,46
46,18.698908,3.8383705999999997,18.698908,0.424,9.434724160780688,1.1645089,1.7317808999999997,,9.995403999999999,0.99995655,16.801416,8.59155,39.100845,164.4375286102295,54.731919999999995,12.368052,,0.11,11.902936,16.355797,0.045,31.604412,940,,-506.10202000000004,16.801416,47
47,10.945663,13.771003,14.188178,0.397,9.430003574528797,0.9126707000000001,1.9680743000000003,,7.835374400000001,0.99995655,16.801416,8.586953999999999,33.44632,167.0818798542023,43.808193,12.397163,,0.11,11.833852,16.334743,0.042,22.259420000000002,960,,-470.33212000000003,16.801416,48
48,,14.795341,20.040134,-0.45,9.453871734615925,0.40898234,1.0,,6.8714824000000005,0.99995655,16.801416,8.606281,57.275734,172.68294763565063,20.040134,12.442639,,0.11,11.767984,16.314125,-0.048,20.040134,980,,-963.5236,16.801416,49
49,,-13.122363,9.944939999999999,-0.54,18.42683406144944,0.19889879,1.0,,3.3417814,0.99995655,16.801416,16.655851000000002,53.746033,175.65539288520813,9.944939999999999,11.918397,,0.11,11.865741,16.293922,-0.06,9.944939999999999,1000,,-1006.4281,16.801416,50
