,TimestepsSoFar,DenMISELogLast,DenMISEMeanLog,Iteration,URet,IWMin,ReturnMax,LQGmu01,IWMax,ReturnStepMax,IWNorm2,DenMISELogFirst,SqrtESSClassic,target_sum_log_mean,Bound,IWLastEpisode,IWNorm1,IWMean,ReturnMean,TimeElapsed,IWFirstEpisode,ReturnMin,MISE,LQGmu1,ReturnLastEpisode,ReturnAbsMax,LQGsigma
31,640,17.366139999999998,14.118703,32,9.403708882854401,,15.807039999999999,1.0,1.1428573,0.99233466,5.9384604,11.318961,5.1961527,-123.69286000000001,8.526769999999999,1.1428573,30.857145000000003,0.9642858,9.385879,48.49256491661072,,,8.22103,1.0,8.565071000000001,15.807039999999999,0.11
32,660,9.703733999999999,13.983787,33,9.319472940863065,,15.807039999999999,1.0,1.1379318,0.99233466,6.0213633,11.28819,5.2915025,-119.64663,8.530508,1.1379306,31.862059000000002,0.9655169,9.35871,49.621142148971565,,,8.230278,1.0,8.48932,15.807039999999999,0.11
33,680,17.640118,14.09027,34,9.356596991702737,,15.807039999999999,1.0,1.1333343999999999,0.99233466,6.103187,11.258337,5.385164700000001,-115.6051,8.534929,1.1333343999999999,32.86667,0.9666667,9.334027,50.89114260673523,,,8.239922,1.0,8.519513,15.807039999999999,0.11
34,700,14.0474205,14.088057000000001,35,9.341300393167133,,15.807039999999999,1.0,1.1290321,0.99233466,6.183964,11.229349000000001,5.4772253,-111.89726999999999,8.538477,1.1290321,33.870964,0.96774185,9.310300999999999,52.19768357276917,,,8.248427000000001,1.0,8.503587,15.807039999999999,0.11
35,720,13.509485,14.0710535,36,9.386840195184648,,15.807039999999999,1.0,1.1250006000000001,0.99233466,6.263733,11.201179,5.5677642999999994,-108.41048400000001,8.543047,1.1249995000000002,34.874990000000004,0.9687496999999999,9.2890625,53.538411140441895,,,8.257714,1.0,8.545694000000001,15.807039999999999,0.11
36,740,7.962170599999999,13.905072,37,9.296898599416485,,15.807039999999999,1.0,1.1212121000000002,0.99233466,6.342533599999999,11.1737795,5.6568537,-105.262184,8.544771,1.1212121000000002,35.878784,0.9696969000000001,9.266732000000001,54.59547209739685,,,8.263932,1.0,8.462833,15.807039999999999,0.11
37,760,13.613625,13.896574,38,9.397553280039904,,15.807039999999999,1.0,1.1176486,0.99233466,6.420392,11.147111,5.744562999999999,-102.13094,8.549071000000001,1.1176465,36.882346999999996,0.9705881,9.248028,55.67550754547119,,,8.27252,1.0,8.555984500000001,15.807039999999999,0.11
38,780,16.07575,13.951670000000002,39,9.389780464187712,,15.807039999999999,1.0,1.1142856,0.99233466,6.4973454,11.121136,5.830952,-99.09723000000001,8.552896,1.1142856,37.885709999999996,0.9714285,9.230122999999999,56.77114629745483,,,8.280441,1.0,8.549733,15.807039999999999,0.11
39,800,16.32522,14.010267,40,9.40263232620272,,15.807039999999999,1.0,1.1111127,0.99233466,6.573421000000001,11.095818,5.9160794999999995,-96.20903,8.556792,1.1111106000000002,38.88888,0.97222203,9.213416,57.953508138656616,,,8.288259,1.0,8.561886,15.807039999999999,0.11
40,820,13.713026999999999,14.002319,41,9.302032869204423,,15.807039999999999,1.0,1.1081094999999999,0.99233466,6.648647,11.071125,6.0000005,-93.52551,8.557932000000001,1.1081083999999999,39.891884000000005,0.97297275,9.195269999999999,59.27903127670288,,,8.293154,1.0,8.469389,15.807039999999999,0.11
41,840,9.281702000000001,13.8892565,42,9.382904138090698,,15.807039999999999,1.0,1.1052641,0.99233466,6.723053500000001,11.047028,6.0827622,-91.07533000000001,8.560830000000001,1.1052629999999999,40.894737,0.9736841999999999,9.179671,60.354905605316155,,,8.299655,1.0,8.540152,15.807039999999999,0.11
42,860,13.891479,13.888678,43,9.354299643133466,,15.807039999999999,1.0,1.1025648000000001,0.99233466,6.7966622999999995,11.023498,6.1644144,-88.63197,8.562907000000001,1.1025637,41.89744,0.9743591,9.164226,61.56376552581787,,,8.305191,1.0,8.515492,15.807039999999999,0.11
43,880,14.420695000000002,13.900166,44,9.375690697683655,,15.807039999999999,1.0,1.1,0.99233466,6.869497999999999,11.000507,6.2449985,-86.2877,8.565401,1.1,42.9,0.975,9.149992999999998,62.637532234191895,,,8.311010000000001,1.0,8.538002,15.807039999999999,0.11
44,900,13.828029,13.89799,45,9.38984497337242,,15.807039999999999,1.0,1.0975627000000001,0.99233466,6.9415835999999995,10.978035,6.324555,-84.06084,8.568050999999999,1.0975605,43.902428,0.9756094999999999,9.1366825,64.21710419654846,,,8.316861,1.0,8.550980000000001,15.807039999999999,0.11
45,920,20.227238,14.035035,46,9.409329969481332,,15.807039999999999,1.0,1.0952393,0.99233466,7.0129456999999995,10.956056,6.403124,-81.791725,8.570946000000001,1.0952373,44.904759999999996,0.9761904,9.124315,65.85622239112854,,,8.322838,1.0,8.56782,15.807039999999999,0.11
46,940,14.200026000000001,14.038025,47,9.34769104568057,,15.807039999999999,1.0,1.0930241000000003,0.99233466,7.0835996,10.934549,6.480741,-79.74746,8.572367,1.0930241000000003,45.906975,0.9767440999999999,9.111281,67.53825259208679,,,8.32723,1.0,8.511736,15.807039999999999,0.11
47,960,15.808418,14.074409,48,9.339450443722802,,15.807039999999999,1.0,1.090909,0.99233466,7.1535687,10.913496,6.557439,-77.7549,8.573497999999999,1.090909,46.90909,0.9772726999999999,9.098613,68.88189172744751,,,8.331228,1.0,8.503142,15.807039999999999,0.11
48,980,18.608522,14.166464000000001,49,9.41429933385783,,15.807039999999999,1.0,1.0888906,0.99233466,7.222870299999999,10.892877,6.633249,-75.78656,8.5760355,1.0888883999999999,47.911095,0.9777773999999999,9.087825,70.46175265312196,,,8.3365345,1.0,8.570041999999999,15.807039999999999,0.11
49,1000,17.117937,14.225036,50,9.356211584451136,,15.807039999999999,1.0,1.0869566000000002,0.99233466,7.291526299999999,10.872674,6.708203999999999,-73.9268,8.577261,1.0869566000000002,48.913044,0.9782609,9.076386,72.31130313873291,,,8.340436,1.0,8.515929,15.807039999999999,0.11
50,1020,19.000045999999998,14.318225,51,9.385754874010336,,15.807039999999999,1.0,1.0851066999999999,0.99233466,7.359551,10.852872,6.78233,-72.10311,8.578997,1.0851066999999999,49.9149,0.9787235999999999,9.065942,73.53576374053955,,,8.344761,1.0,8.543688000000001,15.807039999999999,0.11
51,1040,17.611614000000003,14.381139000000001,52,9.353142193709877,,15.807039999999999,1.0,1.0833343999999998,0.99233466,7.426959,10.833453,6.8556542,-70.37629,8.580053999999999,1.0833324,50.916664000000004,0.9791665999999999,9.055363,74.64254951477052,,,8.348322999999999,1.0,8.515779,15.807039999999999,0.11
52,1060,17.616695,14.441784,53,9.397103616511508,,15.807039999999999,1.0,1.0816332,0.99233466,7.4937705999999995,10.814405,6.928203,-68.71455999999999,8.58188,1.0816332,51.918365,0.9795918,9.045952999999999,76.46090149879457,,,8.352575,1.0,8.556675,15.807039999999999,0.11
53,1080,14.622734,14.444745999999999,54,9.340043875000587,,15.807039999999999,1.0,1.0800005,0.99233466,7.56,10.795713000000001,7.0000005000000005,-67.16985,8.582524000000001,1.0800005,52.920002000000004,0.98,9.035886999999999,77.96166849136354,,,8.355572,1.0,8.502367,15.807039999999999,0.11
54,1100,17.300776000000003,14.496301999999998,55,9.424049457526603,,15.807039999999999,1.0,1.078432,0.99233466,7.625661,10.777364,7.0710683,-65.63265,8.584674,1.078432,53.921569999999996,0.98039216,9.027626,79.69931840896606,,,8.3600025,1.0,8.5815735,15.807039999999999,0.11
55,1120,12.083344,14.452853,56,9.308995940800846,,15.807039999999999,1.0,1.0769233,0.99233466,7.6907697,10.759346,7.1414285,-64.24354,8.584717,1.0769233,54.923080000000006,0.9807693000000001,9.017797999999999,81.5759015083313,,,8.362259,1.0,8.47728,15.807039999999999,0.11
56,1140,18.85566,14.52975,57,9.349899504317376,,15.807039999999999,1.0,1.075472,0.99233466,7.755337700000001,10.741646000000001,7.211102,-62.784386,8.585397,1.075472,55.924530000000004,0.9811321,9.008929,83.04763698577881,,,8.365088,1.0,8.512217999999999,15.807039999999999,0.11
57,1160,12.6134615,14.496376999999999,58,9.331260858837402,,15.807039999999999,1.0,1.074075,0.99233466,7.819377,10.724255,7.2801094,-61.48319,8.585727,1.0740739,56.92592,0.9814814000000001,9.00008,84.49681067466736,,,8.367506,1.0,8.495722,15.807039999999999,0.11
58,1180,9.406628,14.409788,59,9.338051412462363,,15.807039999999999,1.0,1.0727288000000001,0.99233466,7.8829020000000005,10.70716,7.348469000000001,-60.280476,8.586138,1.0727278,57.92726,0.98181796,8.991635,86.07207989692688,,,8.369947,1.0,8.501843,15.807039999999999,0.11
59,1200,15.785012,14.432398000000001,60,9.3692431481624,,15.807039999999999,1.0,1.0714303,0.99233466,7.945927,10.690352,7.4161983,-59.01156999999999,8.587022,1.0714294,58.92856999999999,0.9821428,8.983941,88.04815196990967,,,8.372806,1.0,8.52993,15.807039999999999,0.11
60,1220,19.299246,14.511883,61,9.415595207956292,,15.807039999999999,1.0,1.0701764,0.99233466,8.008459,10.673822999999999,7.4833155,-57.72667,8.588600999999999,1.0701742,59.929825,0.98245615,8.977194,89.91873979568481,,,8.376307,1.0,8.572375,15.807039999999999,0.11
61,1240,20.093124,14.601614000000001,62,9.400091639252539,,15.807039999999999,1.0,1.0689665000000002,0.99233466,8.070511999999999,10.657563,7.549834700000001,-56.470436,8.589882000000001,1.0689645,60.93103000000001,0.9827585999999999,8.970449,92.28622508049013,,,8.379457,1.0,8.559016999999999,15.807039999999999,0.11
62,1260,14.249817000000002,14.59575,63,9.369669113815856,,15.807039999999999,1.0,1.0677968,0.99233466,8.132096,10.641562,7.6157727,-55.34685,8.590579,1.0677968,61.932198,0.98305076,8.963428500000001,94.3654489517212,,,8.381977000000001,1.0,8.528138,15.807039999999999,0.11
63,1280,15.468859,14.609121,64,9.323512561027526,,15.807039999999999,1.0,1.0666671,0.99233466,8.193223,10.625814,7.681145,-54.23935,8.590626,1.0666671,62.933333999999995,0.98333335,8.95605,96.52994203567505,,,8.383799,1.0,8.491222,15.807039999999999,0.11
64,1300,12.531057,14.576889000000001,65,9.363060386034242,,15.807039999999999,1.0,1.0655751,0.99233466,8.253899,10.61031,7.745966,-53.211135999999996,8.591191,1.0655731000000002,63.93441800000001,0.9836064,8.949402000000001,98.74162745475769,,,8.386095,1.0,8.523937,15.807039999999999,0.11
65,1320,19.819502,14.656069,66,9.380978589390264,,15.807039999999999,1.0,1.0645168,0.99233466,8.314136999999999,10.595042,7.810249300000001,-52.103664,8.591977,1.0645168,64.935486,0.9838709999999999,8.943191,100.80415105819702,,,8.388569,1.0,8.539446,15.807039999999999,0.11
66,1340,19.76825,14.732123000000001,67,9.3517682968025,,15.807039999999999,1.0,1.0634928999999997,0.99233466,8.373944999999999,10.580005,7.874007700000001,-51.03003,8.592357000000002,1.063492,65.93651,0.9841270000000001,8.936817999999999,103.1441342830658,,,8.390595,1.0,8.516285,15.807039999999999,0.11
67,1360,16.149658,14.752730999999999,68,9.352665973178784,,15.807039999999999,1.0,1.0625004999999998,0.99233466,8.433333,10.565189,7.937255,-50.041203,8.592694999999999,1.0625004999999998,66.937515,0.98437524,8.930616,105.27182102203369,,,8.392542,1.0,8.515055,15.807039999999999,0.11
68,1380,13.956646,14.740962,69,9.377371991741194,,15.807039999999999,1.0,1.0615404,0.99233466,8.492308,10.5505905,8.0,-49.112829999999995,8.5934,1.0615383,67.93845999999999,0.9846154,8.924961999999999,107.26241660118104,,,8.394816,1.0,8.540445,15.807039999999999,0.11
69,1400,13.458801000000001,14.722423000000001,70,9.303932781030998,,15.807039999999999,1.0,1.0606073,0.99233466,8.5508795,10.536202000000001,8.062258,-48.218109999999996,8.592993,1.0606053,68.93939,0.98484844,8.91845,109.73019170761108,,,8.395942999999999,1.0,8.469144,15.807039999999999,0.11
70,1420,14.998541000000001,14.726091,71,9.354424395561812,,15.807039999999999,1.0,1.0597024,0.99233466,8.609055499999998,10.5220175,8.124038,-47.32692,8.59333,1.0597014,69.94029,0.9850745000000001,8.912823,111.7417242527008,,,8.397778500000001,1.0,8.5189495,15.807039999999999,0.11
71,1440,21.9991,14.826896,72,9.374940890699936,,15.807039999999999,1.0,1.0588245,0.99233466,8.666844000000001,10.508030999999999,8.185352,-46.363262,8.59388,1.0588245,70.94118,0.9852940999999998,8.907573,114.18882966041565,,,8.399792999999999,1.0,8.534744,15.807039999999999,0.11
72,1460,14.715124,14.825157999999998,73,9.39524690753667,,15.807039999999999,1.0,1.0579726999999999,0.99233466,8.724252,10.494238000000001,8.246212,-45.5258,8.594706,1.0579717,71.94203,0.9855073000000001,8.902752,116.3386070728302,,,8.402051,1.0,8.555655,15.807039999999999,0.11
73,1480,14.48083,14.820306,74,9.378147703587292,,15.807039999999999,1.0,1.0571437,0.99233466,8.781289,10.480632,8.306624000000001,-44.71415,8.595256,1.0571426000000002,72.94287,0.9857145,8.89783,118.40300726890564,,,8.404003,1.0,8.53858,15.807039999999999,0.11
74,1500,17.073133,14.85015,75,9.372371388322724,,15.807039999999999,1.0,1.0563394,0.99233466,8.837959,10.467209,8.366599,-43.889590000000005,8.595678,1.0563394,73.943665,0.98591554,8.892942,120.16618537902832,,,8.405796,1.0,8.531283,15.807039999999999,0.11
75,1520,15.441104000000001,14.857737,76,9.306536139643509,,15.807039999999999,1.0,1.055557,0.99233466,8.894269,10.453964,8.426149,-43.10821,8.595225,1.055555,74.94444,0.9861110999999999,8.887378,122.95878887176514,,,8.406685000000001,1.0,8.469952000000001,15.807039999999999,0.11
76,1540,14.42792,14.851970000000001,77,9.375188170248228,,15.807039999999999,1.0,1.0547953,0.99233466,8.950229,10.440892,8.485282000000002,-42.360294,8.595672,1.0547942,75.94521,0.9863014999999999,8.882800999999999,125.52578973770142,,,8.408445,1.0,8.535009,15.807039999999999,0.11
77,1560,21.292208,14.934358999999999,78,9.368687347550829,,15.807039999999999,1.0,1.0540551,0.99233466,9.005842999999999,10.427988000000001,8.544004,-41.54356,8.5960245,1.0540551,76.94596,0.9864867,8.878275,127.86836934089659,,,8.410085,1.0,8.529753,15.807039999999999,0.11
78,1580,12.237847,14.900051000000001,79,9.351140130192297,,15.807039999999999,1.0,1.0533346000000001,0.99233466,9.061116,10.41525,8.602325,-40.862125,8.596161,1.0533326,77.94667,0.98666674,8.873676,130.12791991233826,,,8.411482000000001,1.0,8.515007,15.807039999999999,0.11
79,1600,16.88298,14.924667000000001,80,9.376978448631638,,15.807039999999999,1.0,1.0526327,0.99233466,9.116056,10.402671,8.6602545,-40.13967,8.596552,1.0526307,78.94736999999999,0.98684216,8.869444,132.41202020645142,,,8.413109,1.0,8.535046000000001,15.807039999999999,0.11
80,1620,17.480320000000003,14.956055,81,9.37264921036266,,15.807039999999999,1.0,1.0519493,0.99233466,9.1706705,10.390248,8.717799000000001,-39.427690000000005,8.596877000000001,1.0519483,79.94807,0.98701316,8.865271,134.5338077545166,,,8.414644000000001,1.0,8.531391000000001,15.807039999999999,0.11
81,1640,14.612429999999998,14.951702,82,9.387188783503117,,15.807039999999999,1.0,1.0512834,0.99233466,9.224962,10.377978,8.774964,-38.768055,8.597385000000001,1.0512813,80.948715,0.98717946,8.861388,136.84009265899658,,,8.41634,1.0,8.546969,15.807039999999999,0.11
82,1660,15.990986,14.964067000000002,83,9.290623985386134,,15.807039999999999,1.0,1.0506339,0.99233466,9.278939,10.365857,8.831759,-38.10771,8.596746000000001,1.0506328,81.94935600000001,0.98734164,8.856525999999999,139.18230438232422,,,8.416865,1.0,8.457825,15.807039999999999,0.11
83,1680,16.123287,14.977714,84,9.320380086601348,,15.807039999999999,1.0,1.0500018999999998,0.99233466,9.332603,10.353881,8.888196,-37.461525,8.596477,1.0499998,82.950005,0.9875001,8.852122,141.78007483482358,,,8.417738,1.0,8.486614999999999,15.807039999999999,0.11
84,1700,18.05252,15.013738,85,9.410246160349212,,15.807039999999999,1.0,1.0493841,0.99233466,9.385964,10.342046,8.944272,-36.807854,8.597221000000001,1.0493832,83.95062,0.9876543999999999,8.848791,143.9425323009491,,,8.419603,1.0,8.56888,15.807039999999999,0.11
85,1720,15.0560875,15.014084,86,9.320303244227828,,15.807039999999999,1.0,1.0487819,0.99233466,9.439025,10.33035,8.999999,-36.204227,8.596916,1.0487809,84.95121999999999,0.98780483,8.844558000000001,146.76367497444153,,,8.420397999999999,1.0,8.484772999999999,15.807039999999999,0.11
86,1740,14.065902,15.003043,87,9.312114551528893,,15.807039999999999,1.0,1.0481939,0.99233466,9.491788,10.318789500000001,9.055387,-35.62587,8.596561,1.0481929,85.95181,0.9879519,8.840375,149.88512802124026,,,8.421123,1.0,8.480656,15.807039999999999,0.11
87,1760,17.559079999999998,15.031949,88,9.334559286177189,,15.807039999999999,1.0,1.0476203000000002,0.99233466,9.544263,10.307361,9.110434,-35.020965999999994,8.596434,1.0476173,86.95237,0.9880950999999999,8.836499,152.85852575302127,,,8.422054,1.0,8.499325,15.807039999999999,0.11
88,1780,17.015741000000002,15.054103,89,9.345694131190614,,15.807039999999999,1.0,1.0470599,0.99233466,9.596454,10.296061,9.165151,-34.43577,8.596415499999999,1.047058,87.95294,0.9882353000000001,8.832819,155.74335551261905,,,8.423078,1.0,8.508984,15.807039999999999,0.11
89,1800,18.14771,15.088344000000001,90,9.353660763833764,,15.807039999999999,1.0,1.0465128000000001,0.99233466,9.648361999999999,10.284887,9.219543,-33.851,8.596477499999999,1.0465109000000001,88.95349,0.98837215,8.829302,158.291663646698,,,8.424161999999999,1.0,8.5162525,15.807039999999999,0.11
90,1820,14.454679,15.08125,91,9.389982877291354,,15.807039999999999,1.0,1.0459781,0.99233466,9.699992,10.273838,9.273619,-33.319675,8.596913,1.0459771,89.954025,0.9885058000000001,8.826227000000001,160.85190677642822,,,8.425603,1.0,8.549551,15.807039999999999,0.11
91,1840,17.245533,15.1046505,92,9.361720717295764,,15.807039999999999,1.0,1.0454555,0.99233466,9.751351,10.262909,9.32738,-32.76957,8.597038000000001,1.0454555,90.95456,0.9886365,8.822936,164.0350992679596,,,8.426715,1.0,8.523425999999999,15.807039999999999,0.11
92,1860,18.093023000000002,15.136659,93,9.369396168352038,,15.807039999999999,1.0,1.0449450999999998,0.99233466,9.802442999999998,10.252098,9.380831,-32.222187,8.597228999999999,1.0449431,91.955055,0.98876405,8.819787,167.13950967788696,,,8.427876,1.0,8.530058,15.807039999999999,0.11
