,TimestepsSoFar,TimeElapsed,target_sum_log_mean,IWLastEpisode,IWMin,URet,ReturnMin,LQGmu01,LQGsigma,IWNorm2,IWMean,Bound,IWFirstEpisode,ReturnMean,DenMISELogLast,ReturnMax,IWMax,MISE,ReturnAbsMax,SqrtESSClassic,DenMISELogFirst,ReturnStepMax,LQGmu1,ReturnLastEpisode,Iteration,DenMISEMeanLog,IWNorm1
43,880,154.51766014099118,-140.27077,10.992288,,9.745061879742867,,0.018,0.11,20.749998,1.0164535,31.022334999999998,,10.816599,12.052595,15.807039999999999,12.450014999999999,9.020967500000001,15.807039999999999,2.1553714,11.651011,0.9924386999999999,0.181,8.873731,44,12.551163,44.723953
44,900,159.21192622184753,-180.13696000000002,0.008229196,,9.762263549012603,,0.021,0.11,0.9267641,0.0286577,34.333046,,10.773769,12.195484,15.807039999999999,0.8834716,0.25402215,15.807039999999999,1.3915046,11.628539,0.9924386999999999,0.212,8.889312,45,12.541745,1.2895966
45,920,163.18701362609863,-608.5840000000001,,,9.722592397209182,,-0.019,0.11,1.0091294e-08,2.640594e-10,28.575155,6.079548e-10,10.732014999999999,17.633596,15.807039999999999,9.772056e-09,4.057743e-09,15.807039999999999,1.6595228,11.60656,0.9924386999999999,-0.188,8.853012,46,12.631556,1.6746731999999998e-08
46,940,168.7148749828339,-589.1669,4.5208715e-12,,17.92850031672179,,-0.019,0.11,2.8268369e-08,7.331324e-10,35.060726,1.8020889e-09,10.848113,-13.060488000000001,16.188654,2.7635958e-08,1.1266806e-08,16.188654,1.3851956,11.585053,0.99975616,-0.186,16.188654,47,12.063868,3.915722e-08
47,960,173.51053357124331,-573.68115,25.592274,,18.11784793301932,,-0.019,0.11,25.592274,0.53317237,57.846977,2.8049951e-09,10.963204,12.673546,16.372532,25.592274,8.729382000000001,16.372532,1.0,11.564,0.99995464,-0.185,16.372532,48,12.055954,25.592274
48,980,177.0249993801117,-324.6598,0.0005262770999999999,,18.377968908465775,,-0.011,0.11,14.279769,0.582275,33.960278,5.270567,11.078609,15.914769,16.618026999999998,10.459047,9.00872,16.618026999999998,1.9980348,11.543381,0.99995464,-0.105,16.618026999999998,49,12.123228999999998,28.531475
49,1000,180.9974479675293,-244.08902,1.2598878999999998,,17.204515107208366,,-0.008,0.11,20.467087,1.2134669,35.09146,4.161548000000001,11.16772,13.038913,16.618026999999998,9.395121000000001,18.274063,16.618026999999998,2.9644348999999997,11.6253395,0.99995464,-0.078,15.534123999999998,50,12.132625,60.67334399999999
50,1020,185.77006387710568,-181.28676000000002,0.27460244,,16.805351721998598,,-0.005,0.11,9.159622,0.3680355,29.75163,0.07345291,11.246016000000001,17.304712,16.618026999999998,6.2298093,5.422958,16.618026999999998,2.0491903000000002,11.685486000000001,0.99995464,-0.054,15.160810999999999,51,12.236924,18.76981
51,1040,188.92595291137692,-158.65677,14.991413,,15.580793325934561,,-0.004,0.11,15.128759,0.36382020000000004,45.02364,0.006558594300000001,11.300135000000001,14.10191,16.618026999999998,14.991413,5.1566095,16.618026999999998,1.250509,11.667506,0.99995464,-0.045,14.060205999999999,52,12.260530000000001,18.91865
52,1060,193.27907347679138,-999.1410000000001,,,15.759066661120148,,-0.05,0.11,7.2801104e-10,9.54823e-20,6.847985,,11.354919,15.879967,16.618026999999998,5.060562e-18,1.5867274e-18,16.618026999999998,7.2801094,11.648584,0.99995464,-0.46,14.203760999999998,53,12.316324,5.3e-09
53,1080,196.69546985626218,-940.7605,30.71064,,18.335761812281643,,-0.044,0.11,30.71064,0.5687156,59.277885,,11.451502,-12.986597999999999,16.618026999999998,30.71064,9.423807,16.618026999999998,1.0,11.629892,0.9999938,-0.415,16.570335,54,11.829407000000002,30.71064
54,1100,200.94223189353943,-910.1042,4.430832,,18.913412806018147,,-0.043,0.11,26.538982,0.556315,53.845459999999996,,11.554803,14.908965,17.133081,26.166492,9.26366,17.133081,1.1529200000000002,11.611544,0.9999947,-0.402,17.133081,55,11.875569,30.597324
55,1120,206.65922474861145,-880.70984,43.36875,,18.886218133859103,,-0.041,0.11,49.005627000000004,1.2171234,57.561873999999996,,11.653992,8.572687,17.133081,43.36875,20.606295000000003,17.133081,1.3908385,11.593525,0.9999947,-0.39,17.10931,56,11.807226,68.15890999999999
56,1140,211.30783867835999,-829.46643,15.796201000000002,,18.83377793672629,,-0.038,0.11,45.340633000000004,1.3274351,53.25080500000001,,11.748762,16.05027,17.133081,33.573615999999994,22.45042,17.133081,1.6687858,11.575825,0.9999947,-0.361,17.055971,57,11.880947,75.6638
57,1160,216.28649258613584,-759.0878,44.292840000000005,,18.724862875548656,,-0.033,0.11,51.35579,1.4196788,56.006126,,11.838488,9.163939,17.133081,44.292840000000005,23.948744,17.133081,1.6033511999999999,11.558434,0.9999947,-0.321,16.952784,58,11.835775,82.34137
58,1180,219.070871591568,-775.3211,26.609379999999998,,18.76874849172118,,-0.036,0.11,44.075024,1.5600625,51.031467,,11.925905,6.551656200000001,17.133081,26.609379999999998,26.418995000000002,17.133081,2.0883412,11.541339,0.9999947,-0.341,16.996212,59,11.748762,92.043686
59,1200,223.1263062953949,-800.97736,11.561311,,18.8742618721074,,-0.039,0.11,27.702384999999996,1.1267719999999999,40.20067,,12.012087,13.119273000000002,17.133081,14.353582000000001,19.1393,17.133081,2.4404513999999997,11.524532,0.9999947,-0.372,17.096794,60,11.777357,67.60632
60,1220,227.3050000667572,-778.7406599999999,8.8131485,,18.85888377564091,,-0.038,0.11,27.415083000000003,1.1869889999999998,39.6291,,12.095189,17.128254000000002,17.133081,12.217025999999999,20.167892000000002,17.133081,2.6411127999999997,11.508002000000001,0.9999947,-0.364,17.081257,61,11.865741,72.40633000000001
61,1240,232.90705847740173,-709.0709,0.9180805000000001,,18.8077366865122,,-0.033,0.11,25.231247,0.9521440000000001,38.099922,,12.17481,18.355803,17.133081,14.276470000000002,16.131384,17.133081,2.3396754,11.491742,0.9999947,-0.321,17.031773,62,11.972103,59.03293000000001
62,1260,239.06939697265625,-670.1643,36.585827,,18.774332457246878,,-0.031,0.11,39.871918,1.1375913999999998,47.886536,,12.251439999999999,11.474441,17.133081,36.585827,19.291079,17.133081,1.797462,11.475741000000001,0.9999947,-0.303,17.00238,63,11.962406,71.66826
63,1280,243.0887768268585,-657.6695599999999,15.576195000000002,,18.77660758678448,,-0.031,0.11,31.764653999999997,1.1020018999999999,41.842216,1.8512968999999996e-38,12.325672,12.608096000000002,17.133081,23.920254,18.692879,17.133081,2.2203333,11.459992999999999,0.9999947,-0.302,17.002373000000002,64,11.972391,70.52812
64,1300,248.02289843559262,-679.0761,10.692944,,18.61746531657349,,-0.034,0.11,26.081324,1.1940559,37.515793,,12.395267500000001,9.788217999999999,17.133081,11.007897,20.243567000000002,17.133081,2.9758317,11.4444895,0.9999947,-0.324,16.849373,65,11.938878,77.61363
65,1320,253.00568151474,-511.1015,0.09173134,,18.740809102980982,,-0.023,0.11,4.8646936,0.12200217,33.091934,8.0346617e-19,12.464572,17.589029999999998,17.133081,4.5139112,2.039136,17.133081,1.6552209999999998,11.429222,0.9999947,-0.229,16.969324,66,12.026428999999998,8.052143
66,1340,257.2225301265717,-520.7678,41.348312,,18.595448801537408,,-0.024,0.11,41.551044,0.74587077,55.29093,4.3946733e-21,12.529714,15.010106,17.133081,41.348312,12.554298,17.133081,1.2026976,11.414183999999999,0.9999947,-0.238,16.829098000000002,67,12.05793,49.973343
67,1360,263.21478128433233,-552.8449,11.230941,,18.40199916584929,,-0.027,0.11,40.241856,1.0860473999999998,46.290386,6.860648e-27,12.590192,12.759875,17.133081,36.513915999999995,18.282715,17.133081,1.8351845000000002,11.399367999999999,0.9999947,-0.261,16.642212,68,12.06259,73.85123
68,1380,268.88651490211487,-569.9879,9.526722999999999,,18.67980620891767,,-0.028,0.11,28.824070000000003,1.1089975,38.088657,4.211874e-31,12.652785,12.541328,17.133081,18.927007999999997,18.727453,17.133081,2.6547544,11.384769,0.9999947,-0.276,16.909143,69,12.068916999999999,76.52083
69,1400,275.7874846458435,-759.2339,1.2975040000000002e-12,,18.533524606848715,,-0.051,0.11,61.93861999999999,1.0597941,61.05285,,12.711559,12.868456,17.133081,61.472763,18.138873999999998,17.133081,1.1977274,11.370381,0.9999947,-0.467,16.766972,70,12.080895,74.185585
70,1420,281.49006032943726,-756.954,23.290989,,18.979662070363847,,-0.053,0.11,51.855247,1.0843581,53.340485,,12.774758,13.741151,17.198706,46.092724,18.588576999999997,17.198706,1.4846989,11.356196,0.9999947,-0.482,17.198706,71,12.101652,76.989426
71,1440,288.7531905174256,-758.3579,8.186337,,18.980214277656593,,-0.056,0.11,43.93777,0.9334220999999999,49.74156,,12.836194,19.6313,17.198706,40.118874,16.009377,17.198706,1.5295812,11.342210000000001,0.9999947,-0.506,17.198128,72,12.204785000000001,67.20639
72,1460,294.6255419254303,-752.5749,54.652694999999994,,18.95836654218881,,-0.057,0.11,63.079871999999995,1.411055,55.817524,,12.895648,11.031464999999999,17.198706,54.652694999999994,24.220873,17.198706,1.6329616000000002,11.328417,0.9999947,-0.517,17.17635,73,12.185953,103.00701
73,1480,299.7654397487641,-748.2767299999999,14.434477,,18.99094201655245,,-0.059,0.11,54.59680600000001,1.3088449,51.580985999999996,,12.9539585,11.835249000000001,17.210601999999998,46.840637,22.476183,17.210601999999998,1.7739961,11.314812,0.9999947,-0.532,17.210601999999998,74,12.183266,96.85452
74,1500,306.16577458381647,-744.76685,7.761378999999999,,18.862907440188934,,-0.062,0.11,48.905770000000004,1.1620203000000002,48.919357,,13.009023,14.896484,17.210601999999998,43.472023,19.945764999999998,17.210601999999998,1.7820296000000002,11.301389,0.9999947,-0.55,17.083788000000002,75,12.220922999999999,87.15153000000001
75,1520,313.24262332916265,-741.2884,0.76332307,,18.760480169491828,,-0.065,0.11,42.786907,0.93234104,47.179325,,13.061319000000001,15.051235,17.210601999999998,39.588448,16.001929999999998,17.210601999999998,1.6560655,11.288143,0.9999947,-0.569,16.983583,76,12.258247,70.85792
76,1540,319.00335288047785,-737.5398,36.595562,,18.867153454234156,,-0.068,0.11,51.674496000000005,1.1952383999999998,49.46922,,13.113612,11.235564,17.210601999999998,36.595562,20.479214000000002,17.210601999999998,1.7810209,11.275071,0.9999947,-0.589,17.087870000000002,77,12.24258,92.03335600000001
77,1560,323.57281446456915,-734.9637,5.7291617,,18.865329072980668,,-0.072,0.11,47.82503,1.0713068000000001,47.899155,,13.164532000000001,19.237864000000002,17.210601999999998,35.686684,18.348703,17.210601999999998,1.7472425999999999,11.262167999999999,0.9999947,-0.616,17.085354000000002,78,12.332604,83.56193
78,1580,329.0459079742432,-745.2556,17.052324,,19.022951439561073,,-0.088,0.11,45.617638,0.9375706,47.934265,,13.2161665,9.071530000000001,17.243547,38.75763,16.073984,17.243547,1.6236719,11.249429,0.9999947,-0.708,17.243547,79,12.290432000000001,74.06808000000001
79,1600,335.45326900482183,-718.0904,19.546635000000002,,18.80182058445841,,-0.073,0.11,40.5501,1.1729481000000002,42.453156,,13.263755999999999,13.51675,17.243547,22.383670000000002,20.098347,17.243547,2.314072,11.23685,0.9999947,-0.623,17.02337,80,12.303409,93.83584599999999
80,1620,341.69262099266047,-718.9133,0.4878726,,18.94662630129903,,-0.081,0.11,39.024066999999995,1.0143939,41.938385,,13.311933499999999,16.500612,17.243547,22.618814,17.369316,17.243547,2.1055188,11.224427,0.9999947,-0.669,17.166185000000002,81,12.3560705,82.16591
81,1640,347.3264148235321,-732.54675,22.641172,,19.030046340404013,,-0.109,0.11,24.581606,0.46061003,41.588768,,13.35994,11.584045,17.24839,22.641172,7.911812299999999,17.24839,1.5365156999999998,11.212157000000001,0.9999947,-0.798,17.24839,82,12.345685000000001,37.770022999999995
82,1660,353.53148889541626,-727.4243,44.004220000000004,,18.68047629971973,,-0.116,0.11,45.618885,0.7522517,50.584106,,13.402660999999998,12.1794815,17.24839,44.004220000000004,12.777021000000001,17.24839,1.3686631999999999,11.200036,0.9999947,-0.822,16.905855,83,12.336789999999999,62.436890000000005
83,1680,357.74553656578064,-701.255,19.791176,,18.915251023249148,,-0.09,0.11,43.197495,1.2987391000000001,42.720863,,13.447094,13.081002,17.24839,24.512320000000003,22.231564000000002,17.24839,2.5254726,11.18806,0.9999947,-0.716,17.135164000000003,84,12.341408,109.094086
84,1700,364.98705101013184,-704.8725,22.981012,,18.9667872256393,,-0.107,0.11,44.840733,1.181849,43.30118,,13.491081,15.120956,17.24839,25.88644,20.203863000000002,17.24839,2.2403107,11.176225,0.9999947,-0.791,17.185995000000002,85,12.376335000000001,100.45716999999999
85,1720,371.22726583480835,-717.2524400000001,0.0060222824,,18.86334865456207,,-0.152,0.11,2.1244127999999995,0.032497194,39.885128,,13.532878,12.957065,17.24839,2.0426378,0.5514624,17.24839,1.3155441,11.164529,0.99999493,-0.911,17.08555,86,12.383888,2.7947588
86,1740,378.4465954303742,-715.2387,63.06807,,18.876942989574164,,-0.171,0.11,63.06855,0.7282147,63.96513,,13.573907,9.676364999999999,17.24839,63.06807,12.453654,17.24839,1.0045367,11.152968,0.99999493,-0.938,17.102356,87,12.34171,63.35468
87,1760,384.96834325790405,-699.01263,41.122547,,18.92879001049145,,-0.148,0.11,59.917274,1.0116353,52.14415,,13.614541000000001,14.562445,17.24839,43.457516,17.317217000000003,17.24839,1.4857804,11.141539999999999,0.99999493,-0.904,17.149584,88,12.361877999999999,89.02391
88,1780,390.8407006263733,-663.9602,1.6949619999999999,,18.896433279968058,,-0.093,0.11,42.069687,1.3654343,41.290253,,13.65391,13.946719,17.24839,19.446583,23.376842,17.24839,2.8886275,11.130239999999999,0.99999493,-0.733,17.118431,89,12.377892,121.52365
89,1800,397.50379753112793,-617.04785,0.25265712,,18.928339548202146,,-0.061,0.11,24.842823000000003,0.8489888000000001,31.378384000000004,,13.69273,15.534819,17.24839,12.081142,14.554495999999999,17.24839,3.0756967,11.119066,0.99999493,-0.544,17.147697,90,12.415980000000001,76.40899
90,1820,402.4280905723572,-635.931,1.1721662,,18.89512081158411,,-0.078,0.11,28.499997999999998,0.9879585999999999,33.334953000000006,,13.730329500000002,11.955855999999999,17.24839,14.153979000000001,16.93153,17.24839,3.1545348,11.108017,0.99999493,-0.654,17.114399,91,12.408933,89.904236
