LQGsigma_higher,Iteration,TimestepsSoFar,LQGmu1_actor,TimeElapsed,ReturnMean,LQGmu1_higher
0.14999999,76,1520,-0.58877265,0.6139421463012695,17.357672,-0.62
0.14999999,77,1540,-0.73621035,0.6218352317810059,17.358109,-0.62
0.14999999,78,1560,-0.5904219,0.6296184062957764,17.35834,-0.62
0.14999999,79,1580,-0.5497663,0.6367924213409424,17.358986,-0.62
0.14999999,80,1600,-0.9353415,0.6436874866485596,17.359158,-0.62
0.14999999,81,1620,-0.6805852,0.6509311199188232,17.357885,-0.62
0.14999999,82,1640,-0.4148354,0.6595916748046875,17.358484,-0.62
0.14999999,83,1660,-0.86442316,0.6669204235076904,17.357563,-0.62
0.14999999,84,1680,-0.50438994,0.6737122535705566,17.356989,-0.62
0.14999999,85,1700,-0.6893727,0.6810147762298584,17.35685,-0.62
0.14999999,86,1720,-0.7027066,0.6877398490905762,17.357252,-0.62
