Iteration,InvPendulum_std1_higher,InvPendulum_std2_higher,ReturnAbsMax,MinEpLen,IWMax,InvPendulum_mu0_higher,InvPendulum_mu1_higher,NumTrainableParams,Regret/t,TimeElapsed,NumTrajectories,ReturnStepMax,Bound,GridSize,DenMISEMeanLog,BoundMISE,IWMean,DenMISELogLast,InvPendulum_mu3_higher,TimestepsSoFar,InvPendulum_mu2_higher,InvPendulum_std3_higher,Regret,ReturnMean,DenMISELogFirst,Delta,IWLastEpisode,ReturnMin,InvPendulum_std0_higher,IWMin,BoundBonus,AvgEpLen,ReturnLastEpisode,IWFirstEpisode,ActionIn1,ReturnMax
18,0.0009999999,0.0009999999,137.88452,14,17.999992,-0.2,-0.2,,120.75906,2.925058603286743,18,137.88452,706.83777,16,19.539734,-82.13846,0.9999996,21.184765,-0.2,475,-0.2,0.0009999999,2173.663,-115.75906,20.214441,2.2074333e-05,,-137.88452,0.0009999999,,788.97626,26.38888888888889,-127.73481,,-0.8022493,
19,0.0009999999,0.0009999999,137.88452,14,19.0,-0.2,0.2,,120.14643,3.0494225025177,19,137.88452,710.5288,16,19.558884,-82.41635,1.0,20.183645,-0.2,491,-0.2,0.0009999999,2282.7822,-115.14643,20.160374,1.9811867e-05,,-137.88452,0.0009999999,,792.9451,25.842105263157894,-104.1194,,-0.39973605,
20,0.0009999999,0.0009999999,137.88452,14,19.99998,0.2,0.2,,119.748535,3.176083564758301,20,137.88452,713.9353,16,19.557829,-82.75682,0.99999905,19.819212,-0.2,512,-0.2,0.0009999999,2394.9707,-114.748535,20.109081,1.788021e-05,,-137.88452,0.0009999999,,796.69214,25.6,-107.188515,,0.002239436,
21,0.0009999999,0.0009999999,137.88452,14,21.000017,-0.2,0.2,,119.49128,3.3250584602355957,21,137.88452,715.98004,16,19.524897,-84.25993,1.0000008,19.148922,-0.2,528,0.2,0.0009999999,2509.317,-114.49128,20.06029,1.6217875e-05,,-137.88452,0.0009999999,,800.24,25.142857142857142,-109.346054,,2.1278858e-05,
22,0.0009999999,0.0009999999,137.88452,14,21.99998,-0.2,0.2,,119.280975,3.5021419525146484,22,137.88452,718.35925,16,19.572388,-85.24887,0.9999991,20.853447,0.2,548,-0.2,0.0009999999,2624.1814,-114.280975,20.013771,1.4777031e-05,,-137.88452,0.0009999999,,803.60815,24.90909090909091,-109.864685,,-0.0040114224,
23,0.0009999999,0.0009999999,137.88452,14,23.0,0.2,0.2,,119.19556,3.6536285877227783,23,137.88452,719.1767,16,19.550816,-87.63673,1.0,19.36103,0.2,572,-0.2,0.0009999999,2741.4978,-114.19556,19.969318,1.3520007e-05,,-137.88452,0.0009999999,,806.8134,24.869565217391305,-112.31635,,0.39955682,
24,0.0009999999,0.0009999999,137.88452,14,23.999977,-0.2,-0.2,,119.12493,3.8167645931243896,24,137.88452,721.3862,16,19.592768,-88.48417,0.99999905,20.84341,0.2,589,-0.2,0.0009999999,2858.9983,-114.12493,19.92676,1.2416813e-05,,-137.88452,0.0009999999,,809.8704,24.541666666666668,-112.50047,,-0.39826164,
25,0.0009999999,0.0009999999,137.88452,14,25.000002,0.2,-0.2,,119.817444,4.0332887172698975,25,137.88452,722.09216,16,19.589397,-90.69959,1.0000001,19.795055,-0.2,628,-0.2,0.0009999999,2995.436,-114.817444,19.885937,1.1443334e-05,,-137.88452,0.0009999999,,812.79175,25.12,-131.4376,,-0.4029001,
26,0.0009999999,0.0009999999,137.88452,14,26.000004,0.2,0.2,,119.32419,4.244776248931885,26,137.88452,723.5408,16,19.474257,-92.04789,1.0000001,16.88314,-0.2,651,0.2,0.0009999999,3102.429,-114.32419,19.846716,1.0580005e-05,,-137.88452,0.0009999999,,815.5887,25.03846153846154,-101.99302,,0.39650416,
27,0.0009999999,0.0009999999,137.88452,13,27.000015,0.2,-0.2,,118.990616,4.422350645065308,27,137.88452,725.3954,16,19.385586,-92.875595,1.0000006,17.368254,0.2,664,0.2,0.0009999999,3212.7466,-113.990616,19.808975,9.810813e-06,,-137.88452,0.0009999999,,818.271,24.59259259259259,-105.3176,,0.39985096,
28,0.0009999999,0.0009999999,137.88452,13,28.00001,0.2,-0.2,,119.4364,4.621337175369263,28,137.88452,723.4952,16,19.340845,-97.35232,1.0000004,18.421589,-0.2,694,0.2,0.0009999999,3344.2192,-114.4364,19.772608,9.122555e-06,,-137.88452,0.0009999999,,820.8475,24.785714285714285,-126.47287,,-0.00027121603,
29,0.0009999999,0.0009999999,137.88452,13,29.000011,-0.2,0.2,,119.37557,4.820464611053467,29,137.88452,721.11316,16,19.384312,-102.212616,1.0000004,20.89083,0.2,714,0.2,0.0009999999,3461.8916,-114.37557,19.737516,8.504261e-06,,-137.88452,0.0009999999,,823.3258,24.620689655172413,-112.67225,,0.3988455,
30,0.0009999999,0.0009999999,137.88452,13,30.000002,0.2,-0.2,,119.21069,5.063497543334961,30,137.88452,723.22614,16,19.396002,-102.487015,1.0000001,20.024971,0.2,734,-0.2,0.0009999999,3576.3208,-114.21069,19.703615,7.94676e-06,,-137.88452,0.0009999999,,825.71313,24.466666666666665,-109.42895,,0.00029467046,
31,0.0009999999,0.0009999999,137.88452,13,30.999983,0.2,0.2,,119.863075,5.276660442352295,31,137.88452,724.83887,16,19.331736,-103.17672,0.99999946,17.694363,0.2,775,0.2,0.0009999999,3715.7554,-114.863075,19.670826,7.4423347e-06,,-137.88452,0.0009999999,,828.01556,25.0,-134.43471,,0.7986944,
32,0.0009999999,0.0009999999,137.88452,13,32.000015,-0.2,-0.2,,119.68092,5.422074556350708,32,137.88452,721.5517,16,19.359842,-108.6872,1.0000005,20.522142,0.2,789,0.2,0.0009999999,3829.7896,-114.68092,19.639076,6.984457e-06,,-137.88452,0.0009999999,,830.2389,24.65625,-109.03433,,-0.002700016,
33,0.0009999999,0.0009999999,137.88452,13,,-0.2,-0.2,,120.253685,5.6183624267578125,33,137.88452,inf,81,19.335258,,,18.840141,,825,-0.2,0.0009999999,3968.3716,-115.253685,19.608305,1.3615693e-06,,-137.88452,0.0009999999,,inf,25.0,-133.58218,,-0.59809846,
34,0.0009999999,0.0009999999,137.88452,13,,-0.2,-0.2,,120.373825,10.517250537872314,34,137.88452,inf,81,19.313148,,,19.568707,-0.2,861,,0.0009999999,4092.71,-115.373825,19.578453,1.2826548e-06,,-137.88452,0.0009999999,,inf,25.323529411764707,-119.33837,,-0.5983212,
35,0.0009999999,0.0009999999,137.88452,13,,-0.2,-0.2,,119.94108,11.042677879333496,35,137.88452,inf,81,19.231794,,,17.451288,,932,,0.0009999999,4197.9375,-114.94108,19.549465,1.2104073e-06,,-137.88452,0.0009999999,,inf,26.62857142857143,-100.22752,,-0.40247142,
36,0.0009999999,0.0009999999,495.66306,13,,-0.2,-0.2,,130.5167,12.145259618759155,36,495.66306,inf,81,19.180264,,,18.362694,0.2,1432,,0.0009999999,4698.6006,-125.516685,19.521294,1.1440965e-06,,-495.66306,0.0009999999,,inf,39.77777777777778,-495.66306,,-0.20023564,
37,0.0009999999,0.0009999999,495.66306,13,,-0.2,-0.2,,140.49907,13.341177225112915,37,495.66306,inf,81,19.152815,,,19.150984,,1932,0.2,0.0009999999,5198.466,-135.49907,19.493895,1.0830892e-06,,-495.66306,0.0009999999,,inf,52.21621621621622,-494.86548,,-0.19971195,
38,0.0009999999,0.0009999999,495.66306,13,,,-0.2,,140.42761,13.831487655639648,38,495.66306,inf,81,19.149588,,,20.016964,-0.2,1978,-0.2,0.0009999999,5336.249,-135.42761,19.467226,1.0268345e-06,,-495.66306,0.0009999999,,inf,52.05263157894737,-132.78271,,-0.59930146,
39,0.0009999999,0.0009999999,495.66306,13,,,-0.2,,139.67665,14.376086235046387,39,495.66306,inf,81,19.12625,,,19.22644,,1995,-0.2,0.0009999999,5447.3896,-134.67665,19.441252,9.748514e-07,,-495.66306,0.0009999999,,inf,51.15384615384615,-106.14097,,-0.4012737,
40,0.0009999999,0.0009999999,495.66306,13,,,-0.2,,139.38449,14.871274948120117,40,495.66306,inf,81,19.079773,,,18.254507,0.2,2024,-0.2,0.0009999999,5575.38,-134.38449,19.415934,9.267181e-07,,-495.66306,0.0009999999,,inf,50.6,-122.989815,,-0.20237783,
41,0.0009999999,0.0009999999,495.66306,13,,,-0.2,,139.08777,15.367107391357422,41,495.66306,inf,81,19.061033,,,19.299267,-0.2,2049,,0.0009999999,5702.5986,-134.08777,19.391241,8.820637e-07,,-495.66306,0.0009999999,,inf,49.97560975609756,-122.21904,,-0.40044633,
42,0.0009999999,0.0009999999,495.66306,13,,,-0.2,,139.16264,16.01166296005249,42,495.66306,inf,81,19.043541,,,19.314308,,2165,,0.0009999999,5844.831,-134.16264,19.367144,8.405606e-07,,-495.66306,0.0009999999,,inf,51.54761904761905,-137.23213,,-0.2006735,
43,0.0009999999,0.0009999999,495.66306,13,,,-0.2,,147.1808,17.15577983856201,43,495.66306,inf,81,19.00956,,,18.570593,0.2,2665,,0.0009999999,6328.7744,-142.1808,19.343613,8.019195e-07,,-495.66306,0.0009999999,,inf,61.97674418604651,-478.94336,,0.003139183,
44,0.0009999999,0.0009999999,497.50015,13,,,-0.2,,155.25624,18.48194456100464,44,497.50015,inf,81,18.92144,,,16.120817,-0.2,3165,0.2,0.0009999999,6831.2744,-150.25624,19.320623,7.658827e-07,,-497.50015,0.0009999999,,inf,71.93181818181819,-497.50015,,-0.19699436,
45,0.0009999999,0.0009999999,497.50015,13,,,-0.2,,154.26357,18.9600989818573,45,497.50015,inf,81,18.890408,,,18.513826,,3184,0.2,0.0009999999,6941.8604,-149.26357,19.298151,7.3222174e-07,,-497.50015,0.0009999999,,inf,70.75555555555556,-105.586075,,-0.0059748683,
46,0.0009999999,0.0009999999,497.50015,13,,,-0.2,,153.7105,19.60040044784546,46,497.50015,inf,81,18.737053,,,12.82515,0.2,3212,0.2,0.0009999999,7070.683,-148.7105,19.27617,7.0073213e-07,,-497.50015,0.0009999999,,inf,69.82608695652173,-123.82249,,0.20073074,
47,0.0009999999,0.0009999999,497.50015,13,,0.2,-0.2,,153.48737,20.19896101951599,47,497.50015,inf,81,18.741001,,,19.91193,,3260,-0.2,0.0009999999,7213.9062,-148.48737,19.254665,6.7123085e-07,,-497.50015,0.0009999999,,inf,69.36170212765957,-138.22345,,-0.20007029,
48,0.0009999999,0.0009999999,497.50015,13,,0.2,-0.2,,152.80806,20.83812713623047,48,497.50015,inf,81,18.697687,,,17.651419,-0.2,3281,,0.0009999999,7334.787,-147.80806,19.233612,6.435543e-07,,-497.50015,0.0009999999,,inf,68.35416666666667,-115.880516,,-0.2002076,
49,0.0009999999,0.0009999999,497.50015,13,,0.2,-0.2,,151.9092,21.389552116394043,49,497.50015,inf,81,18.68269,,,18.952574,,3334,,0.0009999999,7443.551,-146.9092,19.212992,6.175547e-07,,-497.50015,0.0009999999,,inf,68.04081632653062,-103.76414,,0.000860599,
50,0.0009999999,0.0009999999,497.50015,13,,0.2,-0.2,,151.67006,21.97603702545166,50,497.50015,inf,81,18.656588,,,18.36753,0.2,3374,,0.0009999999,7583.503,-146.67006,19.19279,5.930996e-07,,-497.50015,0.0009999999,,inf,67.48,-134.95227,,0.20095964,
51,0.0009999999,0.0009999999,497.50015,13,,0.2,-0.2,,153.53427,22.619447231292725,51,497.50015,inf,81,18.64605,,,19.109247,,3517,0.2,0.0009999999,7830.248,-148.53427,19.172987,5.700688e-07,,-497.50015,0.0009999999,,inf,68.96078431372548,-241.74469,,0.19622661,
52,0.0009999999,0.0009999999,497.50015,13,,-0.2,,,153.00494,23.1309814453125,52,497.50015,inf,81,18.606096,,,17.55885,-0.2,3544,-0.2,0.0009999999,7956.257,-148.00494,19.153568,5.483539e-07,,-497.50015,0.0009999999,,inf,68.15384615384616,-121.008804,,-0.6004441,
53,0.0009999999,0.0009999999,497.50015,13,,-0.2,,,152.1975,23.716246843338013,53,497.50015,inf,81,18.57272,,,17.827564,,3561,-0.2,0.0009999999,8066.4673,-147.1975,19.134521,5.2785657e-07,,-497.50015,0.0009999999,,inf,67.18867924528301,-105.210526,,-0.39601582,
54,0.0009999999,0.0009999999,497.50015,13,,-0.2,,,151.52724,24.31913685798645,54,497.50015,inf,81,18.529041,,,17.204792,0.2,3586,-0.2,0.0009999999,8182.4707,-146.52724,19.11583,5.084873e-07,,-497.50015,0.0009999999,,inf,66.4074074074074,-111.00364,,-0.20047948,
55,0.0009999999,0.0009999999,497.50015,13,,-0.2,,,151.02899,24.88884949684143,55,497.50015,inf,81,18.519455,,,18.992678,-0.2,3608,,0.0009999999,8306.595,-146.02899,19.097479,4.9016495e-07,,-497.50015,0.0009999999,,inf,65.6,-119.123375,,-0.3995198,
56,0.0009999999,0.0009999999,497.50015,13,,-0.2,,,150.44417,25.51325035095215,56,497.50015,inf,81,18.509958,,,18.978594,,3723,,0.0009999999,8424.873,-145.44417,19.07946,4.7281532e-07,,-497.50015,0.0009999999,,inf,66.48214285714286,-113.27846,,-0.20029436,
57,0.0009999999,0.0009999999,497.50015,13,,-0.2,,,156.11633,26.720715761184692,57,497.50015,inf,81,18.507061,,,19.335981,0.2,4223,,0.0009999999,8898.631,-151.11633,19.061762,4.563709e-07,,-497.50015,0.0009999999,,inf,74.08771929824562,-468.75775,,0.0028406978,
58,0.0009999999,0.0009999999,497.50015,13,,-0.2,,,156.2033,27.26843285560608,58,497.50015,inf,81,18.419573,,,14.42402,-0.2,4289,0.2,0.0009999999,9059.791,-151.2033,19.044369,4.4076967e-07,,-497.50015,0.0009999999,,inf,73.94827586206897,-156.15994,,-0.20305924,
59,0.0009999999,0.0009999999,497.50015,13,,-0.2,,,155.4179,27.806567907333374,59,497.50015,inf,81,18.391275,,,17.741524,,4304,0.2,0.0009999999,9169.655,-150.4179,19.027275,4.259549e-07,,-497.50015,0.0009999999,,inf,72.94915254237289,-104.86406,,0.0008805065,
60,0.0009999999,0.0009999999,497.50015,13,,-0.2,,,155.05948,28.385934829711914,60,497.50015,inf,81,18.365501,,,17.836525,0.2,4336,0.2,0.0009999999,9303.568,-150.05948,19.010468,4.1187477e-07,,-497.50015,0.0009999999,,inf,72.26666666666667,-128.91293,,0.19833553,
61,0.0009999999,0.0009999999,497.50015,13,,,,,154.6015,28.977729558944702,61,497.50015,inf,81,18.348993,,,18.350237,-0.2,4363,-0.2,0.0009999999,9430.691,-149.6015,18.993938,3.984813e-07,,-497.50015,0.0009999999,,inf,71.52459016393442,-122.1245,,-0.4007726,
62,0.0009999999,0.0009999999,497.50015,13,,,,,154.16794,29.533121347427368,62,497.50015,inf,81,18.307995,,,16.799011,,4392,-0.2,0.0009999999,9558.412,-149.16794,18.977678,3.8573074e-07,,-497.50015,0.0009999999,,inf,70.83870967741936,-122.71992,,-0.19977318,
63,0.0009999999,0.0009999999,497.50015,13,,,,,153.54607,30.052541255950928,63,497.50015,inf,81,18.271698,,,17.013412,0.2,4406,-0.2,0.0009999999,9673.402,-148.54607,18.961678,3.735825e-07,,-497.50015,0.0009999999,,inf,69.93650793650794,-109.99021,,0.0010361224,
64,0.0009999999,0.0009999999,497.50015,13,,,,,153.04337,30.644742488861084,64,497.50015,inf,81,18.264015,,,18.772127,-0.2,4430,,0.0009999999,9794.775,-148.04337,18.94593,3.6199927e-07,,-497.50015,0.0009999999,,inf,69.21875,-116.37283,,-0.19988135,
65,0.0009999999,0.0009999999,497.50015,13,,,,,152.42969,31.25612759590149,65,497.50015,inf,81,18.267815,,,19.503174,,4496,,0.0009999999,9907.93,-147.42969,18.930426,3.5094652e-07,,-497.50015,0.0009999999,,inf,69.16923076923077,-108.15489,,-0.0013448659,
66,0.0009999999,0.0009999999,497.50015,13,,,,,152.4457,31.85989546775818,66,497.50015,inf,81,18.266161,,,19.151176,0.2,4548,,0.0009999999,10061.416,-147.4457,18.915157,3.4039232e-07,,-497.50015,0.0009999999,,inf,68.9090909090909,-148.4863,,0.19615903,
67,0.0009999999,0.0009999999,497.50015,13,,,,,152.07655,32.49988007545471,67,497.50015,inf,81,18.218721,,,16.079979,-0.2,4574,0.2,0.0009999999,10189.129,-147.07655,18.90012,3.3030722e-07,,-497.50015,0.0009999999,,inf,68.26865671641791,-122.713234,,-0.0019018203,
68,0.0009999999,0.0009999999,497.50015,13,,,,,151.69106,33.154316663742065,68,497.50015,inf,81,18.210064,,,18.622675,,4598,0.2,0.0009999999,10314.992,-146.69106,18.885305,3.206637e-07,,-497.50015,0.0009999999,,inf,67.61764705882354,-120.86253,,0.20061162,
69,0.0009999999,0.0009999999,497.50015,13,,,,,151.30937,33.65793514251709,69,497.50015,inf,81,18.2085,,,19.094877,0.2,4622,0.2,0.0009999999,10440.347,-146.30937,18.870707,3.1143645e-07,,-497.50015,0.0009999999,,inf,66.98550724637681,-120.35429,,0.39997196,
70,0.0009999999,0.0009999999,497.50015,13,,0.2,,,150.92117,34.229896783828735,70,497.50015,inf,81,18.213535,,,19.553951,-0.2,4644,-0.2,0.0009999999,10564.482,-145.92117,18.856318,3.0260182e-07,,-497.50015,0.0009999999,,inf,66.34285714285714,-119.13625,,-0.19732042,
71,0.0009999999,0.0009999999,497.50015,13,,0.2,,,150.49915,34.792022705078125,71,497.50015,inf,81,18.192898,,,17.741142,,4674,-0.2,0.0009999999,10685.439,-145.49915,18.842133,2.9413786e-07,,-497.50015,0.0009999999,,inf,65.83098591549296,-115.9563,,0.0019967891,
72,0.0009999999,0.0009999999,497.50015,13,,0.2,,,149.96443,35.403120279312134,72,497.50015,inf,81,18.189594,,,18.94801,0.2,4687,-0.2,0.0009999999,10797.439,-144.96443,18.828146,2.8602412e-07,,-497.50015,0.0009999999,,inf,65.09722222222223,-107.000465,,0.19936323,
73,0.0009999999,0.0009999999,497.50015,13,,0.2,,,149.76004,35.908860206604004,73,497.50015,inf,81,18.187664,,,19.041899,-0.2,4725,,0.0009999999,10932.482,-144.76004,18.814354,2.7824152e-07,,-497.50015,0.0009999999,,inf,64.72602739726027,-130.04237,,0.00071412325,
74,0.0009999999,0.0009999999,497.50015,13,,0.2,,,149.28581,36.42821764945984,74,497.50015,inf,81,18.19162,,,19.473537,,4740,,0.0009999999,11047.15,-144.28581,18.800747,2.707723e-07,,-497.50015,0.0009999999,,inf,64.05405405405405,-109.66827,,0.19885556,
75,0.0009999999,0.0009999999,497.50015,13,,0.2,,,149.00026,37.026286602020264,75,497.50015,inf,81,18.134693,,,14.915262,0.2,4766,,0.0009999999,11175.02,-144.00026,18.787325,2.6359982e-07,,-497.50015,0.0009999999,,inf,63.54666666666667,-122.869736,,0.39792156,
76,0.0009999999,0.0009999999,497.50015,13,,0.2,,,148.76924,37.61142134666443,76,497.50015,inf,81,18.110907,,,17.320482,-0.2,4796,0.2,0.0009999999,11306.463,-143.76924,18.774078,2.5670863e-07,,-497.50015,0.0009999999,,inf,63.10526315789474,-126.44322,,0.19436431,
77,0.0009999999,0.0009999999,497.50015,13,,0.2,,,148.27318,38.22994923591614,77,497.50015,inf,81,18.056923,,,14.947603,,4810,0.2,0.0009999999,11417.035,-143.27318,18.761007,2.5008418e-07,,-497.50015,0.0009999999,,inf,62.467532467532465,-105.57202,,0.40100053,
78,0.0009999999,0.0009999999,497.50015,13,,0.2,,,147.7973,38.805487394332886,78,497.50015,inf,81,18.053024,,,18.746292,0.2,4830,0.2,0.0009999999,11528.189,-142.7973,18.748104,2.4371286e-07,,-497.50015,0.0009999999,,inf,61.92307692307692,-106.15378,,0.6003209,
79,0.0009999999,0.0009999999,497.50015,13,,-0.2,0.2,,147.48016,39.40770244598389,79,497.50015,inf,81,18.04392,,,18.327576,,4856,-0.2,0.0009999999,11650.933,-142.48016,18.735365,2.3758197e-07,,-497.50015,0.0009999999,,inf,61.46835443037975,-117.743774,,-0.20128459,
80,0.0009999999,0.0009999999,497.50015,13,,-0.2,0.2,,147.00127,39.94262981414795,80,497.50015,inf,81,18.027975,,,17.762028,-0.2,4872,,0.0009999999,11760.102,-142.00127,18.722786,2.3167952e-07,,-497.50015,0.0009999999,,inf,60.9,-104.16884,,-0.19583239,
81,0.0009999999,0.0009999999,497.50015,13,,-0.2,0.2,,146.6041,40.53855490684509,81,497.50015,inf,81,17.986332,,,15.648539,,4890,,0.0009999999,11874.932,-141.6041,18.710363,2.2599437e-07,,-497.50015,0.0009999999,,inf,60.370370370370374,-109.8306,,0.0019867078,
82,0.0009999999,0.0009999999,497.50015,13,,-0.2,0.2,,146.46233,41.17039632797241,82,497.50015,inf,81,17.96838,,,17.508165,0.2,4923,,0.0009999999,12009.91,-141.46233,18.698093,2.2051593e-07,,-497.50015,0.0009999999,,inf,60.03658536585366,-129.97849,,0.20100862,
83,0.0009999999,0.0009999999,497.50015,13,,-0.2,0.2,,147.11871,41.874863386154175,83,497.50015,inf,81,17.946869,,,17.177008,,5027,0.2,0.0009999999,12210.854,-142.11871,18.685972,2.1523427e-07,,-497.50015,0.0009999999,,inf,60.566265060240966,-195.94344,,0.20038173,
84,0.0009999999,0.0009999999,497.50015,13,,,0.2,,146.75243,42.46213173866272,84,497.50015,inf,81,17.949205,,,19.137136,-0.2,5043,-0.2,0.0009999999,12327.204,-141.75243,18.673996,2.1014014e-07,,-497.50015,0.0009999999,,inf,60.035714285714285,-111.3498,,-0.20022362,
85,0.0009999999,0.0009999999,497.50015,13,,,0.2,,146.34875,43.061246156692505,85,497.50015,inf,81,17.941772,,,18.311605,,5061,-0.2,0.0009999999,12439.645,-141.34875,18.66216,2.052248e-07,,-497.50015,0.0009999999,,inf,59.54117647058823,-107.44016,,0.0046447976,
86,0.0009999999,0.0009999999,497.50015,13,,,0.2,,145.94832,43.69591283798218,86,497.50015,inf,81,17.858917,,,11.810221,0.2,5077,-0.2,0.0009999999,12551.556,-140.94832,18.650465,2.0047987e-07,,-497.50015,0.0009999999,,inf,59.03488372093023,-106.91141,,0.1994782,
