InvPendulum_std0_higher,ReturnAbsMax,Regret,ActionIn1,IWMean,InvPendulum_mu0_higher,IWLastEpisode,Regret/t,TimestepsSoFar,InvPendulum_std1_higher,ReturnLastEpisode,IWMin,TimeElapsed,DenMISELogLast,InvPendulum_mu2_higher,Delta,InvPendulum_std2_higher,NumTrainableParams,MinEpLen,InvPendulum_mu1_higher,NumTrajectories,ReturnMax,DenMISELogFirst,Bound,Iteration,IWMax,IWFirstEpisode,AvgEpLen,GridSize,BoundBonus,InvPendulum_mu3_higher,BoundMISE,ReturnMean,DenMISEMeanLog,ReturnMin,ReturnStepMax,InvPendulum_std3_higher
0.0009999999,152.30708,3308.7422,0.0010214597,1.0000006,0.2,,122.546005,790,0.0009999999,-108.98523,,4.551502466201782,18.42558,-0.2,9.810813e-06,0.0009999999,,15,-0.2,27,,19.757328,810.3876,27,27.000015,,29.25925925925926,16,903.8612,0.2,-93.47365,-117.546005,19.106043,-152.30708,152.30708,0.0009999999
0.0009999999,152.30708,3430.9907,-0.40131292,1.0000004,-0.2,,122.535385,811,0.0009999999,-117.248604,,4.759583473205566,17.700918,-0.2,9.122555e-06,0.0009999999,,15,0.2,28,,19.72096,811.7184,28,28.00001,,28.964285714285715,16,906.7072,-0.2,-94.98883,-117.535385,19.045546,-152.30708,152.30708,0.0009999999
0.0009999999,152.30708,3542.7456,0.0018018782,1.0000004,-0.2,,122.16364,832,0.0009999999,-106.75493,,4.935290575027466,20.598415,-0.2,8.504261e-06,0.0009999999,,15,0.2,29,,19.68587,811.53784,29,29.000011,,28.689655172413794,16,909.4448,0.2,-97.90701,-117.16364,19.089113,-152.30708,152.30708,0.0009999999
0.0009999999,152.30708,3657.7202,-0.39972448,1.0000001,-0.2,,121.924,850,0.0009999999,-109.97442,,5.087808609008789,19.44175,-0.2,7.94676e-06,0.0009999999,,15,-0.2,30,,19.651968,807.1602,30,30.000002,,28.333333333333332,16,912.08185,0.2,-104.921646,-116.924,19.091204,-152.30708,152.30708,0.0009999999
0.0009999999,152.30708,3795.3057,0.40233403,0.99999946,0.2,,122.429214,888,0.0009999999,-132.5856,,5.335655212402344,20.152912,0.2,7.4423347e-06,0.0009999999,,15,-0.2,31,,19.619179,807.3266,31,30.999983,,28.64516129032258,16,914.6251,0.2,-107.29854,-117.429214,19.116077,-152.30708,152.30708,0.0009999999
0.0009999999,152.30708,3931.1953,0.0044440776,1.0000005,-0.2,,122.84985,921,0.0009999999,-130.88974,,5.484408617019653,19.549341,0.2,6.984457e-06,0.0009999999,,15,-0.2,32,,19.58743,808.1892,32,32.000015,,28.78125,16,917.08093,0.2,-108.89169,-117.84985,19.12052,-152.30708,152.30708,0.0009999999
0.0009999999,152.30708,4075.728,-0.59989643,,-0.2,,123.50691,965,0.0009999999,-139.53253,,5.634839296340942,18.096457,-0.2,1.3615693e-06,0.0009999999,,15,-0.2,33,,19.556658,inf,33,,,29.242424242424242,81,inf,,,-118.50691,19.080656,-152.30708,152.30708,0.0009999999
0.0009999999,152.30708,4215.6484,-0.6007149,,-0.2,,123.989655,1015,0.0009999999,-134.92017,,10.45030689239502,19.512775,,1.2826548e-06,0.0009999999,,15,-0.2,34,,19.526806,inf,34,,,29.852941176470587,81,inf,-0.2,,-118.989655,19.064388,-152.30708,152.30708,0.0009999999
0.0009999999,152.30708,4304.094,-0.40494823,,-0.2,,122.97412,1084,0.0009999999,-83.44614,,11.12575650215149,19.803862,,1.2104073e-06,0.0009999999,,15,-0.2,35,,19.497818,inf,35,,,30.97142857142857,81,inf,,,-117.97412,19.057356,-152.30708,152.30708,0.0009999999
0.0009999999,496.9749,4806.0693,-0.1993451,,-0.2,,133.50192,1584,0.0009999999,-496.9749,,12.481700420379639,15.293985,,1.1440965e-06,0.0009999999,,15,-0.2,36,,19.469646,inf,36,,,44.0,81,inf,0.2,,-128.50192,18.92543,-496.9749,496.9749,0.0009999999
0.0009999999,496.9749,5304.176,-0.20079683,,-0.2,,143.35611,2084,0.0009999999,-493.1066,,13.827280044555664,18.460073,0.2,1.0830892e-06,0.0009999999,,15,-0.2,37,,19.442247,inf,37,,,56.32432432432432,81,inf,,,-138.35611,18.886196,-496.9749,496.9749,0.0009999999
0.0009999999,496.9749,5451.7383,-0.5995144,,,,143.4668,2129,0.0009999999,-142.56206,,14.373253345489502,19.803549,-0.2,1.0268345e-06,0.0009999999,,15,-0.2,38,,19.415579,inf,38,,,56.026315789473685,81,inf,-0.2,,-138.4668,18.884369,-496.9749,496.9749,0.0009999999
0.0009999999,496.9749,5574.0137,-0.40286335,,,,142.92343,2152,0.0009999999,-117.275925,,14.896106719970703,17.524431,-0.2,9.748514e-07,0.0009999999,,15,-0.2,39,,19.389605,inf,39,,,55.17948717948718,81,inf,,,-137.92343,18.824188,-496.9749,496.9749,0.0009999999
0.0009999999,496.9749,5703.465,-0.20001927,,,,142.58662,2188,0.0009999999,-124.45134,,15.417887926101685,18.135122,-0.2,9.267181e-07,0.0009999999,,15,-0.2,40,,19.364286,inf,40,,,54.7,81,inf,0.2,,-137.58662,18.782278,-496.9749,496.9749,0.0009999999
0.0009999999,496.9749,5842.246,-0.39999157,,,,142.4938,2227,0.0009999999,-133.78117,,15.976800203323364,19.0759,,8.820637e-07,0.0009999999,,15,-0.2,41,,19.339594,inf,41,,,54.31707317073171,81,inf,-0.2,,-137.4938,18.765348,-496.9749,496.9749,0.0009999999
0.0009999999,496.9749,5933.064,-0.20004353,,,,141.26343,2296,0.0009999999,-85.81772,,16.57900047302246,17.069677,,8.405606e-07,0.0009999999,,15,-0.2,42,,19.315496,inf,42,,,54.666666666666664,81,inf,,,-136.26343,18.70145,-496.9749,496.9749,0.0009999999
0.0009999999,497.9289,6435.993,0.002348736,,,,149.67426,2796,0.0009999999,-497.9289,,17.718310832977295,19.499935,,8.019195e-07,0.0009999999,,15,-0.2,43,,19.291965,inf,43,,,65.02325581395348,81,inf,0.2,,-144.67426,18.697039,-497.9289,497.9289,0.0009999999
0.0009999999,498.95383,6939.9463,-0.20067632,,,,157.72606,3296,0.0009999999,-498.95383,,18.963441848754883,18.735779,0.2,7.658827e-07,0.0009999999,,15,-0.2,44,,19.268976,inf,44,,,74.9090909090909,81,inf,-0.2,,-152.72606,18.675453,-498.95383,498.95383,0.0009999999
0.0009999999,498.95383,7064.205,0.001568781,,,,156.98233,3327,0.0009999999,-119.25871,,19.557149410247803,19.966383,0.2,7.3222174e-07,0.0009999999,,15,-0.2,45,,19.246504,inf,45,,,73.93333333333334,81,inf,,,-151.98233,18.682165,-498.95383,498.95383,0.0009999999
0.0009999999,498.95383,7188.9365,0.20074296,,,,156.28123,3358,0.0009999999,-119.73069,,20.138997077941895,17.581469,0.2,7.0073213e-07,0.0009999999,,15,-0.2,46,,19.224524,inf,46,,,73.0,81,inf,0.2,,-151.28123,18.636736,-498.95383,498.95383,0.0009999999
