IWMin,ReturnMean,IWMax,ReturnAbsMax,Regret/t,LQGmu1_higher,Iteration,ReturnMin,DenMISELogFirst,ReturnMax,TimestepsSoFar,ReturnLastEpisode,ReturnStepMax,LQGmu1_actor,Delta,IWFirstEpisode,Bound,LQGsigma_higher,Regret,DenMISEMeanLog,IWLastEpisode,DenMISELogLast,IWMean,TimeElapsed
,0.6983449,28.504993,0.95641094,0.26677513,-0.75510204,56,,-0.8796336,0.95641094,1120,0.43999666,0.9994056,-0.8025196,3.8770855e-07,,37.023327,0.027547687,14.939407,-0.6259238,,-0.5357899,0.9813629,643.1826529502869
,0.7028684,0.95670694,0.95641094,0.26225162,0.14285715,57,,-0.8973332,0.95641094,1140,0.9561857,0.9994056,0.1721678,3.7422413e-07,,37.030224,0.021563897,14.948341,-0.62760174,,-0.55961853,0.017473547,655.0097215175629
,0.7042975,18.025455,0.95641094,0.26082253,0.9591837,58,,-0.91472495,0.95641094,1160,0.7857539,0.9994056,0.9745202,3.6143112e-07,,36.898815,0.03818524,15.127705,-0.6470146,,-0.7795497,1.0232556,665.214099407196
,0.6951789,12.795862,0.95641094,0.2699411,-0.10204082,59,,-0.9318194,0.95641094,1180,0.16630265,0.9994056,-0.072877094,3.4928303e-07,7.4378424e-14,36.879845,0.021563897,15.926525,-0.64195496,,-0.2942756,0.32676387,674.9679708480835
,0.69951653,9.573082,0.95641094,0.26560348,-0.020408163,60,,-0.94862646,0.95641094,1200,0.95543545,0.9994056,-0.015116127,3.377373e-07,1.5619667e-30,36.92233,0.021563897,15.936207,-0.656958,2.2449224,-0.851067,0.2691256,684.8672637939453
,0.70366544,31.042473,0.95641094,0.26145458,0.5102041,61,,-0.9651558,0.95641094,1220,0.9525997,0.9994056,0.5605024,3.2675467e-07,,36.226063,0.027547687,15.94873,-0.67453206,,-0.99175906,0.8270565,694.9790482521057
,0.6999834,28.051546,0.95641094,0.2651366,-0.67346936,62,,-0.9814163,0.95641094,1240,0.47538126,0.9994056,-0.6993869,3.162992e-07,,36.151928,0.027547687,16.438469,-0.678587,,-0.62905484,0.7448037,704.8595039844513
,0.704049,10.219639,0.95641094,0.26107103,-0.3877551,63,,-0.9974166,0.95641094,1260,0.95611584,0.9994056,-0.36779457,3.0633765e-07,0.001162282,36.059193,0.02339806,16.447475,-0.6831075,9.431045e-38,-0.6035342,0.27643904,714.7017719745636
,0.70798767,32.516956,0.95641094,0.25713235,-0.59183675,64,,-1.0131465,0.95641094,1280,0.9561225,0.9994056,-0.5819534,2.968394e-07,6.1348488e-27,36.00388,0.027547687,16.45647,-0.6992167,1.6762428e-13,-0.98196113,1.3046885,724.6443438529968
,0.7118087,32.96614,0.95641094,0.25331134,0.42857143,65,,-1.0286508,0.95641094,1300,0.9563533,0.9994056,0.4365308,2.8777617e-07,,35.72467,0.027547687,16.465237,-0.6942542,,-0.47032994,1.0971297,734.7595055103302
,0.7096528,33.73524,0.95641094,0.25546724,0.26530612,66,,-1.0439183,0.95641094,1320,0.569519,0.9994056,0.23747694,2.791217e-07,,35.17833,0.027547687,16.86084,-0.691895,9.357705e-08,-0.4592986,1.7778752,744.6935720443726
,0.7097478,32.965504,0.95641094,0.25537223,-0.5102041,67,,-1.058956,0.95641094,1340,0.71601546,0.9994056,-0.46149164,2.708519e-07,2.9231754e-14,34.991795,0.027547687,17.10994,-0.6857393,,-0.74589187,0.7964638,754.8352673053741
,0.7133678,34.319138,0.95641094,0.2517522,0.3469388,68,,-1.0737711,0.95641094,1360,0.9559104,0.9994056,0.38236925,2.6294424e-07,,34.79425,0.027547687,17.119148,-0.6943946,,-0.9693425,0.55520123,764.2154424190521
,0.7113826,22.334835,0.95641094,0.2537374,-0.9591837,69,,-1.08837,0.95641094,1380,0.5763901,0.9994056,-0.9102308,2.553779e-07,,34.80656,0.03818524,17.507885,-0.70299745,,-0.75379235,1.1439364,773.8191869258881
,0.7148798,16.877388,0.95641094,0.2502402,0.79591835,70,,-1.1027586,0.95641094,1400,0.9561888,0.9994056,0.7906159,2.4813352e-07,,34.611515,0.03818524,17.516815,-0.69841903,,-0.41455552,0.91987437,784.4608736038208
,0.7093964,35.529915,0.95641094,0.2557236,-0.30612245,71,,-1.1169434,0.95641094,1420,0.32555902,0.9994056,-0.28695565,2.4119305e-07,28.292292,34.53006,0.027547687,18.156376,-0.69780844,,-0.50796086,1.1921669,795.7271847724915
,0.7128227,31.380346,0.95641094,0.25229734,-0.2244898,72,,-0.7955415,0.95641094,1440,0.9560879,0.9994056,-0.23469245,2.3453978e-07,4.192122,34.39602,0.027547687,18.165405,-0.6974987,2.2263544,-0.69836736,1.3451159,807.0461869239807
,0.7161487,37.140198,0.95641094,0.24897134,0.020408163,73,,-0.7527429,0.95641094,1460,0.9556195,0.9994056,0.024239944,2.2815804e-07,4.4971994e-25,34.25961,0.027547687,18.174904,-0.6938853,6.1744847e-18,-0.577829,1.1160855,817.1164484024048
,0.7192851,36.8574,0.95641094,0.24583495,0.18367347,74,,-0.76634854,0.95641094,1480,0.9482435,0.9994056,0.22106418,2.2203328e-07,,34.274223,0.027547687,18.191788,-0.69255894,1.3442154e-06,-0.555249,0.7347978,827.0118954181671
,0.7191469,37.953106,0.95641094,0.24597311,-0.06122449,75,,-0.77977157,0.95641094,1500,0.70891947,0.9994056,-0.0523741,2.1615185e-07,6.241733e-13,34.176,0.027547687,18.447987,-0.69941884,5.302583e-22,-0.84172064,1.1437052,836.8368756771088
,0.7222569,33.83576,0.95641094,0.24286312,0.10204082,76,,-0.7930168,0.95641094,1520,0.95550793,0.9994056,0.10777576,2.1050109e-07,,33.915688,0.027547687,18.457596,-0.69881064,3.992849e-06,-0.6061689,0.5992242,847.016325712204
,0.7240168,35.151863,0.95641094,0.24110323,-0.42857143,77,,-0.80608886,0.95641094,1540,0.85776865,0.9994056,-0.4517289,2.0506903e-07,0.00013050756,33.774055,0.029890813,18.564949,-0.70368475,,-0.5954454,1.1361729,856.9686133861542
,0.72699535,39.06487,0.95641094,0.23812467,-0.14285715,78,,-0.8189906,0.95641094,1560,0.95634353,0.9994056,-0.1374251,1.9984455e-07,0.00013468153,33.702297,0.027547687,18.573723,-0.705007,1.6068194e-26,-0.7914942,0.62305915,866.8917326927185
,0.729896,24.962164,0.95641094,0.23522401,-0.79591835,79,,-0.8317279,0.95641094,1580,0.95614856,0.9994056,-0.7780391,1.948172e-07,,32.92779,0.03818524,18.582699,-0.7098454,,-0.61916924,1.0550423,876.8735811710358
,0.73272085,19.696499,0.95641094,0.23239917,0.877551,80,,-0.84430665,0.95641094,1600,0.955883,0.9994056,0.7830382,1.899772e-07,,32.89904,0.044957362,18.591934,-0.708675,,-0.5786634,0.8064388,887.1300003528595
,0.7280202,25.722939,0.95641094,0.23709983,0.63265306,81,,-0.8567292,0.95641094,1620,0.35196596,0.9994056,0.61723,1.8531539e-07,,32.904156,0.03818524,19.205086,-0.7102345,0.008123556,-0.5957697,1.164153,897.5156321525574
,0.72479796,21.220863,0.95641094,0.24032205,1.0,82,,-0.8689993,0.95641094,1640,0.4637973,0.9994056,1.0723964,1.8082306e-07,,32.756355,0.0529305,19.706406,-0.7083707,6.158029e-11,-0.61720026,0.90524757,907.4132537841797
,0.7177478,26.382597,0.95641094,0.24737221,0.46938777,83,,-0.8811206,0.95641094,1660,0.13963342,0.9994056,0.4071654,1.7649211e-07,,31.263529,0.03818524,20.531898,-0.7390535,,-3.0957096,0.91959345,917.560409784317
,0.71636754,20.85634,0.95641094,0.24875247,-0.63265306,84,,-0.89309686,0.95641094,1680,0.60180694,0.9994056,-0.6032224,1.7231491e-07,7.8217926e-18,31.18696,0.03818524,20.89521,-0.74125004,,-0.7699489,0.74228865,928.4874184131622
,0.7191866,18.774385,0.95641094,0.24593341,-0.877551,85,,-0.9049313,0.95641094,1700,0.9559867,0.9994056,-0.89834315,1.6828433e-07,9.722181e-38,31.047646,0.044957362,20.904343,-0.74271643,1.2841433e-07,-0.5659279,0.97171056,939.7548804283142
,0.721942,14.614681,0.95641094,0.24317801,0.71428573,86,,-0.91662735,0.95641094,1720,0.9561554,0.9994056,0.6894973,1.6439348e-07,,30.944225,0.044957362,20.913307,-0.74190426,,-0.5865636,0.9760584,951.2588291168213
,0.718396,31.576836,0.95641094,0.24672401,-0.3469388,87,,-0.92818815,0.95641094,1740,0.41343793,0.9994056,-0.37415102,1.6063603e-07,4.7155933,30.525717,0.035191916,21.464989,-0.7406304,,-0.5598845,1.083499,963.5531005859375
,0.7210964,30.871382,0.95641094,0.24402362,0.2244898,88,,-0.88683254,0.95641094,1760,0.9560304,0.9994056,0.1869267,1.5700596e-07,,30.326693,0.035191916,21.474083,-0.74327433,,-0.93438137,1.5244384,974.9329705238342
,0.72164196,16.264698,0.95641094,0.24347806,-1.0,89,,-0.8981321,0.95641094,1780,0.7696552,0.9994056,-1.0460786,1.5349757e-07,,30.341434,0.0529305,21.669548,-0.7375173,,-0.5897189,0.7275367,986.2046086788177
,0.7242436,31.104223,0.95641094,0.24087644,0.06122449,90,,-0.9093054,0.95641094,1800,0.9557839,0.9994056,0.11645197,1.5010546e-07,1.0622288e-19,29.73593,0.035191916,21.678879,-0.75643665,,-2.1288388,1.0577518,997.2855842113495
,0.72603875,11.75208,0.95641094,0.23908126,0.30612245,91,,-0.92035526,0.95641094,1820,0.8876022,0.9994056,0.3261134,1.4682455e-07,,29.738514,0.03818524,21.756393,-0.7569015,9.787054e-05,-0.75788224,0.63848805,1008.1165454387665
,0.7250455,27.921026,0.95641094,0.24007452,-0.18367347,92,,-0.9312843,0.95641094,1840,0.63465667,0.9994056,-0.17562543,1.4365008e-07,0.6756345,29.602097,0.035191916,22.086853,-0.76047987,,-0.7003148,0.9787439,1019.1610627174377
,0.72753006,21.119387,0.95641094,0.23758996,-0.5102041,93,,-0.9347782,0.95641094,1860,0.95611227,0.9994056,-0.43833184,1.4057744e-07,4.900995e-06,29.526752,0.041433174,22.095871,-0.7614951,1.4116269e-13,-0.7503366,0.9582345,1030.1640813350677
,0.72996545,23.329468,0.9564623,0.23515457,-0.71428573,94,,-0.94547343,0.9564623,1880,0.9564623,0.99944884,-0.692517,1.3760231e-07,1.2650131e-19,29.489166,0.044957362,22.10453,-0.7627151,1.2730229e-07,-0.77848065,0.8543822,1041.4273686408997
,0.7323474,23.265846,0.9564623,0.23277259,0.5510204,95,,-0.9560556,0.9564623,1900,0.95625013,0.99944884,0.5198983,1.3472066e-07,,29.454576,0.044957362,22.113396,-0.7639403,,-0.6759244,0.8954013,1052.3967096805573
,0.7300989,29.581999,0.9564623,0.23502111,-0.020408163,96,,-0.96652687,0.9564623,1920,0.516486,0.99944884,0.020210097,1.3192863e-07,2.4994296e-09,29.244123,0.03818524,22.562027,-0.76388544,,-0.6013046,0.98394126,1063.5508728027344
,0.73230654,25.752441,0.9564623,0.23281348,-0.26530612,97,,-0.97688967,0.9564623,1940,0.9442456,0.99944884,-0.24949923,1.2922246e-07,25.752441,29.195253,0.03818524,22.582901,-0.76280886,1.3374438e-11,-0.56973493,1.138379,1077.856278181076
,0.7345805,18.89451,0.9564623,0.2305395,0.14285715,98,,-0.75168747,0.9564623,1960,0.9551543,0.99944884,0.11582019,1.265987e-07,5.1064612e-26,28.98127,0.03818524,22.592873,-0.7621117,2.6049389e-22,-0.7428117,0.77398854,1093.270479440689
,0.73486114,14.823139,0.9564623,0.23025888,0.79591835,99,,-0.7618398,0.9564623,1980,0.76236296,0.99944884,0.8357163,1.2405411e-07,,28.900433,0.057432614,22.795631,-0.76380056,4.774083e-30,-0.66003925,1.0129884,1108.986117362976
,0.730506,25.404716,0.9564623,0.23461401,0.3877551,100,,-0.77189016,0.9564623,2000,0.29934335,0.99944884,0.33371305,1.2158542e-07,,28.467869,0.044957362,23.461403,-0.76149154,4.0358724e-21,-0.4998189,1.1227195,1123.4962785243988
,0.7300344,11.851417,0.9564623,0.2350856,0.9183673,101,,-0.7818405,0.9564623,2020,0.6828758,0.99944884,0.82251763,1.1918971e-07,,27.789373,0.06761824,23.743645,-0.76006365,6.6606483e-16,-0.6600187,0.945063,1136.347886800766
,0.72583663,17.191526,0.9564623,0.23928338,-0.10204082,102,,-0.7916928,0.9564623,2040,0.3018722,0.99944884,-0.035576254,1.1686409e-07,0.0020817334,27.434845,0.041433174,24.406906,-0.7585874,,-0.52199155,0.7612719,1155.1677458286285
,0.72806674,15.327328,0.9564623,0.23705328,-0.79591835,103,,-0.80142856,0.9564623,2060,0.9555292,0.99944884,-0.78835326,1.14605925e-07,4.6970875e-17,27.356995,0.057432614,24.416489,-0.76148707,1.3242192e-37,-0.78063345,0.9603014,1174.6676878929138
,0.73025924,15.488045,0.9564623,0.23486078,0.63265306,104,,-0.81109047,0.9564623,2080,0.9560827,0.99944884,0.5610022,1.1241255e-07,,27.2021,0.057432614,24.425522,-0.7613519,,-0.6670992,1.0543921,1192.6264848709106
