IWMin,Delta,ReturnLastEpisode,TimestepsSoFar,LQGsigma_higher,DenMISELogFirst,ReturnMax,IWMax,IWMean,Iteration,DenMISEMeanLog,ReturnStepMax,ReturnAbsMax,LQGmu1_actor,ReturnMin,TimeElapsed,Regret/t,IWFirstEpisode,Bound,IWLastEpisode,Regret,DenMISELogLast,LQGmu1_higher,ReturnMean
,7.599088e-07,0.9438307,800,0.01831564,-5.2349057,0.9563637,0.53300494,0.013325123,40,-0.655407,0.99935853,0.9563637,-0.18565865,,449.9807002544403,0.32674855,,39.062508,1.743073e-21,13.069942,-1.0335858,-0.18367347,0.63837147
,7.2329226e-07,0.956278,820,0.01831564,-5.2595983,0.9563637,0.13535881,0.0033014345,41,-0.6783138,0.99935853,0.9563637,-0.016699374,,461.76088070869446,0.31899476,,39.067516,3.842327e-09,13.078785,-0.6201174,-0.06122449,0.64612526
,6.8925965e-07,0.95604235,840,0.021563897,-5.2836957,0.9563637,176.83383,4.930923,42,-0.7397089,0.99935853,0.9563637,-0.013685886,,473.5820503234863,0.31161577,,40.481766,176.83383,13.087864,-2.2722046,-0.020408163,0.65350425
,6.5757393e-07,0.9524629,860,0.027547687,-5.307226,0.9563637,21.410269,1.2552233,43,-0.70941854,0.99935853,0.9563637,-0.92703974,,485.18325638771057,0.30466324,,38.810246,,13.100519,-0.6422554,-0.9183673,0.6604568
,6.280238e-07,0.9557548,880,0.021563897,-5.330216,0.9563637,98.57117,2.275192,44,-0.69310164,0.99935853,0.9563637,-0.38201308,,496.76887369155884,0.29795194,,38.74894,,13.109886,-0.060941823,-0.3877551,0.6671681
,6.0042186e-07,0.9562992,900,0.027547687,-5.352689,0.9563637,22.916515,1.1300004,45,-0.68810666,0.99935853,0.9563637,0.79506135,,508.4726769924164,0.2915268,2.3722743e-31,38.702488,,13.118706,-0.68951654,0.75510204,0.6735932
,5.7460034e-07,0.31906587,920,0.021563897,-5.3746676,0.9563637,31.149477,0.7060772,46,-0.6821768,0.99935853,0.9563637,0.38700786,,520.2697427272797,0.2992339,,38.49705,,13.764759,-0.3596401,0.3877551,0.6658861
,5.5040925e-07,0.5613299,940,0.021563897,-5.396174,0.9563637,28.402882,0.61195403,47,-0.6927703,0.99935853,0.9563637,-0.5644881,,532.0098299980164,0.30145848,,38.429546,,14.1685505,-0.73640734,-0.5510204,0.66366154
,5.277145e-07,0.95619565,960,0.021563897,-5.4172273,0.9563637,42.539413,0.9669373,48,-0.70416564,0.99935853,0.9563637,0.29772308,,543.6367566585541,0.29536408,,38.13347,,14.177475,-0.7305422,0.30612245,0.66975594
,5.063948e-07,0.666084,980,0.027547687,-5.4378467,0.9563637,24.964718,1.1019046,49,-0.7111986,0.99935853,0.9563637,-0.8482336,,555.4249873161316,0.295439,,37.831043,,14.476513,-0.7713029,-0.8367347,0.669681
,4.8634166e-07,0.9561029,1000,0.027547687,-5.4580493,0.9563637,24.3599,1.093637,50,-0.7024291,0.99935853,0.9563637,0.70923775,,567.1746621131897,0.28971052,,37.79319,,14.485527,-0.21421546,0.67346936,0.6754095
,4.6745637e-07,0.39564794,1020,0.021563897,-5.477852,0.9563637,65.880684,1.4575806,51,-0.69878685,0.99935853,0.9563637,-0.21818352,,578.8712749481201,0.29519606,,37.738304,,15.055,-0.4547231,-0.2244898,0.66992396
,4.496502e-07,0.9545541,1040,0.021563897,-5.4972696,0.9563637,1.2520514,0.028779784,52,-0.7015116,0.99935853,0.9563637,-0.46857208,,590.605610370636,0.28972244,,37.515533,1.447729e-28,15.065567,-0.8328886,-0.46938777,0.6753976
,4.3284237e-07,0.9563016,1060,0.021563897,-5.516318,0.9563637,12.287247,0.33431268,53,-0.72255903,0.99935853,0.9563637,0.20778127,,602.2863237857819,0.28442228,,37.478268,,15.074379,-0.855001,0.2244898,0.68069774
,4.1695958e-07,0.8318819,1080,0.021563897,-5.5350103,0.9563637,35.82465,0.67489827,54,-0.7373375,0.99935853,0.9563637,-0.29709923,,613.9677662849426,0.28162265,,37.37348,,15.207623,-0.83621514,-0.30612245,0.68349737
,4.0193527e-07,0.9560941,1100,0.021563897,-5.5533595,0.9563637,13.865505,0.43881962,55,-0.7485187,0.99935853,0.9563637,0.16344684,,625.4571418762207,0.27666634,,37.285416,,15.216648,-0.8817571,0.14285715,0.6884537
,3.8770855e-07,0.7594468,1120,0.019873515,-5.5713778,0.9563637,4.300452,0.07747107,56,-0.76061445,0.99935853,0.9563637,-0.107572585,,637.1592080593109,0.2753985,,36.88482,,15.4223175,-0.8321559,-0.14285715,0.6897215
,3.7422413e-07,0.95549524,1140,0.02339806,-5.5890775,0.9563637,173.56253,3.0476077,57,-0.80454814,0.99935853,0.9563637,-0.09684702,,648.8326325416565,0.2707358,,37.7575,173.56253,15.431942,-2.3483212,-0.10204082,0.6943842
,3.6143112e-07,0.9559701,1160,0.027547687,-5.606469,0.9563637,29.333727,0.7223194,58,-0.8005539,0.99935853,0.9563637,0.5746702,,659.9791610240936,0.26622576,,36.94941,,15.441093,-0.9816764,0.59183675,0.69889426
,3.4928303e-07,0.48175466,1180,0.03818524,-5.623564,0.9563637,19.23129,1.2321054,59,-0.8012527,0.99935853,0.9563637,0.95979524,,669.408341884613,0.26990604,3.11102,36.96311,1.5972471e-21,15.924458,-0.466954,0.9591837,0.695214
,3.377373e-07,0.2039094,1200,0.021563897,-5.5889845,0.9563637,3.8031244,0.086106606,60,-0.79152846,0.99935853,0.9563637,0.03963104,,679.2750589847565,0.27809453,,36.919792,,16.685669,-0.3450341,0.06122449,0.6870255
,3.2675467e-07,0.93613297,1220,0.027547687,-5.605514,0.9563637,31.209833,1.4687643,61,-0.80831647,0.99935853,0.9563637,-0.68021554,,689.2158215045929,0.27401084,,36.88566,,16.71466,-0.9078246,-0.67346936,0.6911092
,3.162992e-07,0.95627725,1240,0.027547687,-5.6217747,0.9563637,29.625109,0.57482725,62,-0.7980973,0.99935853,0.9563637,-0.747668,,699.3212230205536,0.26973385,,36.792946,0.53524345,16.7235,-0.3970032,-0.75510204,0.6953862
,3.0633765e-07,0.9560395,1260,0.027547687,-5.637775,0.9563637,25.302143,1.0115887,63,-0.79994535,0.99935853,0.9563637,0.5468462,,709.120415687561,0.2655965,,36.393547,,16.732582,-0.40758026,0.5102041,0.6995235
,2.968394e-07,0.4911087,1280,0.027547687,-5.6535234,0.9563637,30.427002,0.90256596,64,-0.79993594,0.99935853,0.9563637,0.4254085,,719.0783696174622,0.268853,,35.577946,0.002848755,17.206593,-0.6831092,0.42857143,0.696267
,2.8777617e-07,0.55726767,1300,0.027547687,-5.6690273,0.9563637,24.866665,0.805437,65,-0.7973148,0.99935853,0.9563637,-0.57912165,,728.9065127372742,0.27099144,,35.560387,,17.61444,-0.42105544,-0.59183675,0.6941286
,2.791217e-07,0.9561122,1320,0.027547687,-5.6842947,0.9563637,30.20044,0.8062048,66,-0.7976987,0.99935853,0.9563637,0.35242048,,738.7701661586761,0.26702195,,34.949028,,17.623451,-0.5180585,0.3469388,0.69809806
,2.708519e-07,0.61136746,1340,0.027547687,-5.6993327,0.9563637,31.385,0.75506145,67,-0.7969614,0.99935853,0.9563637,-0.46886048,,748.5238621234894,0.2683165,,34.950516,,17.977203,-0.45789644,-0.5102041,0.6968035
,2.6294424e-07,0.9554962,1360,0.027547687,-5.714148,0.9563637,34.687645,1.4079635,68,-0.80373335,0.99935853,0.9563637,0.19294026,,758.463249206543,0.26451218,,34.671333,,17.986824,-0.9149764,0.18367347,0.70060784
,2.553779e-07,0.7314363,1380,0.027547687,-5.728747,0.9563637,25.18779,0.88844573,69,-0.7972446,0.99935853,0.9563637,-0.42319548,,768.1707699298859,0.26406533,,34.63443,,18.220512,-0.5246397,-0.42857143,0.7010547
,2.4813352e-07,0.95651704,1400,0.03818524,-5.7431355,0.95651704,15.985545,0.9143023,70,-0.7959262,0.99951404,0.95651704,-1.0321417,,778.3648126125336,0.2604159,,34.62268,,18.229115,-0.5057877,-0.9591837,0.7047041
,2.4119305e-07,0.9562385,1420,0.03818524,-5.75732,0.95651704,23.09777,0.83773535,71,-0.80966735,0.99951404,0.95651704,0.77845407,,789.10595870018,0.2568732,5.1992674e-11,34.60111,,18.237995,-1.6230563,0.79591835,0.7082468
,2.3453978e-07,0.35982296,1440,0.027547687,-5.771306,0.95651704,36.02321,0.8810789,72,-0.80822855,0.99951404,0.95651704,0.2516196,,800.2070417404175,0.26171243,,34.619972,,18.843292,-0.4767589,0.26530612,0.7034076
,2.2815804e-07,0.6772956,1460,0.027547687,-5.7850995,0.95651704,34.535446,1.4930073,73,-0.8088713,0.99951404,0.95651704,-0.0112258885,,810.8633916378021,0.26207012,,34.61382,1.3495624e-14,19.131115,-0.61304355,0.020408163,0.7030499
,2.2203328e-07,0.94218135,1480,0.027547687,-5.798705,0.95651704,35.202,0.9272989,74,-0.8064115,0.99951404,0.95651704,-0.3544035,,820.7034449577332,0.2588386,,34.438374,1.9931642e-31,19.15406,-0.89341325,-0.3469388,0.7062814
,2.1615185e-07,0.95615447,1500,0.027547687,-5.812128,0.95651704,32.009514,0.9003761,75,-0.8059387,0.99951404,0.95651704,-0.29379278,,830.1781387329102,0.255507,,34.162292,0.13877141,19.163025,-0.582511,-0.26530612,0.709613
,2.1050109e-07,0.9557689,1520,0.027547687,-5.8253736,0.95651704,39.298504,0.8358865,76,-0.80877453,0.99951404,0.95651704,-0.19505845,,840.1975951194763,0.25226802,,33.980736,0.011048004,19.17237,-0.811226,-0.18367347,0.712852
,2.0506903e-07,0.9556784,1540,0.027547687,-5.8384457,0.95651704,38.492764,0.57382715,77,-0.8104495,0.99951404,0.95651704,0.075030416,,850.0846743583679,0.24911451,,33.914207,1.5354986e-24,19.181816,-0.65102607,0.10204082,0.7160055
,1.9984455e-07,0.94316065,1560,0.0529305,-5.851349,0.95651704,434.1719,6.5582395,78,-0.81724167,0.99951404,0.95651704,0.9175353,,859.9382917881012,0.24620229,434.1719,33.238445,,19.203773,-0.82494473,1.0,0.7189177
,1.948172e-07,0.22829188,1580,0.029890813,-3.9821362,0.95651704,23.73854,0.90891093,79,-0.7896624,0.99951404,0.95651704,-0.09156237,,869.6329293251038,0.25241268,,32.756252,,19.940605,-0.4359762,-0.06122449,0.71270734
,1.899772e-07,0.95509714,1600,0.03818524,-3.994715,0.95651704,24.977839,0.8574101,80,-0.7939979,0.99951404,0.95651704,0.6509181,,879.3905925750732,0.2493828,1.5001016e-30,32.74213,,19.950626,-0.97495,0.63265306,0.7157372
,1.8531539e-07,0.420712,1620,0.03818524,-4.0071373,0.95651704,16.83134,0.6824876,81,-0.7940429,0.99951404,0.95651704,-0.7891933,,889.6349110603333,0.2530251,,32.62664,,20.495033,-0.58897215,-0.79591835,0.7120949
,1.8082306e-07,0.95578676,1640,0.03818524,-4.0194077,0.95651704,22.568314,0.8704284,82,-0.7965677,0.99951404,0.95651704,-0.5574744,,899.8719229698181,0.25005323,,31.26553,0.004479646,20.504364,-0.6483523,-0.63265306,0.7150668
,1.7649211e-07,0.95623744,1660,0.03818524,-4.031529,0.95651704,26.92931,0.9597668,83,-0.7999102,0.99951404,0.95651704,0.5296723,,909.8678436279297,0.24714756,,31.289183,,20.513252,-0.88941985,0.46938777,0.71797246
,1.7231491e-07,0.47516885,1680,0.044957362,-4.043505,0.95651704,21.758873,1.0937238,84,-0.8006465,0.99951404,0.95651704,-0.88322127,,920.2482719421387,0.25003815,,31.144644,,21.003204,-0.73705417,-0.877551,0.7150819
,1.6828433e-07,0.95592505,1700,0.044957362,-4.05534,0.95651704,21.687828,1.047286,85,-0.79890764,0.99951404,0.95651704,0.7250444,,931.207192659378,0.24720466,4.955106e-14,30.959513,,21.012398,-0.67097306,0.71428573,0.71791536
,1.6439348e-07,0.3967853,1720,0.0529305,-4.0670357,0.95651704,38.416042,1.1016976,86,-0.797584,0.99951404,0.95651704,-0.8831233,,942.3928518295288,0.2509387,,30.637583,,21.58073,-0.66262925,-1.0,0.7141813
,1.6063603e-07,0.9562164,1740,0.03818524,-4.0785966,0.95651704,28.218498,0.9806508,87,-0.79645276,0.99951404,0.95651704,-0.46074453,,953.7072386741638,0.24815673,,30.381535,6.6344484e-25,21.58963,-0.6794508,-0.46938777,0.7169633
,1.5700596e-07,0.956044,1760,0.0529305,-4.090025,0.95651704,15.329101,0.89374024,88,-0.79678977,0.99951404,0.95651704,0.87126523,,965.6972479820251,0.24543989,0.0018476858,30.368145,,21.598713,-0.71305615,0.8367347,0.71968013
,1.5349757e-07,0.27279922,1780,0.03818524,-4.1013036,0.95651704,27.585436,0.93734324,89,-0.7981317,0.99951404,0.95651704,0.30042422,,976.7706980705261,0.25046098,,30.298868,,22.29103,-0.77017385,0.30612245,0.71465904
,1.5010546e-07,0.63856316,1800,0.035191916,-4.112477,0.95651704,29.884916,1.1118354,90,-0.7990658,0.99951404,0.95651704,-0.2932334,,987.7371861934662,0.2513066,,29.929289,,22.617592,-0.74210924,-0.30612245,0.7138134
,1.4682455e-07,0.95612985,1820,0.035191916,-4.123527,0.95651704,23.677551,0.8229724,91,-0.7981534,0.99951404,0.95651704,-0.19041377,,998.4845435619354,0.24864376,,29.946602,0.0025122857,22.62658,-0.71484524,-0.14285715,0.71647626
,1.4365008e-07,0.95624465,1840,0.035191916,-4.1344557,0.95651704,23.974014,0.79689616,92,-0.799493,0.99951404,0.95651704,0.14117102,,1009.1679794788361,0.24603748,,29.650955,7.565941e-19,22.635445,-0.68791807,0.14285715,0.71908253
,1.4057744e-07,0.79657775,1860,0.044957362,-4.145267,0.95651704,23.814621,1.1883736,93,-0.80181706,0.99951404,0.95651704,0.6006589,,1020.1290140151978,0.24520427,2.1188906e-30,29.562086,1.7004458e-17,22.804,-0.7582249,0.5510204,0.71991575
,1.3760231e-07,0.44451892,1880,0.044957362,-4.155962,0.95651704,22.145966,0.9446045,94,-0.7981608,0.99951404,0.95651704,-0.7072347,,1030.9408965110779,0.24813402,,29.577019,,23.3246,-0.5540562,-0.71428573,0.716986
,1.3472066e-07,0.956311,1900,0.03818524,-4.1665444,0.95651704,25.858559,0.86713046,95,-0.7991256,0.99951404,0.95651704,0.029292963,,1041.7771561145782,0.24561477,,29.23271,,23.333405,-0.7769678,0.06122449,0.71950525
,1.3192863e-07,0.9434355,1920,0.03818524,-4.1770153,0.95651704,28.8984,1.1488763,96,-0.7998395,0.99951404,0.95651704,-0.2520107,,1052.4416813850403,0.2432822,,29.110266,5.2426703e-09,23.355087,-0.6724917,-0.2244898,0.7218378
,1.2922246e-07,0.95561844,1940,0.044957362,-4.1873784,0.95651704,24.442423,1.0154973,97,-0.7975854,0.99951404,0.95651704,-0.5269634,,1063.2767372131348,0.24087214,,28.501245,4.156004e-09,23.364594,-0.63582766,-0.5510204,0.7242479
,1.265987e-07,0.9560278,1960,0.044957362,-4.1976347,0.95651704,25.327946,0.9100109,98,-0.7970502,0.99951404,0.95651704,0.43077087,,1076.5469121932983,0.23850697,,28.305626,,23.373688,-0.6845144,0.3877551,0.72661304
,1.2405411e-07,0.60679305,1980,0.041433174,-4.207787,0.95651704,27.43122,1.0633491,99,-0.7964103,0.99951404,0.95651704,-0.3226514,,1091.837247133255,0.23971725,,28.195536,,23.73201,-0.5840107,-0.3877551,0.7254028
,1.2158542e-07,0.95604455,2000,0.041433174,-4.2178373,0.95651704,23.623058,1.0253388,100,-0.7958676,0.99951404,0.95651704,0.16597801,,1107.8491690158844,0.23741084,,28.088108,2.7039484e-37,23.741081,-0.7254773,0.2244898,0.7277092
,1.1918971e-07,0.70118135,2020,0.041433174,-4.227788,0.95651704,28.341225,1.3522484,101,-0.79519886,0.99951404,0.95651704,-0.083768964,,1122.7165191173553,0.23767358,,28.046072,0.00077382044,24.005028,-0.68924236,-0.020408163,0.72744644
,1.1686409e-07,0.9542655,2040,0.07336965,-4.2376404,0.95651704,59.11986,1.5795212,102,-0.79440534,0.99951404,0.95651704,1.0107666,,1139.5600578784943,0.23544979,59.11986,27.735785,,24.015884,-0.9481367,0.9591837,0.7296702
,1.14605925e-07,0.16634238,2060,0.057432614,-3.7902205,0.95651704,15.319397,0.94258666,103,-0.78986174,0.99951404,0.95651704,-0.7427974,,1157.6924905776978,0.240919,,27.341473,,24.81466,-0.7444007,-0.79591835,0.724201
,1.1241255e-07,0.9561735,2080,0.057432614,-3.7998824,0.95651704,15.381933,1.0240573,104,-0.78907216,0.99951404,0.95651704,0.5963882,,1176.5443818569183,0.23868847,1.2329143e-12,27.250786,,24.8236,-0.6170453,0.63265306,0.72643155
,1.10281555e-07,0.45694953,2100,0.06761824,-3.8094518,0.95651704,11.686976,1.049547,105,-0.7869474,0.99951404,0.95651704,-0.87286144,,1195.7343730926514,0.24125499,,26.281189,,25.331772,-0.5489089,-0.9183673,0.72386503
,1.0821059e-07,0.9559288,2120,0.048781306,-3.8189306,0.95651704,25.065115,1.1186757,106,-0.7862646,0.99951404,0.95651704,-0.051061995,,1215.2736957073212,0.2390657,,26.262642,,25.340965,-0.7252579,-0.10204082,0.7260543
,1.0619741e-07,0.9558524,2140,0.057432614,-3.8283205,0.95651704,14.797931,0.8874939,107,-0.7851444,0.99951404,0.95651704,-0.70756537,,1230.237187385559,0.23691803,,26.002121,7.5619187e-22,25.350235,-0.7009935,-0.63265306,0.728202
,1.04239895e-07,0.95616746,2160,0.057432614,-3.837623,0.95651704,16.243534,0.9298873,108,-0.78655297,0.99951404,0.95651704,0.4996222,,1249.7332439422607,0.23480725,1.9884249e-24,25.923697,,25.359184,-0.7945225,0.46938777,0.73031276
,1.0233602e-07,0.49876174,2180,0.0529305,-3.8468394,0.95651704,17.374922,1.2018254,109,-0.7857911,0.99951404,0.95651704,-0.32774568,,1267.6580319404602,0.23693156,,25.927008,,25.825539,-0.59686446,-0.30612245,0.72818846
