LQGmu1_higher,Delta,ReturnMax,Regret/t,IWMean,DenMISEMeanLog,ReturnMin,IWFirstEpisode,DenMISELogFirst,Iteration,ReturnAbsMax,LQGmu1_actor,ReturnStepMax,TimeElapsed,IWMax,ReturnMean,ReturnLastEpisode,LQGsigma_higher,Regret,Bound,TimestepsSoFar,IWLastEpisode,DenMISELogLast,IWMin
-0.020408163,6.280238e-07,0.95581526,0.313726,2.4370077,-0.5058536,,,-0.38485408,44,0.95581526,-0.0046018995,0.9988446,494.6253995895386,96.92693,0.651394,0.9555525,0.021563897,13.803946,38.172108,880,,-0.66983443,
0.3877551,6.0042186e-07,0.95581526,0.30732185,0.21365994,-0.50067353,,,-0.40732694,45,0.95581526,0.38005072,0.9988446,506.2253005504608,5.3473096,0.6577982,0.9395796,0.021563897,13.829483,38.1423,900,,-0.6583565,
0.30612245,5.7460034e-07,0.95581526,0.30963248,0.2909239,-0.52229357,,,-0.42930585,46,0.95581526,0.30742273,0.9988446,517.8916294574738,10.208471,0.65548754,0.55151063,0.021563897,14.243092,37.57929,920,0.10550246,-0.70992386,
0.67346936,5.5040925e-07,0.95581526,0.31106633,1.0767308,-0.54219174,,,-0.45081204,47,0.95581526,0.68063325,0.9988446,529.5734107494354,23.902689,0.6540537,0.58809745,0.027547687,14.620117,37.56069,940,1.3798726e-37,-0.7355158,
-0.46938777,5.277145e-07,0.95581526,0.3168339,0.29909655,-0.5359544,,,-0.47186545,48,0.95581526,-0.5183389,0.9988446,541.232569694519,10.468369,0.6482861,0.3772077,0.021563897,15.208027,37.54686,960,,-0.13630664,
0.2244898,5.063948e-07,0.95581526,0.3105681,0.37233025,-0.55147475,,,-0.49248475,49,0.95581526,0.22039004,0.9988446,552.9012217521667,14.147751,0.6545519,0.9553093,0.021563897,15.217838,37.277058,980,,-0.58193904,
-0.3877551,4.8634166e-07,0.95581526,0.31103784,0.38724953,-0.5694879,,,-0.51268744,50,0.95581526,-0.40878105,0.9988446,564.6315624713898,11.494611,0.6540822,0.63106775,0.021563897,15.551891,37.24762,1000,,-0.79618657,
-0.75510204,4.6745637e-07,0.95581526,0.30515122,1.2833692,-0.5852204,,8.0270826e-07,-0.5324901,51,0.95581526,-0.7763167,0.9988446,576.2729907035828,26.027697,0.6599688,0.95429987,0.027547687,15.562714,37.146633,1020,1.4467151e-33,-0.7347774,
-0.30612245,4.496502e-07,0.95581526,0.2994718,0.4773849,-0.58009523,,,-0.55190814,52,0.95581526,-0.33538866,0.9988446,588.002032995224,19.287909,0.6656482,0.9553007,0.021563897,15.572533,37.069138,1040,,-0.39973462,
0.14285715,4.3284237e-07,0.95581526,0.2940114,0.35209617,-0.5929906,,,-0.57095635,53,0.95581526,0.17969406,0.9988446,599.6859700679779,11.727041,0.6711086,0.95504624,0.021563897,15.582603,37.080215,1060,,-0.68969434,
