VarJ,AvgRet,NatGradInftyNorm,ActionIn1,Iteration,NumTrajectories,MinEpLen,StepSize,BatchSize,TimestepsSoFar,InvPendulum_std0_higher,InvPendulum_std1_higher,InvPendulum_mu2_higher,AvgEpLen,ReturnMax,InvPendulum_mu1_higher,ReturnMean,InvPendulum_mu3_higher,InvPendulum_std3_higher,NatGrad2Norm,J,InvPendulum_std2_higher,InvPendulum_mu0_higher
18.302497260072084,-118.88682299843404,0.19747111,-1.008378,31,3100,11,1.0,100,237012,0.01,0.01,0.10925584,76.45548387096774,50.87322991642307,-0.40593734,-108.55540541976524,-0.2506398,0.01,0.2923705,-118.88682299843404,0.01,-0.4682398
0.78043608765328,-102.4764761923978,0.22514912,-1.2569052,32,3200,11,1.0,100,242239,0.01,0.01,-0.08821527,75.6996875,50.87322991642307,-0.2644173,-108.36543888141001,-0.3351993,0.01,0.23489814,-102.4764761923978,0.01,-0.607191
0.35097172250556247,-103.37035341345714,0.13604657,-1.5170733,33,3300,11,1.0,100,247147,0.01,0.01,-0.05502318,74.8930303030303,50.87322991642307,-0.23759122,-108.21407265510841,-0.3868099,0.01,0.20060104,-103.37035341345714,0.01,-0.8323401
1.737429336489378,-106.81586749433343,0.12246062,-1.1927406,34,3400,11,1.0,100,256538,0.01,0.01,0.003880296,75.45235294117647,50.87322991642307,-0.10154465,-108.17294897390913,-0.25196844,0.01,0.13438894,-106.81586749433343,0.01,-0.82338077
10.14034449799433,-100.10242750719732,0.15515204,-1.2627604,35,3500,11,1.0,100,273452,0.01,0.01,0.025994174,78.12914285714285,50.87322991642307,-0.22400527,-107.9423626462888,-0.27277872,0.01,0.1883221,-100.10242750719732,0.01,-0.77710235
2.5396720522446854,-99.18807016410327,0.20775972,-1.344205,36,3600,11,1.0,100,280398,0.01,0.01,0.07473764,77.88833333333334,50.87322991642307,-0.2816839,-107.69918785511697,-0.42793077,0.01,0.21379809,-99.18807016410327,0.01,-0.7016682
0.3278830153535786,-101.43443083833067,0.05051021,-1.5984428,37,3700,11,1.0,100,284928,0.01,0.01,0.050143942,77.00756756756756,50.87322991642307,-0.32370058,-107.52987009790654,-0.6356905,0.01,0.08530129,-101.43443083833067,0.01,-0.68842936
0.5785613194940453,-102.09833406575672,0.32480353,-1.6051176,38,3800,11,1.0,100,289947,0.01,0.01,-0.00036626682,76.30184210526316,50.87322991642307,-0.27345604,-107.38693493916576,-0.6568661,0.01,0.34258375,-102.09833406575672,0.01,-0.64657116
0.3846234534673911,-104.13229682722101,0.13074781,-1.3448834,39,3900,11,1.0,100,293614,0.01,0.01,0.32443726,75.28564102564103,50.87322991642307,-0.2668055,-107.30348267988511,-0.7633147,0.01,0.1896226,-104.13229682722101,0.01,-0.6687241
0.6776724423180344,-103.35745920166899,0.25733733,-1.3357255,40,4000,11,1.0,100,297156,0.01,0.01,0.20389652,74.289,50.87322991642307,-0.21094921,-107.20483209292972,-0.79812485,0.01,0.27168867,-103.35745920166899,0.01,-0.5379763
0.43930320783965293,-102.57403543346592,0.10990678,-1.7283094,41,4100,11,1.0,100,300668,0.01,0.01,-0.05344081,73.33365853658536,50.87322991642307,-0.28459647,-107.0918858329428,-0.8080613,0.01,0.16638295,-102.57403543346592,0.01,-0.58346885
0.45319023783500356,-104.81919531108902,0.18424489,-1.4000957,42,4200,11,1.0,100,304588,0.01,0.01,-0.0414578,72.52095238095238,50.87322991642307,-0.22489439,-107.03777415385103,-0.6989932,0.01,0.22061709,-104.81919531108902,0.01,-0.47356206
0.58491578927309,-103.36768040472026,0.09516028,-1.3173816,43,4300,11,1.0,100,309009,0.01,0.01,0.14278708,71.86255813953488,50.87322991642307,-0.2319199,-106.95242313642937,-0.6591512,0.01,0.12422513,-103.36768040472026,0.01,-0.5879691
0.7146419493980238,-100.37182032925149,0.049916223,-1.2273779,44,4400,11,1.0,100,315101,0.01,0.01,0.21133678,71.61386363636363,50.87322991642307,-0.2670157,-106.80286398172079,-0.5639909,0.01,0.0642023,-100.37182032925149,0.01,-0.609079
0.6989158575423403,-102.68619758688605,0.044077657,-1.1477364,45,4500,11,1.0,100,321335,0.01,0.01,0.23042348,71.40777777777778,50.87322991642307,-0.25282913,-106.71138250628003,-0.5140747,0.01,0.062477406,-102.68619758688605,0.01,-0.57644856
0.5830742747161292,-103.12596765232138,0.22328009,-1.124918,46,4600,11,1.0,100,325990,0.01,0.01,0.2036948,70.86739130434782,50.87322991642307,-0.20875147,-106.63343870510701,-0.5479981,0.01,0.2724086,-103.12596765232138,0.01,-0.5862142
0.3205321555049674,-105.51502360513204,0.024872063,-1.0830275,47,4700,11,1.0,100,329014,0.01,0.01,0.18253374,70.00297872340425,50.87322991642307,0.014528617,-106.6096426391501,-0.7011095,0.01,0.03390466,-105.51502360513204,0.01,-0.6076974
0.23804688230873525,-105.36499035837079,0.22799744,-1.1367286,48,4800,11,1.0,100,331867,0.01,0.01,0.15766168,69.13895833333333,50.87322991642307,0.019947227,-106.58371238330054,-0.7218814,0.01,0.29444158,-105.36499035837079,0.01,-0.5993263
0.29151017936723655,-101.59526248847708,0.27088672,-1.5928941,49,4900,11,1.0,100,336415,0.01,0.01,0.051955342,68.65612244897959,50.87322991642307,-0.2080502,-106.48190728340616,-0.70255196,0.01,0.2952933,-101.59526248847708,0.01,-0.7515287
0.5260522838368938,-104.62549378539995,0.20459422,-1.5621583,50,5000,11,1.0,100,340697,0.01,0.01,0.32284206,68.1394,50.87322991642307,-0.23863016,-106.44477901344607,-0.80041337,0.01,0.2608985,-104.62549378539995,0.01,-0.80903107
