J,BatchSize,VarJ,InvPendulum_mu2_higher,NatGradInftyNorm,AvgEpLen,NatGrad2Norm,NumTrajectories,ActionIn1,InvPendulum_mu1_higher,StepSize,InvPendulum_mu0_higher,TimestepsSoFar,InvPendulum_std3_higher,InvPendulum_std0_higher,ReturnMean,InvPendulum_std1_higher,InvPendulum_std2_higher,InvPendulum_mu3_higher,MinEpLen,AvgRet,Iteration,ReturnMax
-118.87176530813363,100,0.16284823404411886,0.56103134,0.13190745,28.43769230769231,0.19330655,1300,-0.18636158,-0.7401011,0.0001,0.27833214,36969,0.01,0.01,-119.35437915233913,0.01,0.01,-0.24480377,14,-118.87176530813363,13,-107.62057723250305
-119.57597117910942,100,0.1842440422332632,0.5610347,0.090825364,28.502142857142857,0.11993321,1400,-0.1289968,-0.7400951,0.0001,0.27831894,39903,0.01,0.01,-119.37020715425132,0.01,0.01,-0.24479145,14,-119.57597117910942,14,-107.62057723250305
-119.4317676976792,100,0.22785855424828794,0.5610287,0.1409631,28.495333333333335,0.20526475,1500,-0.1537819,-0.74009985,0.0001,0.2783206,42743,0.01,0.01,-119.37431119047984,0.01,0.01,-0.24480054,14,-119.4317676976792,15,-107.62057723250305
-119.2256261889515,100,0.22703720415850084,0.5610245,0.18224314,28.51,0.26617295,1600,-0.14456794,-0.7401139,0.0001,0.27833417,45616,0.01,0.01,-119.36501837788431,0.01,0.01,-0.24479595,14,-119.2256261889515,16,-104.9013146089152
-118.72909317383555,100,0.1687223826419416,0.56103325,0.24853711,28.416470588235295,0.36937594,1700,-0.12623289,-0.7401267,0.0001,0.2783524,48308,0.01,0.01,-119.32761101294027,0.01,0.01,-0.24480757,14,-118.72909317383555,17,-104.9013146089152
-119.99163007422273,100,0.2620049570861522,0.5610221,0.27998102,28.40222222222222,0.31262907,1800,-0.13095957,-0.7401019,0.0001,0.27836648,51124,0.01,0.01,-119.3645009607893,0.01,0.01,-0.2448282,14,-119.99163007422273,18,-104.9013146089152
-119.57962780202192,100,0.22680483196498188,0.5609941,0.09600831,28.380526315789474,0.13207349,1900,-0.1614534,-0.74010116,0.0001,0.2783787,53923,0.01,0.01,-119.37582342611734,0.01,0.01,-0.2448348,14,-119.57962780202192,19,-104.9013146089152
-119.3711228236995,100,0.23087544090099055,0.56100005,0.23152007,28.3985,0.35872093,2000,-0.17155719,-0.7401018,0.0001,0.27837187,56797,0.01,0.01,-119.37558839599645,0.01,0.01,-0.2448252,14,-119.3711228236995,20,-104.9013146089152
-119.83614290126143,100,0.20265135251278907,0.5610199,0.12443839,28.373809523809523,0.15078424,2100,-0.15106735,-0.7400973,0.0001,0.2783902,59585,0.01,0.01,-119.3975195629138,0.01,0.01,-0.24480204,14,-119.83614290126143,21,-104.67481418118209
-119.59837877713657,100,0.24213645850626708,0.561016,0.10037608,28.39,0.13837814,2200,-0.15103394,-0.74009013,0.0001,0.27839264,62458,0.01,0.01,-119.40664952719666,0.01,0.01,-0.24481449,14,-119.59837877713657,22,-104.67481418118209
-119.2670350433165,100,0.22428490589276073,0.56101453,0.13102894,28.38695652173913,0.2016857,2300,-0.13516335,-0.7400801,0.0001,0.27838477,65290,0.01,0.01,-119.40057933224534,0.01,0.01,-0.24480933,14,-119.2670350433165,23,-104.67481418118209
-119.59172769230683,100,0.21609765303044587,0.56102765,0.11685649,28.375416666666666,0.17802314,2400,-0.17677212,-0.7400719,0.0001,0.27837697,68101,0.01,0.01,-119.40854384724793,0.01,0.01,-0.244799,14,-119.59172769230683,24,-104.67481418118209
-119.19443532651881,100,0.15514107244491748,0.56102085,0.13518965,28.3516,0.22693446,2500,-0.15787417,-0.7400602,0.0001,0.2783859,70879,0.01,0.01,-119.39997950641873,0.01,0.01,-0.24479161,14,-119.19443532651881,25,-104.67481418118209
-119.44404487232761,100,0.19993336559259006,0.5610075,0.2602321,28.353076923076923,0.29542407,2600,-0.1280219,-0.74006754,0.0001,0.2783959,73718,0.01,0.01,-119.40167432818447,0.01,0.01,-0.2447781,14,-119.44404487232761,26,-104.67481418118209
-119.1629627769146,100,0.23368245013050237,0.5610015,0.116634324,28.346296296296295,0.17636748,2700,-0.12377846,-0.7400713,0.0001,0.27840796,76535,0.01,0.01,-119.39283315961892,0.01,0.01,-0.24475208,14,-119.1629627769146,27,-104.67481418118209
-119.4481103559451,100,0.253596135787654,0.5609898,0.18967065,28.34642857142857,0.2571819,2800,-0.14905828,-0.7400603,0.0001,0.27840054,79370,0.01,0.01,-119.39480734520201,0.01,0.01,-0.24475192,14,-119.4481103559451,28,-104.67481418118209
-118.79404508196863,100,0.2553893049565207,0.5609908,0.20756328,28.330344827586206,0.22579792,2900,-0.15227693,-0.74004394,0.0001,0.2783816,82158,0.01,0.01,-119.37409140509051,0.01,0.01,-0.24474622,14,-118.79404508196863,29,-104.67481418118209
-119.26010582512586,100,0.23658196950869784,0.5609856,0.11440707,28.30366666666667,0.16617528,3000,-0.12275231,-0.7400409,0.0001,0.278375,84911,0.01,0.01,-119.37029188575835,0.01,0.01,-0.24476698,14,-119.26010582512586,30,-104.67481418118209
-119.98872426426054,100,0.28319528493013096,0.56099457,0.1684002,28.289032258064516,0.27882057,3100,-0.1258811,-0.74004793,0.0001,0.27837098,87696,0.01,0.01,-119.39024131732295,0.01,0.01,-0.24475554,14,-119.98872426426054,31,-104.67481418118209
-118.68354089938983,100,0.199047743055505,0.56100965,0.06134753,28.2821875,0.08394785,3200,-0.15086871,-0.7400317,0.0001,0.27837312,90503,0.01,0.01,-119.36815692926253,0.01,0.01,-0.24477237,14,-118.68354089938983,32,-104.67481418118209
-119.4873432498461,100,0.1999815499409665,0.56101066,0.21415764,28.291818181818183,0.22581878,3300,-0.14262122,-0.74003685,0.0001,0.2783755,93363,0.01,0.01,-119.37176863594686,0.01,0.01,-0.24476624,14,-119.4873432498461,33,-104.67481418118209
-119.2411306137961,100,0.24339502351144515,0.56103206,0.12054175,28.281764705882352,0.18471867,3400,-0.109601304,-0.74003106,0.0001,0.2783797,96158,0.01,0.01,-119.36792634117774,0.01,0.01,-0.24476652,14,-119.2411306137961,34,-104.67481418118209
-118.62171884443727,100,0.22535528298316895,0.5610258,0.110729955,28.261142857142858,0.14583509,3500,-0.17702079,-0.74003685,0.0001,0.27839175,98914,0.01,0.01,-119.34660612698515,0.01,0.01,-0.2447554,14,-118.62171884443727,35,-104.67481418118209
-120.11761261003305,100,0.23909177685607805,0.5610369,0.3690848,28.281111111111112,0.45676467,3600,-0.14352162,-0.7400363,0.0001,0.278385,101812,0.01,0.01,-119.36802297373649,0.01,0.01,-0.24474874,14,-120.11761261003305,36,-104.67481418118209
-119.66707852231099,100,0.27195517323412777,0.5610253,0.24660774,28.286486486486485,0.27039224,3700,-0.1631708,-0.7399994,0.0001,0.2784022,104660,0.01,0.01,-119.37610555613038,0.01,0.01,-0.24476592,14,-119.66707852231099,37,-104.67481418118209
-119.07807026847485,100,0.2509040206968854,0.56105,0.2051372,28.266578947368423,0.23555268,3800,-0.12704404,-0.7399999,0.0001,0.2784069,107413,0.01,0.01,-119.36826252224472,0.01,0.01,-0.24475588,14,-119.07807026847485,38,-104.67481418118209
-119.45957463375856,100,0.20977532712046087,0.5610562,0.13158244,28.256153846153847,0.16279632,3900,-0.16434929,-0.7399794,0.0001,0.27839848,110199,0.01,0.01,-119.37060385843739,0.01,0.01,-0.24475087,14,-119.45957463375856,39,-104.67481418118209
-119.13831415376598,100,0.20822207182483365,0.5610575,0.40353376,28.25075,0.4560865,4000,-0.1295641,-0.73997736,0.0001,0.27840775,113003,0.01,0.01,-119.3647966158206,0.01,0.01,-0.24476403,14,-119.13831415376598,40,-104.67481418118209
-119.54342907748068,100,0.22012081985452334,0.56105477,0.2409284,28.25512195121951,0.33545962,4100,-0.10897,-0.73999816,0.0001,0.2784112,115846,0.01,0.01,-119.36915350512936,0.01,0.01,-0.24480438,14,-119.54342907748068,41,-104.67481418118209
-118.92535166974523,100,0.23657641185212724,0.5610419,0.25166327,28.259047619047617,0.4212075,4200,-0.17528604,-0.74001753,0.0001,0.2784129,118688,0.01,0.01,-119.35858679476307,0.01,0.01,-0.24478029,14,-118.92535166974523,42,-104.67481418118209
-119.6668148177317,100,0.2536365269304539,0.5610657,0.14040217,28.26511627906977,0.21903087,4300,-0.16600889,-0.74004155,0.0001,0.27843806,121540,0.01,0.01,-119.3657548883205,0.01,0.01,-0.24477981,14,-119.6668148177317,43,-104.67481418118209
-119.1410678077917,100,0.21744856031937443,0.56107974,0.11237815,28.256136363636365,0.1796482,4400,-0.10368626,-0.7400334,0.0001,0.27845052,124327,0.01,0.01,-119.36064836376305,0.01,0.01,-0.244772,14,-119.1410678077917,44,-104.67481418118209
-119.40833436119946,100,0.225101532289903,0.5610698,0.27614236,28.238,0.41048622,4500,-0.13808903,-0.7400238,0.0001,0.27846175,127071,0.01,0.01,-119.36170805259493,0.01,0.01,-0.24477421,14,-119.40833436119946,45,-104.67481418118209
-118.93899995482127,100,0.20124636988781286,0.5610929,0.08351168,28.223695652173912,0.13795339,4600,-0.13251308,-0.7400514,0.0001,0.27844805,129829,0.01,0.01,-119.35251874612159,0.01,0.01,-0.2447601,14,-118.93899995482127,46,-104.67481418118209
-119.60993852500673,100,0.19339799388554493,0.56109184,0.12414292,28.22872340425532,0.13097012,4700,-0.14992231,-0.74005884,0.0001,0.2784397,132675,0.01,0.01,-119.35799576269363,0.01,0.01,-0.24475208,14,-119.60993852500673,47,-104.67481418118209
-119.43115851805459,100,0.22490259233822407,0.56109256,0.122954056,28.24416666666667,0.15915366,4800,-0.082567185,-0.7400558,0.0001,0.27845213,135572,0.01,0.01,-119.35951998676364,0.01,0.01,-0.2447493,14,-119.43115851805459,48,-104.67481418118209
-119.41350047646952,100,0.23583169485211644,0.5610803,0.20395489,28.24877551020408,0.30709955,4900,-0.17163451,-0.74005985,0.0001,0.2784462,138419,0.01,0.01,-119.3606216294107,0.01,0.01,-0.24474217,14,-119.41350047646952,49,-104.67481418118209
-119.63391840614075,100,0.24094411505764665,0.5610979,0.123584926,28.2602,0.16110541,5000,-0.13411433,-0.74004966,0.0001,0.2784258,141301,0.01,0.01,-119.36608756494532,0.01,0.01,-0.2447527,14,-119.63391840614075,50,-104.67481418118209
