InvPendulum_std3_higher,TimestepsSoFar,StepSize,InvPendulum_std0_higher,InvPendulum_std1_higher,NatGrad2Norm,NumTrajectories,VarJ,ReturnMean,InvPendulum_mu2_higher,BatchSize,InvPendulum_std2_higher,InvPendulum_mu0_higher,MinEpLen,ActionIn1,InvPendulum_mu3_higher,NatGradInftyNorm,ReturnMax,AvgEpLen,J,Iteration,InvPendulum_mu1_higher,AvgRet
0.01,153535,0.0001,0.01,0.01,0.25079313,3700,0.4603227301823258,-102.05158452711652,-0.10650292,100,0.01,-0.3572664,11,-1.744601,-0.80752426,0.1837723,-51.17910210240289,41.49594594594595,-101.77450592841699,37,-0.45702982,-101.77450592841699
0.01,157854,0.0001,0.01,0.01,0.19553402,3800,0.5907370083870068,-102.05936662168769,-0.106505275,100,0.01,-0.35726622,11,-1.7192109,-0.8075412,0.14678769,-51.17910210240289,41.54052631578947,-102.34730412082143,38,-0.4570482,-102.34730412082143
0.01,162130,0.0001,0.01,0.01,0.16668937,3900,0.6718846827292433,-102.06369417316697,-0.10650208,100,0.01,-0.35725772,11,-1.7652065,-0.80755585,0.122158065,-51.17910210240289,41.57179487179487,-102.22814112937948,39,-0.4570574,-102.22814112937948
0.01,166580,0.0001,0.01,0.01,0.18951547,4000,0.9416172766719155,-102.05389361154765,-0.10649369,100,0.01,-0.3572647,11,-1.709568,-0.8075681,0.13389462,-51.17910210240289,41.645,-101.6716717083947,40,-0.45705426,-101.6716717083947
0.01,170580,0.0001,0.01,0.01,0.3941422,4100,0.4985341429468453,-102.03855273365305,-0.1064803,100,0.01,-0.35726145,11,-1.731474,-0.80755675,0.29110932,-51.17910210240289,41.604878048780485,-101.42491761786816,41,-0.45706066,-101.42491761786816
0.01,174780,0.0001,0.01,0.01,0.12854944,4200,0.7082487881038076,-102.0442489188807,-0.10646085,100,0.01,-0.35723233,11,-1.7101032,-0.8075451,0.096708246,-51.17910210240289,41.614285714285714,-102.2777925132147,42,-0.4570468,-102.2777925132147
0.01,179088,0.0001,0.01,0.01,0.24001274,4300,0.6581704794882788,-102.02941506152038,-0.106455356,100,0.01,-0.35722268,11,-1.7259703,-0.80754423,0.19034559,-51.17910210240289,41.648372093023255,-101.40639305238734,43,-0.45705318,-101.40639305238734
0.01,183225,0.0001,0.01,0.01,0.10492015,4400,0.5599952432466411,-102.02203959220226,-0.10645971,100,0.01,-0.3572177,11,-1.7090118,-0.8075312,0.09188396,-51.17910210240289,41.64204545454545,-101.7048944115228,44,-0.45707223,-101.7048944115228
0.01,186819,0.0001,0.01,0.01,0.18090841,4500,0.3573080976031129,-102.05375728998708,-0.10646085,100,0.01,-0.35722688,11,-1.6946777,-0.8075263,0.15532152,-51.17910210240289,41.51533333333333,-103.44933599251858,45,-0.45707166,-103.44933599251858
0.01,190696,0.0001,0.01,0.01,0.3175967,4600,0.46731442113054505,-102.04089576845276,-0.10647638,100,0.01,-0.35723504,11,-1.7486542,-0.8075251,0.29552796,-51.17910210240289,41.455652173913045,-101.46212729940912,46,-0.45706743,-101.46212729940912
0.01,195148,0.0001,0.01,0.01,0.15987399,4700,0.7769910431383967,-102.0363052826763,-0.10650594,100,0.01,-0.35723692,11,-1.7336559,-0.8075152,0.13285851,-47.28848286494566,41.52085106382979,-101.82514293695867,47,-0.45707324,-101.82514293695867
0.01,199397,0.0001,0.01,0.01,0.10713286,4800,0.6476504255793123,-102.03763778403848,-0.10651922,100,0.01,-0.35722828,11,-1.7196686,-0.8075138,0.07237576,-47.28848286494566,41.541041666666665,-102.10026534806151,48,-0.45707482,-102.10026534806151
0.01,203484,0.0001,0.01,0.01,0.16905871,4900,0.7669165994615803,-102.04479829167033,-0.106515065,100,0.01,-0.35722104,11,-1.6959441,-0.8075096,0.11980746,-47.28848286494566,41.52734693877551,-102.38850265799918,49,-0.45708007,-102.38850265799918
0.01,207469,0.0001,0.01,0.01,0.15976603,5000,0.48582565788143434,-102.03589030569105,-0.10650617,100,0.01,-0.35722697,11,-1.697165,-0.8074976,0.13898496,-47.28848286494566,41.4938,-101.59939899270627,50,-0.45708534,-101.59939899270627
