ActionIn1,AvgEpLen,TimestepsSoFar,MinEpLen,ReturnMax,NatGrad2Norm,J,InvPendulum_std0_higher,InvPendulum_std2_higher,ReturnMean,NumTrajectories,VarJ,StepSize,InvPendulum_std3_higher,InvPendulum_mu0_higher,AvgRet,InvPendulum_mu1_higher,Iteration,NatGradInftyNorm,BatchSize,InvPendulum_mu2_higher,InvPendulum_std1_higher,InvPendulum_mu3_higher
-2.3322778,28.22142857142857,39510,11,-102.34473205219214,0.3043545,-110.22654971096483,0.01,0.01,-118.9716703813414,1400,0.1230431921844868,1.0,0.01,-0.5740417,-110.22654971096483,-0.77533925,14,0.20159496,100,-1.1024388,0.01,0.13232969
-2.8972433,27.665333333333333,41498,11,-102.34473205219214,0.097951755,-109.1132714280181,0.01,0.01,-118.31444378445318,1500,0.19803404703543623,1.0,0.01,-0.6974042,-109.1132714280181,-0.8799632,15,0.066865,100,-1.2631456,0.01,-0.069265276
-2.8607593,27.159375,43455,11,-102.34473205219214,0.20418915,-109.64267059664779,0.01,0.01,-117.77245796021535,1600,0.2139755189200914,1.0,0.01,-0.71443295,-109.64267059664779,-0.8130982,16,0.1241156,100,-1.2064477,0.01,-0.10950202
-2.9602633,26.639411764705883,45287,11,-102.34473205219214,0.23179145,-108.49881919217646,0.01,0.01,-117.22694979738954,1700,0.14720562842782753,1.0,0.01,-0.8175004,-108.49881919217646,-0.6889826,17,0.17935283,100,-1.299822,0.01,-0.19284992
-2.7382793,26.084444444444443,46952,11,-102.34473205219214,0.20310088,-108.31045473914529,0.01,0.01,-116.7315889608204,1800,0.07771331939932413,1.0,0.01,-0.6381476,-108.31045473914529,-0.55524844,18,0.1989014,100,-1.3509433,0.01,-0.2254324
-2.5359201,25.61421052631579,48667,11,-102.34473205219214,0.20488337,-108.6038146302249,0.01,0.01,-116.30381136447326,1900,0.1293060192614958,1.0,0.01,-0.63028646,-108.6038146302249,-0.5789105,19,0.18263717,100,-1.1520419,0.01,-0.19277497
-2.6814487,25.302,50604,11,-102.34473205219214,0.18444364,-109.48441637166312,0.01,0.01,-115.96284161483277,2000,0.2100243775575725,1.0,0.01,-0.8129236,-109.48441637166312,-0.546553,20,0.14106847,100,-1.0814252,0.01,-0.2436387
-2.8911707,24.989047619047618,52477,11,-102.34473205219214,0.124203056,-109.36772503850432,0.01,0.01,-115.6487884445314,2100,0.1615816252928784,1.0,0.01,-0.76908064,-109.36772503850432,-0.6512018,21,0.07859148,100,-1.2224936,0.01,-0.27893135
-2.8048782,24.672272727272727,54279,11,-102.34473205219214,0.22320394,-108.56390460900849,0.01,0.01,-115.32674827018944,2200,0.12081767112717205,1.0,0.01,-0.8268445,-108.56390460900849,-0.5726103,22,0.16423582,100,-1.1458646,0.01,-0.28534234
-2.5763235,24.351304347826087,56008,11,-102.34473205219214,0.19427985,-109.03889166958069,0.01,0.01,-115.05336320059776,2300,0.13050208127069618,1.0,0.01,-0.9132622,-109.03889166958069,-0.45733282,23,0.1390641,100,-1.1001515,0.01,-0.12110652
-2.286164,24.00583333333333,57614,11,-102.34473205219214,0.12864253,-107.93277286714196,0.01,0.01,-114.75667193670378,2400,0.07315955520698714,1.0,0.01,-0.88358617,-107.93277286714196,-0.31826872,24,0.10098425,100,-1.1136162,0.01,0.0105896145
-2.5299835,23.7,59250,11,-102.34473205219214,0.34996474,-107.91600639468301,0.01,0.01,-114.48304531502293,2500,0.08126952017371604,1.0,0.01,-0.95855284,-107.91600639468301,-0.41925296,25,0.30780485,100,-1.1205634,0.01,-0.015541239
-2.1474833,23.66076923076923,61518,11,-102.34473205219214,0.08022033,-110.74431478488557,0.01,0.01,-114.33924798694075,2600,0.37331155116544457,1.0,0.01,-0.8089766,-110.74431478488557,-0.43428132,26,0.06031913,100,-0.81275856,0.01,-0.08718335
-2.0044193,23.476666666666667,63387,11,-102.34473205219214,0.2532936,-108.79676238457265,0.01,0.01,-114.13397074240856,2700,0.22256988323098728,1.0,0.01,-0.74865746,-108.79676238457265,-0.39407885,27,0.21606241,100,-0.8189768,0.01,-0.05338988
-2.0298617,23.34107142857143,65355,11,-102.34473205219214,0.12551863,-111.03476116931553,0.01,0.01,-114.02328468622669,2800,0.18818699880545467,1.0,0.01,-0.8621107,-111.03476116931553,-0.45457613,28,0.085408635,100,-0.8496872,0.01,0.16267253
-1.9659742,23.13758620689655,67099,11,-102.34473205219214,0.25916615,-108.58826871542347,0.01,0.01,-113.8358703424059,2900,0.12814053339740128,1.0,0.01,-0.7830645,-108.58826871542347,-0.40798983,29,0.18769497,100,-0.85614526,0.01,0.0772639
-2.0169804,23.452333333333332,70357,11,-102.34473205219214,0.2918548,-111.60866555784304,0.01,0.01,-113.76163018292046,3000,0.4291719963117997,1.0,0.01,-0.7917693,-111.60866555784304,-0.45694086,30,0.19718055,100,-0.6844895,0.01,-0.11043107
-2.2054675,24.378064516129033,75572,11,-77.3261958482897,0.12591065,-106.87964752540472,0.01,0.01,-113.53963074235544,3100,0.9630388596343583,1.0,0.01,-0.8145749,-106.87964752540472,-0.56971306,31,0.08167821,100,-0.5026616,0.01,-0.3076116
-2.35068,24.9925,79976,11,-70.94247254205483,0.35502437,-106.54039467158813,0.01,0.01,-113.32090461514396,3200,0.9879067927967712,1.0,0.01,-0.88741434,-106.54039467158813,-0.5201679,32,0.28403986,100,-0.5403691,0.01,-0.38928983
-1.8849568,25.28909090909091,83454,11,-70.94247254205483,0.16253512,-110.13629286281432,0.01,0.01,-113.22440122870974,3300,0.3085233446022724,1.0,0.01,-0.87048304,-110.13629286281432,-0.30980173,33,0.13018408,100,-0.5690584,0.01,-0.10524997
-1.9534689,26.730588235294118,90884,11,61.44365086122737,0.2818633,-99.74647262028539,0.01,0.01,-112.82799156375607,3400,8.352951239878568,1.0,0.01,-1.0006671,-99.74647262028539,-0.3297079,34,0.19417113,100,-0.48046732,0.01,-0.1402518
-1.7396711,40.25257142857143,140884,11,61.44365086122737,0.4066657,-174.69973621209604,0.01,0.01,-114.59575569656577,3500,4.348696074183302,1.0,0.01,-0.9577418,-174.69973621209604,-0.47216254,35,0.38156864,100,-0.34043664,0.01,0.05391933
-1.5343064,44.46,160056,11,61.44365086122737,0.29788926,-135.58206020290044,0.01,0.01,-115.17870859951952,3600,12.580842688189968,1.0,0.01,-1.0801691,-135.58206020290044,-0.090593904,36,0.21936122,100,-0.4095685,0.01,0.057755318
-1.5846072,43.93351351351351,162554,11,61.44365086122737,0.23484005,-114.50082159600814,0.01,0.01,-115.16038732915435,3700,0.6931827776048611,1.0,0.01,-1.1480622,-114.50082159600814,-0.11896386,37,0.16136214,100,-0.5971967,0.01,0.27711654
-1.5719075,43.401315789473685,164925,11,61.44365086122737,0.32480383,-115.30721946487303,0.01,0.01,-115.16425133272588,3800,0.8951667541543246,1.0,0.01,-1.3094244,-115.30721946487303,-0.09400817,38,0.28574818,100,-0.64901364,0.01,0.4377538
-1.7969798,52.34076923076923,204129,11,61.44365086122737,0.43025014,-237.82219439404344,0.01,0.01,-118.30932679583658,3900,29.028102623128134,1.0,0.01,-1.3729709,-237.82219439404344,-0.37975636,39,0.29833767,100,-0.51424265,0.01,0.47830147
-2.6085427,63.53225,254129,11,61.44365086122737,0.11576512,-97.70699859041926,0.01,0.01,-117.79426859070117,4000,1.3660906662505627,1.0,0.01,-1.5500574,-97.70699859041926,-0.678094,40,0.086501,100,-0.73571646,0.01,0.35300362
-2.796309,74.17780487804878,304129,11,61.44365086122737,0.13438882,-70.7480871213741,0.01,0.01,-116.64680074998589,4100,2.1180751468978607,1.0,0.01,-1.585982,-70.7480871213741,-0.76459503,41,0.085181974,100,-0.7670143,0.01,0.29259658
-2.6792953,84.31642857142857,354129,11,61.44365086122737,0.23189746,-82.90038183665625,0.01,0.01,-115.84331458538279,4200,1.5912185706685589,1.0,0.01,-1.6540596,-82.90038183665625,-0.6794131,42,0.17453997,100,-0.7019293,0.01,0.33657107
-3.0587182,93.98348837209302,404129,11,61.44365086122737,0.06954481,-48.80591878384111,0.01,0.01,-114.28430538069577,4300,0.70076462394359,1.0,0.01,-1.7467618,-48.80591878384111,-0.6905999,43,0.059130743,100,-0.87646925,0.01,0.2157679
-2.968547,103.21113636363637,454129,11,61.44365086122737,0.09419914,-21.773948661502935,0.01,0.01,-112.18179727344139,4400,1.6614988810243156,1.0,0.01,-1.7316681,-21.773948661502935,-0.6314692,44,0.07424179,100,-0.8529064,0.01,0.23936898
-2.8793082,107.118,482031,11,61.44365086122737,0.18007076,-98.12923392975034,0.01,0.01,-111.86951808802604,4500,8.286914238761208,1.0,0.01,-1.6996006,-98.12923392975034,-0.5572274,45,0.14203677,100,-0.86407256,0.01,0.28636497
-3.0477314,115.5741304347826,531641,11,61.44365086122737,0.075642005,-37.86799213709708,0.01,0.01,-110.26078926300585,4600,1.775097777440002,1.0,0.01,-1.640327,-37.86799213709708,-0.69926417,46,0.05649573,100,-0.9357144,0.01,0.22632232
-3.0189261,123.75340425531915,581641,11,61.44365086122737,0.09956072,-29.761218416928877,0.01,0.01,-108.54803243649356,4700,1.1812148919097483,1.0,0.01,-1.6695641,-29.761218416928877,-0.7027215,47,0.08964591,100,-0.8792187,0.01,0.26710448
-2.8564162,123.80145833333333,594247,11,61.44365086122737,0.18606304,-115.39605559971034,0.01,0.01,-108.69069958572724,4800,8.178934339845206,1.0,0.01,-1.6541057,-115.39605559971034,-0.61307555,48,0.16231874,100,-0.9143801,0.01,0.287121
-2.9655733,131.47897959183675,644247,11,61.44365086122737,0.074383765,-33.67034328816135,0.01,0.01,-107.15967190618508,4900,0.442869450435586,1.0,0.01,-1.680021,-33.67034328816135,-0.5896662,49,0.052973457,100,-0.83040106,0.01,0.12480226
-2.9903188,138.8494,694247,11,61.44365086122737,0.07096292,-25.76804447144113,0.01,0.01,-105.53183935749018,5000,0.5551161548042739,1.0,0.01,-1.7108576,-25.76804447144113,-0.53669274,50,0.047976322,100,-0.87012386,0.01,0.1388722
