NatGradInftyNorm,InvPendulum_std2_higher,InvPendulum_std0_higher,AvgEpLen,ReturnMean,InvPendulum_mu2_higher,TimestepsSoFar,MinEpLen,StepSize,InvPendulum_std1_higher,InvPendulum_std3_higher,NumTrajectories,Iteration,AvgRet,VarJ,InvPendulum_mu1_higher,NatGrad2Norm,InvPendulum_mu3_higher,ActionIn1,ReturnMax,J,BatchSize,InvPendulum_mu0_higher
0.08530775,0.01,0.01,33.35421052631579,-112.37034216282426,-0.42784455,63373,12,1.0,0.01,0.01,1900,19,-107.40218634028875,0.12306085606093496,-0.4069059,0.12388397,-0.7579636,-0.6338592,-70.08477426571172,-107.40218634028875,100,0.9747451
0.20948909,0.01,0.01,32.868,-112.06887913957091,-0.3788381,65736,10,1.0,0.01,0.01,2000,20,-106.34108169775736,0.2614528008955478,-0.41885516,0.32331458,-0.6726558,-0.5959391,-70.08477426571172,-106.34108169775736,100,0.900412
0.10713115,0.01,0.01,32.35190476190476,-111.89110096059682,-0.19902967,67939,10,1.0,0.01,0.01,2100,21,-108.33553738111499,0.31048318048192963,-0.37666926,0.12799887,-0.4631667,0.018866688,-70.08477426571172,-108.33553738111499,100,1.0633105
0.08311442,0.01,0.01,31.897727272727273,-111.68031296281792,-0.24405688,70175,10,1.0,0.01,0.01,2200,22,-107.25376500946119,0.1625645949030813,-0.32529393,0.11689539,-0.57029784,-0.066392064,-70.08477426571172,-107.25376500946119,100,1.0787945
0.11662514,0.01,0.01,31.481304347826086,-111.52636297416907,-0.26329157,72407,10,1.0,0.01,0.01,2300,23,-108.13946322389421,0.20010724084814308,-0.24217951,0.18011981,-0.5281325,-0.0123692155,-70.08477426571172,-108.13946322389421,100,1.0109075
0.10498092,0.01,0.01,31.117916666666666,-111.36848040609252,-0.14666644,74683,10,1.0,0.01,0.01,2400,24,-107.7371813403318,0.30604190857748587,-0.17365623,0.16435556,-0.43500176,0.15029785,-70.08477426571172,-107.7371813403318,100,0.93692815
0.12508638,0.01,0.01,30.582,-111.26192183538811,-0.21657205,76455,10,1.0,0.01,0.01,2500,25,-108.70451613848186,0.13859651855335703,-0.0686753,0.21019101,-0.35574666,0.35295713,-70.08477426571172,-108.70451613848186,100,1.0063802
0.2262719,0.01,0.01,30.107692307692307,-111.16161838123074,-0.33376527,78280,10,1.0,0.01,0.01,2600,26,-108.65403202729675,0.16197681932651015,-0.13774756,0.2538096,-0.23066027,0.42176944,-70.08477426571172,-108.65403202729675,100,1.1065222
0.10603257,0.01,0.01,29.67037037037037,-111.10554619295691,-0.3836469,80110,10,1.0,0.01,0.01,2700,27,-109.64766929783704,0.28115396765447076,-0.17060275,0.15456577,-0.004388377,0.66776776,-70.08477426571172,-109.64766929783704,100,1.2047703
0.1734493,0.01,0.01,29.242857142857144,-111.0450620894344,-0.4896795,81880,10,1.0,0.01,0.01,2800,28,-109.4119912943275,0.17219330557027834,-0.089306116,0.23734283,0.01241257,0.55869097,-70.08477426571172,-109.4119912943275,100,1.1289003
0.1918944,0.01,0.01,28.78896551724138,-110.95007817191599,-0.4914153,83488,10,1.0,0.01,0.01,2900,29,-108.2905284814002,0.07368585181705156,0.059200406,0.2108548,0.077140965,0.593518,-70.08477426571172,-108.2905284814002,100,0.955451
0.10566845,0.01,0.01,28.36466666666667,-110.85696919023052,-0.5445669,85094,10,1.0,0.01,0.01,3000,30,-108.15680872135108,0.09329670412062104,0.088133514,0.15697502,-0.11475343,0.3439188,-70.08477426571172,-108.15680872135108,100,0.89241076
0.14925271,0.01,0.01,27.981290322580644,-110.77404573980257,-0.4602841,86742,10,1.0,0.01,0.01,3100,31,-108.28634222696502,0.09656961537937586,0.016804688,0.24281229,-0.009084985,0.42357102,-70.08477426571172,-108.28634222696502,100,0.8565786
0.057656348,0.01,0.01,27.6196875,-110.70399849407568,-0.3342824,88383,10,1.0,0.01,0.01,3200,32,-108.53253387654131,0.14592085005641686,0.16044843,0.08276549,-0.1583377,0.53205484,-70.08477426571172,-108.53253387654131,100,0.86967385
0.19286369,0.01,0.01,27.295151515151517,-110.65313199274439,-0.33220017,90074,10,1.0,0.01,0.01,3300,33,-109.02540395014341,0.12239262994859866,0.11071694,0.20456973,-0.10068135,0.58268255,-70.08477426571172,-109.02540395014341,100,0.90205157
0.1133867,0.01,0.01,27.00029411764706,-110.62011461543655,-0.13933648,91801,10,1.0,0.01,0.01,3400,34,-109.53054116427855,0.23138691754380109,0.16564125,0.1740838,-0.091321625,0.912165,-70.08477426571172,-109.53054116427855,100,0.9413973
0.1001162,0.01,0.01,26.71742857142857,-110.61526670419615,-0.19871223,93511,10,1.0,0.01,0.01,3500,35,-110.45043772202143,0.2473813425781933,0.11744505,0.13112429,0.022065073,0.95825356,-70.08477426571172,-110.45043772202143,100,1.0491018
0.35047126,0.01,0.01,26.485,-110.67341808677776,-0.09859603,95346,10,1.0,0.01,0.01,3600,36,-112.70871647713462,0.3299804344387058,0.12166509,0.42811444,0.088365875,1.1098739,-70.08477426571172,-112.70871647713462,100,0.99659735
0.21673714,0.01,0.01,26.20783783783784,-110.63164653057355,-0.20688142,96969,10,1.0,0.01,0.01,3700,37,-109.12787050722176,0.1519983855516798,0.47213635,0.2397914,-0.06224685,1.3431476,-70.08477426571172,-109.12787050722176,100,1.1579726
0.18014324,0.01,0.01,25.936315789473685,-110.58719700726803,0.009855717,98558,10,1.0,0.01,0.01,3800,38,-108.94256464496385,0.16537934371134025,0.4712002,0.20975812,0.030455202,1.7316747,-70.08477426571172,-108.94256464496385,100,1.2019087
0.114671,0.01,0.01,25.67025641025641,-110.51966912599693,0.063847505,100114,10,1.0,0.01,0.01,3900,39,-107.95360963769521,0.1379561244067347,0.65134346,0.14793529,0.080928385,1.900953,-70.08477426571172,-107.95360963769521,100,1.1239073
0.365738,0.01,0.01,25.396,-110.4472699182954,0.079726115,101584,10,1.0,0.01,0.01,4000,40,-107.62370081793564,0.10047824693098878,0.6638177,0.41360328,-0.033742614,1.9406765,-70.08477426571172,-107.62370081793564,100,1.2151634
0.22600324,0.01,0.01,25.15780487804878,-110.3703959167865,0.053116553,103147,10,1.0,0.01,0.01,4100,41,-107.29543585643094,0.0671494250609731,0.4747489,0.3070329,-0.3994806,1.4090407,-70.08477426571172,-107.29543585643094,100,1.2442892
0.23160322,0.01,0.01,24.935,-110.32524002728921,-0.06389509,104727,10,1.0,0.01,0.01,4200,42,-108.47384855790037,0.1313852824682056,0.30491784,0.39182964,-0.17347737,1.3075317,-70.08477426571172,-108.47384855790037,100,1.2699294
0.12564632,0.01,0.01,24.722558139534883,-110.2866467938162,0.15750317,106307,10,1.0,0.01,0.01,4300,43,-108.66573098794939,0.11132471974109462,0.079453185,0.200312,-0.16723996,1.5505577,-70.08477426571172,-108.66573098794939,100,1.5015327
0.09720921,0.01,0.01,24.532272727272726,-110.2637151713831,0.28314948,107942,10,1.0,0.01,0.01,4400,44,-109.27765540676026,0.15256602471751593,0.1429085,0.16336161,-0.089769766,1.9990331,-70.08477426571172,-109.27765540676026,100,1.6211559
0.25649473,0.01,0.01,24.348222222222223,-110.22283843285483,0.18773833,109567,10,1.0,0.01,0.01,4500,45,-108.42426193761052,0.14097007261414216,0.23135263,0.3781035,-0.10742585,2.0372076,-70.08477426571172,-108.42426193761052,100,1.7183651
0.06849101,0.01,0.01,24.19391304347826,-110.21130952436013,0.39469403,111292,10,1.0,0.01,0.01,4600,46,-109.69250864209876,0.27254922011241073,-0.025142103,0.117328085,0.019644007,1.9854285,-70.08477426571172,-109.69250864209876,100,1.5834751
0.12187307,0.01,0.01,24.07936170212766,-110.2389501505199,0.38139316,113173,10,1.0,0.01,0.01,4700,47,-111.51041895386871,0.3719447437592631,-0.09130644,0.1290244,0.08687665,1.8873045,-70.08477426571172,-111.51041895386871,100,1.5149841
0.12244306,0.01,0.01,23.961041666666667,-110.26306310879255,0.38786596,115013,10,1.0,0.01,0.01,4800,48,-111.39637214760738,0.3453252803321213,-0.06849436,0.15193471,0.121975996,2.1408978,-70.08477426571172,-111.39637214760738,100,1.6368572
0.19124913,0.01,0.01,23.867755102040817,-110.32951343251288,0.2654229,116952,10,1.0,0.01,0.01,4900,49,-113.51912897108839,0.5319123963162514,-0.1013376,0.29470822,0.18715397,1.9091542,-70.08477426571172,-113.51912897108839,100,1.5842738
0.10917289,0.01,0.01,23.7554,-110.33361026926701,0.42922467,118777,10,1.0,0.01,0.01,5000,50,-110.53435527022077,0.3219578350026977,0.0011206791,0.14659332,0.073364705,1.9078989,-70.08477426571172,-110.53435527022077,100,1.3930247
