StepSize,BatchSize,InvPendulum_mu0_higher,TimestepsSoFar,InvPendulum_std2_higher,ReturnMean,NumTrajectories,Iteration,InvPendulum_mu2_higher,NatGrad2Norm,InvPendulum_std3_higher,InvPendulum_std0_higher,J,NatGradInftyNorm,ReturnMax,AvgRet,InvPendulum_mu1_higher,VarJ,InvPendulum_mu3_higher,AvgEpLen,ActionIn1,InvPendulum_std1_higher,MinEpLen
1.0,100,-0.8865018,456047,0.01,-113.32946724131138,3500,35,0.4210192,0.14488909,0.01,0.01,-91.0626827696431,0.10114927,97.68710721119224,-91.0626827696431,-1.2008778,13.962048967547668,-0.8686744,130.29914285714287,-2.5526116,0.01,12
1.0,100,-0.8612051,478056,0.01,-112.59046883528259,3600,36,0.35056156,0.14798678,0.01,0.01,-86.72552462427564,0.11615185,97.68710721119224,-86.72552462427564,-1.0997285,15.661501242063405,-0.79685885,132.79333333333332,-2.4074113,0.01,12
1.0,100,-0.74505323,504163,0.01,-111.19471468290352,3700,37,0.35204968,0.14118631,0.01,0.01,-60.947565197255784,0.090815924,97.68710721119224,-60.947565197255784,-1.1748356,50.61999692716009,-0.7442703,136.26027027027027,-2.328387,0.01,12
1.0,100,-0.8282389,528628,0.01,-110.18309622937927,3800,38,0.38573658,0.1363989,0.01,0.01,-72.75321344898249,0.088334,97.68710721119224,-72.75321344898249,-1.2350965,28.543262067518363,-0.8350862,139.11263157894737,-2.5035348,0.01,12
1.0,100,-0.75553775,554020,0.01,-108.57768167715889,3900,39,0.45863986,0.12577192,0.01,0.01,-47.57192869278501,0.07815493,99.48841510172635,-47.57192869278501,-1.3234304,71.26472474390327,-0.84927845,142.05641025641026,-2.5064402,0.01,12
1.0,100,-0.82132334,578318,0.01,-109.10878884049828,4000,40,0.38048494,0.19574547,0.01,0.01,-129.82196821073455,0.18876393,99.48841510172635,-129.82196821073455,-1.3401843,5.473480063747287,-0.7778505,144.5795,-2.5400605,0.01,12
1.0,100,-0.7752397,598447,0.01,-109.84686388326185,4100,41,0.56924886,0.54749054,0.01,0.01,-139.3698655938041,0.4323985,99.48841510172635,-139.3698655938041,-1.3591897,5.434442269068436,-0.7919773,145.96268292682927,-2.360273,0.01,12
1.0,100,-0.3428412,602539,0.01,-109.99246968271926,4200,42,0.81192744,0.14751267,0.01,0.01,-115.96230746047318,0.10524418,99.48841510172635,-115.96230746047318,-1.1381444,0.7586584528901694,-0.72110057,143.46166666666667,-1.3719769,0.01,12
1.0,100,-0.23759702,606241,0.01,-110.17645418136789,4300,43,0.88493985,0.27161157,0.01,0.01,-117.90380312461043,0.20665686,99.48841510172635,-117.90380312461043,-1.2101911,1.0237114817691837,-0.70836854,140.98627906976745,-1.2689116,0.01,12
1.0,100,-0.17885014,610439,0.01,-110.68793386851343,4400,44,0.84046173,0.10996009,0.01,0.01,-132.68156041577083,0.09803596,99.48841510172635,-132.68156041577083,-1.416848,0.41728264454868463,-0.5482552,138.73613636363638,-1.2842226,0.01,12
1.0,100,-0.2768861,614707,0.01,-111.19898610230864,4500,45,0.84986746,0.22470343,0.01,0.01,-133.68528438929852,0.18943211,99.48841510172635,-133.68528438929852,-1.3891237,0.4470498272026803,-0.5079679,136.60155555555556,-1.2905023,0.01,12
1.0,100,-0.37698525,620532,0.01,-111.96125549095417,4600,46,0.6604353,0.45234942,0.01,0.01,-146.26337798000293,0.42722258,99.48841510172635,-146.26337798000293,-1.3260114,0.27419150826116556,-0.4833891,134.8982608695652,-1.5463009,0.01,12
1.0,100,-0.3933013,670532,0.01,-118.98150796128252,4700,47,0.23321274,0.70705795,0.01,0.01,-441.913121596386,0.5607395,99.48841510172635,-441.913121596386,-1.4140552,1.3381153190997244,-0.36471757,142.6663829787234,-1.944186,0.01,12
1.0,100,0.031023353,678350,0.01,-119.53585726061898,4800,48,-0.32752678,0.14023753,0.01,0.01,-145.59027432943424,0.10525,99.48841510172635,-145.59027432943424,-1.4088101,1.3475804235636197,-0.43835986,141.32291666666666,-2.135006,0.01,12
1.0,100,0.13627335,686607,0.01,-120.2360183275751,4900,49,-0.2802341,0.26082775,0.01,0.01,-153.8437495414683,0.17474082,99.48841510172635,-153.8437495414683,-1.4818127,2.261762248606136,-0.40637523,140.1238775510204,-1.9997671,0.01,12
1.0,100,0.045917757,706148,0.01,-122.97704990740041,5000,50,-0.13056564,0.47446012,0.01,0.01,-257.2875973188407,0.3726044,99.48841510172635,-257.2875973188407,-1.5650712,13.846684589153728,-0.23163441,141.2296,-1.8502024,0.01,12
