BatchSize,NatGradInftyNorm,StepSize,ReturnMean,InvPendulum_std0_higher,TimestepsSoFar,J,InvPendulum_std1_higher,InvPendulum_mu2_higher,VarJ,InvPendulum_std3_higher,NumTrajectories,InvPendulum_mu1_higher,AvgRet,InvPendulum_mu3_higher,NatGrad2Norm,Iteration,InvPendulum_std2_higher,AvgEpLen,MinEpLen,InvPendulum_mu0_higher,ActionIn1,ReturnMax
100,0.21160704,2.0,-116.48423054845551,0.01,147105,-104.57568463531342,0.01,-0.47449774,0.36203423553214903,0.01,2200,-0.43620405,-104.57568463531342,-0.93899024,0.21339948,22,0.01,66.86590909090908,11,-1.5739301,-3.4333177,-44.8624941417687
100,0.21445693,2.0,-115.95494719083808,0.01,151858,-104.31071332325466,0.01,-0.52516925,0.4948479772362821,0.01,2300,-0.85941815,-104.31071332325466,-0.9522915,0.22318922,23,0.01,66.02521739130435,11,-1.5913277,-3.9464262,-44.8624941417687
100,0.12671867,2.0,-115.48839661557099,0.01,157941,-104.75773338442767,0.01,-0.09625539,0.4661604656775235,0.01,2400,-0.9623466,-104.75773338442767,-0.90145636,0.15927418,24,0.01,65.80875,11,-1.5454133,-3.4993608,-44.8624941417687
100,0.2465134,2.0,-116.1293444288399,0.01,207941,-131.51209194729418,0.01,0.009368464,11.750781157786939,0.01,2500,-1.1146178,-131.51209194729418,-0.648019,0.35017022,25,0.01,83.1764,11,-1.5992615,-3.3955607,-44.8624941417687
100,0.069313586,2.0,-115.55315750854508,0.01,212365,-101.1484845011746,0.01,0.10339494,0.30575984257884115,0.01,2600,-0.68587506,-101.1484845011746,-1.1410458,0.07983424,26,0.01,81.67884615384615,11,-1.3652956,-3.0847006,-44.8624941417687
100,0.30877465,2.0,-114.94895837710968,0.01,216911,-99.23978095978913,0.01,-0.03523223,0.4486191542774296,0.01,2700,-0.6284965,-99.23978095978913,-1.1795231,0.34789425,27,0.01,80.33740740740741,11,-1.4040736,-3.2353673,-44.8624941417687
100,0.15174098,2.0,-114.87024654000427,0.01,225880,-112.74502693815872,0.01,0.25616574,1.3467356173482816,0.01,2800,-0.54040307,-112.74502693815872,-0.5619738,0.16963878,28,0.01,80.67142857142858,11,-1.303668,-2.167102,-44.8624941417687
100,0.24821301,2.0,-114.72654050962518,0.01,232417,-110.70277165901011,0.01,0.39246997,0.9708649226766168,0.01,2900,-0.6039411,-110.70277165901011,-0.58177376,0.29345536,29,0.01,80.14379310344827,11,-1.0001861,-1.763542,-44.8624941417687
100,0.16836765,2.0,-115.58594179598684,0.01,248484,-140.50857910047463,0.01,0.6686952,11.868182578067294,0.01,3000,-0.7205621,-140.50857910047463,-0.49163732,0.23535147,30,0.01,82.828,11,-1.4966121,-2.033029,-44.8624941417687
100,0.15425701,2.0,-115.37654321355593,0.01,253568,-109.09458574062883,0.01,0.5510217,0.8784203689734353,0.01,3100,-0.42053917,-109.09458574062883,-0.55728626,0.1935328,31,0.01,81.79612903225807,11,-1.1598768,-1.5794975,-44.8624941417687
100,0.2065163,2.0,-115.00246997421759,0.01,261101,-103.40619955472863,0.01,0.24250767,2.136415322987687,0.01,3200,-0.3845353,-103.40619955472863,-0.5708464,0.21451671,32,0.01,81.5940625,11,-1.3904386,-2.0651948,-44.8624941417687
100,0.14539252,2.0,-114.66494297136178,0.01,268736,-103.8640788799767,0.01,0.3156238,2.006432799309957,0.01,3300,-0.34251723,-103.8640788799767,-0.65061027,0.21280146,33,0.01,81.43515151515152,11,-1.8034711,-2.4862835,-44.8624941417687
100,0.07673386,2.0,-114.53584165182362,0.01,274697,-110.27549810706374,0.01,0.469602,1.1733543034867315,0.01,3400,-0.051732183,-110.27549810706374,-0.3817888,0.082214,34,0.01,80.79323529411765,11,-1.7788209,-1.7624669,-44.8624941417687
100,0.18027577,2.0,-114.4425561016374,0.01,280958,-111.27084739530554,0.01,0.5116754,1.0694728536084863,0.01,3500,-0.2051999,-111.27084739530554,-0.41281444,0.20251195,35,0.01,80.27371428571429,11,-1.7514081,-1.872615,-44.8624941417687
100,0.22463717,2.0,-114.14757946872062,0.01,285725,-103.82339731663444,0.01,0.6550959,0.7018065114399041,0.01,3600,-0.22821611,-103.82339731663444,-0.773366,0.2360667,36,0.01,79.36805555555556,11,-1.6376199,-1.9917657,-44.8624941417687
100,0.05141577,2.0,-113.8466702250322,0.01,290372,-103.01393745224857,0.01,0.6200461,0.4710215787344099,0.01,3700,-0.36892068,-103.01393745224857,-1.2226403,0.08837839,37,0.01,78.47891891891892,11,-1.6315985,-2.6038797,-44.8624941417687
100,0.339583,2.0,-113.63432004311643,0.01,294138,-105.7773633122324,0.01,0.53457314,0.5477590821684144,0.01,3800,-0.26608914,-105.7773633122324,-1.2908864,0.3555447,38,0.01,77.40473684210527,11,-1.5382953,-2.5885558,-44.8624941417687
100,0.14091472,2.0,-113.42112200428922,0.01,297035,-105.31959652885539,0.01,1.2137392,0.297524376187802,0.01,3900,-0.25356537,-105.31959652885539,-1.5010586,0.20404577,39,0.01,76.16282051282052,11,-1.545532,-2.056893,-44.8624941417687
100,0.26940888,2.0,-113.26323008604248,0.01,299315,-107.1054452744202,0.01,0.95912814,0.13804094977822448,0.01,4000,-0.11749323,-107.1054452744202,-1.5624464,0.28127614,40,0.01,74.82875,11,-1.2637025,-1.9770856,-44.8624941417687
100,0.108837284,2.0,-113.07359924025218,0.01,302483,-105.4883654086394,0.01,0.42031038,0.37704632349903483,0.01,4100,-0.2576204,-105.4883654086394,-1.5963101,0.16239342,41,0.01,73.77634146341464,11,-1.3369018,-2.7692637,-44.8624941417687
100,0.18731119,2.0,-112.88807957463354,0.01,305626,-105.28177328426948,0.01,0.43268362,0.32897191560220557,0.01,4200,-0.15295798,-105.28177328426948,-1.3786355,0.20984107,42,0.01,72.76809523809524,11,-1.120114,-2.1802123,-44.8624941417687
100,0.10291659,2.0,-112.73839346538138,0.01,309293,-106.45157687679139,0.01,0.807306,0.3113949363893926,0.01,4300,-0.16058005,-106.45157687679139,-1.2968115,0.13107248,43,0.01,71.92860465116279,11,-1.2905191,-1.9217331,-44.8624941417687
100,0.053203017,2.0,-112.57665132244456,0.01,312357,-105.62173917616093,0.01,0.92611986,0.2724193872336062,0.01,4400,-0.25445843,-105.62173917616093,-1.0909783,0.07254919,44,0.01,70.99022727272727,11,-1.3490238,-1.7669696,-44.8624941417687
100,0.03491454,2.0,-112.44755977547727,0.01,315048,-106.76753170891661,0.01,0.960236,0.20426952311618643,0.01,4500,-0.22062711,-106.76753170891661,-0.98457223,0.054949414,45,0.01,70.01066666666667,11,-1.262868,-1.5426388,-44.8624941417687
100,0.23512954,2.0,-112.31148024333251,0.01,317908,-106.18790129681875,0.01,0.9221166,0.25378153366506806,0.01,4600,-0.15079804,-106.18790129681875,-1.049026,0.29137084,46,0.01,69.11043478260869,11,-1.3027964,-1.5661528,-44.8624941417687
100,0.024287755,2.0,-112.18430365012824,0.01,320221,-106.33418036273301,0.01,0.8300665,0.14543774378307087,0.01,4700,0.31946105,-106.33418036273301,-1.3790163,0.03254071,47,0.01,68.13212765957446,11,-1.3356215,-1.5363929,-44.8624941417687
100,0.23281153,2.0,-112.0610223461763,0.01,322476,-106.26680106043301,0.01,0.781491,0.16802865317261273,0.01,4800,0.32498714,-106.26680106043301,-1.4176899,0.29892245,48,0.01,67.1825,11,-1.3169179,-1.6212595,-44.8624941417687
100,0.2756026,2.0,-111.94131660866634,0.01,325685,-106.19544120818922,0.01,0.5564349,0.3514268181023155,0.01,4900,-0.14063591,-106.19544120818922,-1.375327,0.30118302,49,0.01,66.46632653061225,11,-1.6138502,-2.5560968,-44.8624941417687
100,0.22798012,2.0,-111.82738302941576,0.01,328590,-106.24463764613702,0.01,1.1076401,0.2745418033821244,0.01,5000,-0.21684916,-106.24463764613702,-1.5757362,0.28403324,50,0.01,65.718,11,-1.7280666,-2.4499376,-44.8624941417687
